@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,prism:eIssn
true,https://api.elsevier.com/content/abstract/scopus_id/0026351077,SCOPUS_ID:0026351077,2-s2.0-0026351077,Marsh mat flotation in the Louisiana delta plain,Swarzenski C.,Journal of Ecology,00220477,79,4,999-1011,1991-01-01,1991,10.2307/2261094,"On the Mississippi River delta plain, a freshwater marsh, dominated by Panicum hemitomon, floated directly with ambient water levels, provided they were high enough to float the mat. Water levels varied by c70 cm and mat movement by 55 cm. An intermediate-salinity marsh closer to the Gulf of Mexico and dominated by Sagittaria falcata moved 35 cm vertically during the study period, and water levels moved 70 cm. A brackish marsh, dominated by Spartina patens, moved only 3 cm in response to 40 cm of vertical water movement. The freshwater marsh floated throughout the year, provided ambient water levels were high enough, and mat movement followed water-level movement directly. The intermediate marsh exhibited seasonal buoyancy. In summer and early autumn, this marsh responded to water-level oscillations directly. It was the least buoyant in late winter. The shallow substrate of the two fresher marshes, which could respond directly to water levels, contained almost no mineral sediment (9% by dry weight at the fresh site and 17% at the intermediate), whereas the brackish marsh, which showed only small fluctuations relative to water movement, contained almost 50% mineral sediment by weight. The fresh marsh had the most fibric substrate in the upper 30 cm; the organic substrate material became progressively more decomposed with proximity to the Gulf of Mexico and with depth. -from Authors",46,Journal,ar,Article,100,4,4,29602,undefined,0,FALSE,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026350461,SCOPUS_ID:0026350461,2-s2.0-0026350461,Growth and development of natural seedlings of Abies and Tsuga in old-growth forest,Zobel D.,Journal of Ecology,00220477,79,4,985-998,1991-01-01,1991,10.2307/2261093,"One- to six-year-old seedlings of Abies amabilis, Tsuga heterophylla and T. mertensiana were collected from 15-cm-deep volcanic tephra deposited beneath a surviving tree canopy during the 1980 eruption of Mount St Helens, Washington. Abies seedlings were heavier than Tsuga initially, with deeper and more-complex roots, but biomasses of Abies and Tsuga seedlings became more similar with time. Height above the cotyledons was similar in older seedlings of the two genera, but branching began earlier in Tsuga. Tsuga had a higher relative growth rate than Abies, with both greater leaf-biomass ratio and greater assimilation efficiency. Leaf allocation of Abies exceeded that of Tsuga at first, but eventually became less than that of Tsuga. Most measures of size decreased for Tsuga as canopy cover increased; for Abies, only the amount of root branching declined. As litter increased, root dimensions of both genera declined, but biomass of Tsuga increased whereas that of Abies decreased. Abies seemed less affected by both shade and limited soil moisture than Tsuga. -from Authors",25,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,2,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026346711,SCOPUS_ID:0026346711,2-s2.0-0026346711,"Biological Flora of the British Isles. Tilia cordata Miller (T. europaea L. pro parte, T. parvifolia Ehrh. ex Hoffm., T. sylvestris Desf., T. foemina folio minore Bauhin)",Pigott C.D.,Journal of Ecology,00220477,79,4,1147-1207,1991-01-01,1991,10.2307/2261105,"No 174 in the series reviews small-leaved lime, a deciduous tree widely but unevenly distributed in England and Wales. The paper describes the species and its variations across Europe and Asia, where it may be regarded as a collective species of at least seven species or subspecies, before discussing: geographical and altitudinal distribution: habitat, including its climatic and topographical limitations, preferred substrata, and influence on soil; communities, these being chiefly W8-W11, W16 and W17 in the UK National Vegetation Classification; response to biotic factors; gregariousness, performance in various habitats, effect of frost and drought, and response to atmospheric pollution; morphology, mycorrhiza, perennation and reproduction, chromosomes and physiological data; phenology; floral biology, hybrids, seed production and dispersal, and viability of seeds; animal feeders or parasites, divided into bird, mammal, and large collection of insect parasites, as well as plant parasites and diseases; and lastly the history of this species, especially linked to the disappearance of woodlands. -J.W.Cooper",101,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,3,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026345644,SCOPUS_ID:0026345644,2-s2.0-0026345644,Positive plant interactions in tundra vegetation and the importance of shelter,Carlsson B.,Journal of Ecology,00220477,79,4,973-983,1991-01-01,1991,10.2307/2261092,"The hypothesis that positive plant interactions, arising from species aggregations, are important in harsh environments was tested on the sedge Carex bigelowii in the alpine/subarctic tundra of Swedish Lapland. Aggregations of low-growing species (<15 cm tall) were not well developed, but when C. bigelowii was growing in close proximity to Cassiope tetragona or Empetrum hermaphroditum, two evergreen dwarf shrubs, or in mats of the moss Racomitrium lanuginosum, increased leaf lengths and culm heights were recorded, compared with plants growing >2 cm away from the dwarf shrubs or outside the moss mat. The effect of the dwarf shrubs was interpreted as a result of above-ground shelter because shoot height, as well as number of shoots, also increased when plywood shelters were erected on the windward side of C. bigelowii. The effects of this above-ground shelter on shoot growth could result from increased snow cover, protection against strong desiccating winds early in the growing season, and a warmer micro-climate. An alternative explanation for the increased growth of C. bigelowii near other species is that their patchy distributions may be related to localized increased soil nutrient status. When fertilizer was added to C. bigelowii, there were significant increases in shoot height and number. The benefits to C. bigelowii when growing close to other species may be a combination of shelter effects and a patchy distribution of nutrients. -from Authors",165,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,4,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026345643,SCOPUS_ID:0026345643,2-s2.0-0026345643,"Shade as a cause of the association between the cactus Neobuxbaumia tetetzo and the nurse plant Mimosa luisana in the Tehuacan Valley, Mexico",Valiente-Banuet A.,Journal of Ecology,00220477,79,4,961-971,1991-01-01,1991,10.2307/2261091,"The establishment phase of Neobuxbaumia tetetzo, a giant columnar cactus, occurs mostly beneath the canopies of trees and shrubs which act as nurse plants. This pattern cannot be attributed to preferential seed dispersion, as Neobuxbaumia fruits open while still on the plant, dropping c1000 seeds fruit-1 randomly around the parent plant. Mimosa luisana is the most abundant shrub in the community. Seed germination was lowest in open spaces. In all treatments, exclusion from predators significantly increased seedling survival. Only shaded treatments had live individuals at the end of the experiment, 2 yr later. Results suggest that the nurse-plant effect between N. tetetzo and M. luisana is chiefly the result of differential survival in shaded microsites with less direct solar radiation, and consequently with lower daytime temperatures and lower evaporative demand. Field samplings were conducted in two Mexican deserts located outside the tropical belt: the Vizcaino Desert in Baja California and the Gran Desierto de Altar in Sonora. In these deserts direct solar radiation has a southern azimuth all year round. Five of six succulent species analysed showed a significant pattern of greater establishment on the shaded north sides of nurse plants. -from Authors",347,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,5,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026340421,SCOPUS_ID:0026340421,2-s2.0-0026340421,Competition between mosses (Splachnaceae) in patchy habitats,Marino P.,Journal of Ecology,00220477,79,4,1031-1046,1991-01-01,1991,10.2307/2261096,"Tetraplodon angustatus, T. mnioides, Splachnum ampullaceum and S. luteum grow on the droppings of large mammals and have their spores dispersed by flies (Diptera). Each species produced more gametophytes when grown alone on droppings than when grown in mixture. The relative competitive abilities of species differed, at least in part by differences in growth rates. In dry habitats, Tetraplodon produced more gametophytes than Splachnum and often eliminated them; the reverse was true in wet habitats. Congeneric species had relatively symmetrical competitive abilities in the field and did not eliminate each other from droppings. While the influence of habitat on relative competitive ability may potentially explain the infrequency of co-occurrence of species of different genera on droppings, the relatively symmetrical competitive abilities of congeneric species suggests that their long-term regional coexistence probably results from mechanisms that operate at larger spatial scales, such as large-scale fluctuations in the abundance and distribution of droppings in space and time, differential spore dispersal and the independent aggregation of spores of different species on droppings. (See also 92L/09966). -from Author",25,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,6,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026333780,SCOPUS_ID:0026333780,2-s2.0-0026333780,The effects of successional habitat variation and time of flowering on seed production in Rumex acetosella,Escarre J.,Journal of Ecology,00220477,79,4,1099-1112,1991-01-01,1991,10.2307/2261101,"Rumex acetosella was studied in a successional series of abandoned fields near Paris, France. Overall, a decrease in filled-seed production per plant was observed with increasing successional age, but only for the early summer period. A similar trend was observed for reproductive effort, ie filled-seed production per unit of vegetative biomass. There were significant differences between the populations in the mean weight of filled seeds, but only for two of five monthly surveys. The successionally intermediate and advanced populations at one of the sites showed the greatest seed biomass. There were no significant negative correlations between number and biomass of seeds when all the populations were pooled, but seed mass was negatively correlated with seed number at four sites in June. Results indicate that genetically based differences in sexual resource allocation occur among plants growing along a successional habitat gradient. -from Authors",10,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,7,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026330526,SCOPUS_ID:0026330526,2-s2.0-0026330526,A diffusion model for dispersal of Opuntia imbricata (cholla) on rangeland,Allen L.,Journal of Ecology,00220477,79,4,1123-1135,1991-01-01,1991,10.2307/2261103,Overgrazing creates gaps or open spaces for cholla seeds or stems that fall to the ground to become established (passive dispersal). Also livestock or wildlife may cause stems and fruits to fall to the ground (active dispersal). A theoretical model is formulated for the dispersal of plants based on the diffusion equation which assumes one or more mechanisms of dispersal. Passive dispersal alone cannot account for the current spread of cholla on some of the pastures. -from Authors,42,Journal,ar,Article,100,4,4,29602,undefined,0,FALSE,8,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026325033,SCOPUS_ID:0026325033,2-s2.0-0026325033,Dispersal and coexistence of mosses (Splachnaceae) in patchy habitats,Marino P.,Journal of Ecology,00220477,79,4,1047-1060,1991-01-01,1991,10.2307/2261097,"Examined three mechanisms that may promote coexistence of Tetraplodon angustatus, T. mnioides, Splachnum ampullaceum and S. luteum: differences between dry and wet habitats; seasonal segregation of resources, and interspecific dispersal differences. These mosses grow on the droppings of large mammals and have their spores dispersed by flies (Diptera). Droppings located in dry habitats were primarily occupied by Tetraplodon spp., droppings in wet habitats by Splachnum spp. In dry habitats there was a seasonal segregation of dropping colonization by Tetraplodon spp. Dung placed into the field in May, when sporophytes of T. angustatus matured, were exclusively colonized by T. angustatus; dung placed into the field in June, when most T. mnioides sporophytes matured, were primarily colonized by T. mnioides. Each species of moss attracted 10-17 species of spore-carrying flies; the fly faunas attracted to each species were 77-92% different from each other in species composition. Neither species of Tetraplodon appeared to have a clear dispersal advantage; for both, spore-carrying flies were predominantly associated with dung in dry habitats; spore-carrying flies captured on T. angustatus carried significantly more spores on average than did spore-carrying flies captured on T. mnioides; however, more flies captured on T. mnioides were carrying spores than were flies captured on T. angustatus. Although more flies captured on Splachnum luteum than on S. ampullaceum, were carrying spores, S. ampullaceum (the weaker competitior) appears to have more of its spores dispersed to dung in wet habitats that does S. luteum. Spore-carrying flies captured on S. ampullaceum and associated dung carried significantly more spores on average than did spore-carrying flies captured on S. luteum, and a much greater proportion of spore-carrying flies associated with S. ampullaceum than with S. luteum were also associated with dung in wet habitats. (See also 92L/10088). -Author",32,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,9,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0026324732,SCOPUS_ID:0026324732,2-s2.0-0026324732,Biological Flora of the British Isles. Avenula (Dumort.) Dumort.,Dixon J.M.,Journal of Ecology,00220477,79,3,829-865,1991-01-01,1991,10.2307/2260670,"No. 173 in the series reviews the two British species of this genus of oat-grasses, meadow oat Avenula pratensis and hairy oat A. pubescens, both of which grow on chalky soils, the latter being more abundant and widespread. Each half of the paper describes the plant itself, including subspecies, before discussing: geographical and altitudinal distribution; habitat; communities (with tables of species of calcareous grassland, communities in which the species occurs in continental Europe, and further associated species); response to biotic species; gregariousness, performance in various habitats, and effect of frost and drought; morphology, mycorrhiza, reproduction, chromosomes, and physiological data; phenology, floral biology, seed production and dispersal, and germination; animal feeders, parasites and diseases, and history. -J.W.Cooper",10,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,10,NA,NA,NA
