@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/0017276902,SCOPUS_ID:0017276902,2-s2.0-0017276902,"Changes in the bacterial cecal flora of mice infected with Trichuris muris (Schrank, 1788).",Pike E.,Revista de biologia tropical,00347744,24,2,251-259,1976-12-01,December 1976,"Cecal microorganisms of mice were categorized and enumerated weekly during the developmental cycle of infection with the whipworm, Trichuris muris. The cecal bacterial population consisted of Escherichia coli, Proteus spp, Acinetobacter lwoffi (Mima polymorpha), aerobic lactobacilli, staphylococci, enterococci, and anaerobes (bacteroides, streptococci, and lactobacilli) in control and T. muris-infected mice. The aerobic lactobacilli and the anaerobes constituted the greatest number of organisms in both groups. In week three there was a decrease in the number of these organisms, and in week four fewer of these and of all other organisms in the worm-infected mice when compared to controls. The most significantly reduced bacterial counts were observed during the period of T. muris self-cure.",1,1019388,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,1
true,https://api.elsevier.com/content/abstract/scopus_id/0017246593,SCOPUS_ID:0017246593,2-s2.0-0017246593,Characteristics of the absorption surface of the intestinal epithelium of Alouatta caraya,Moreira J.,Revista de biologia tropical,00347744,24,2,187-190,1976-12-01,December 1976,"Electron microscopy of the absorption surface of the jejunal epithelium of the howler monkey Alouatta caraya showed the presence of core filaments implanted at the level of the terminal web in the microvilli. These microvilli are 5 to 7 mum long and up to 5 mum thick, their extraordinary development is attributed to a conditioned adaptation of the species to its feeding habits and nature of absorption.",1,828283,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,2
true,https://api.elsevier.com/content/abstract/scopus_id/0017245905,SCOPUS_ID:0017245905,2-s2.0-0017245905,The comparative susceptibility of male and female and of mature and immature cats to infection with sub-periodic Brugia malayi.,Ewert A.,Revista de biologia tropical,00347744,24,2,261-266,1976-12-01,December 1976,NA,0,1019389,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,3
true,https://api.elsevier.com/content/abstract/scopus_id/18544391919,SCOPUS_ID:18544391919,2-s2.0-18544391919,"Transformation of forests in pastures, development or destruction? A comment",Tosi J.,Revista de biologia tropical,00347744,24,1 Suppl,139-141,1976-06-01,June 1976,NA,1,986065,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,4
true,https://api.elsevier.com/content/abstract/scopus_id/0016970937,SCOPUS_ID:0016970937,2-s2.0-0016970937,Ecological aspects of water impoundment in the tropics.,Goldman C.,Revista de biologia tropical,00347744,24,1 Suppl,87-112,1976-06-01,June 1976,"Recognition of the potentially harmful effects of water development in the tropics had led to increasing efforts to assess the environmental impact of such projects prior to construction. Decisions regarding the development or non-development of water resources must be based on sound investigation of both the long-and short-term effects of reservoir construction and operation. The environmental effects of water impoundment vary greatly with the characteristics of the region as well as the type of reservoir to be constructed (area and depth of reservoir, ratio of water inflow to storage). Of major concern are the reduction of reservoir capacity as sediments accumulate behind the dam and the loss of these sediments to downstream agriculture and fisheries. The potential impact of altered flow regimes, siltation, reduction in beach formation and nutrient enrichment at the mouths of rivers, and the possibility of saltwater encroachment should receive careful stdy. A thorough description of the plants and animals to be affected by inundation should be made to determine the possible loss of rare or key organisms as well as the potential development of ""nuisance species"". Included in this survey should be a detailed study of existing fish and the potential for commercial fishery development in the proposed reservoir. Consideration should be given to vegetation removal in the reservoir basin prior to inundation, since decaying vegetation can result in deoxygenation, formation of hydrogen sulfide, possible development of suitable habitats for undesirable species and snagging of fish nets. Sanitation and land use practices as well as erosion in the watershed surrounding the reservoir must be controlled to prevent accelerated eutrophication caused by increased nutrient loading. Inundation in tropical areas can have serious sociological and human health implications including the increase of diseases, e.g., malaria, schistosomiasis, onchocerciasis, and dysentery, and the probable resettlement and alteration of land use practices. Census information and surveys concerning land use, housing and health standards and the social and economic structure of the community to be affected must be evaluated in order to anticipate and avoid potential problems. The archaeologic, historic, scenic and recreational value of the site to be inundated must also be considered. Studies of the EL Cajón site on the Sula River in Honduras and the Purari River Project in Papua, New Guinea, are utilized as examples in this report.",9,948650,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,5
true,https://api.elsevier.com/content/abstract/scopus_id/0016970936,SCOPUS_ID:0016970936,2-s2.0-0016970936,Current and future status of human nutrition in the Central American isthmus,Beghin I.,Revista de biologia tropical,00347744,24,1 Suppl,13-23,1976-06-01,June 1976,"Of the four major nutritional problems in the Central American Isthmus, calorie and protein deficiency, endemic goiter, nutritional anemias, and vitamin A deficiency, the most devastating is the first, calorie and protein malnutrition. Our present stage of advancement requires that the nutritional problem be solved through intensive and continued governmental action that would guarantee the people of this area an adequate diet without deteriorating the environment and without depleting natural resources. This would imply a reorientation of the scientific and technological research and a new agricultural policy, together with a new model of development that would place priority on these considerations, recognizing, at the same time, their demographic predominance.",0,821103,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,6
true,https://api.elsevier.com/content/abstract/scopus_id/0016970360,SCOPUS_ID:0016970360,2-s2.0-0016970360,Quality of the water and public health in the Central American isthmus,Donato C.,Revista de biologia tropical,00347744,24,1 Suppl,41-48,1976-06-01,June 1976,"As of December 1970 the population of the Central American Isthmus was 16,436,723; 6,225,447 (37.9%) urban and 10,210,946 (62.1%) rural. Of the urban population, 63.3%, or 3,964,611 had water in the home, while 2,283,836 (36.7% had no adequate water supply. The problem is even worse in the rural population where only 732,150 inhabitants (7.17%) had water in the home; the rest, 9,500,000 were using water from contaminated rivers, streams, wells, etc. These low percentages do not meet the standards proposed at Punta del Este, Uruguay in 1961 of providing drinking water to 70% of the urban population and to 50% of those of rural areas. Nor do the very low figures for sanitary disposal of wastes meet these standards (31.4% in urban areas and 19.5% in rural areas). As a logical consequence, water-bourne morbility in the Central American Isthmus is very high. The rates per 100,000 inhabitants are 0.4 to 18.8 for typhoid fever; 0.7 to 13.0 for paratyphoid fever; 0.5 to 786.2 for bacillary dysentery; and 17.9 to 555.6 for amebiasis. Although it would be hard to evaluate the benefits of sanitary water and waste disposal systems, the damage caused by water-bourne illnesses is well known, especially their effect on the individual human being since they sap his energy, lower his life expectancy and productivity, and thus indirectly affect the national economy. It is a well known fact that the cost of optimum water supply and waste disposal systems will more than amply be paid for by the savings in medication and lost time through illness.",0,948644,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,7
true,https://api.elsevier.com/content/abstract/scopus_id/0016969571,SCOPUS_ID:0016969571,2-s2.0-0016969571,Pesticides in the tropical agricultural economy systems: Evaluation of present knowledge of the problem,García A.,Revista de biologia tropical,00347744,24,1 Suppl,69-77,1976-06-01,June 1976,"Man is an integral part of the ecosystem and any action of his against the environment has an effect against man himself. An Agro-ecosystem is a unit composed of the total complex of organisms in an area under cultivation, plus the totality of the physical environmental conditions and the modifications introduced by man, who manages the agro-ecosystem for his own benefit. The use of pesticides has been necessary for the agricultural development of some tropical areas. Unfortunately, the inadequate use of this input has caused many problems for himself. These include destruction of natural resources; intoxications; pesticide residues in water and foods; secondary pest outbreaks; increase in illnesses transmitted by certain arthropods; loss of foreign exchange; unemployment; malnutrition; disability; high infant mortality and poverty. A better use of agro-ecosystem management techniques can lead to a rational sustained utilization of land resources. Chemical pesticides can be considered as one of the factors in pest management, and not necessarily the only one available.",2,948648,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,8
true,https://api.elsevier.com/content/abstract/scopus_id/0016968774,SCOPUS_ID:0016968774,2-s2.0-0016968774,Cultural conflicts in the management of hydrographic watersheds in the Central American isthmus,Mojica I.,Revista de biologia tropical,00347744,24,1 Suppl,113-119,1976-06-01,June 1976,"Productivity of natural ecosystems in watersheds in the Central American Isthmus is being seriously endangered by the disproportionate increase in population, which hampers an adequate development of water and agricultural resources. The logical consequences of the lack of planning in the use of these resources are rapid degradation of the soil and high levels of environmental pollution. Among the human activities which destroy the natural ecological balance are slash burning, overgrazing and farming on lands not suited for this purpose. These activities form part of the socio-economic and cultural aspects of the region and are associated with systems of land occupancy and distribution, and with inefficient practices, such as tenant farming and share cropping. Recent apprehensions by nature-loving groups and the general public are pressing for more realistic conservation and legislative policies, and for the creation of more dynamic government agencies that would not only actively participate in the planning and utilization of natural resources, but also in the technical studies of watersheds that after the socio-cultural aspects of the central American region.",0,948643,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,9
true,https://api.elsevier.com/content/abstract/scopus_id/0016968629,SCOPUS_ID:0016968629,2-s2.0-0016968629,Effect of urbanization on the future of agricultural development in Costa Rica,Fournier L.,Revista de biologia tropical,00347744,24,1 Suppl,49-55,1976-06-01,June 1976,"The future agricultural development of Central America must be based of studies of land capacity in order to assure a sustained yield of the environment. The industrial development of the region, as well as the construction of the highways and rural roads must be carefully planned as a means of environmental conservation. New towns, housing developments, recreational facilities and highways should be planned to the effect that they occupy non-productive lands and thus minimize the modern trend of covering the best agricultural soils with concrete jungles. In recent years the price of agricultural lands has shown a tremendous rise, due mainly to the demand of land for urbanization. This situation has induced many farmers to abandon their lands, therefore, a selective land taxation system is suggested to encourage the cultivation of these suburban areas.",0,948645,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,10
