@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/0021523710,SCOPUS_ID:0021523710,2-s2.0-0021523710,Rotavirus and Campylobacter fetus jejuni associated with an outbreak of diarrhea in calves,Simhon A.,Revista de biologia tropical,00347744,32,2,303-304,1984-11-01,November 1984,"Rotaviruses and Campylobacter fetus jejuni are ubiquitous agents of diarrheal disease in animals and humans. Under natural conditions they do not seem to cross inter-species barriers; a zoonosis has not been documented for man. However, animal rotaviruses might contribute to the emergence of new reassortment strains in view of their segmented genome, and thus, produce new antigenic variants. On the contrary, Campylobacter fetus jejuni produces a true zoonosis. Man acquires bacilli by ingesting water and foodstuffs contaminated with feces from infected animals. In an outbreak of diarrhea in 22 calves, rotavirus was detected in 8 (36%) and Campylobacter in 6 (27%). Three (14%) calves experienced double infection. There were no human cases involved in this outbreak.",0,6545623,Journal,ar,Article,100,3,3,13567,undefined,0,FALSE,1
true,https://api.elsevier.com/content/abstract/scopus_id/0021523709,SCOPUS_ID:0021523709,2-s2.0-0021523709,Local effects of the external secretions of Sphaerobothria hoffmanni (Araneae: Theraphosidae) from Costa Rica,Herrero M.,Revista de biologia tropical,00347744,32,2,209-212,1984-11-01,November 1984,The local effects induced as a consequence of applications of four external secretions from the spider Sphaerobothria hoffmanni were recorded. Macroscopic lesions were not found; the only local effect microscopically observed was a weak necrosis in the skeletal muscle in mice.,0,6545620,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,2
true,https://api.elsevier.com/content/abstract/scopus_id/0021523597,SCOPUS_ID:0021523597,2-s2.0-0021523597,Determination of organochlorine insecticides in human milk in Costa Rica,Umaña V.,Revista de biologia tropical,00347744,32,2,233-239,1984-11-01,November 1984,"DDT and DDE were detected in the milk of 51 nursing mothers in Costa Rica. In the provinces of Puntarenas, Guanacaste and Limón, where a campaign against malaria took place during the last three decades and where crops are intensively sprayed, the amount of total DDT ranges from 0.12 to 2.60 ppm (mean 1.27 ppm), comparatively, the data of total DDT yielded an average of 0.11 ppm (range 0.01-1.22 ppm) in the provinces of San José, Heredia and Cartago, not so intensively exposed to pesticides. Higher concentrations of the metabolite DDE in 100% of the samples indicated chronic contaminations.",4,6545621,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,3
true,https://api.elsevier.com/content/abstract/scopus_id/0021523587,SCOPUS_ID:0021523587,2-s2.0-0021523587,Karyotype study of 5 species of Costa Rican snakes of the colubrid family,Gutiérrez J.,Revista de biologia tropical,00347744,32,2,263-267,1984-11-01,November 1984,"The karyotypes of five species of colubrid snakes from Costa Rica are as follows: Imantodes cenchoa and Drymobius margaritiferus have a diploid number of 36, with 16 macro- and 20 microchromosomes. The fourth pair is heteromorphic in females of I. cenchoa, with a metacentric Z and a submetacentric W chromosomes. Karyotypes of Erythrolampius bizonus and Leimadophis epinephalus have 28 chromosomes, without a clearcut separation between macro- and microchromosomes. In the case of E. bizomus, the fourth pair contains the sex chromosomes Z and W, both are submetacentric, but the W is smaller. Xenedon rabdocephalus has a diploid number of 34 chromosomes (22 macro- and 12 microchromosomes); pair 3 is heteromorphic in females, with a submetacentric Z and a smaller metacentric W. The karyotype of X. rabdocephalus may be derived from a primitive karyotype by means of reduction in the number of microchromosomes and centric fissions of two pairs of metacentric autosomes.",6,6545622,Journal,ar,Article,100,3,3,13567,undefined,0,FALSE,4
true,https://api.elsevier.com/content/abstract/scopus_id/0021523586,SCOPUS_ID:0021523586,2-s2.0-0021523586,Mechanism of action of myotoxins isolated from snake venoms,Gutiérrez J.,Revista de biologia tropical,00347744,32,2,213-222,1984-11-01,November 1984,"Biochemically and pharmacologically, myotoxins isolated from snake venoms can be placed in four main groups: myotoxic phospholipases A, low molecular weight basic toxins, cardiotoxins, and hemorrhagic myotoxins. The myotoxic phospholipases A notexin, taipoxin, crotoxin, and Bothrops asper myotoxin induce muscle necrosis by first affecting the integrity of the plasma membrane, thereby inducing a calcium influx that culminates in cell death. The small basic myotoxin crotamine acts on the voltage-sensitive sodium channels of skeletal muscle sarcolemma, inducing a sodium influx which is responsible for depolarization and contraction of skeletal muscle, as well as for vacuolization of sarcoplasmic reticulum. Cardiotoxins are basic membrane-active polypeptides that disorganize the structure of membranes; the myotoxic activity of cardiotoxins results from their ability to disrupt skeletal muscle sarcolemma. Finally, two hemorrhagic toxins (hemorrhagic toxin b and viriditoxin) are myotoxic; apparently, they secondarily to ischemia which develops in muscular tissue as a consequence of the hemorrhagic action of these toxins.",28,6400184,Journal,re,Review,100,2,2,13567,undefined,0,FALSE,5
true,https://api.elsevier.com/content/abstract/scopus_id/0021523567,SCOPUS_ID:0021523567,2-s2.0-0021523567,Study of bacterial motility and rate of movement using a closed circuit television,Hernández F.,Revista de biologia tropical,00347744,32,2,309-312,1984-11-01,November 1984,"Speed and motion patterns of Campylobacter fetus ssp. jejuni, Escherichia coli and Pseudomonas aeruginosa were recorded using a closed circuit television camera attached to a phase contrast microscope. A Sony video analysis system was used to stop frame videotape at 1/7th and 1/15th. Bacterial speeds were: Campylobacter 29.2 micron/s, E. coli 8.9 micron/s and P. aeruginosa 16.8 micron/s.",0,6443639,Journal,ar,Article,100,3,3,13567,undefined,0,FALSE,6
true,https://api.elsevier.com/content/abstract/scopus_id/0021450609,SCOPUS_ID:0021450609,2-s2.0-0021450609,Composition and nutritive value of pejibaye (Bactris gasipaes) in animal feeds.,Zumbado M.,Revista de biologia tropical,00347744,32,1,51-56,1984-06-01,June 1984,"Nutritive assessment of pejibaye (Bactris gasipaes) meals included proximal composition of the lipid and nitrogenous fractions. Caloric values obtained as true metabolizable energy (TME) indicate that the pejibaye has a higher content of energy than corn and that it is not necessary to separate the seeds from the fruits in animal feeds; the level of indispensable aminoacids is considerably low, especially methionine, which is lower than in corn; thin layer chromatography shows that most of the free fatty acids are present in a ratio of 2:1 in unsaturated to saturated acids. The predominant fatty acids in whole pejibaye meal are oleic and palmitic acids with adequate levels of linoleic acid. Saturated fatty acids are predominant in the seed, with a very high content of lauric and myristic acids.",13,6535181,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,7
true,https://api.elsevier.com/content/abstract/scopus_id/0021450608,SCOPUS_ID:0021450608,2-s2.0-0021450608,"Diarrhea caused by Campylobacter fetus jejuni and other infective agents in children of the rural area of Puriscal, Costa Rica",Vives M.,Revista de biologia tropical,00347744,32,1,137-143,1984-06-01,June 1984,"Between September 1979 and September 1981 a field study was conducted on the etiology of diarrheal disease in the area of Puriscal, Costa Rica. The presence of enteric pathogens was investigated in the stools of 267 diarrheic children and 190 healthy controls. Both groups belong to yearly cohorts recruited at birth as part of a longitudinal multidisciplinary study of mothers and children. Campylobacter fetus jejuni was identified as the only pathogen in the stools of 24 diarrheic children (9%) and in four healthy controls (2%), a significant difference (p less than 0,05). The clinical features of the episodes were: irritability (77%), blood in stools (35%), anorexia (38,5%), and fever and vomiting (36%). Dehydration was not important among infected children (only one with 5% dehydration). All children received oral salt solutions and only two were treated with antibiotics. Rotaviruses were the main etiologic agents (17%) and Campylobacter ranked second (10,5%). The frequency of enterotoxigenic Enterobacteriaceae was similar in sick children and in controls (10% and 12% respectively).",1,6535179,Journal,ar,Article,100,6,6,13567,undefined,0,FALSE,8
true,https://api.elsevier.com/content/abstract/scopus_id/0021450553,SCOPUS_ID:0021450553,2-s2.0-0021450553,Cryptosporidiosis in children of Costa Rica: a cross section and longitudinal study,Mata L.,Revista de biologia tropical,00347744,32,1,129-135,1984-06-01,June 1984,"The present report is a systematic study of children, with and without diarrhea from Costa Rican metropolitan areas and southern rural higlands. Children were observed, respectively, at emergencies, Hospital Nacional de Niños, and in a field station in Puriscal; urban children were studied vertically, rural children were observed prospectively (cohort study). Cryptosporidium sp. was found in 4.3% of the cases of diarrhea; diarrhea was generally severe in urban children, but mild in the rural. Infection was detected in urban children less than one year of age: contrasting, no rural infants were found infected, which might be related to breast-feeding, since Puriscal infants were intensively breast-fed for several months, while many urban infants were not breast-fed or were weaned earlier. Cryptosporidium sp. appeared during the warm, rainy and humid months of May through August, when the coccidium was associated with 14.8% of the urban and 15.4% of the rural diarrheas. All urban cases presented dehydration which was corrected with oral rehydration salt therapy, and occasionally with intravenous fluids; dehydration was not common in the rural cases.",6,6543541,Journal,ar,Article,100,4,4,13567,undefined,0,FALSE,9
true,https://api.elsevier.com/content/abstract/scopus_id/0021448399,SCOPUS_ID:0021448399,2-s2.0-0021448399,Occurrence of the bat tick Ornithodoros (Alectorobius) Kelleyi Cooley &amp; Kohls (Acari: Argasidae) in Costa Rica and its relation to human bites.,Vargas V.,Revista de biologia tropical,00347744,32,1,103-107,1984-06-01,June 1984,"Several persons from two localities in Costa Rica (San Rafael de Coronado, 1510 m and Dulce Nombre de Tres Ríos, 1445 m) were bitten by ticks, subsequently identified as Ornitohodoros (A.) Kelleyi (Argasidae), commonly associated with bats. In the attics of their homes, live adults, larvae, nymphs and skins were found in the bat guano. Since there are no records of adult argasids in this country, a laboratory colony was established to observe the biology of these ticks and their association with bats. In this particular case, the bats were Molossidae and Vespertilionidae, both insectivorous. Adults and last nymphal ticks easily fed on suckling white mice in the dark; feeding lasts from 20 to 40 minutes, when abundant coxal fluid is produced; oviposition occurs from 14 to 27 days later. Comparison of the most common structures of both whole larvae and larval skins revealed no significant differences, taxonomically important, since according to the habits of the Argasidae, it is easier to find larval molts than live specimens.",17,6535178,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,10
