@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,dc:description,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0742323167,SCOPUS_ID:0742323167,2-s2.0-0742323167,Measuring Nonlinear Selection,Blows M.,American Naturalist,00030147,162,6,815-820,2003-12-01,December 2003,10.1086/378905,237,14737718,Journal,ar,Article,100,2,2,Canonical analysis | Correlational selection | Nonlinear selection | Selection analysis | Stabilizing selection,12604,undefined,0,FALSE,all,All Open Access,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0742323166,SCOPUS_ID:0742323166,2-s2.0-0742323166,"Partitioning Species Diversity across Landscapes and Regions: A Hierarchical Analysis of α, β, and γ Diversity",Crist T.,American Naturalist,00030147,162,6,734-743,2003-12-01,December 2003,10.1086/378901,473,14737711,Journal,ar,Article,100,4,4,Null hypothesis | Randomization tests | Spatial scale | Species richness | Statistical tests,12604,undefined,0,FALSE,NA,NA,2,"Species diversity may be additively partitioned within and among samples (α and β diversity) from hierarchically scaled studies to assess the proportion of the total diversity (γ) found in different habitats, landscapes, or regions. We developed a statistical approach for testing null hypotheses that observed partitions of species richness or diversity indices differed from those expected by chance, and we illustrate these tests using data from a hierarchical study of forest-canopy beetles. Two null hypotheses were implemented using individual- and sample-based randomization tests to generate null distributions for α and β components of diversity at multiple sampling scales. The two tests differed in their null distributions and power to detect statistically significant diversity components. Individual-based randomization was more powerful at all hierarchical levels and was sensitive to departures between observed and null partitions due to intraspecific aggregation of individuals. Sample-based randomization had less power but still may be useful for determining whether different habitats show a higher degree of differentiation in species diversity compared with random samples from the landscape. Null hypothesis tests provide a basis for inferences on partitions of species richness or diversity indices at multiple sampling levels, thereby increasing our understanding of how a and β diversity change across spatial scales.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0742323165,SCOPUS_ID:0742323165,2-s2.0-0742323165,Flammability Is a Niche Construction Trait: Canopy Architecture Affects Fire Intensity,Schwilk D.,American Naturalist,00030147,162,6,725-733,2003-12-01,December 2003,10.1086/379351,133,14737710,Journal,ar,Article,100,1,1,Adenostoma | Ceanothus | Chaparral | Evolution | Mutch hypothesis | Self-pruning,12604,undefined,0,FALSE,NA,NA,3,"By affecting local fire intensities or the probability of ignition, traits that influence plant flammability may indirectly control selection for fire-related life-history and physiological traits. The retention of dead branches in the canopy has been cited as contributing to plant flammability. No experiment, however, has demonstrated that differences in plant canopy architecture on the scale of observed variation in nature can affect local fire characteristics. I experimentally manipulated canopies of Adenostoma fasciculatum, a California shrub that naturally retains dead branches, to mimic degrees of self-pruning in four small-scale (4 m x 6 m) treatments: removal of all canopy dead wood, clipping of all dead wood with wood left as litter, an unmanipulated treatment, and a dead wood addition. Treatment plots were burned in large-scale prescribed fires. Fire temperatures and heat release were significantly higher in Unmanipulated and Addition treatments, demonstrating a significant local effect of dead branch retention. Removal and Clip and Leave treatments did not differ significantly; the observed effect is a result of canopy architecture rather than differences in total fuel load.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0742323164,SCOPUS_ID:0742323164,2-s2.0-0742323164,Frequency-Dependent Inbreeding Depression in Amsinckia,Cheptou P.,American Naturalist,00030147,162,6,744-753,2003-12-01,December 2003,10.1086/378902,20,14737712,Journal,ar,Article,100,2,2,Competition | Mating system evolution | Self-pollination,12604,undefined,0,FALSE,NA,NA,4,"If the competitive ability of plants produced by self-pollination differs from that of plants derived by outcrossing, then the magnitude of inbreeding depression may be influenced by the composition of the competitive environment (i.e., the frequency of plants that have arisen from selfing and outcrossing in the neighborhood of ""target"" plants in which inbreeding depression is expressed). Here, we report the results of experiments designed to examine whether inbreeding depression is influenced by the frequency of inbred plants in the competitive neighborhood. Two species of the annual plant genus Amsinckia were studied, one a near-complete selfer (Amsinckia gloriosa) and the other a partial outcrosser (Amsinckia douglasiana). Competition experiments were conducted in artificial stands composed of different mixtures of inbred and outbred progeny. The fitnesses of progeny were found to be significantly influenced by the composition of the competing neighborhood. The fitness of target plants, however, did not vary monotonically with the frequency of inbred plants in the neighborhood. Rather, for A. gloriosa, maximum performance was observed when there was an intermediate frequency of inbred neighbors. For A. douglasiana, the opposite pattern was found. The results suggest that competition among progeny has the potential to play a role in the selection of self-fertilization and possibly in the maintenance of mixed mating systems.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0742323137,SCOPUS_ID:0742323137,2-s2.0-0742323137,Fitness Components versus Total Demographic Effects: Evaluating Herbivore Impacts on a Perennial Herb,Ehrlén J.,American Naturalist,00030147,162,6,796-810,2003-12-01,December 2003,10.1086/379350,89,14737716,Journal,ar,Article,100,1,1,Damage manipulation | Demography | Life-cycle approach | Matrix models | Mollusks | Plant fitness | Population growth rate,12604,undefined,0,FALSE,NA,NA,5,"I examined the long-term effects of cryptic mollusk herbivory on seven fitness components in the perennial herb Lathyrus vernus and also calculated measures of total fitness effects. Natural correlations and experimental exclusion of mollusks showed that herbivory is associated with an increased probability of dying or staying dormant, poorer growth, and a lower probability of flowering. The average yearly reduction in population growth rate (λ) caused by mollusks in the experiment was 0.14. The largest contribution to this decrease in total fitness occurred through a decreased survival of established plants. In contrast, seedling emergence and probability of flowering were the fitness components that were most affected in terms of relative change. The more important a life-cycle transition was for population growth rate in terms of its elasticity, the less it was affected by herbivore damage. These results suggest that simple analyses of the magnitudes of effects on individual components of plant performance are poor predictors of the magnitude of total fitness effects and tolerance to herbivory. This is because total fitness is differently sensitive to different phases of the life cycle and because plants strive to maintain the functions most important to fitness.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0742323123,SCOPUS_ID:0742323123,2-s2.0-0742323123,Reproduction: The Adaptive Significance of Endothermy,Farmer C.,American Naturalist,00030147,162,6,826-840,2003-12-01,December 2003,10.1086/380922,62,14737720,Journal,ar,Article,100,1,1,Aerobic capacity | Endothermy | Growth rate | Incubation | Parental care | Reproduction,12604,undefined,0,FALSE,NA,NA,6,"The adaptive significance of endothermy is a fascinating question to many biologists interested in vertebrate evolution. Traditionally, the selective factors leading to the evolution of endothermy have primarily been related to locomotor performance, while the energy used for thermogenesis has been viewed as energy that otherwise could have been allocated to growth and reproduction (Bennett and Ruben 1979). In marked contrast, the reproductive hypothesis proposes that the primary benefits of endothermy are reproductive (occurring to growing embryos and juveniles), while thermogenesis represents an increase in the rate and amount of energy invested into reproduction. Thermogenesis is suggested to have functioned to speed and facilitate development and growth of embryos and juveniles. Both thermogenesis and parental feeding of young greatly expanded the energetic needs of the archosaurian and synapsid lineages. It is this expanded energetic investment into reproduction that may have represented the original basis for subsequent selection of individuals with expanded aerobic activity capacities. Thus, great aerobic capacity may correlate broadly with tetrapod endothermy because both traits are adaptations arising from reproductive selective pressures. A strong line of evidence supportive of the reproductive hypothesis is the convergent evolution of thermogenesis as an adaptation for reproduction in multiple lineages of insects, multiple lineages of plants, protists, and reptiles.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0742305470,SCOPUS_ID:0742305470,2-s2.0-0742305470,Inferring Process from Pattern in Plant Invasions: A Semimechanistic Model Incorporating Propagule Pressure and Environmental Factors,Rouget M.,American Naturalist,00030147,162,6,713-724,2003-12-01,December 2003,10.1086/379204,259,14737709,Journal,ar,Article,100,2,2,Determinants of spread | Exotic species | Invasion barriers | Mass effect | Plant-environment interactions | Tree invasions,12604,undefined,0,FALSE,all,All Open Access,7,"Propagule pressure is intuitively a key factor in biological invasions: increased availability of propagules increases the chances of establishment, persistence, naturalization, and invasion. The role of propagule pressure relative to disturbance and various environmental factors is, however, difficult to quantify. We explored the relative importance of factors driving invasions using detailed data on the distribution and percentage cover of alien tree species on South Africa's Agulhas Plain (2,160 km2). Classification trees based on geology, climate, land use, and topography adequately explained distribution but not abundance (canopy cover) of three widespread invasive species (Acacia cyclops, Acacia saligna, and Pinus pinaster). A semimechanistic model was then developed to quantify the roles of propagule pressure and environmental heterogeneity in structuring invasion patterns. The intensity of propagule pressure (approximated by the distance from putative invasion foci) was a much better predictor of canopy cover than any environmental factor that was considered. The influence of environmental factors was then assessed on the residuals of the first model to determine how propagule pressure interacts with environmental factors. The mediating effect of environmental factors was species specific. Models combining propagule pressure and environmental factors successfully predicted more than 70% of the variation in canopy cover for each species.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0742305452,SCOPUS_ID:0742305452,2-s2.0-0742305452,Asymmetric Mandibles of Water-Scavenger Larvae Improve Feeding Effectiveness on Right-Handed Snails,Inoda T.,American Naturalist,00030147,162,6,811-814,2003-12-01,December 2003,10.1086/378903,37,14737717,Journal,ar,Article,100,3,3,Directional asymmetry | Hydrophilus larvae | Mandible asymmetry | Predator-prey relationship | Snail shell chirality,12604,undefined,0,FALSE,NA,NA,8,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0742305451,SCOPUS_ID:0742305451,2-s2.0-0742305451,Is Parental Care the Key to Understanding Endothermy in Birds and Mammals?,Angilletta M.J.,American Naturalist,00030147,162,6,821-825,2003-12-01,December 2003,10.1086/380921,30,14737719,Journal,ar,Article,100,2,2,Embryos | Endothermy | Parental care | Standard metabolic rate | Thermogenesis,12604,undefined,0,FALSE,NA,NA,9,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0742288188,SCOPUS_ID:0742288188,2-s2.0-0742288188,The Effects of Enrichment on the Dynamics of Apparent Competitive Interactions in Stage-Structured Systems,Bonsall M.,American Naturalist,00030147,162,6,780-795,2003-12-01,December 2003,10.1086/379203,20,14737715,Journal,ar,Article,100,2,2,Age structure | Coexistence | Equivalence | Indirect interactions | Invasion | Predator-prey dynamics,12604,undefined,0,FALSE,NA,NA,10,"In the absence of other limiting factors, assemblages in which species share a common, effective natural enemy are not expected to persist. Although a variety of mechanisms have been postulated to explain the coexistence of species that share natural enemies, the role of productivity gradients has not been explored in detail. Here, we examine how enrichment can affect the outcome of apparent competition. We develop a structured resource/consumer/ natural enemy model in which the prey are exposed to attacks during a vulnerable life phase, the length of which depends on resource availability. With a single prey species, the model exhibits the ""paradox of enrichment,"" with unstable dynamics at high levels of resource productivity. We extend this model to consider two prey species linked by a shared predator, each with their own distinct resource base. We derive invasion and stability conditions and examine how enrichment influences prey species exclusion and coexistence. Contrary to expectations from simpler, prey-dependent models, apparent competition is not necessarily strong at high productivity, and prey species coexistence may thus be more likely in enriched environments. Further, the coexistence of apparent competitors may be facilitated by unstable dynamics. These results contrast with the standard theory that apparent competition in productive environments leads to nonpersistent interactions and that coexistence of multi-species interactions is more likely under equilibrial conditions.",NA,NA
