@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0033402873,SCOPUS_ID:0033402873,2-s2.0-0033402873,Complex life cycles in a variable environment: Predicting when the timing of metamorphosis shifts from resource dependent to developmentally fixed,Hentschel B.T.,American Naturalist,00030147,154,5,549-558,1999-12-01,1999,10.1086/303263,"To test models of the timing of and size at metamorphosis, researchers manipulate food at several times during the larval phase of an animal's complex life cycle. Data from diverse taxa show that the age at metamorphosis becomes resource independent (i.e., fixed) at some point during the larval phase. Although existing models have been modified to incorporate a fixed rate of development, none predicts when phenotypic plasticity in metamorphic timing is lost. A graphical model is presented that extends knowledge of a genotype's optimal age and size at metamorphosis in different environments in which resources remain constant throughout the larval phase (i.e., the genotype's reaction norm) to predict when development rate becomes fixed in response to resource variability during the larval phase. Model predictions concur with data from food-switching experiments on anuran tadpoles and barnacle nauplii. As interest in the timing of and size at metamorphosis expands from well-studied taxa (e.g., amphibians) to the many others that have complex life cycles, the predictive model provides a useful tool to design and improve experiments.",52,Journal,ar,Article,100,1,1,Complex life cycle | Metamorphosis | Phenotypic plasticity | Resource variability | Wilbur-Collins model,12604,undefined,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033402871,SCOPUS_ID:0033402871,2-s2.0-0033402871,Task partitioning in insect societies. II. Use of queueing delay information in recruitment,Ratnieks F.,American Naturalist,00030147,154,5,536-548,1999-12-01,1999,10.1086/303256,"The collection and handling of colony resources such as food, water, and nest-construction material is often divided into subtasks in which the material is passed from one worker to another. This is known as task partitioning. If tasks are partitioned with direct transfer of material between foragers and receivers, queueing delays can occur as individuals search or wait for a transfer partner. Changes in environmental conditions and relative number of foragers and receivers affect these delays as well as colony ergonomic efficiency. These delays are used in recruitment in both honeybees and Polybia wasps. This study investigates the distribution of queueing delays and the information content and quality of those delays using a stochastic-simulation model. Information quality increases with colony size. When the relative proportions of foragers and receivers are suboptimal, the group in excess has better information. Individuals can increase information quality of delays by two mechanisms: averaging over consecutive trips and averaging over multiple transfers within a trip where direct transfer occurs. We suggest that multiple transfer occurs in the honeybee in order to improve information quality.",53,Journal,ar,Article,100,2,2,Ergonomics | Honeybee | Information | Queueing delays | Social insects | Task partitioning,12604,undefined,0,FALSE,2,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0033402506,SCOPUS_ID:0033402506,2-s2.0-0033402506,Seed dispersal as a maternally influenced character: Mechanistic basis of maternal effects and selection on maternal characters in an annual plant,Donohue K.,American Naturalist,00030147,154,6,674-689,1999-12-01,1999,10.1086/303273,"Maternal influences on progeny characters affect phenotypic correlations between characters expressed in maternal and progeny generations and consequently influence evolutionary responses to selection. Net selection on maternally influenced characters depends on selection both on the progeny character and on the maternal characters that influence it. I used seed dispersal in Cakile edentula as a system in which to identify the mechanisms of environmentally mediated maternal effects and to determine how selection on maternal characters alters the adaptive value of dispersal. In C. edentula, maternal morphology responds to conspecific density experienced by the mother. Maternal morphology in turn affects offspring (seed) dispersal and density and thereby offspring morphology and fitness. I estimated the magnitude of density-mediated maternal effects on dispersal and identified their mechanism by characterizing the plasticity of maternal morphology to density. I also measured density-dependent selection on maternal characters that influence dispersal. Maternal plasticity to density was caused by both allometric and nonallometric variation in morphology, and this plasticity resulted in a negative correlation between maternal and progeny density. Such negative maternal effects are expected to retard responses to selection. Maternal morphology influenced maternal fitness, in part through the relationship of fitness to maternal plant size and in part through size-independent fitness effects. Maternal phenotypes that promote dispersal, and thereby increase progeny fitness, were associated with decreased maternal fitness. Selection on dispersal at the level of progeny favors increased dispersal; maternal influences on dispersal, however, not only cause a greatly reduced adaptive value of dispersal but lead to the prediction of a slower response to selection.",73,Journal,ar,Article,100,1,1,Dispersal | Maternal effects | Maternal environmental effects | Phenotypic selection | Plasticity | Seed dispersal,12604,undefined,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033401096,SCOPUS_ID:0033401096,2-s2.0-0033401096,Courtship disruptions and male mating strategies: Examples from female-defense mating systems,Webster M.,American Naturalist,00030147,154,6,717-729,1999-12-01,1999,10.1086/303267,"Males frequently interrupt the copulation attempts of other males, and these courtship disruptions may limit the extent to which a few males are able to monopolize mating access to females. Males actively defend sexually receptive females in many species in which females form dense aggregations during the breeding season. Across and within such species there is considerable variation in the mating tactics adopted by males, with males in some cases defending groups of females and in other cases sequentially consorting with individual females. Colonial blackbirds have been central to studying this mating system, and we develop a conceptual model for how courtship disruption may account for variation in male mating tactics in this group. Our model assumes that the frequency of disruptions increases with greater colony size. As a consequence, successful copulations are less likely to occur at large colonies than at small colonies, and males are expected to switch from defending multiple females at the colony to consorting individual females away from it. Results from two species of blackbird support the basic assumptions of this model. In one species, the Montezuma oropendola, disruptions occur rarely and males defend groups of females, whereas in the other species, the yellow-rumped cacique, disruptions are frequent and males defend single females. Moreover, consistent with a key prediction, within each species, males associated with small colonies remain at the colony and defend groups of females, whereas males spend little time defending groups of females at large colonies and rarely attempt copulations there. This model has the potential to explain variation in male mating strategies and female monopolization for other taxa in which females form breeding aggregations.",14,Journal,ar,Article,100,2,2,Copulation disruptions | Female-defense polygyny | Icteridae | Mating strategies,12604,undefined,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033396955,SCOPUS_ID:0033396955,2-s2.0-0033396955,What do experimental studies tell us about group selection in nature?,Getty T.,American Naturalist,00030147,154,5,596-598,1999-12-01,1999,10.1086/303257,NA,5,Journal,no,Note,100,1,1,Evolution | Group selection | Multilevel selection | Shifting balance,12604,undefined,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033396741,SCOPUS_ID:0033396741,2-s2.0-0033396741,Design and interpretation of experimental studies of interdemic selection: A reply to getty,Wade M.,American Naturalist,00030147,154,5,599-603,1999-12-01,1999,10.1086/303259,NA,11,Journal,no,Note,100,3,3,Flour beetles | Group-selection | Hard selection | Interdemic selection | Kin selection,12604,undefined,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033392006,SCOPUS_ID:0033392006,2-s2.0-0033392006,To grow or to reproduce? The role of life-history plasticity in food web dynamics,Chase J.,American Naturalist,00030147,154,5,571-586,1999-12-01,1999,10.1086/303261,"The size of an individual is a key feature influencing and determined by a species' life history and ecology. Here, I consider how life-history plasticity within a single species can influence the outcome of food web interactions along a productivity gradient. An individual can either reproduce early but remain susceptible to predators throughout its life (strategy 1) or delay reproduction and grow to a predator-invulnerable size refuge (strategy 2). At low productivity, strategy 1 is favored because the probability of growing to a size refuge is low compared to the probability of being eaten. Here, the system is consumer controlled, and predators have large effects on the food web. At high productivity, strategy 2 is favored because high food availability increases the probability of prey attaining size refuge before being eaten. Consequently, the system becomes less consumer controlled, and predators have weaker effects on food web dynamics. At intermediate productivity, either strategy 1 or strategy 2 can be favored, depending on the initial conditions of the system. Field and laboratory experiments with a common freshwater snail Helisoma trivolis and its insect predator Belostoma flumineum support both the key assumptions and predictions of the models.",84,Journal,ar,Article,100,1,1,Alternative equilibria | Food webs | Life-history plasticity | Size refugia | Snails,12604,undefined,0,FALSE,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033391865,SCOPUS_ID:0033391865,2-s2.0-0033391865,Task partitioning in insect societies. I. Effect of colony size on queueing delay and colony ergonomic efficiency,Anderson C.,American Naturalist,00030147,154,5,521-535,1999-12-01,1999,10.1086/303255,"The collection and handling of colony resources such as food, water, and nest construction material is often divided into subtasks in which the material is passed from one worker to another. This is known as task partitioning. When material is transferred directly from one individual to another, queueing delays frequently occur because individuals must sometimes wait for a transfer partner. A stochastic simulation model was written to study the effect of colony size on these delays. Queueing delay decreases roughly exponentially with colony size because stochastic fluctuations in the arrival of individuals are lower in larger colonies. These results support empirical studies of Polybia occidentalis and other theoretical studies of honeybees. The effect of the relative number of individuals in the two subtask groups was also studied. There is a unique optimal ratio of the number of workers associated with each of the subtasks that simultaneously minimizes mean queueing delay and maximizes colony nectar-processing rate. Deviations from this optimal ratio, for example, as a result of forager mortality or changes in nectar productivity that affect foraging trip duration, increase mean queueing delays greatly, especially in smaller colonies.",110,Journal,ar,Article,100,2,2,Colony size | Ergonomics | Honeybee | Queueing delays | Social insects | Task partitioning,12604,undefined,0,FALSE,8,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0033386537,SCOPUS_ID:0033386537,2-s2.0-0033386537,The balance of terror: An alternative mechanism for competitive trade-offs and its implications for invading species,Adler F.,American Naturalist,00030147,154,5,497-509,1999-12-01,1999,10.1086/303258,"This article uses models to propose an explanation for three observations in community ecology: the apparent overreaction of prey to attack by specialist predators, the existence of a common trade-off among components of competitive ability in communities of unrelated competitors, and the ability of invading species to break the native trade-off. Strategies that increase resource collection ability are assumed to increase vulnerability to attack by specialist consumers according to a vulnerability function. If competitors compete for a common resource and share the same form of the vulnerability function, then they are favored to converge on the same evolutionarily stable level of competitiveness or trade-off curve even if the parameters describing their specialized consumers differ. The position of the common strategy or trade-off curve depends on the whole guild, with more speciose guilds tending to favor higher levels of competitiveness. Invaders can break the native trade-off if they come from a guild with a higher trade-off curve, an effect possibly enhanced evolutionarily by escape from specialist consumers.",25,Journal,ar,Article,100,1,1,Competition | Defense | Invading species | Trade-offs,12604,undefined,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033385627,SCOPUS_ID:0033385627,2-s2.0-0033385627,On an early result on stability and complexity,Solow A.R.,American Naturalist,00030147,154,5,587-588,1999-12-01,1999,10.1086/303265,NA,16,Journal,no,Note,100,3,3,Compartmentalization | Connectance | Food webs | Stability probability,12604,undefined,0,FALSE,10,NA,NA
