@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,entry_number,dc:description,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/84989959552,SCOPUS_ID:84989959552,2-s2.0-84989959552,Gene diversity in hymenoptera,Graur D.,Evolution,00143820,15585646,39,1,190-199,1985-01-01,1985,10.2307/2408528,175,Journal,no,Note,100,1,1,22104,NSF,BSF-8315115,National Science Foundation,0,FALSE,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022249681,SCOPUS_ID:0022249681,2-s2.0-0022249681,Large mammals are genetically less variable?,Wooten M.C.,Evolution,00143820,NA,39,1,210-212,1985-01-01,1985,10.1111/j.1558-5646.1985.tb04095.x,57,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,1,TRUE,2,"Examine the relationship between body size and genetic variability (heterozygosity) in mammals. To test the hypothesis, data were extracted from the available electrophoretic literature using studies that contained estimates of mammalian heterozygosity and that involved 13 or more loci. Finds suggest that we may need to examine the relationships within families or at a lower level of biological organization (population?) to understand the relevance of available data.-from Authors",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022249642,SCOPUS_ID:0022249642,2-s2.0-0022249642,"Extensive chromosomal divergence within a single river basin in the goodeid fish, Llyodon furcidens.",Turner B.J.,Evolution,00143820,NA,39,1,122-134,1985-01-01,1985,10.1111/j.1558-5646.1985.tb04085.x,25,Journal,ar,Article,100,4,4,22104,NA,undefined,NA,1,TRUE,3,"Extensive variation in the number of metacentric chromosomes exists among populations of the viviparous Ilyodon furcidens in the Rio Coahuayana basin of south central Mexico. Data suggest that the chromosome rearrangements, even in multiple form, do not function as significant isolating mechanisms. Chromosomal evolution in Ilyodon, though quite marked, has apparently not fostered speciation. -from Authors",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022246189,SCOPUS_ID:0022246189,2-s2.0-0022246189,Latitudinal cline in Drosophila melanogaster for knockdown resistance to ethanol fumes and for rates of response to selection for further resistance.,Cohan F.M.,Evolution,00143820,NA,39,2,278-293,1985-01-01,1985,10.1111/j.1558-5646.1985.tb05666.x,55,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,0,FALSE,4,"A sample of 9 west coast populations of Drosophila melanogaster showed a significant trend toward higher knockdown resistance in more northern populations. A population's level of knockdown resistance was virtually uncorrelated with its alcohol dehydrogenase (Adh) allele frequencies. The pattern of change of Adh frequencies over the course of selection was very inconsistent, both among and within populations. Adh frequency changes could not have had much effect on the responses of the selected lines.-from Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022245279,SCOPUS_ID:0022245279,2-s2.0-0022245279,The evolution of self-fertilization and inbreeding depression in plants. II. Empirical observations.,Schemske D.W.,Evolution,00143820,NA,39,1,41-52,1985-01-01,1985,10.1111/j.1558-5646.1985.tb04078.x,451,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,1,TRUE,5,"A bimodal distribution of outcrossing rates was observed for natural plant populations, with more primarily selfing and primarily outcrossing species, and fewer species with intermediate outcrossing rate than expected by chance. This distrbution is argued to result from selection for the maintenance of outcrossing in historically large, outcrossing populations with substantial inbreeding depression, and from selection for selfing when increased inbreeding, due to pollinator failure or population bottlenecks, reduces the level of inbreeding depression. Few species or populations are fixed at complete selfing or complete outcrossing. A low level of selfing in primarily outcrossing species is unlikely to be selectively advantageous, but will not reduce inbreeding depression to the level where selfing is selectively favored particularly if accompanied by reproductive compensation. Similarly, occasional outcrossing in primarily selfing species is unlikely to regularly provide sufficient heterosis to maintain selection for outcrossing through individual selection. Genetic, morphological and ecological constraints may limit the potential for outcrossing rates in selfers to be reduced below some minimum level. -Authors",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022241379,SCOPUS_ID:0022241379,2-s2.0-0022241379,A theory of faunal buildup for competition communities.,Rummel J.D.,Evolution,00143820,NA,39,5,1009-1033,1985-01-01,1985,10.1111/j.1558-5646.1985.tb00444.x,74,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,0,FALSE,6,"Invasion-structured communities have more species than do coevolution-structured communities assembled using the same resource distribution. Species in invasion-structured communities are tightly packed, occupying the upper portion of the resource axis; species in coevolution-structured communities are more widely spaced, and most are located in the lower portion of the resource axis. As a consequence, coevolution-structured commmunities tend to be more stable than comparable invasion-structured communities, but more open to invasion. Both invasion-structured and coevolution-structured communities have niche separations that are significantly different than would be expected if species were assorted at random. Two-species communities formed by the invasion-only algorithm under asymmetric competition had the majority of their niche separations in the range 0-0.5. All other communities had niche separations greater than expected. The most common separations were in the range 1.0-3.5. Thus, while not a common feature of many communities, niche-separation patterns similar to those described by Hutchinson (1959) appear as an 'ensemble' property of many communities. The faunal-buildup graphs formed by the coevolutionary algorithm differ from those formed by the invasion-only algorithm, showing community cycling whenever asymmetric competition is present. Through this cycling behavior the coevolutionary faunal-buildup algorithm provides both a theoretical basis for Wilson's (1959) taxon cycle and a hypothesis explaining the distribution of Anolis lizards in the Lesser Antilles. -Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022237237,SCOPUS_ID:0022237237,2-s2.0-0022237237,Selection among 'species': a formulation in terms of natural functional units.,Damuth J.,Evolution,00143820,NA,39,5,1132-1146,1985-01-01,1985,10.1111/j.1558-5646.1985.tb00453.x,56,Journal,ar,Article,100,1,1,22104,NA,undefined,NA,1,TRUE,7,"The unit that directly evolves under the action of higher-level natural selection 'among species' must be higher-level analogue of the population. Contrary to present formulations of 'species selection', clades (or other higher taxa) do not fulfil the basic structural and dynamic criteria to be so considered. Clades are not localized, their members do not share an environment, and they cannot be said to respond to local selective regimes. Traditional species selection does not provide a causal mechanism for evolutionary change in terms of the interaction of the units of selection with a shared environment in the way that conventional organismic selection does; as used by some authors, species selection is a purely descriptive term. Communities do fulfil the criteria required by a theory of natural selection. Within communities, selection is among the populations of different species that make up the community, here termed 'avatars' of those species. Avatars are the closest analogues of individual organisms in traditional selection theory. Just as populations evolve by organismic selection, communities evolve by avatar selection, and more inclusive units, the higher-level analogues of the species, evolve as their component communities do. This formulation of higher-level selection reveals a congruence with processes at the lower, organism-based level and suggests the most profitable direction to be taken in attempts at formal extension of selection theory. -Author",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022236684,SCOPUS_ID:0022236684,2-s2.0-0022236684,The evolution of self-fertilization and inbreeding depression in plants. I. Genetic models.,Lande R.,Evolution,00143820,NA,39,1,24-40,1985-01-01,1985,10.1111/j.1558-5646.1985.tb04077.x,1197,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,1,TRUE,8,"The amounts of inbreeding depression upon selfing and of heterosis upon outcrossing determine the strength of selection on the selfing rate in a population when this evolves polygenically by small steps. Genetic models are constructed which allow inbreeding depression to change with the mean selfing rate in a population by incorporating both mutation to recessive and partially dominant lethal and sublethal alleles at many loci and mutation in quantitative characters under stablizing selection. The models help to explain observations of high inbreeding depression (>50%) upon selfing in primarily outcrossing populations, as well as considerable heterosis upon outcrossing in primarily selfing populations. Predominant selfing and predominant outcrossing are alternative stable states of the mating system in most plant populations. Which of these stable states a species approaches depends on the history of its population structure and the magnitude of effect of genes influencing the selfing rate. -Authors",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022236181,SCOPUS_ID:0022236181,2-s2.0-0022236181,Factors determining a clutch size reduction in California gulls ( Larus californicus): a multi-hypothesis approach.,Winkler D.W.,Evolution,00143820,NA,39,3,667-677,1985-01-01,1985,10.1111/j.1558-5646.1985.tb00403.x,24,Journal,ar,Article,100,1,1,22104,NA,undefined,NA,1,TRUE,9,"Compared the breeding biologies of California gulls at Mono Lake and at Great Salt Lake, Utah, testing hypotheses to explain clutch size reduction: age structure, egg predation, bet-hedging, effort reallocation, most productive brood size, parental mortality, and pre-egg food limitation. The pre-egg food limitation hypothesis is best able to explain the clutch size reduction (modal size 2 rather than 3) at Mono Lake, although egg-removal experiments show that the resource limitation is relative and not absolute. Clutch size variation at each site need not be viewed as the result of fine-scaled evolutionary adjustment, although the general clutch size decision machinery is presumably molded by selection.-from Author",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022232258,SCOPUS_ID:0022232258,2-s2.0-0022232258,The colonization of Drosophila subobscura in Chile. II. Clines in the chromosomal arrangements.,Prevosti A.,Evolution,00143820,NA,39,4,838-844,1985-01-01,1985,10.1111/j.1558-5646.1985.tb00425.x,69,Journal,ar,Article,100,7,7,22104,NA,undefined,NA,1,TRUE,10,"Drosophila subobscura is a Palearctic species that was first detected in the New World in Puerto Montt (Chile) in February 1978. Since that time, it has spread over a broad area and increased in population density. The South American populations exhibit a high level of chromosomal polymorphism: 20 different arrangements exist, distributed among 5 chromosomes. Chromosomal arrangement heterozygosity varies from 0.55-0.61 in the 9 populations examined. Incipient clines in the frequencies of the arrangements are appearing, following the same latitudinal direction as in the Old World. Wing length significantly decreases with latitude. With outcomes that duplicate the distributional patterns-in chromosomal polymorphism and in wing length-observed in the Old World, data strongly support the adaptive significance of these patterns.-from Authors",all,All Open Access
