@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,fund-acr,fund-sponsor,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0030480246,SCOPUS_ID:0030480246,2-s2.0-0030480246,Fog interception in montane forests across the Central Cordillera of Panama,Cavelier J.,Journal of Tropical Ecology,02664674,12,3,357-369,1996-01-01,May 1996,10.1017/S026646740000955X,"Fog interception and rainfall were measured at 14 stations across the Central Cordillera in western Panama. Fog interception and rainfall were measured monthly during 1988-1989 with artificial fog catchers and rain gauges, respectively. Fog interception was highest on ridges and increased with increasing altitude. Fog interception contributed between 2.4 and 60.6% of the total water input, depending on altitude and exposure to the prevailing winds. Absolute amounts of annual fog interception ranged from 142 to 2295 mm. Although low clouds were more frequent in montane forests, clouds close to the ground also occurred in the lowlands. During the study period, there was a gradient of increasing total rainfall from the Caribbean (3355 mm) to the Pacific side (5759 mm) of the Central Cordillera. Nevertheless, rainfall was more seasonal on the leeward side of the mountain range. Seasonal variation in fog intereption was different from rainfall patterns and no correlation was found between monthly (or annual) rainfall and fog interception. The results of this study showed the importance of montane forests for the preservation of water sources, particularly along ridges of the Fortuna drainage basin that provides more than 50% of the electricity of the Republic of Panama.",92,Journal,ar,Article,100,3,3,Fog | Fog interception | Montane forests | Panamá | Rainfall | Tropical montane cloud forest,23435,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030473432,SCOPUS_ID:0030473432,2-s2.0-0030473432,Energy allocation patterns in Bufo marinus from two habitats in Venezuela,Lampo M.,Journal of Tropical Ecology,02664674,12,3,321-331,1996-01-01,May 1996,10.1017/S0266467400009500,"Patterns of energy allocation in the cane toad, Bufo marinus, were explored by analysing the seasonal variations in fat bodies and gonads in two populations subjected to different rainfall regimes and water permanency. In both populations, fat deposition occurred shortly after the rainy season due to an increase in feeding activity. In contrast, the timing of reproduction varied between sites according to the availability of suitable water bodies. Nevertheless, females with mature oocytes were predominant during the dry season, even in populations that bred throughout the year in permanent ponds. This suggests that seasonal variations in the nutritional condition of adults may also result in a tendency towards cyclicity in the reproduction of B. marinus in tropical regions. Analyses of allometric relationships of reproductive and storage tissues with body weights indicated that the fractions of weights in reproductive tissues did not vary either with the size of females or between populations. On the contrary, not only did larger toads have proportionally larger fat bodies, but those from wet sites had greater fractions of weight allocated to fat bodies than those from dry sites. This suggests that reproductive output may be fixed in this species and, therefore, excess energy is allocated to fat bodies. Given that the initiation of ovarian cycles depends on the restoration of proper nutritional levels, energy stored in fat bodies during breeding may allow females to resume a new ovarian cycle shortly after spawning and thus maximize the number of reproductive events.",14,Journal,ar,Article,100,2,2,Bufo marinus | Fat deposition | Gonad development | Life-history traits | Tropical anurans,23435,undefined,0,FALSE,2,CSIRO,Commonwealth Scientific and Industrial Research Organisation,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030472863,SCOPUS_ID:0030472863,2-s2.0-0030472863,Drought frequency changes in Sabah and adjacent parts of northern Borneo since the late nineteenth century and possible implications for tropical rain forest dynamics,Walsh R.,Journal of Tropical Ecology,02664674,12,3,385-407,1996-01-01,May 1996,10.1017/S0266467400009585,"Archival rainfall data are used to investigate changes in drought frequency and severity in Sabah and other parts of northern Borneo since the late nineteenth century. Two measures of drought severity are used: drought duration (given by the number of consecutive months with less than 100 mm rain); and drought intensity (indexed by the cumulative rainfall deficit below 100 mm per month of a drought sequence). Within northern Borneo dry periods are very short (<3 months) and infrequent in Sarawak, south-western Sabah, Brunei and central and western Kalimantan; droughts occur seasonally, but are comparatively short in north-western Sabah; droughts are less frequent, but more severe in eastern Sabah and parts of eastern Kalimantan. In coastal Sabah and Brunei, there has been a statistically significant increase in the frequency and severity of droughts since the late 1960s. At Sandakan, two drought-prone epochs in 1877-1915 and 1968-92 (each experiencing five droughts of at least 4 months duration) are identified, separated by a 52-year period that was nearly drought-free. At Sandakan also, the ecologically damaging 1982-3 drought was neither as long or severe as those of 1903 and 1915. Links with El Niño-Southern Oscillation events are found to be not as strong as previous studies have suggested. Possible implications of the spatial and temporal patterns in drought magnitude-frequency for differences in tropical rain forest character within the region are discussed.",100,Journal,ar,Article,100,1,1,Borneo | Climatic change | Drought | Extreme events | Fire | Tropical rain forest,23435,undefined,0,FALSE,3,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030472231,SCOPUS_ID:0030472231,2-s2.0-0030472231,"Protecting seeds from primates: examples from Diospyros spp. in the Lope Reserve, Gabon",Tutin C.,Journal of Tropical Ecology,02664674,12,3,371-384,1996-01-01,1996,10.1017/S0266467400009573,"The fruit of six species of Diospyros (Ebenaceae) provide food for eight species of diurnal primates in the Lope Reserve, Gabon. D. mannii fruit are unusual, being covered by a dense mat of irritant hairs that are largely retained, but become looser on ripening, when fruit are abscissed. Ripe flesh (and ripe seeds) of D. mannii are eaten by gorillas Gorilla gorilla gorilla and chimpanzees Pan troglodytes troglodytes but not by monkeys. Comparison of fruit characters and of feeding patterns of primates for the six Diospyros species suggests that large seeds are potentially vulnerable to high levels of predation but the presence of irritant hairs provides protection during fruit development. Abscission of ripe fruit (shown only by D. mannii) appears to afford additional protection from predation on ripe seeds by arboreal monkeys.",14,Journal,ar,Article,100,3,3,NA,23435,undefined,0,FALSE,4,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030462966,SCOPUS_ID:0030462966,2-s2.0-0030462966,"Structure, dynamics, home range and activity pattern of mixed-species bird flocks in a montane alder-dominated secondary forest in Ecuador",Poulsen B.O.,Journal of Tropical Ecology,02664674,12,3,333-343,1996-01-01,May 1996,10.1017/S0266467400009524,"Two mixed-species bird flocks were studied in a high-altitude humid secondary forest in the Andes of Ecuador. Birds were mist-netted and colour-ringed for individual identification. The flocks (A and B) were followed to record structure, dynamics, home range and activity pattern. All observations of the two flocks studied included members from all vertical levels, which is different from flocks of Amazonia. In two nucleus species, some individuals alternated between the flocks a feature not previously reported. Various tanagers were loosely associated, joining and leaving flocks. Minimum home-range sizes of flocks A and B were 4.2 ha and 7.8 ha, respectively. Some individuals of two species used an area encompassing the home ranges of both flocks. Mean flock sizes in A and B were 21.7 and 44.7 individuals, whereas the mean numbers of species were 13.7 and 21.7, respectively. Number of species and individuals were high compared to even most lowland flocks. Altogether, mixed-species flocks in different habitats and at various latitudinal and altitudinal sites appear to have some features in common, but others are highly distinct. Compared to the great stability of Amazonian flocks, some high-altitude flocks of secondary forest in the Andes appear to be more dynamic and unstable.",26,Journal,ar,Article,100,1,1,Activity pattern | Andes | Dynamics | High altitude | Home range | Mixed-species bird flocks | Stability | Structure,23435,11-9116,0,FALSE,5,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030447856,SCOPUS_ID:0030447856,2-s2.0-0030447856,Pollination of Amorphophallus johnsonii (Araceae) by carrion beetles (Phaeochrous amplus) in a Ghanaian rain forest,Beath D.,Journal of Tropical Ecology,02664674,12,3,409-418,1996-01-01,May 1996,10.1017/S0266467400009603,"Amorphophallus johnsonii (N. E. Brown) flowers during April in the main rainy season in Ghana. Anthesis starts at dusk with fluid oozing from the upper spadix accompanied by a strong aminoid odour. Just after dark large numbers of carrion beetles (Phaeochrous amplus) and occasional dung fly species (Hemigymnochaeta unicolor and Paryphodes tigrinus) vusisit the inflorescences. The beetles become trapped in the lower spathe overnight and remain in the spadix until the following evening. Between 1630 and 1645 h the following day, the anthers produce long threads of sticky pollen. The trapped beetles escape just after dark by crawling up the spadix, past the dehisced anthers and fly away from the spadix tip. Marked beetles were seen to transfer pollen from male phase to female phase inflorescences. Successful fertilisation was only effected if pollen was transferred on the same night from a male inflorescence 30 m or less away. Pollen is psilate and typical of beetle pollinated Araceae. Berries ripen approximately 70 d after fertilization and ripen basisetally in the infructescence.",39,Journal,ar,Article,100,1,1,Amorphophallus johnsonii | Araceae | Carrion beetles | Ghana | Pollination | Rainforest,23435,undefined,0,FALSE,6,NA,University of Illinois at Chicago,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030446277,SCOPUS_ID:0030446277,2-s2.0-0030446277,Dispersal of Acacia seeds by ungulates and ostriches in an African savanna,Miller M.,Journal of Tropical Ecology,02664674,12,3,345-356,1996-01-01,May 1996,10.1017/S0266467400009548,"The dispersal of African Acacia seeds in the presence and absence of large mammalian herbivores and ostriches was assessed in a savanna ecosystem in South Africa. In the absence of large herbivores, A. tortilis and A. nilotica pods were mainly dispersed in the shade, directly beneath the tree crown and seeds remained in pods for over 18 months. In the presence of large herbivores, A. tortilis, A. nilotica and A. karroo seeds were freed from pods and were dispersed into open, non-shaded habitats. Impala dispersed most A. tortilis seeds (18,900 ha-1), giraffe most A. nilotica seeds (1060 ha-1) and giraffe and kudu most A. karroo seeds (452 and 448 ha-1, respectively). Seedling survival in dung in open environments may exceed that of seedlings in soil shaded beneath the tree crown. It appears that seed dispersal by large herbivores may be advantageous to future seedling recruitment.",52,Journal,ar,Article,100,1,1,Acacia seeds | Dispersal | South Africa | Ungulate dung,23435,undefined,0,FALSE,7,NERC,Natural Environment Research Council,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030440837,SCOPUS_ID:0030440837,2-s2.0-0030440837,Changes in light below the canopy of a Jamaican montane rainforest after a hurricane,Bellingham P.J.,Journal of Tropical Ecology,02664674,12,5,699-722,1996-01-01,1996,10.1017/S0266467400009883,Hurricane Gilbert caused disturbance to Jamaican montane rainforests in 1988. This study provides a detailed characterization of landscape-level changes in light below the canopy of these forests after the hurricane. Hemispherical photographs were taken below the forest canopy at four sites at permanent points 1 m above the ground between 7 and 33 mo after the hurricane. For each photograph photosynthetically active radiation (PAR) was computed. PAR declined exponentially in all sites during the period of measurement. During the first 24 mo after the hurricane. PAR beneath the canopy was significantly greater in sites that had been defoliated during the hurricane than in sites where few trees had been defoliated. By 28 mo after the hurricane there was no significant difference in PAR beneath the canopy among the four sites. By 33 mo after the hurricane canopy recovery was nearly complete and PAR was only slightly higher than measurements made before the hurricane. Our results were compared with studies of changes in light environment resulting from treefall gaps and under deciduous canopies. PAR during the first 18 mo after the hurricane was similar to that recorded in small canopy gaps in other forests. Widespread defoliation caused by hurricanes can thus increase PAR beneath the canopy over large areas and consequently opportunities may arise for widespread recruitment of tree species in response to increased light levels.,59,Journal,ar,Article,100,4,4,Defoliation | Hemispherical photographs | Photosynthetically active radiation | Tropical forest,23435,undefined,0,FALSE,8,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030440655,SCOPUS_ID:0030440655,2-s2.0-0030440655,"Effect of habitat and seasonality on the densities of caiman in southern Pantanal, Brazil",Coutinho M.,Journal of Tropical Ecology,02664674,12,5,741-747,1996-01-01,1996,10.1017/S0266467400009950,NA,25,Journal,ar,Article,100,2,2,Aerial survey | Brazil | Caiman crocodilus yacare | Density | Flooding | Pantanal | Season | Temperature | Ultralight | Wetland,23435,undefined,0,FALSE,9,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030439828,SCOPUS_ID:0030439828,2-s2.0-0030439828,Effects of canopy species dominance on understorey light availability in low-elevation secondary forest stands in Costa Rica,Kabakoff R.,Journal of Tropical Ecology,02664674,12,6,779-788,1996-01-01,November 1996,10.1017/S0266467400010038,"The effect of canopy species dominance on understorey light availability in secondary forests was examined for Pentaclethra macroloba and Goethalsia meiantha, two common tree species with contrasting canopy architecture at La Selva Biological Station in the Atlantic lowlands of Costa Rica. In each of six 12- to 16-year-old successional stands dominated by one of these species, relative abundance and basal area of the focal species were determined within a 20 m × 50 m plot. Light availability at 1 m height was measured within each plot using a Licor-2000 Plant Canopy Analyzer at 27 locations and by analysing hemispherical photographs taken at 10 locations. Across stands, mean LAI values were significantly negatively correlated with canopy openness. Understorey microsites beneath Pentaclethra had significantly higher light availability than microsites beneath Goethalsia. Across stands, however, light availability was not correlated with either total basal area or stem density of trees ≥10 cm DBH. These results indicate that basal area and stem density of trees in the upper levels of the forest canopy are poor predictors of light penetration to the understorey One hypothesis suggested here is that dense subcanopy and understorey vegetation in tropical secondary forests can strongly influence understorey light levels. Alternatively, light transmittance characteristics of the upper forest canopy may be influenced by species-specific differences in canopy architecture or foliage density that vary independently from tree diameter and density.",40,Journal,ar,Article,100,2,2,Canopy/understorey interactions | Light availability | Species composition | Tropical secondary forests,23435,DEB-9208031,0,FALSE,10,NSF,National Science Foundation,NA,NA
