@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/84976155851,SCOPUS_ID:84976155851,2-s2.0-84976155851,Movement and spatial distribution of the Nile rat (Arvicanthis niloticus) in Kenya,Delany M.,Journal of Tropical Ecology,02664674,14697831,1,2,111-130,1985-01-01,May 1985,10.1017/S0266467400000183,"The movement and spatial distribution of marked Nile rats. Arvicanthis niloticus, was traced through phases of a low density population from January to August 1981, a rapidly growing population from September to January 1982, and a high and declining post-reproductive population from February to April 1982. Apart from late in the population cycle there was considerable movement, interchange and establishment of new ranges. As the population increased individual ranges became smaller. The rats apparently preferred field edges and did not favour the fields themselves. Females frequently established themselves at certain sites where they produced their litters; some of the offspring remained with the mother in the warren. There is also evidence that ousiders of both sexes joined these warrens. Males were generally more wide-ranging than females. Agricultural practices, e.g. mowing and trampling by cattle, influenced the rats preparedness to remain within a particular location. Exploitation of all the available habitat took several months to achieve. © 1985, Cambridge University Press. All rights reserved.",7,Journal,ar,Article,100,2,2,Arvicanthis | distribution | Kenya | movement,23435,NERC,undefined,Natural Environment Research Council,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84974510164,SCOPUS_ID:84974510164,2-s2.0-84974510164,Total species count in a Costa Rican tropical rain forest,Whitmore T.,Journal of Tropical Ecology,02664674,14697831,1,4,375-378,1985-01-01,November 1985,10.1017/S0266467400000481,NA,46,Journal,ar,Article,100,3,3,Costa Rica | diversity | richness | tropical rain forest,23435,NA,undefined,NA,0,FALSE,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84974489268,SCOPUS_ID:84974489268,2-s2.0-84974489268,Why tropical squirrels carry seeds out of source crowns,Becker P.,Journal of Tropical Ecology,02664674,14697831,1,2,183-186,1985-01-01,May 1985,10.1017/S0266467400000237,NA,17,Journal,ar,Article,100,3,3,Callosciurus | predator avoidance | Ratufa | seed caching | seed dispersal | Southeast Asia | squirrels,23435,NA,undefined,NA,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84974378884,SCOPUS_ID:84974378884,2-s2.0-84974378884,Mangroves: Where's the understory?,Janzen D.,Journal of Tropical Ecology,02664674,14697831,1,1,89-92,1985-01-01,February 1985,10.1017/S0266467400000122,NA,61,Journal,ar,Article,100,1,1,mangrove | understory,23435,NSF,BSR 83-08388,National Science Foundation,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84974326323,SCOPUS_ID:84974326323,2-s2.0-84974326323,Editorial,Marshall A.,Journal of Tropical Ecology,02664674,14697831,1,1,1-3,1985-01-01,February 1985,10.1017/S0266467400000031,NA,0,Journal,ed,Editorial,100,1,1,NA,23435,NA,undefined,NA,1,TRUE,5,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/84974296073,SCOPUS_ID:84974296073,2-s2.0-84974296073,The effects and possible implications of artificial damage on the life-span of Ficus fistulosa leaves,Lam P.,Journal of Tropical Ecology,02664674,14697831,1,2,187-190,1985-01-01,May 1985,10.1017/S0266467400000249,NA,5,Journal,ar,Article,100,2,2,defoliation | Ficus | herbivory | Hong Kong | leaf life-span,23435,HKU,undefined,University of Hong Kong,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84974286226,SCOPUS_ID:84974286226,2-s2.0-84974286226,Seed dispersal by kangaroos and their relatives,Clifford H.T.,Journal of Tropical Ecology,02664674,14697831,1,4,373-374,1985-01-01,November 1985,10.1017/S026646740000047X,NA,4,Journal,ar,Article,100,2,2,kangaroos | seed dispersal,23435,NA,undefined,NA,0,FALSE,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84972295889,SCOPUS_ID:84972295889,2-s2.0-84972295889,The rain forest club,NA,Journal of Tropical Ecology,02664674,14697831,1,4,352,1985-01-01,November 1985,10.1017/S0266467400000444,NA,0,Journal,ar,Article,100,0,NA,NA,23435,NA,undefined,NA,0,FALSE,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022886251,SCOPUS_ID:0022886251,2-s2.0-0022886251,Selection of second-growth woodlands by frugivorous migrating birds in Panama: An effect of fruit size and plant density?,Martin T.E.,Journal of Tropical Ecology,02664674,14697831,1,2,157-170,1985-01-01,May 1985,10.1017/S0266467400000213,"I provide evidence that migrating birds concentrate in tropical second-growth woodlands due, in part, to a greater abundance of small fruits. Migrant birds markedly increased in abundance during spring migration in late March in a young (approximately 25 years old) second-growth woodland in Panama. Migrant abundance and diversity was greater at mist-net level on the second-growth site than in nearby old forest. Diversity of canopy migrants also was greater in the young woodland than in an old second-growth forest. Thus, many migrant species appear to select young second-growth during spring migration in central Panama. Degree of frugivory by many migrant species was greater during migration than earlier in the dry season. Most migrants selecting the second-growth site were highly frugivorous and migrants accounted for most of the visits to common fruit species, but use of fruit trees appeared to be influenced by fruit size relative to gape width. Most migrants have mouths that are better suited to eating the small fruits predominating in young forest than the larger fruits characteristic of old forest. Abundances of bird-dispersed fruit plants and, particularly, those fruit species known to be eaten by migrants were greater in young than in old forest. The high food demands of migrating birds added to the high degree of frugivory of most migrants selecting second-growth forest suggests that the abundance of small fruits in second-growth may be a strong cause for habitat selection during migration. © 1985, Cambridge University Press. All rights reserved.",51,Journal,ar,Article,100,1,1,frugivory | habitat selection | migrant birds | Panama | spring migration,23435,AMNH,undefined,American Museum of Natural History,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022876531,SCOPUS_ID:0022876531,2-s2.0-0022876531,The estimation of temporal processes in tropical rain forest: A study of primary mixed dipterocarp forest in Indonesia,Riswan S.,Journal of Tropical Ecology,02664674,14697831,1,2,171-182,1985-01-01,May 1985,10.1017/S0266467400000225,"In the absence of growth rings it is difficult to give a precise time scale for processes associated with the re-establishment of tropical rain forest. This paper explores other methods by which a time scale may be constructed. The proportions of primary and secondary species, an index of similarity, biomass measurements, girth dimensions and gap size are all considered from sites in East Kalimantan, Indonesia. Data from primary, secondary and experimentally cleared forest sites are compared to estimate the minimum time required for various phases involved in the re-establishment of tropical rain forest after disturbance. A simple model is proposed to accommodate the data and other estimates in the literature. The model predicts a minimum period for the stablization of secondary species numbers as 60–70 years and the replacement of primary species as 150 years at which point gap formation is initiated. After approximately 220–250 years biomass stabilizes while individual trees exist for over 500 years. © 1985, Cambridge University Press. All rights reserved.",24,Journal,ar,Article,100,3,3,age estimation | biomass | dipterocarp | Indonesia | model | processes | rain forest | temporal,23435,NA,PA-779-0811,Ford Foundation,0,FALSE,10,NA,NA
