@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,entry_number,dc:description,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/84974450336,SCOPUS_ID:84974450336,2-s2.0-84974450336,Predation on palm nuts (Syagrus romanzoffiana) by squirrels (Sciurus ingrami) in south-east Brazil,Galetti M.,Journal of Tropical Ecology,02664674,14697831,8,1,121-123,1992-01-01,February 1992,10.1017/S0266467400006210,43,Journal,ar,Article,100,4,4,Brazil | frugivores | palm | Sciurus | seed predation | squirrel | Syagrus,23435,FAPESP,88/4232-0,Fundação de Amparo à Pesquisa do Estado de São Paulo,0,FALSE,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84974346372,SCOPUS_ID:84974346372,2-s2.0-84974346372,Buzz pollination-older and more widespread than we think?,Proenqa C.E.B.,Journal of Tropical Ecology,02664674,14697831,8,1,115-120,1992-01-01,February 1992,10.1017/S0266467400006192,39,Journal,ar,Article,100,1,1,anther morphology | bee | Blepharocalyx | Bombas | Campomanesia | Ceratilictus | Ceratina | Melipona | Myrcia | Myrtaceae | pollination | Siphoneugena,23435,CNPq,undefined,Conselho Nacional de Desenvolvimento Científico e Tecnológico,0,FALSE,2,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84974329409,SCOPUS_ID:84974329409,2-s2.0-84974329409,Ontogeny and the concept of anoxia-tolerance: The case of the Amazonian leguminous tree Parkia pendula,Scarano F.R.,Journal of Tropical Ecology,02664674,14697831,8,3,349-352,1992-01-01,August 1992,10.1017/S0266467400006659,24,Journal,ar,Article,100,2,2,Amazon anoxia germination Parkia discolor Parkia pendula ontogeny seeds | stress tolerance,23435,NA,undefined,NA,0,FALSE,3,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84974324447,SCOPUS_ID:84974324447,2-s2.0-84974324447,Global insect diversity revisited,Hodkinson I.,Journal of Tropical Ecology,02664674,14697831,8,4,505-508,1992-01-01,November 1992,10.1017/S0266467400006854,5,Journal,ar,Article,100,1,1,arthropod | diversity | insect | species numbers,23435,NA,undefined,NA,0,FALSE,4,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84974126993,SCOPUS_ID:84974126993,2-s2.0-84974126993,Facultative ant association benefits a Neotropical orchid,Fisher B.,Journal of Tropical Ecology,02664674,14697831,8,1,109-114,1992-01-01,February 1992,10.1017/S0266467400006179,14,Journal,ar,Article,100,1,1,ant-plant interactions | ants | Caularthron | mutualism | Orchidaceae | Panama,23435,NSF,BSR-8604687,National Science Foundation,0,FALSE,5,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84974083964,SCOPUS_ID:84974083964,2-s2.0-84974083964,Hurricanes need not cause high mortality: The effects of hurricane gilbert on forests in jamaica,Bellingham P.J.,Journal of Tropical Ecology,02664674,14697831,8,2,217-223,1992-01-01,May 1992,10.1017/S0266467400006386,61,Journal,ar,Article,100,2,2,Hurricane Gilbert | Jamaica | montane forest | tree damage | tree mortality,23435,NA,undefined,NA,0,FALSE,6,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84974065233,SCOPUS_ID:84974065233,2-s2.0-84974065233,Midday depression of net Co<inf>2</inf>exchange of leaves of an emergent rain forest tree in French Guiana,Roy J.,Journal of Tropical Ecology,02664674,14697831,8,4,499-504,1992-01-01,November 1992,10.1017/S0266467400006842,12,Journal,ar,Article,100,2,2,French Guiana | microclimate | midday depression | photosynthesis | Qualea rosea | stomata | tropical rain forest,23435,NA,undefined,NA,0,FALSE,7,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84972158412,SCOPUS_ID:84972158412,2-s2.0-84972158412,Instruction To Authors,NA,Journal of Tropical Ecology,02664674,14697831,8,1,126-128,1992-01-01,February 1992,10.1017/S0266467400006246,0,Journal,ar,Article,100,0,NA,NA,23435,NA,undefined,NA,0,FALSE,8,"Potential contributors are advised that careful attention to the details below will greatly assist the Editor and thus speed the processing of their manuscripts. © 1992, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027100266,SCOPUS_ID:0027100266,2-s2.0-0027100266,Lepidoptera Outbreaks In Response To Successional Changes After The Passage Of Hurricane Hugo In Puerto Rico,Torres J.A.,Journal of Tropical Ecology,02664674,14697831,8,3,285-298,1992-01-01,August 1992,10.1017/S0266467400006544,69,Journal,ar,Article,100,1,1,Diptera | disturbance | Hymenoptera | insects | Lepidoptera | parasites | Puerto Rico,23435,NA,undefined,NA,0,FALSE,9,"Fifteen species of Lepidoptera occurred in large numbers in spring and early summer after the passage of Hurricane Hugo over the north east of Puerto Rico. Spodoptera eridania (Noctuidae) was the most common of the larvae and fed on 56 plant species belonging to 31 families. All the Lepidoptera fed on early successional vegetation. Some of the plants represent new host plants for these species. The outbreaks appeared to be based on the flush of new foliage that developed in the Luquillo Mountains after the passage of the hurricane. The end of the S. eridania outbreak was concurrent with the consumption of its preferred host plants and to an apparent increment in parasitism by ichneumonids (Hymenoptera). Parasitism by tachinids (Diptera) may have contributed to the reduction in abundance of other Lepidoptera species that were temporarily very abundant. Natural enemies of S. eridania were recorded for the first time in Puerto Rico. © 1992, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0027094411,SCOPUS_ID:0027094411,2-s2.0-0027094411,Forest Ecology On Java: Human Impact And Vegetation Of Montane Forest,Smiet A.,Journal of Tropical Ecology,02664674,14697831,8,2,129-152,1992-01-01,May 1992,10.1017/S026646740000626X,46,Journal,ar,Article,100,1,1,exploitation | forest degradation | forest structure | forest utilization | Indonesia | mountain vegetation | plant community,23435,NA,undefined,NA,0,FALSE,10,"Natural forests on Java have been generally cleared and remnants are now confined to mountain areas Although legally protected, these forests are used by local people for products like. firewood, timber and fodder Locally, such exploitation is carried out daily by hundreds of people, whose livelihood depends on forest products Using a landscape-guided approach, a 15,500 ha area of montane forest in East Java has been sampled and analysed at the sylvatic mosaic level Vegetation types, sociologic species groups and vegetation structure are described for landscape units The most accessible landscape units have the most degraded forest with basal area values < 15 m2ha-1and a canopy closure of <20% The least accessible units have relatively undisturbed forest with basal area values of >45 m2ha1and a canopy closure of >60% Human activities such as tree cutting have altered species composition and modified forest structure to such an extent that large stretches of forest have been replaced by woodland or shrubland Forest degradation is described as a human induced process in which basal area and canopy closure are ultimately reduced, in spite of regrowth Comparison with other forest areas on Java shows that degradation as a result of tree cutting is a widespread phenomenon. © 1992, Cambridge University Press. All rights reserved.",NA,NA
