@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/0023641357,SCOPUS_ID:0023641357,2-s2.0-0023641357,A comparative study of diversification events: the early Paleozoic versus the Mesozoic.,Erwin D.H.,Evolution,00143820,41,6,1117-1186,1987-01-01,1987,10.1111/j.1558-5646.1987.tb02459.x,"We compare 2 major long-term diversifications of marin animal families that began during periods of low diversity but produced strikingly different numbers of phyla, classes, and orders. The 1st is the early-Paleozoic diversification and the other the Mesozoic phase of the post-Paleozoic diversification. The earlier diversification was associated with a great burst of morphological invention producing many phyla, classes, and orders and displaying high per taxon rates of family origination. The later diversification lacked novel morphologies recognized as phyla and classes, produced fewer orders, and displayed lower per taxon rates of family appearances. The chief difference between the diversifications appears to be that the earlier one proceeded from relatively narrow portions of adaptive space, whereas the latter proceeded from species widely scattered among adaptive zones and representing a variety of body plans. Our data support those models that hold that evolutionary opportunity is a major factor in the outcome of evolutionary processes. -from Authors",158,11542112,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,1
true,https://api.elsevier.com/content/abstract/scopus_id/0023585555,SCOPUS_ID:0023585555,2-s2.0-0023585555,Pattern of phenotypic viability and fecundity selection in a natural population of Impatiens pallida,Stewart S.C.,Evolution,00143820,41,6,1290-1301,1987-01-01,1987,10.1111/j.1558-5646.1987.tb02467.x,"Directional viability selection of cotyledon area, day of initial leaf production, number of leaves, and stem length was detected throughout this population. Directional fecundity selection of cotyledon area, day of initial flower production, number of leaves present on day of initial flower production, stem length on day of initial flower production, number of leaves, and stem length was also detected. Phenotypic selection of these characters was strong in some cases, and strength of selection was significantly heterogeneous among locations. For several of the characters, directional phenotypic selection within the population was significantly positive in some locations and significantly negative in others separated by only a few meters. Soil moisture levels and light intensities played a larger role than soil nutrient levels in determining the patterns of both viability and fecundity selection. -from Authors",53,NA,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,2
true,https://api.elsevier.com/content/abstract/scopus_id/0023585545,SCOPUS_ID:0023585545,2-s2.0-0023585545,Geographic population structure and species differences in mitochondrial DNA of mouthbrooding marine catfishes (Ariidae) and demersal spawning toadfishes (Batrachoididae),Avise J.C.,Evolution,00143820,41,5,991-1002,1987-01-01,1987,10.1111/j.1558-5646.1987.tb05872.x,"Restriction-fragment length polymorphisms in mitochondrial DNA (mtDNA) were used to evaluate population-genetic structure and matriarchal phylogeny in 4 species of marine fishes that lack a pelagic larval stage: the catfishes Arius felis and Bagre marinus, and the toadfishes Opsanus tau and O. beta. Considerable genotypic diversity was observed in each species, but major mtDNA phylogenetic assemblages in catfish and toadfish exhibited contrasting patterns of geographic distribution: in catfish, distinct mtDNA clades were widespread, while such clades in toadfish tended to be geographically localized. By both the criteria of species' ranges and the geographic pattern of intraspecific mtDNA phylogeny, populations of marine catfish in the W Atlantic have had greater historical interconnectedness than have toadfish. -from Authors",102,NA,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,NA,NA,3
true,https://api.elsevier.com/content/abstract/scopus_id/0023558037,SCOPUS_ID:0023558037,2-s2.0-0023558037,"Aggression, density, and sexual dimorphism in chernetid pseudoscorpions (Arachnida: Pseudoscorpionida)",Zeh D.W.,Evolution,00143820,41,5,1072-1087,1987-01-01,1987,10.1111/j.1558-5646.1987.tb05877.x,"Species vary in the extent to which males and females differ in size of the pedipalps, and, in particular, in size of the pedipalpal chelae. A statistical analysis of dimorphism patterns within the Chernetidae suggests that dimorphism is a highly variable condition, relatively unconstrained by phylogenetic influences. The evolution of species with enlarged male pedipalps appears to be associated with a change from nonpairing to pairing sperm-transfer behavior and with aggressive mate acquisition by males. Experiments with Dinocheirus arizonensis demonstrate a strong correlation between male combat ability and chela size. Superior combat ability of large males results in increased mating success only under high-density conditions. The greater success in spermatophore transfer among large males can be attributed to increased opportunity at high density for large males to interrupt matings and aggressively displace smaller males. -from Author",44,NA,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,4
true,https://api.elsevier.com/content/abstract/scopus_id/0023557817,SCOPUS_ID:0023557817,2-s2.0-0023557817,The heritable basis of variation in larval developmental patterns within populations of the wood frog (Rana sylvatica),Berven K.A.,Evolution,00143820,41,5,1088-1097,1987-01-01,1987,10.1111/j.1558-5646.1987.tb05878.x,"There was a high level of additive-genetic variance and high heritability for body size at metamorphosis in the mountain population, but these were very low in the lowland population. The genetic correlations between developmental rate and larval body size are negative for the mountain population and near zero for the lowland population. Differences in genetic structure between these populations reflect differences in the selective regimes of their respective environments. -from Author",61,NA,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,5
true,https://api.elsevier.com/content/abstract/scopus_id/0023557028,SCOPUS_ID:0023557028,2-s2.0-0023557028,Regression analysis of natural selection: statistical inference and biological interpretation,Mitchell-Olds T.,Evolution,00143820,41,6,1149-1161,1987-01-01,1987,10.1111/j.1558-5646.1987.tb02457.x,"Discusses statistical and biological issues that may arise in applications of Lande and Arnold's (1983) multiple-regression approach to measuring selection. In particular, multicollinearity (extreme intercorrelation of characters) and extrinsic, unmeasured factors affecting fitness may seriously complicate inference regarding selection. Violation of the assumption that residuals are normally distributed vitiates tests of significance. For this situation, applications of recently developed jackknife tests of significance are suggested. -from Authors",633,NA,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,6
true,https://api.elsevier.com/content/abstract/scopus_id/0023556763,SCOPUS_ID:0023556763,2-s2.0-0023556763,Demography and sex ratio in social spiders,Frank S.A.,Evolution,00143820,41,6,1267-1281,1987-01-01,1987,10.1111/j.1558-5646.1987.tb02465.x,"All quasisocial spider species appear to have female-biased sex ratios, while congeneric species with less advanced forms of sociality have 1:1 sex ratios. Two sex-ratio models examine the interaction between the genetic structure of populations and 2 aspects of colony demography - the changes as the colony grows larger in fecundity per female and in colony survivorship. In the 1st model, it is assumed that all members of the population produce the same sex ratio under all conditions (monomorphic strategy), while in the 2nd model the sex ratio can be adjusted according to stage in the colony growth cycle (conditional strategy). Results are consistent with the typically observed effects of within-sex competition among relatives; the sex ratio is biased toward the sex with less intense competition. A number of interesting interactions are also revealed among relatedness, demography, and constraints of the sex-determining mechanism, eg when survivorship or fecundity increases as the colony grows larger, the predicted sex ratio becomes more female-biased. These demographic factors of changing viability and fecundity with changing colony size interact synergistically with relatedness; the effect of this interaction on the sex ratio depends on the constraints of the sex-determining mechanism. -from Author",49,NA,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,7
true,https://api.elsevier.com/content/abstract/scopus_id/0023556169,SCOPUS_ID:0023556169,2-s2.0-0023556169,The effect of investment in attractive structures on allocation to male and female functions in plants,Charlesworth D.,Evolution,00143820,41,5,948-968,1987-01-01,1987,10.1111/j.1558-5646.1987.tb05869.x,"Expressions for male and female fitnesses of partially self-fertilizing cosexual plants are derived, assuming that allocation to pollinator attraction at the time of flowering may decrease resources available for male and female primary structures. -from Authors",143,NA,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,8
true,https://api.elsevier.com/content/abstract/scopus_id/0023529883,SCOPUS_ID:0023529883,2-s2.0-0023529883,Altruism in Mendelian populations derived from sibling groups: the haystack model revisited,Wilson D.S.,Evolution,00143820,41,5,1059-1070,1987-01-01,1987,10.1111/j.1558-5646.1987.tb05876.x,"A group-selection model is presented in which each group is initiated by a single fertilized female and persists for several generations before dispersal. Maynard Smith (1964) concluded that altruism could not plausibly evolve under these circumstances. His conclusion is an artifact of a simplifying assumption that amounts to a worst-case scenario for group selection. When the standard donor-recipient equations for altruistic behavior are used in Maynard Smith's model, Mendelian populations derived from sibling groups are often more favorable for the evolution of altruism than are the sibling groups themselves. In general, long-term and large-scale aspects of population structure may at times be important in the evolution of altruistic and other group-advantageous behaviors -from Author",60,NA,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,9
true,https://api.elsevier.com/content/abstract/scopus_id/0023529408,SCOPUS_ID:0023529408,2-s2.0-0023529408,Inter- and intraspecific variation of mosses in tolerance to copper and zinc,Shaw J.,Evolution,00143820,41,6,1312-1325,1987-01-01,1987,10.1111/j.1558-5646.1987.tb02469.x,"Tolerance of Funaria hygrometrica to Cu and Zn was greater in populations that originated on soil with high concentrations of these metals. Protonemal growth was more inhibited by the metals than was germination; Cu was more toxic than Zn. The pattern of population differentiation for heavy metal tolerance in this species is much like that of flowering plants. Five populations of Physcomitrium pyriforme, which does not occur on metal-contaminated soil, were all highly tolerant of Zn but extremely intolerant of Cu. Significant variation in tolerance to Cu and Zn occurred among populations, but tolerance did not correlate with metal contents in native substrates. This pattern differs from that of flowering plants. from Authors",27,NA,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,10
