@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,pubmed-id,fund-acr,fund-sponsor,prism:doi,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/77955337182,SCOPUS_ID:77955337182,2-s2.0-77955337182,"Benthic macroinvertebrates of the Palo Verde wetland, Costa Rica",Trama F.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,275-284,2009-12-01,December 2009,"Palo Verde, Costa Rica, is one of the most important wetlands in the region now recovering from some invasive plants, especially Typha domingensis, and monitoring programs were started, including studies on the aquatic macoinvertebrate fauna. We sampled benthic macroinvertebrates monthly for more than a year with artificial substrates, and identified 116 taxa from 57 families and 18 orders, with 90 morfospecies of insects. The highest abundances were in the class Conchostraca (typical in seasonal wetlands) and in the family Chironomidae (Diptera, Insecta), which together represent almost half of all individuals collected. In contrast, 97 taxa were less than 1% of total abundance each. Number of individuals and number of species were higher at lower water levels (dry season). Cumulative species curves indicate that more species would be found if sampling had continued for more time.",6,Journal,ar,Article,100,3,3,Aquatic invertebrates | Costa Rica | Fresh water marsh | Inventory | Palo verde | Typha | Wetland,13567,undefined,0,FALSE,1,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77955329991,SCOPUS_ID:77955329991,2-s2.0-77955329991,Phylogeny of wasps of the genus Netelia (Hymenoptera: Ichneumonidae) with emphasis on Costa Rican species,Coronado-Rivera J.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,213-238,2009-12-01,December 2009,"Results on the first cladistic analysis of the genus Netelia are presented. The analysis was carried out with the aid of the Hennig86 and Tree Gardener 2.2 programs, using a matrix of 79 taxa and 149 characters, based mainly on external morphology and male genitalia; only three characters are related to the natural history of the species. Within the in-group, representative species of the 11 subgenera of Netelia described in the world were included, although almost 80% of the species examined are from Costa Rica. To test the monophyly of the genus, five tryphonine species - Neliopisthus yui, Chiloplatys lucens, Phytodietus (Neuchorus) penai, P. (N.) lindus and P. (Phytodietus) moragai - were also included in the study group. Labena zerita (Labeninae) was used as an out-group. The search strategies of the trees included phylogenetic reconstruction by parsimony, without and with successive weighting of characters, through the commands bb and mhennig . In the analysis without successive weighting, 1 211 equally parsimonious trees with a length of 649 steps, Ci of 23 and Ri of 68, were obtained. In the analysis with successive weighting 1 211 trees with a length of 719 steps, Ci of 20 and Ri of 64, were obtained. The manifold cladograms obtained were summarized through two Majority Rule Consensuses trees, one for each rearch strategy. Support was found for the monophyly of the genus Netelia, and the subgenera N. (Apatagium), N. (Bessobates), N. (Monomacrodon), N. (Parabates), N. (Protonetelia), N. (Toxochilus) and N. (Longiterebates), although this last subgenus was only monophyletic in the analysis without successive weighting. Phylogenetic support was also obtained for the species groups leo, unguicularis and emorsa proposed by Townes (1938) in the subgenus N. (Netelia). The results support the synonymy of N. (Toxochiloides) with the group emorsa in the New World. Phylogenetic support was not found for the subgenera N. (Netelia), N. (Prosthodocis) and N. (Paropheltes), nor for the species groups virgata in N. (Bessobates) and geminata Townes in N. (Netelia). Nor was support found for a phylogenetic relation between the subgenera N. (Apatagium) and N. (Monomacrodon). Finally, with the results obtained here, the presence in Costa Rica of the subgenera N. (Longiterebates) and N. (Parabates), as documented by Gauld (1997), is rejected. The presence of N. (Bessobates) is unconditionally accepted and, for practical reasons, that of N. (Prosthodocis) and N. (Netelia); in addition, the presence of N. (Paropheltes) and N. (Toxochilus) is tentatively proposed.",2,Journal,ar,Article,100,1,1,Costa Rica | Insects | Male genitalias | Morphology | Netelia | Parasitoid species | Phylogeny | Tryphoninae,13567,undefined,0,FALSE,2,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77955303126,SCOPUS_ID:77955303126,2-s2.0-77955303126,"Acoustic courtship songs in males of the fruit fly Anastrepha ludens (Diptera: Tephritidae) associated with geography, mass rearing and courtship success",Briceño R.D.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,257-265,2009-12-01,December 2009,"The Sterile Insect Technique (SIT) has been used successfully to control or eradicate fruit flies. The commonly observed inferiority of mass-reared males, compared with wild males, when they are paired with wild females, is apparently due to their inadequate courtship. Anastrepha ludens males produce two types of wing vibration during courtship and mating, the ""calling sound"" and the ""premating or precopulatory sound"". There were clear differences in the calling songs between successful and unsuccessful courtships in sterile (irradiated) and fertile Mexican flies. Among sterile flies, successful males produce longer buzzes, shorter interpulses and a higher power spectrum in the signal. Fertile flies showed the same trend. For mating songs a significant difference occurred in two parameters: power spectrum between sterile and fertile flies with respect to the type of song, and the signal duration and intensity were greater in non-irradiated flies. Calling songs of wild flies compared with laboratory grown flies from Mexico had shorter interpulses, longer pulses, and a greater power spectrum. However, in the case of premating songs, the only difference was in the intensity, which was significantly greater in wild males. An unexpected result was not observing pulses during pheromone deposition in wild males from Costa Rica. Comparing the premating songs of wild flies from Costa Rica and Mexico, no significant differences were observed in the duration, and the intensity of the signal was slightly greater in flies from Mexico.",9,Journal,ar,Article,100,4,4,Anastrepha | Costa Rica | Courtship | Fruit flies | Mass rearing | Mexico | Sound production | Tephritide,13567,undefined,0,FALSE,3,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77955302765,SCOPUS_ID:77955302765,2-s2.0-77955302765,"Batimetry, salinity, temperature, and dissolved oxigen water of the Marino Ballena National Park, Pacific, Costa Rica",Alvarado J.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,19-29,2009-12-01,December 2009,"Between September 2003 and April 2005, the bathymetry and the behavior of the temperature, salinity, dissolved oxygen and oxygen percent saturation were studied at Marino Ballena National Park (MBNP). The park has an average depth of 14.9±9.1m, and maximal depth of 37.3 m. The internal section of the bay is shallow, not reaching more than 20m, while the external section posses a more pronounced slope, reaching easily 37 m. Mean values of superficial salinity were: 29.1±4.3‰, temperature 29.7±1.3°C, dissolved oxygen 6.7±1.3 mg/l, and oxygen percent saturation 115.6±22.1%. Significant differences were only detected between the internal and external stations for salinity and temperature according to depth, during the rainy season. The lower values of salinity and temperature were observed on the rainy season, and the highest on the dry season, with a continuous of dissolved oxygen and saturation. The similarity between the stations and the fact that significant differences were only for salinity and temperature according to depth, suggests that the waters of the park behave in similar manner over time and that the area is very dynamic and homogenous, with currents strong enough to mix the water column on the park. The park is located in a very productive area, resulting in a high value of oxygen percent saturation (120%). This suggests that there are good conditions for the development of phytoplankton, zooplankton and other groups.",5,Journal,ar,Article,100,2,2,Bathymetry | Costa Rica | Dissolved oxygen | Marine park | Pacific | Salinity | Temperature,13567,undefined,0,FALSE,4,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77955302200,SCOPUS_ID:77955302200,2-s2.0-77955302200,"Genitalic stridulation during copulation in a species of crane fly, Tipula (Bellardina) sp. (Diptera: Tipulidae)",Eberhard W.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,251-256,2009-12-01,December 2009,"The male genitalia of many animal groups have elaborate and species-specific forms. One hypothesis to explain why this is so is that male genitalia function as stimulatory devices that are under sexual selection by cryptic female choice. This report is based on a videotaped observation of a single male of an unidentified species of Tipula (Bellarina) from San José Province, Costa Rica. A male crane fly stridulated (produced vibrations) during copulation using sustained and stereotyped movements of file and scraper structures on his genitalia. Males of related species have similar file and scraper structures on their genitalia, suggesting that they probably also stridulate during copulation.",5,Journal,ar,Article,100,2,2,Copulatory courtship | Costa Rica | Cryptic female choice | Genitalic evolution | Sexual selection,13567,undefined,0,FALSE,5,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77955300427,SCOPUS_ID:77955300427,2-s2.0-77955300427,The role of historical and local factors in determining species composition of the highland avifauna of Costa Rica and Western Panamá,Barrantes G.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,333-349,2009-12-01,December 2009,"The formation of the mountain ranges of Costa Rica and western Panamá, as well as the cold climatic conditions that prevailed during the upper Pleistocene, played a crucial role in determining the bird species composition of the highlands in this region. Glacial conditions favored dispersal movements of bird species from the Andes, and from the Neartic region. Subsequent inter-glacial conditions reduced the connectivity between neotropical highlands (e.g., Talamanca-Andes), and between neotropical highlands and Neartic temperate region, isolating recently established populations from the ancestral populations, and promoting speciation. Within Costa Rica, the highland vegetation and the birds that occupied this vegetation possibly had a continuous distribution throughout all mountain ranges during glacial periods. This vegetation retreated to the summit of the mountains during inter-glacial periods, fragmenting the original continuous bird populations and forming ""sky islands"", which decrease in size from Talamanca mountains towards the northwestern ranges. The sizes of such islands of available habitat determine the number of highland birds present in each mountain range.",19,Journal,ar,Article,100,1,1,Biogeography | Catharus | Climate | Costa Rica | Diglossa | Endemism | Highland birds | Piranga,13567,undefined,0,FALSE,6,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77955299788,SCOPUS_ID:77955299788,2-s2.0-77955299788,"Density of nesting sites and their use by two woodpecker species (Melanerpes rubricapillus y M. chrysauchen) (Piciformes: Picidae) along an urban gradient, Costa Rica",Sandoval L.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,351-355,2009-12-01,December 2009,"I examined the density of nesting substrates potentially used by two woodpeckers (Melanerpes rubricapillus and M. chrysauchen) along an urban gradient, and their nest density in three sites with different human intervention in Golfito, Costa Rica. The urban and semi-urban sites had the lowest abundance of natural substrates for nesting, as expected by the effect of urban development. Nest abundance was greater in the semiurban site than in other sites, possibly in relation with a greater abundance of woodpeckers. Nests had a grouping distribution, which might reflect the preference of woodpeckers for nesting in natural substrates. The reduction of artificial and natural substrates in urban areas could decrease density population of these two woodpecker species.",4,Journal,ar,Article,100,1,1,Costa Rica | Golden-naped woodpecker | M. chrysauchen | Melanerpes rubricapillus | Nest | Red-crowned woodpecker | Urban development,13567,undefined,0,FALSE,7,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77955299693,SCOPUS_ID:77955299693,2-s2.0-77955299693,Human population structure of the Costa Rican Central Provinces. An evaluation through isonymic methods,Sáenz A.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,371-379,2009-12-01,December 2009,"The human population structure of the Central Provinces of Costa Rica was analyzed through isonymic methods and the use of Electoral Registers (1990 and 2006). Four parameters that define, in a genetic and evolutionary context, this structure were estimated: the consanguinity due to random mating (Morton's a-priori kinship Φii), the genetic isolation (Fisher's α), the migration (Karlin-McGregor's), and the degree of subdivision or population differentiation (Fst). The possible geographical distribution of these variables is shown by the use of a Principal Components Analysis (PCA). There is a coincidence between groups of counties obtained by similarity in surname diversity and their geographic location in the territory. Differences were found for the values of the components of consanguinity (F=15.6; p<0.05) and genetic isolation (F=14.38; p<0.05) between different sectors of the Central Provinces. There is an association between population density and the breaking up of genetic isolates and another possible association between the geography of the region, the migration patterns of individuals, and the consequent levels of inbreeding and genetic isolation. The differences in the values of population structure components, inbreeding and genetic isolation, between the different zones of the central region, allow the assumption of the existence of differences in gene frequencies. The migration of blocks of genes from the center to the periphery is also possible and the variation in this sense might be attributed mostly to changes in the components of the population structure: mating patterns, migration and the consequence of the effective population size in the genetic drift process.",0,Journal,ar,Article,100,2,2,Costa Rica | Genetic isolation | Inbreeding | Isonymy | Migration | PCA | Population structure,13567,undefined,0,FALSE,8,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77955298343,SCOPUS_ID:77955298343,2-s2.0-77955298343,Anatomy of the gall in Ficus benjamina (Moraceae) associated with thrips (Tubulifera: Phlaeothripidae),Retana-Salazar A.P.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,179-186,2009-12-01,December 2009,"The galls are generally recognized as abnormal growths of tissues affected by insects when lay the eggs or feed on plant tissues. In, Ficus benjamina the insect Gynaikothrips garitacambroneroi, when feeding on leaf tissues, causes a gall which consists on the bending of the leaves. In this paper we analyzed the ultrastructure of sections of healthy leaves, and leaves with galls of F. benjamina using scanning electron microscopy (SEM). We analyzed the number of stomata per area and found no significant changes, although there is less cuticular wax on the surface of the affected area by the barb. In the leaf area affected by G. garitacambroneroi, bacilli and fungi were observed and eggs of other organisms as possible invaders. Moreover, the inner tissues of leaves with galls had some problems in the differentiation of palisade and spongy mesophylls, and only parenchymatous tissue was observed.",8,Journal,ar,Article,100,2,2,Costa Rica | Ficus benjamina | Gall | Gynaikothrips spp. | Leaf | SEM | Thrips | Ultraestructure,13567,undefined,0,FALSE,9,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77955297511,SCOPUS_ID:77955297511,2-s2.0-77955297511,"History of development of marine science at the Escuela de Biología, Universidad de Costa Rica",Cortés J.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,15-18,2009-12-01,December 2009,"La Escuela de Biología (School of Biology) of the Universidad de Costa Rica has contributed significantly to the advancement of marine sciences in Costa Rica. It has done this through the education of students, and together with the Centro de Investigación en Ciencias del Mar y Limonología (Marine Sciences and Limnology Research Center) (CIMAR) with the generation of knowlegde on marine organisms, ecosystems and processes in Costa Rica.",0,Journal,ar,Article,100,1,1,Costa Rica | Education | Escuela de biología | Marine science | Universidad de Costa Rica,13567,undefined,0,FALSE,10,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/77955297402,SCOPUS_ID:77955297402,2-s2.0-77955297402,"Growth dynamics and state of the seagrass Thalassia testudinum in the Gandoca-Manzanillo National Wildlife Refuge, Caribbean, Costa Rica",Krupp L.,Revista de Biologia Tropical,00347744,57,SUPPL. 1,187-201,2009-12-01,December 2009,"Seagrass beds are highly productive and valuable habitats, which fulfill a key role in coastal ecosystems. Spatial distribution, biomass, density, productivity and leaf dynamics of the dominant seagrass species Thalassia testudinum were studied at five locations in the Gandoca-Manzanillo National Wildlife Refuge, Caribbean coast of Costa Rica, from November 2005 until March 2006. Seagrass beds within the study area cover approximately 16 ha. Spatial and temporal differences in ecological seagrass parameters were examined along gradients of riverine inputs and related to a range of environmental parameters (depth, grain size distribution, nutrient concentrations, salinity and temperature). Average canopy cover and above-ground biomass of T. testudinum inversely correlated with depth, but did not vary significantly between study sites when compared along depth ranges. Considerable spatio-temporal variations in shoot densities, areal productivity and leaf sizes seem to be related to riverine inputs and wave energy. It appeared that T. testudinum at exposed sites respond to increased environmental disturbance related to the offset of the rainy season with clonal recruitment, whereby shoot densities increase and average leaf sizes are reduced. Lower shoot densities and greater leaf sizes, in contrast, are characteristic for locations with rather consistent environmental conditions, where seagrasses are sheltered. T. testudinum in the refuge has higher shoot densities but shorter leaves and lower productivity compared to sites in 15 other Caribbean countries. The seagrass beds appear to be in a relatively healthy state, however, observations of temporal increased stocks of filamentous epiphytes and macroalgae indicate temporal environmental stress in the system.",5,Journal,ar,Article,100,3,3,Biomass | Caribbean | CARICOMP | Costa Rica | Density | Productivity | Seagrass | Spatio-temporal dynamics | Thalassia testudinum,13567,undefined,0,FALSE,11,NA,NA,NA,NA,NA,NA
