@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,fund-acr,fund-sponsor,prism:issueIdentifier,pubmed-id,article-number
true,https://api.elsevier.com/content/abstract/scopus_id/84940398165,SCOPUS_ID:84940398165,2-s2.0-84940398165,Evidence of initial coral community recovery at Discovery Bay on Jamaica’s north coast,C. Crabbe M.J.,Revista de Biologia Tropical,00347744,22152075,62,137-140,2014-09-01,1 September 2014,10.15517/rbt.v62i0.15908,"Current challenges to coral reef sustainability include overfishing, destructive fishing practices, bleaching, acidification, sea-level rise, starfish, algae, agricultural run-off, coastal and resort development, pollution, diseases, invasive species and hurricanes. We used SCUBA belt transects to record coral cover and digital image analysis in the Dairy Bull Reef off the north coast of Jamaica and found that it is a positive example of how reefs can recover after major environmental disturbance. Live coral cover increased from 13±5% in 2006 to 31±7% in 2008, while live Acropora cervicornis increased from 2±2% in 2006 to 22±7% in 2008. Coral cover levels were maintained until 2012.",1,Journal,ar,Article,100,2,2,Belize | Bleaching | Climate change | Global warming | Hurricanes | Jamaica | MPAs,13567,undefined,1,TRUE,all,All Open Access,1,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84940396743,SCOPUS_ID:84940396743,2-s2.0-84940396743,"The results of long term coral reef monitoring at three locations in Jamaica: Monkey island, “Gorgo City” and Southeast Cay",Ford M.C.,Revista de Biologia Tropical,00347744,22152075,62,65-73,2014-09-01,1 September 2014,10.15517/rbt.v62i0.15902,"The global and regional impacts of climate change are having devastating consequences on the coral reef ecosystems of the Caribbean. Long term monitoring are important tool for assessing reef health. Monitoring was established in 2000 in the Bahamas, Belize and Jamaica. Following the pilot project, the program was institutionalized in Jamaica and monitoring was conducted on eight occasions from 2000 to 2010. Monkey Island and “gorgo city“ near Discovery Bay (both on the north coast) and Southeast Cay at Port Royal on the south coast were selected. Macroalgae dominated the benthic substrate. Monkey Island and ""Gorgo City"" had the highest coral cover. Porites astreoides, Montastraea spp., Porites parities, Siderastrea sidérea, and Agaricia agaricites were the most common species. Data from this programme have been used in local and regional coral reef assessment and management initiatives.",0,Journal,ar,Article,100,3,3,Climate change | Coral reefs | Discovery bay | Jamaica | Long term monitoring | Port royal | Portland | Video monitoring,13567,undefined,1,TRUE,all,All Open Access,2,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84940394277,SCOPUS_ID:84940394277,2-s2.0-84940394277,"Lionfish abundance, size structure and spatial distribution along the venezuelan coast (Pterois volitans, pteroinae: Scorpaenidae)",Agudo E.A.,Revista de Biologia Tropical,00347744,22152075,62,151-158,2014-09-01,1 September 2014,10.15517/rbt.v62i0.15910,"The recent invasion of lionfish (Pterois volitans) in the Atlantic is considered a new threat to benthic and fish communities in the Caribbean region. This species was first reported in Venezuela in 2009 at various sites. Increasing reports in the past five years suggest lionfish has expanded its range of distribution and habitats. Nevertheless, this information is mostly anecdotal and extensive surveys aimed to determine its abundance, size structure and other ecological aspects encompassing wider spatial scales are necessary to understand the actual role of this species on sub-tidal marine communities in Venezuela. We determined its density and population size structure through visual census along the Venezuelan coast. Visual censuses were made following strip transects at a depth between 5 and 20m and in daylight time, at 19 sites in five localities. Average density ranged between 7 to 55 individuals per hectare among sites. Most individuals were adults and most were found in caves, coexisting with other lionfish or with different species, while others were actively preying. The fish Pterois volitans seems to be well-established along the Venezuelan coast in densities that in some sites appear to be higher than in their Pacific native range but lower than in some invaded localities of the Atlantic.",8,Journal,ar,Article,100,2,2,Exotic species | Pterois volitans | South caribbean | Visual census,13567,undefined,1,TRUE,all,All Open Access,3,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84940388648,SCOPUS_ID:84940388648,2-s2.0-84940388648,"The status of coral reefs and associated fishes and invertebrates of commercial importance in Pedro bank, Jamaica",Bruckner A.W.,Revista de Biologia Tropical,00347744,22152075,62,11-24,2014-09-01,1 September 2014,10.15517/rbt.v62i0.15898,"The coral reefs located off the north coast of the Jamaican mainland are some of the best and most studied reefs in the world. Coral reefs of Pedro Bank, Jamaica were assessed in March, 2012 as part of the KSLOF Global Reef Expedition using a modified Atlantic and Gulf Rapid Reef Assessment (AGRRA) protocol. The main objectives were to: 1) characterize the distribution, structure and health of coral reefs; and 2) evaluate the population status of commercially important reef fishes and invertebrates. This work was conducted to assist in characterizing coral reef habitats within and outside a proposed fishery reserve, and identify other possible conservation zones. Within 20 reefs, live coral cover ranged from 4.9% to 19.2%. Coral communities were dominated by small corals (esp. Agaricia, Porites and Siderastrea) although many sites had high abundances of large colonies of Montastraea annularis and M. faveolata, and these were generally in good condition. A single area, within the proposed fishery reserve, had extensive Acropora cervicornis thickets, and several shallow locations had small, but recovering A. palmata stands. Macroalgal cover at all sites was relatively low, with only three sites having greater than 30% cover; crustose coralline algae (CCA) was high, with eight sites exceeding 20% cover. Fish biomass at all sites near the Cays was low, with a dominance of herbivores (parrotfish and surgeonfish) and a near absence of groupers, snappers and other commercially important species. While parrotfish were the most abundant fish, these were all extremely small (mean size= 12cm; <4% over 29cm), and they were dominated by red band parrotfish (Sparisoma aurofrenatum) followed by striped parrotfish (Scarus iseri). While coral communities remain in better condition than most coastal reefs in Jamaica, intense fishing pressure using fish traps (main target species: surgeonfish) and hookah/spear fishing (main target: parrotfish) is of grave concern to the future persistence of these reefs. The proposed fishery reserve encompasses some of the best coral reef habitat near the Cays, but this MPA should be expanded to encompass other habitats and MPAs should be considered for bank reefs at the northwestern end, as well as Banner Reef and Blowers Rock.",1,Journal,ar,Article,100,3,3,Coral reef health | Fish community structure | Jamaica | Marine protected areas | Pedro bank,13567,undefined,1,TRUE,all,All Open Access,4,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84940388157,SCOPUS_ID:84940388157,2-s2.0-84940388157,"Breeding success of the masked booby (Sula dactylatra dactylatra, pelecaniformes:Sulidae) at middle cay, Pedro Bank, Jamaica",Ainsworth P.J.,Revista de Biologia Tropical,00347744,22152075,62,159-167,2014-09-01,1 September 2014,10.15517/rbt.v62i0.15911,"The masked booby (Sula dactylatra dactylatra) colony at Middle Cay, Pedro Bank, 60 miles south of Jamaica, has been affected by challenges resulting from anthropogenic disturbances. Despite habitat degradation, the colony displays resilience by remaining extant on the cay. Between June 2008 and June 2009 we investigated the colony’s health (mainly breeding success). Data were collected once per month for twelve months and included one day, seven day and 24 hour (day and night continuous observational) sojourns. Forty-four nests were marked and monitored using a novel method for marking seabird nests based on painted seashells. Data collected from the colony included: the presence/absence/number of egg(s)/chick(s) in nests, offspring maturity, adult attendance at nests and the time of data collection. An average of 227 adult birds constituted the colony. Using the Mayfield Method and the “Naïve Estimator” for comparison, the colony’s breeding success was determined to be 37.20% despite a hatching success of 40% and a fledgling success of 93%. This is less than the estimated 45.77% success typical of healthy colonies of sulids such as the masked booby elsewhere. Based on the breeding success calculations the long term survival of this colony is at risk and needs active conservation.",0,Journal,ar,Article,100,2,2,Breeding success | Jamaica | Masked booby | Mayfield method | Middle cay | Pedro bank | Sea bird,13567,undefined,1,TRUE,all,All Open Access,5,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84940386415,SCOPUS_ID:84940386415,2-s2.0-84940386415,"Marine protected area monitoring in the nearshore waters of Grenada, Eastern Caribbean: Benthic cover and fish populations",Anderson R.,Revista de Biologia Tropical,00347744,22152075,62,273-286,2014-09-01,1 September 2014,10.15517/rbt.v62i0.15922,"Grenada is highly dependent on coral reefs as a source of food and to support tourism. Local and global environmental stressors threaten these reefs. Legislation was created for this MPA in 2001, permanent mooring buoys were deployed in 2009 and enforcement of fishing restrictions began in 2010. Initiatives to address point and nonpoint source pollution from the land have recently begun, aimed at reducing stress on reef area. This study documents benthic cover and fish populations associated with reefs in a Marine Protected Area (MPA) along Grenada’s southwest coast from 2008 through 2012. Both Point Line Intercept and Photo Quadrat methods were used to assess benthic cover along permanent 30m transects (8 in and 12 outside the area) annually. Fish and Diadema antillarum urchin relative abundance were determined based on 2m wide belt surveys along the same transects. The predominant substrate cover was algae, ranging from 41% in 2009 to 74.2% in 2011. A general trend of increasing algal cover was noted. Combined annual survey results prior (2008-2010) and after controls were implemented (2011-2012) showed a significant increase in algal cover. The predominant algal form was macroalgae comprising 65.4% - 90.8% of total algae. Live hard coral percent cover ranged from 8.7% to 21.1%. Little annual variation was observed in percent live coral cover. Branching corals (34.1% - 52.3% of total living hard coral) were the most common. Of the 19 living hard coral species identified, Porites porites (21%-23%) and Porites astreoides (20%) dominated percentage composition. Madracis mirabilis contributed 21% of total live hard coral outside the MPA but only 8.7% in the MPA. Of the 63 species of fish identified in the study areas Chromis spp. (71.5% - 46%) was the dominant group. Wrasse had a significant increase from 6.9% in 2008 to 21.5% in 2010 inside the MPA with a similar increase peaking in 2011 outside the MPA. There was a noticeable (though not statistically significant) increase in piscivorous fishes in the MPA in 2012. This is a promising indication that fishing restrictions in the MPA may be having an effect. Diadema antil-larum density was low, ranging from 4.58 to 0.21 urchins/100m2 outside and 0.28 to 0.10 urchins/100m2 inside despite a stocking attempt in the area in 2011.",5,Journal,ar,Article,100,8,8,Benthic cover | Eastern caribbean | Grenada | Marine protected area | Monitoring | Reef fish,13567,undefined,1,TRUE,all,All Open Access,6,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84940384791,SCOPUS_ID:84940384791,2-s2.0-84940384791,Spearfishing as a potential threat to fishery sustainability in jamaica: A survey of 23 fishing beaches,Ennis Z.,Revista de Biologia Tropical,00347744,22152075,62,141-149,2014-09-01,1 September 2014,10.15517/rbt.v62i0.15909,"Spearfishing was becoming an increasingly important economic activity in the Caribbean as a result of socioeconomic factors related to underemployment and the low capital outlay for equipment. For a year (2011) we surveyed spearfishing in 23 Jamaican beaches. Spearfishing has expanded from approximately 1% of fishers in 1991 to about 10% in 2011. The fishery is larger than expected and probably produced 4 000tons per year. Though reef fishes dominated catches, other resources such as lobsters, conch and octopus were regularly taken. Many small juvenile fishes were observed in catches well below their adult or optimum sizes. A total of 58% of spear-fishers reported they would have significant difficulty finding alternative employment if spearfishing was banned. Spearfishers reported exploiting the entire island shelf and also nearly all the offshore banks, especially Pedro Bank. Night spearfishing was common and targeted sleeping reef fishes. The activity is banned and should be enforced. Our recommendations include: register all spearfishers, actively manage spearfishing, a partial ban for part of the year and a ban on using scuba and hookah gear for spearfishing.",2,Journal,ar,Article,100,2,2,Jamaica | Management | Overfishing | Reef fishery resources | Spearfishing,13567,undefined,1,TRUE,all,All Open Access,7,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84940383947,SCOPUS_ID:84940383947,2-s2.0-84940383947,"Basic eco-ethology of the queen conch, strombus gigas (Mesogastropoda: Strombidae) in xel-Há, yucatán, Mexican caribbean",Núñez M.N.,Revista de Biologia Tropical,00347744,22152075,62,215-222,2014-09-01,1 September 2014,10.15517/rbt.v62i0.15916,"The queen conch Strombus gigas is an important fishery in the Caribbean, whose populations are currently overexploited. Since the decade of 1980 there have been several studies on aquaculture, resource management and area rehabilitation. However, little is known about its behavior in a natural environment and the influence of environmental parameters. Monthly surveys, from January to November 2012 were conducted in in Xel Ha, to observe and quantify six behaviors of S. gigas: rest, feeding, movement, burying, copulation and spawning. The observations were made every hour from 8h to 17h by free diving through three transects with three replicates each. Each behavior was observed 90 times each month. Salinity, temperature and dissolved oxygen were registered at the bottom. We found the highest number of snails at rest in July and the lowest in March and September. Feeding and movements had a peak in August. Most buried in October and November. Copulation was first observed on March with a peak in June and July to October’s spawning. In daytime observations restingt had a peak at 8h; feeding and moving at 12 to 17h. Copulation and spawning did not have a clear pattern. Variations between months and hours (resting, feeding, moving and buried) were significant (p<0.05). Resting correlated with temperature and being buried with oxygen level (r=-0.5803; p=0.0536). Feeding and moving correlated with temperature and salinity. These results should be useful for the conservation, restoration and aquaculture programs.",0,Journal,ar,Article,100,2,2,Behavior | Conservation | Feeding | Move | Queen conch | Spawning,13567,undefined,1,TRUE,all,All Open Access,8,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84940382531,SCOPUS_ID:84940382531,2-s2.0-84940382531,"Unexpected results from direct measurement, with a torsion microbalance in a closed system, of calcification rates of the coral Ag4aricia agaricites (Scleractinia:Agariicidae) and concomitant changes in seawater pH",Sandeman I.M.,Revista de Biologia Tropical,00347744,22152075,62,25-38,2014-09-01,1 September 2014,10.15517/rbt.v62i0.15899,"Ocean acidification is impacting the calcification of corals, but the mechanisms of calcification are still unclear. To explore the relationship between calcification and pH, small pieces of coral were suspended from a torsion microbalance in gently stirred, temperature controlled, seawater in a closed chamber. Net calcification rate and pH were continuously monitored while light, temperature or pH could be manipulated. The coral pieces were from the edges of thin plates of Agaricia agaricites and were studied alive and freshly collected. Unexpectedly, when calcification was taking place (n=9, 0.082 mg.hr-1.cm-2), as determined by weight increase, the pH of the surrounding seawater medium changed little (n=10, -0.0047 pH units.hr-1.cm-2). When calcification was not taking place the decrease of seawater pH was an order of magnitude higher, -0.013 pH units.hr-1.cm-2. This is the opposite of what is expected when calcium carbonate (CaCO3) forms. Similarly, fresh skeleton initially showed no change of pH in the seawater medium although the rates of weight gain were high (upto 1.0 mg hr-1.cm-2). After 10 hours, as the rate of deposition decreased following a generalized Michaelis-Menten growth curve, the pH began to decrease dramatically indicating an increase of CO2 in the seawater. These unexpected results can be explained if unstable calcium bicarbonate (Ca(HCO3)2) is formed in the organic matrix/carbonic anhydrase surface and slowly transforms later to CaCO3. Pieces of living coral monitored in the chamber for 30 hours gained weight during the day and loss it at night. The loss would be consistent with the transformation of Ca(HCO3)2 to CaCO3 with the release of CO2. The mean calcification rate of live coral was greater (n=8, p=0.0027) in high light (120 μmol.s-1.m-2) at 0.098 mg.hr-1.cm-2, compared to 0.063 mg.hr-1.cm-2 in low light (12 μmol.s-1.m-2). However, at the same time the mean rate of pH change was -0.0076 under low light compared to -0.0030 under high light (n=8, p=0.0001). The difference can be explained by CO2 being used for photosynthesis by zooxanthellae. The deposition rate of live coral was not affected by the addition of phosphate but the rate of weight gain by the freshly collected skeleton was strongly enhanced by phosphate. These results indicate that care should be applied in the application of the alkalinity anomaly technique for the measurement of calcification in corals.",0,Journal,ar,Article,100,1,1,Ca(HCO ) 3 2 | Carbonic anhydrase | CO 2 | Coral calcification | Organic matrix | PH,13567,undefined,1,TRUE,all,All Open Access,9,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84940381250,SCOPUS_ID:84940381250,2-s2.0-84940381250,"Variation of gonadal cycle of the american oyster, crassostrea virginica (Ostreoida: Ostreidae) as a function of height in tamiahua lagoon, Veracruz, Mexico",Ascencio A. L.A.,Revista de Biologia Tropical,00347744,22152075,62,201-206,2014-09-01,1 September 2014,10.15517/rbt.v62i0.15914,"The American oyster, Crassostrea virginica is one of the most important fishery resources of the Gulf of Mexico, where it has been classified as “resource exploited at maximum”. Since 1994 state authorities set a minimum extraction shell length of 70 mm (adult size); this was based on population studies alone. We compare the gonadal cycle of subadults oysters with adult organisms. From January to December 2011, 90 oysters were collected monthly in Tamiahua Lagoon, Veracruz and classified as subadults (50-69mm; 75% of sample) and adults (≥70mm). Histological gonad sections were classified in four categories: rest, gametogenesis, maturation and release of gametes. In subadults, the rest stage had two peaks (January 22% and June 13%), and gametogenesis between January and July (22-74%). Maturation was observed in July, August and September (40, 64 and 41% respectively) and release in October (66%) and November (45%). Correspondingly, adults were resting in January and June (17 and 13%), and January-July gametogenesis (56-88%), matured in August and September (64 and 42%) and released gametes in September and October (54 and 70%). The gametogenic cycle was similar in subadults and adults: the species breeds from sizes equal or smaller than 50 mm and this should be considered by authorities.",0,Journal,ar,Article,100,4,4,Crassostrea virginica | Gametogenic cycle | Histology | Minimum size of extraction | Tamiahua lagoon,13567,undefined,1,TRUE,all,All Open Access,10,NA,NA,NA,NA,NA
