@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/34948866724,SCOPUS_ID:34948866724,2-s2.0-34948866724,Phyllostomid bats of lowland Amazonia: Effects of habitat alteration on abundance,Willig M.R.,Biotropica,00063606,17447429,39,6,737-746,2007-11-01,November 2007,10.1111/j.1744-7429.2007.00322.x,"Habitat fragmentation and conversion are among the human activities that pose the greatest threat to species persistence and conservation of biodiversity. This is particularly true in the Neotropics, where bats represent important components of biodiversity from taxonomic and functional perspectives, and provide critical ecosystem services (e.g., seed dispersal and pollination). We assessed the degree to which conversion of lowland Amazonian rain forest to agriculture, and its subsequent abandonment and secondary succession, affect the abundances of populations of phyllostomid bats in the vicinity of Iquitos, Perú. During 90,720 net-m-h of sampling, we captured 3789 bats of five families; of these 3764 were phyllostomids representing 44 species, 23 genera, and three feeding guilds. We focus on the 24 most abundant species of phyllostomids. In terms of abundance, frugivores dominated assemblages in all habitat types and seasons. Eight species consistently responded to habitat conversion, two species consistently responded to season, two species responded consistently to both habitat and season, and five species responded to habitat conversion in a season-specific manner. Frugivores and nectarivores were abundant in areas that had been converted to agriculture, which suggests that these bats are resilient to extant levels of disturbance and may be important in promoting secondary succession. However, this result may be scale- or context-dependent. If habitat conversion continues and dramatically reduces the areal extent and increases fragmentation of mature forest, then a complex metacommunity dynamic may characterize the region and source populations of bats may become threatened or extirpated locally. © 2007 The Author(s).",103,Journal,ar,Article,100,9,9,Amazonian rain forest | Anthropogenic change | Conservation | Deforestation | Habitat use | Lowland | Neotropical bat biodiversity | Population dynamics | Seasonal dynamics,13817,undefined,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34948853234,SCOPUS_ID:34948853234,2-s2.0-34948853234,"Forest fragmentation reduces seed dispersal of Duckeodendron cestroides, a Central Amazon endemic",Cramer J.M.,Biotropica,00063606,17447429,39,6,709-718,2007-11-01,November 2007,10.1111/j.1744-7429.2007.00317.x,"Fragmentation that alters mutualistic relationships between plants and frugivorous animals may reduce the seed dispersal of trees. We examined the effects of forest fragmentation on the distributions of seeds and seedlings of a Central Amazon endemic tree, Duckeodendron cestroides. In the dry seasons of 2002-2004, seeds and first-year seedlings were counted within wedge-shaped transects centered around Duckeodendron adults in fragments and nearby continuous forests at the Biological Dynamics of Forest Fragmentation Project. Analyses showed that fragmentation reduced seed dispersal quantity and quality. The percent and distance of dispersed seeds were both twice as great in continuous forest as in fragments. The distances of each tree's five furthest dispersed seeds were three times greater in continuous forest than fragments. Over the 3-yr study, 20 times more seeds were dispersed more than 10 m from parent crowns in continuous forest than fragments. A regression analysis showed more dispersed seeds at all distances in continuous forest than fragments. Dispersal differences were strong in 2002 and 2004, years of large fruit crops, but weak or absent in 2003, when fruit production was low. As distance from parent crowns increased, the number of seedlings declined more rapidly in fragments than continuous forest. Distance-dependent mortality between the seed and seedling stages appeared to be more important in continuous forest than fragments. This research provides ample, indirect evidence demonstrating that forest fragmentation can result in the breakdown of a seed dispersal mutualism, potentially jeopardizing the reproduction of a rare, tropical tree. © 2007 The Author(s).",28,Journal,ar,Article,100,5,5,Brazil | Mutualism | Random coefficient regression | Seedling germination | Tropical wet forest,13817,undefined,1,TRUE,2,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/34848927470,SCOPUS_ID:34848927470,2-s2.0-34848927470,Host specificity of pathogenic Pythium species: Implications for tree species diversity,Augspurger C.,Biotropica,00063606,17447429,39,6,702-708,2007-11-01,November 2007,10.1111/j.1744-7429.2007.00326.x,"In the Janzen-Connell hypothesis, host-specific natural enemies enhance species diversity and influence the structure of plant communities. This study tests the explicit assumption of host specificity for soil pathogens of the genus Pythium that cause damping-off disease of germinating seeds and seedlings. We isolated Pythium spp. from soil of a tropical forest in Panama. Then, in an inoculation experiment, we determined the pathogenicity of 75 tropical isolates of unknown pathogenicity and seven pathogenic temperate isolates of Pythium on seeds and/or seedlings of eight tropical tree species. Only three tropical isolates, one identified as P. ultimum and two as P. aphanidermatum, were pathogenic. Tropical pathogenic isolates were pathogenic on 4-6 of eight tree species. Temperate isolates were pathogenic on 0-4 of eight species, indicating that some tropical tree species are susceptible to novel isolates of Pythium. No tree species was susceptible to all isolates and two species were not susceptible to any isolate. Collectively, these results indicate that these Pythium isolates vary widely in their pathogenicity, causing differential mortality of potential host species; likewise, the tree species vary in their susceptibility to a given Pythium isolate. These differences in pathogenicity and susceptibility indicate some support for the Janzen-Connell assumption of host specificity. While they are not restricted to a single species, their intermediate level of specificity suggests that Pythium spp. have the potential to have some effect on forest community structure and diversity. © 2007 The Author(s).",77,Journal,ar,Article,100,2,2,Damping-off disease | Inoculation | Isolation | Janzen-Connell hypothesis | Panama | Pathogenicity | Seeds and seedlings | Soil pathogens | Susceptibility | Tropical semi-deciduous forest,13817,undefined,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34848922717,SCOPUS_ID:34848922717,2-s2.0-34848922717,Rates of predation by scouting-and-recruiting ants on the brood of a swarm-founding wasp in Costa Rica,Bouwma A.,Biotropica,00063606,17447429,39,6,719-724,2007-11-01,November 2007,10.1111/j.1744-7429.2007.00321.x,"Ant predation is widely believed to play an important role in life history and evolution of tropical social wasps. While army ants are known to cause high rates of nest loss in swarm-founding social wasps, no studies have quantified the impact of predation by non-army ants on colony success. In this study we recorded survivorship of colonies of the swarm-founding wasp, Polybia occidentalis, in Costa Rica at a site where we suspected that scouting-and-recruiting ants cause nest abandonment. We found that scouting-and-recruiting ants prey upon active nests of P. occidentalis, and conclude that predation by these ants is an important brood mortality factor in the life history of P. occidentalis colonies at our field site. © 2007 The Author(s).",14,Journal,ar,Article,100,3,3,Ant predation | Camponotus | Crematogaster | Polistinae | Polybia occidentalis | Solenopsis | Tropical dry forest,13817,undefined,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34848915435,SCOPUS_ID:34848915435,2-s2.0-34848915435,"Developing conservation priorities based on forest type, condition, and threats in a poorly known ecoregion: Sulawesi, Indonesia",Cannon C.H.,Biotropica,00063606,17447429,39,6,747-759,2007-11-01,November 2007,10.1111/j.1744-7429.2007.00323.x,"The island of Sulawesi is the largest in Indonesian Wallacea, one of the most important ecoregions in SE Asia and globally. Here, we generate a comprehensive and detailed map of forest type, its condition, and some of its threats, which highlights key forest conservation areas, pinpoints frontlines within them, and provides the basis for the development of more specific objectives. We relied upon a variety of techniques to generate five main descriptors of forest quality: condition, its level of endangerment, its landscape setting, its simulated fate given a simple model of forest change, and its overall size. Using the results of this analysis, we assessed the existing protected areas (PA), recognized by the Indonesian government, and a conservation portfolio (CP) generated by a recently completed Ecoregional Conservation Assessment (ECA). Our map of conservation priorities is congruent with previous conservation activities, although several priority areas were identified outside of the current PA system and should be the focus of strategic protected area development. Our ranking system is simple, transparent, and flexible. Its modular construction will allow local managers to choose among available proxy measures and to add their own conservation values according to specific priorities and desired outcomes. We envision this analysis as the foundation upon which more specific conservation strategies, based upon detailed biotic information as it becomes available, can be developed. © 2007 The Author(s).",87,Journal,ar,Article,100,4,4,Ecoregional conservation assessment | Environmental diversity | SE Asia | Wallacea,13817,undefined,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34848890905,SCOPUS_ID:34848890905,2-s2.0-34848890905,Population patterns of a riparian frog (Rana swinhoana) before and after an earthquake in subtropical Taiwan,Lai Y.,Biotropica,00063606,17447429,39,6,731-736,2007-11-01,November 2007,10.1111/j.1744-7429.2007.00320.x,"We compared the population dynamics of a riparian ranid frog, Rana swinhoana, before (1996-1999) and after (1999-2001) a strong earthquake. This earthquake caused little disturbance to the vegetation and landscape of the study site but the stream and ponds dried up within a week. Nearly all frogs marked (1002 of 1004) before the earthquake had disappeared after the earthquake. Smaller, unmarked frogs began to appear in stream habitats about 9 mo after the earthquake, and the frog population was much smaller than it was before the earthquake. Population dynamics and temporal and spatial distribution of frogs before and after the earthquake correlated closely with the hydrology of the stream and ponds. The movement patterns of frogs before and after the earthquake were similar, suggesting frog behavior did not change in response to drastic changes in hydrology, and frogs continued to exhibit strong site-fidelity. Following the earthquake, stream water volume was much lower, especially in the summer, which allowed the normally winter-breeding frogs to breed year-round. Results demonstrate that a population of R. swinhoana can disappear suddenly as the result of a natural disturbance. We propose that anuran species that exhibit strong site-fidelity are particularly susceptible to extirpation of local populations because frogs may lack the behavioral plasticity to respond to sudden water depletion. © 2007 The Author(s).",6,Journal,ar,Article,100,3,3,Anuran | Disturbance | Ecology | Population dynamics,13817,undefined,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34848888645,SCOPUS_ID:34848888645,2-s2.0-34848888645,Leaf water repellency as an adaptation to tropical montane cloud forest environments,Holder C.D.,Biotropica,00063606,17447429,39,6,767-770,2007-11-01,November 2007,10.1111/j.1744-7429.2007.00303.x,Adaptations that reduce water retention on leaf surfaces may increase photosynthetic capacity of cloud forests because carbon dioxide diffuses slower in water than air. Leaf water repellency was examined in three distinct ecosystems to test the hypothesis that tropical montane cloud forest species have a higher degree of leaf water repellency than species from tropical dry forests and species from temperate foothills-grassland vegetation. Leaf water repellency was measured by calculating the contact angle of the leaf surface and the line tangent to a water droplet through the point of contact on the adaxial and the abaxial surface. Leaf water repellency was significantly different between the three study areas. The hypothesis that leaf water repellency is higher in cloud forest species than tropical dry forests and temperate foothills-grassland vegetation was not confirmed in this study. Leaf water repellency was lower for cloud forest species (adaxial surface = 50.8°; abaxial surface = 82.9°) than tropical dry forest species (adaxial surface = 74.5°; abaxial surface = 87.3°) and temperate foothills-grassland species (adaxial surface = 77.6°; abaxial surface = 95.8°). The low values of leaf water repellency in cloud forest species may be influenced by presence of epiphylls and loss of epicuticular wax on the leaf surfaces. © 2007 The Author(s).,31,Journal,ar,Article,100,1,1,Colorado | Contact angle | Guatemala | Leaf surface | Leaf wettability,13817,undefined,0,FALSE,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34848881591,SCOPUS_ID:34848881591,2-s2.0-34848881591,Diversity of tropical tree seedling responses to drought,Slot M.,Biotropica,00063606,17447429,39,6,683-690,2007-11-01,November 2007,10.1111/j.1744-7429.2007.00328.x,"Drought is an important seedling mortality agent in dry and moist tropical forests, and more severe and frequent droughts are predicted in the future. The effect of drought on leaf gas exchange and seedling survival was tested in a dry-down experiment with four tree species from dry and moist forests in Bolivia. Seedlings were droughted and wilting stage and gas exchange were monitored. Drought led to a gradual reduction of photosynthesis and stomatal conductance over time, whereas respiration and photosynthetic water-use efficiency initially increased with drought and then declined. Seedlings gradually went through the different wilting stages, until they eventually died, but the trajectory differed for the four species. The strong relationship between wilting stage and photosynthesis means that simple field observations can provide valuable information on plant physiological performance. Three different drought strategies were identified. Dry forest species Ceiba samauma shed its leaves and survived. The moist forest species Cariniana ianeirensis postponed drought stress by having low rates of transpiration and high water-use efficiency. Dry forest Astronium urundeuva and moist forest Triplaris americana followed an opportunistic strategy; they are early successional species that can quickly grow to maturity but periodic drought can be lethal. Strikingly, dry and moist forest species did not differ clearly in their drought tolerance strategies. © 2007 The Author(s).",48,Journal,ar,Article,100,2,2,Astronium urundeuva | Bolivia | Cariniana ianeirensis | Ceiba samauma | Drought stress | Gas exchange | Triplaris americana | Tropical dry forest | Tropical moist forest | Wilting stages,13817,undefined,0,FALSE,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34848850417,SCOPUS_ID:34848850417,2-s2.0-34848850417,"The old and young Amazon: Dung beetle biomass, abundance, and species diversity",Radtke M.,Biotropica,00063606,17447429,39,6,725-730,2007-11-01,November 2007,10.1111/j.1744-7429.2007.00324.x,"The Amazon Basin can be divided into two geomorphological regions based on the age of its soils: young (< 30 mya) and old (> 300 mya). We tested the effects of soil age on dung beetle communities by comparing biomass, abundance, and species between reserves in Ecuador on young soils and reserves in Brazil on old soils. Beetle biomass in the old Amazon was one-third that in the young Amazon, and beetle abundance in the old Amazon was one-fourth that in the young Amazon. Species richness, rarefied to equal sample sizes, was not significantly different between old and young soils. These data suggest young soils of the Amazon support a significantly greater biomass and abundance of dung beetles than old soils, but that species richness across the Basin is similar. As dung beetles are bio-indicators of mammals, our data support previous studies indicating a greater biomass of mammals on young versus old Amazon soils. © 2007 The Author(s).",13,Journal,ar,Article,100,3,3,Brazil | Ecuador | Neotropics | Productivity | Richness | Scarabaeidae | Tropical wet forest,13817,undefined,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34848849024,SCOPUS_ID:34848849024,2-s2.0-34848849024,Soil charcoal in old-growth rain forests from sea level to the continental divide,Titiz B.,Biotropica,00063606,17447429,39,6,673-682,2007-11-01,November 2007,10.1111/j.1744-7429.2007.00327.x,"Soil charcoal is an indicator of Holocene fires as well as a palaeoecological signature of pre-Colombian land use in Neotropical rain forests. To document rain forest fire history, we examined soil charcoal patterns in continuous old-growth forests along an elevational transect from sea level to the continental divide on the Atlantic slope of Costa Rica. At 10 elevations we sampled 1-ha plots, using 16 cores/ha to collect 1.5-m deep soil samples. We found charcoal in soils at every elevation, with total dry mass ranging from 3.18 g/m2 at 2000-m elevation to as much as 102.7 g/m2 at 300 m. Soil charcoal is most abundant at the wettest lowland sites (60-500 m) and less at montane elevations (> 1000 m) where there is less rainfall. Between 30- and 90-cm soil depth, soil charcoal is present consistently and every 1-ha plot has charcoal evidence for multiple fire events. Radiocarbon dates range from 23,240 YBP at 1750-m elevation to 140 YBP at 2600 m. Interestingly, none of the charcoal samples from 2600 m are older than 170 yr, which suggests that forests near the continental divide are relatively young replacement stands that have re-established since the most recent localized volcanic eruption on Volcán Barva. We propose that these old-growth forests have been disturbed infrequently but multiple times as a consequence of anthropogenic and natural fires. © 2007 The Author(s).",21,Journal,ar,Article,100,2,2,Costa Rica | Disturbance | Holocene | Land-use history | Neotropics | Palaeoecology | Tropical rain forest,13817,undefined,0,FALSE,10,NA,NA
