@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,pubmed-id,prism:eIssn
true,https://api.elsevier.com/content/abstract/scopus_id/23644444329,SCOPUS_ID:23644444329,2-s2.0-23644444329,Colombian and Costa Rican species of stipitate stereoid fungi,Welden A.,Revista de Biologia Tropical,00347744,44,SUPPL. 4,91-102,1996-12-01,December 1996,"Fourteen taxa of stipitate stereoid fungi are known from Colombia, or Costa Rica, or both. This represents about 20% of the world's species and about 40% of the New World's species. These percentages seem too low since other taxa occur in adjacent or nearby regions. Intensive collecting by resident mycologists will undoubtedly increase these percentages. A review of the genera and species of these fungi and their general distribution is presented.",0,Journal,ar,Article,100,1,1,Colombia | Costa Rica | Stipitate stereoid fungi,13567,undefined,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/17744412971,SCOPUS_ID:17744412971,2-s2.0-17744412971,Patogenicidad de Phylloporia chrysita (Aphyllophorales: Hymenochaetaceae) sobre Erythrochiton gymnanthus (Rutaceae),Esquivel R.,Revista de Biologia Tropical,00347744,44,SUPPL. 4,137-145,1996-12-01,December 1996,"The pathogenicity of Phylloporia chrysita (Berk.) Ryv. on Erythrochiton gymnanthus K. (Rutaceae) was studied in Carara Biological Reserve, seasonal Pacific of Costa Rica. Growth rate and distribution of basidiocarps were determined on healthy and diseased plants. P. chrysita caused 52% growth reduction on diseased plants. Fungal hyphae were observed on epidermis, parenchyma and vascular tissue, where they caused cellular breakdown.",9,Journal,ar,Article,100,2,2,Aphyllophorales | Costa Rica | Erytrochiton gymnanthus | Hymenochaetaceae | Pathogenicity | Phylloporia chrysita | Seedlings | Tropical forest,13567,undefined,0,FALSE,2,9397485,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1542790721,SCOPUS_ID:1542790721,2-s2.0-1542790721,Influence of nursery conditions on germination and initial development of pejibaye (Bactris gasipaes),Bernardes M.S.,Revista de Biologia Tropical,00347744,44,2,499-505,1996-12-01,1996,"Pejibaye (Bactris gasipaes) seeds were germinated in trays covered with transparent plastic. Vermiculite or composted shredded pine leaves were used as substrate. The trays were kept in a glasshouse under natural light (treatment GL) or 60% shade (treatment GS), or in an open-side plastic greenhouse under natural light (treatment PL). The total emergence percentage and the emergence rate were significantly higher for treatment GS, 45.5% and 8.62 × 10-3 day-1 respectively, than for GL (17.5% and 5.41 × 10-3 day-1) and PL (16.5% and 5.21 × 10-3 day-1), There was no difference between substrates. Higher emergence percentage in treatment GS was caused by more adequate substrate temperature (16.5°C to 31.9°C). In treatment GL the substrate temperature varied between 17.7°C and 38.5°C, achieving the highest average (28°C) and the largest thermal amplitude (20.8°C). Temperature of treatment PL varied between 12.6°C and 27.6°C, with the lowest average (20.1°C). Visual observation suggested that shade may favours the initial development of seedlings. Substrate temperature might be regarded as a better indicative of environmental conditions for germination than the air temperature. Shade inside the glasshouse protected germination substrate from extreme temperatures.",3,Journal,ar,Article,100,4,4,Bactris | Germination | Pejibaye | Seed | Shade | Substrate | Temperature,13567,undefined,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1542790646,SCOPUS_ID:1542790646,2-s2.0-1542790646,"Equatorial Subsurface Water and the nutrient seasonally distribution of the Gulf of Nicoya, Costa Rica",Chaves J.,Revista de Biologia Tropical,00347744,44,3,41-47,1996-12-01,1996,"A dry season nutrient survey was conducted in the Gulf of Nicoya, Costa Rica. The highest concentrations of nitrate and phosphate over the surveyed range ocurred at the deep waters off the gulf mouth. Vertical stratification kept the nutrient rich Equatorial Subsurface Water (ESW) at the deeper levels below the thermocline over most of the lower (outer) section of the Gulf. Higher tidal energy dissipation on the mid Gulf appears to be mixing this nutrients over the entire water column. Additionally two anchor stations were set at the western and eastern lower (outer) Gulf. There was a net flux into the Gulf of nitrate and phosphate at the west end, while at the east side nutrients are exported offshore. Survey data suggests that the major source of nitrate and phosphate for the embayment is the ESW, whereas silicate would be mostly provided by rivers. Our data and that of previous workers indicate that this pattern does not change in the rainy season. The influx of the ESW water into the Gulf of Nicoya may be dampening the seasonal signal due to runoff, at least for inorganic nitrogen and phosphorus, keeping relatively steady levels of these nutrients throughout the year over most of the Gulf.",9,Journal,ar,Article,100,2,2,Biogeochemistry | Central America | Costa Rica | Estuary | Nutrients | Seasonally | Tropical,13567,undefined,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1542785039,SCOPUS_ID:1542785039,2-s2.0-1542785039,Influencia de la salinidad y la temperatura sobre el crecimiento de Bryothamnion triquetrum (Rhodophyta: Rhodomelaceae),Areces A.J.,Revista de Biologia Tropical,00347744,44,2,449-454,1996-12-01,1996,"Salinity and temperature effects on the growth rate of Bryothamnion triquetrum, a red algae widespread in Caribbean basin, was evaluated in a range limited by naturally extreme values of these factors in the species biotope. The tropical behavior fo this species was corroborated experimentally. In the range of salinities between 27 and 43 ‰ the termal optimum of growth was 29°C and only salinities greater than 39 ‰ depressed growth. Combination of different levels of both factors showed tha with a tempetature of 29 or 32°C and salinities of 27 to 35 ‰ the weight was enhanced.",1,Journal,ar,Article,100,2,2,Bryothamnion | Growth | Rhodophyta agarophyte | Salinity | Temperature,13567,undefined,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1542784516,SCOPUS_ID:1542784516,2-s2.0-1542784516,Cultivo de Crassostrea gigas (Bivalvia: Ostreidae) en una red semirígida,Acosta Ruíz M.,Revista de Biologia Tropical,00347744,44,2,653-657,1996-12-01,1996,"A culture system, consisting of a semi-rigid net, with an ABS frame filled with styrofoam was used for the culture of the Pacific oyster Crassostrea gigas, from 3.0 mm lenght seed. The culture system was tested in three locations, two inside San Quintín Bay and one in San Martín Island. The mean monthly growth was 8.69 mm and 8.96 mm in the Bay and 7.33 mm in San Martín Island. These growth rates show that this species can attain commercial sizes in 6 months, using the culture system tested.",2,Journal,ar,Article,100,2,2,Crassostrea gigas | Cultivation | Oyster | Rearing technique,13567,undefined,0,FALSE,6,9246371,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1542737490,SCOPUS_ID:1542737490,2-s2.0-1542737490,Four new species of Tremella (Tremellales: Basidiomycotina) from Costa Rica,Bandoni R.,Revista de Biologia Tropical,00347744,44,SUPPL. 4,15-24,1996-12-01,December 1996,"Very few studies have been carried out on tropical Tremellales. Four new taxa are described, as follows: Tremella armeniaca R. Bandoni & Carranza: basidiomata superficial, lobes single or of small clusters, surfaces smooth, glossy to waxy Warm Orange to Ripe Apricot (R); nodose septate hyphae 2-5 μm ; basidiospores 6-9(-10) x 3-6 (-7) μm, ovoid, apiculate; conidia 3-5 x 1.5-2.5 μm, obovoid, ellipsoid to subcylindric. T. lilacea R. Bandoni & Carranza: basidiomata aggregated, tuberculate, anastomosing and distinctly moriform, gelatinous, pale amethyst to Pansy Purple (R); hyphae with few septa 1.5-4 μm; basidiospores mostly bullate 8.5-10 x 7-8 μm. T. nigrifacta R. Bandoni & Carranza: basidiomata erumpens, gelatinous, tuberculate, first hyaline then reddish-brown, becoming smoky and drying black; hyphae 2-5 μm with short lateral finger-like branches; gemmae present 6-8 x 5-6 μm, globose to ovoid ; basidiospores 10-14 x 9-12 μm, bullate or globose and T. roseolutescens R. Bandoni & Carranza: basidiomata pulvinate to cerebriform, soft gelatinous, Rose Pink to near Flesh Color or Salmon Color (R) changing to orange; nodose-septate hyphae 2-5 μm; scattered vesicles intermixed with basidia; basidiospores 11-15 x 9-11.5 μm, bullate to globose or ovoid. These new species were collected in La Selva Sarapiquí, Heredia; in San José; Cachí and Turrialba, Cartago; La Garita, Alajuela, Costa Rica.",5,Journal,ar,Article,100,3,3,Costa Rican fungi | Taxonomy | Tremella | Tremellaceae | Tremellales | Tropical fungi,13567,undefined,0,FALSE,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1542685450,SCOPUS_ID:1542685450,2-s2.0-1542685450,Phenolic compounds in the kola nut (Cola nitida and Cola acuminata) (Sterculiaceae) in Africa,Odebode A.,Revista de Biologia Tropical,00347744,44,2,513-515,1996-12-01,1996,"Phenolic compounds and total phenol in the two edible Cola species, C. nitida and C. acuminata, were analyzed by paper chromatography, using five solvent systems. N-butyl alcohol, acetic acid, water in the proportion of (4:1:5) yielded the highest number of phenolic compounds; catechin, quinic acid, tannic acid, and chlorogenic acid were determined to be the major components of the kola nut. There were marked differences in the amount of total phenol in each species and color characteristics-related differences within species. The percent total phenol in C. nitida was higher than in C. acuminata.",17,Journal,ar,Article,100,1,1,Biochemistry | Chemical composition | Phenolic compounds,13567,undefined,0,FALSE,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1542685360,SCOPUS_ID:1542685360,2-s2.0-1542685360,Annotated checklist of marine molluscs collected during the R. V. Victor Hensen Costa Rica Expedition 1993/1994,Cruz R.,Revista de Biologia Tropical,00347744,44,3,59-67,1996-12-01,1996,"An annotated checklist of species of marine molluscs from Golfo Dulce, Bahía Coronado and Golfo de Nicoya, Costa Rica, obtained at 20-200 m during the Victor Hensen cruise, includes 157 species: 108 Gastropoda and 49 Pelecypoda. The checklist includes station and depth data for all species.",9,Journal,ar,Article,100,1,1,Bivalvia | Costa Rica | Gastropoda | Molluscs | Taxonomy,13567,undefined,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1542679795,SCOPUS_ID:1542679795,2-s2.0-1542679795,"Fenología de las especies de Sargassum (Fucales: Sargassaceae) en tres zonas de Bahía Concepción, B. C. S., México",Núñez-López R.,Revista de Biologia Tropical,00347744,44,2,455-464,1996-12-01,1996,"To determine the Sargassum phenology in Bahía Concepción, B. C. S., we sampled once each season during a year (through 1991-92) in beds at three locations; El Gallo, La Calavera and Armenta, at the mouth, middle and top of the Bay. We did a random sampling to determine the specific composition and the development stages of the plants. Our sample unit was a one meter square. The species found were S. sinicola. S. herporhizum, and S. lapazeanum.Based on the morphological appearance, we characterized eight different development stages: seedling, juvenile, young A and B, mature, and senescent A, B, and C. The development of plants was different geographically and temporally both with the same and different species, even in the same locality. In general, Sargassum starts its development in winter, reaches maturity during spring and dies during summer. Along the bay, Sargassum shows a South to North development gradient, starting first at Armenta. S. lapuzeanum is the first to reach maturity during the year.",8,Journal,ar,Article,100,2,2,Concepcion Bay | Development stages | Phenology | Sargassum,13567,undefined,0,FALSE,10,NA,NA
