@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/1942457692,SCOPUS_ID:1942457692,2-s2.0-1942457692,The fish community in Laguna de Términos: Compared current structure,Ayala-Pérez L.,Revista de Biologia Tropical,00347744,51,3-4,783-793,2003-09-01,September 2003,"The structure of the fish community in Terminos Lagoon, Campeche, is analyzed on the base the description of the abundance, distribution, length composition and identification of the dominant species. The results are discussed and compared with the published information. 437 trawl tows were made in 19 monthly collection in 23 sites between September 1997 to March 1999. A total of 25 588 individual with a total weight of 601.5 kg were grouped in 107 species, 76 gender and 37 families. The abundance of the fish community showed the following intervals in temporal scale: 0.395 to 0.895 ind/m2; 8.637 to 18.316 g/m2 and 18.358 to 34.837 g/ind. The Shannon index oscillated between 1.875 and 3.995 and 4.94 and 7.88 respectively. 18 dominant species were identified. The most important species by its numerical abundance and appearance frequency is Arius melanopus that represents to the 26.5% of the total catch followed by Diapterus rhombeus with 18.9%. As dominant species, Bairdiella chrysura, B. ronchus, Archosargus rhomboidalis, Eugerres plumieri, Cynoscion arenarius and Chaetodipterus faber, are fishing resources with local and regional value.",22,15162786,Journal,ar,Article,100,3,3,Abundance | Diversity | Fish community | Fish ecology | Mexico | Terminos Lagoon,13567,undefined,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1942457451,SCOPUS_ID:1942457451,2-s2.0-1942457451,"A new species of slender coralsnake from Colombia, and its clinal an ontogenetic variation (Serpentes, Elapidae: Leptomicrurus)",Lamar W.,Revista de Biologia Tropical,00347744,51,3-4,805-810,2003-09-01,September 2003,"Leptomicrurus renjifoi is described from tropical semi-deciduous forest of the eastern Colombian llanos. It is one of the smallest species in the genus, is most similar to L. scutiventris, and it may be distinguished from known congeners by a combination of color, pattern, and scale characters. Evidence for the recognition of Leptomicrurus is convincing, although its members were recently thought to comprise a closely related assemblage within Micrurus. A supposedly aberrant specimen of L. scutiventris may indicate clinal or ontogenetic variation in pattern.",4,15162789,Journal,ar,Article,100,1,1,Clinal variation | Colombia | Elapidae | Leptomicrurus | Leptomicrurus renjifoi | Leptomicrurus scutiventris | Micrurus | Reptilia | Serpentes | South America | Squamata,13567,undefined,0,FALSE,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842866232,SCOPUS_ID:1842866232,2-s2.0-1842866232,Inter and intraspecific variation on reproductive phenology of the Brazilian Atlantic forest Rubiaceae: Ecology and phylogenetic constraints,San Martin-Gajardo I.,Revista de Biologia Tropical,00347744,51,3-4,691-698,2003-09-01,September 2003,"The reproductive phenology of seven species of Rubiaceae from the Brazilian Atlantic rain forest was compared to evaluate the occurrence of phylogenetic constraints on flowering and fruiting phenologies. Since phenological patterns can be affected by phylogenetic constraints, we expected that reproductive phenology would be similar among plants within a family or genus, occurring during the same time (or season) of the year. Observations on flowering and fruiting phenology were carried out monthly, from December 1996 to January 1998, at Núcleo Picinguaba, Parque Estadual da Serra do Mar, Ubatuba, São Paulo State, Brazil. Nine phenological variables were calculated to characterize, quantify and compare the reproductive phenology of the Rubiaceae species. The flowering patterns were different among the seven species studied, and the Kruskal-Wallis test indicated significant differences in flowering duration, first flowering, peak flowering and flowering synchrony. The peaks and patterns of fruiting intensity were different among the Rubiaceae species studied and they differed significantly from conspecifics in the phenological variables fruiting duration, fruiting peak date, and fruiting synchrony (Kruskal-Wallis test). Therefore, we found no evidence supporting the phylogenetic hypotheses, and climate does not seem to constrain flowering and fruiting patterns of the Rubiaceae species in the understory of the Atlantic forest.",23,15162775,Journal,ar,Article,100,2,2,Atlantic Forest | Flowering | Fruiting | Phenology | Psychotria | Rubiaceae | Synchrony,13567,undefined,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842866227,SCOPUS_ID:1842866227,2-s2.0-1842866227,Polymorphism of Phaseolus vulgaris var. aborigineus (Fabaceae). Evidences of natural hibridation,Hoc P.,Revista de Biologia Tropical,00347744,51,3-4,725-736,2003-09-01,September 2003,"A polymorphic population of Phaseolus vulgaris var. aborigineus growing at the Northwest of Argentina was studied. In order to know the origin of this polymorphism, some plants belonging to the var. aborigineus, other plants showing floral dimorphism and other individuals with particular characters were collected. Their seeds, obtained after field-work treatments of autogamy and free pollination, were sown in a greenhouse, isolated of the access of pollinators. The growth of each plant was followed until its fructification, and the number of plants that died due to infections was recorded. The number of plants that flowered and fructified was registered in order to study their reproductive success. The floral, fruit and seed qualitative and quantitative characters were documented. With the results obtained, the authors concluded that those individuals that showed floral dimorphism are probably a result of hybridization and introgression between the var. aborigineus and ""old cultivars"". This hypothesis is supported by the presence of divergent segregation, observed in the offspring of the plants with this segregation. Other crops should allow the genic flow between the parental entities, with the consequence of the establishment of an hybrid population coexistent with their ancestors. Perhaps, as a result of introgression, the stabilized lines exhibit characters different from their parental varieties. The results of autopollination and free pollination in those individuals assigned to var. aborigineus, showed that free pollination brings a great genetic plasticity, because next generations can persist and resist infections. The offspring of the F1 was followed. The plants that belonged to var. aborigineus, product of free pollination, exhibited fast growth and were healthy, while the descendant of the individuals with the floral dimorphism showed characteristics that allowed to conclude the possible existence of degeneration of the hybrid progeny; this characteristics were: curled radicles with cotyledons that never emerge, plantule's apex that soon die with the following development of branches from the cotyledon's axil, and death after some weeks. This degeneration indicates that an unwanted gene flow in the area could lead to a decline in the wild bean population. The vigor, high reproductive success and resistance to illnesses of the individuals corresponding to the var. vulgaris, whose progenitor was treated for free fecundation, and the offspring of the plants with cultivated characteristics, are indicative of the necessity of preserving this germplasm to evaluate its agronomic potential to brief term. The DNA analyses already initiated, will allow the confirmation of the hypotheses outlined in this work.",4,15162778,Journal,ar,Article,100,4,4,Fabaceae | Morphological studies | Natural hybridization | Phaseolus vulgaris | Reproductive success,13567,undefined,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842866225,SCOPUS_ID:1842866225,2-s2.0-1842866225,Lecithin essay in the diet of young Penaeus vannamei (Crustacea: Decapoda),Re-Araujo A.,Revista de Biologia Tropical,00347744,51,3-4,743-747,2003-09-01,September 2003,"The effect of different lecithin sources and presentations on growth, food conversion ratio and survival of P. vannamei (290 mg ± 0.02) was studied. The bioassay was designed in order to compare different dietary levels and different quality of lecithin. Squid lecithin, crude soybean (7%), deoiled soybean lecithin (3.48%) in combination with fish oil or squid neutral lipids, in a partially dilapidate formula. The isoenergetic diets were fed ad libitum to four replicate groups (tanks) of 15 shrimps each (5 x 4 x 15), during 28 days. The result of the bioassay with the partially dilapidate formulas was; the best growth rate (191%) and FCR (1.69±0.041) were obtained with the diet containing 7% of soybean crude lecithin as the unique lipid source. Followed by the diet countering 3.94% deoiled lecithin and 2.42% Menhaden oil (172% and 2.03±0.054 respectively). As expected, the worst results were obtained without the dietary lecithin 121% and 2.42±0.129). Crude soybean lecithin alone covered the phospholipid and neutral lipids requirements as well as the combination of deoiled soybean lecithin with fish or squid oil.",1,15162780,Journal,ar,Article,100,2,2,México | Penaeus vannamei | Shrimp nutrition | Soy lecithin | White shrimp,13567,undefined,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842866219,SCOPUS_ID:1842866219,2-s2.0-1842866219,"The family Pontellidae (Crustacea: Copepoda) in la Ventosa Bay, Oaxaca, Mexico: Systematics and basic ecology",Silva C.A.,Revista de Biologia Tropical,00347744,51,3-4,737-741,2003-09-01,September 2003,"A study on ecological records of planktonic copepods from The Ventosa Bay, Oaxaca, Mexico is presented. Five species were identified: Labidocera acuta, L. lubbockii, Pontella agassizi, P. tenuiremis and Pontellina plumata. The most abundant species was L. acuta and their copepodite stages conforming the 95.7% of Pontellids, followed by L. lubbockii 4.09%; other species were less than one percent. The reproductive success of L. acuta is probably favored by its resistance to the changes in temperature and salinity, because of it is an eurytherme and euryhaline organism. Total density of this family was between 18 and 472 copepods/100 m3 in 1987 and 1988. Nevertheless in 1992 and 1993 the density was between 490 to 123 030 copepods/100 m3. This copepod density increment could be related local phenomenon (upwelling) at the beginning and end of the year.",5,15162779,Journal,ar,Article,100,3,3,Bahia de La Ventosa | Copepods | Mexico | Oaxaca | Pontellidae | Zooplankton,13567,undefined,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842866215,SCOPUS_ID:1842866215,2-s2.0-1842866215,"A new species of hognose pitviper, genus Porthidium, from the southwestern Pacific of Costa Rica (Serpentes: Viperidae)",Lamar W.,Revista de Biologia Tropical,00347744,51,3-4,797-804,2003-09-01,September 2003,"A new species of terrestrial pitviper, Porthidium porrasi, is described from mesophytic forests of the Península de Osa and surrounding area of the Pacific versant of southwestern Costa Rica. It is most similar to P. nasutum and is characterized by a pattern of bands, persistence of the juvenile tail color in adults, and a high number of dorsal scales. Analysis of mtDNA sequences confirms its distinction from P. nasutum. The existence of this species reinforces the notion of elevated herpetofaunal endemism in southwestern Costa Rica.",8,15162788,Journal,ar,Article,100,2,2,Central America | Costa Rica | Osa Peninsula | Porthidium nasutum | Porthidium porrasi,13567,undefined,0,FALSE,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842866196,SCOPUS_ID:1842866196,2-s2.0-1842866196,"Spanish terms used to describe ""red tides""",Ochoa J.L.,Revista de Biologia Tropical,00347744,51,3-4,621-627,2003-09-01,September 2003,"An event characterized by sudden increase in phytoplankton population, in the sea or aqueous environment, is often designated by different Spanish terms that attempt to describe the nature, aspect, characteristics, and/or properties of such phenomena. In this communication, we discuss the convenience of reaching an agreement among the Spanish-speaking scientific community to use a simple Spanish term that could be much more informative and accurate when referring to Harmful Algal Blooms (HABs), in general. Summarizing the different Spanish terms historically employed to describe the proliferation of noxious phytoplankton in the sea, we propose ""Proliferación Microalgal Nociva"" (PMN = HAB) as a term that, on the basis of its etymological meaning could be considered correct. Its use could help to avoid the prevailing confusion in our language caused by different misleading terms now employed when referring to a Harmful Algal Bloom event.",0,15162768,Journal,re,Review,100,3,3,Harmful algal blooms | Microalgae | Phytoplankton | Proliferation | Red Tides,13567,undefined,0,FALSE,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842855258,SCOPUS_ID:1842855258,2-s2.0-1842855258,"Phytomedicinal potential of tropical cloudforest plants from Monteverde, Costa Rica",Setzer M.,Revista de Biologia Tropical,00347744,51,3-4,647-673,2003-09-01,September 2003,"A pharmacological survey of plants from Monteverde, Costa Rica, including 165 species representing 61 families has been carried out. Crude plant extracts have been tested for in-vitro bactericidal and fungicidal activity as well as cytotoxic and anti-herpes activity. Of these, 123 extracts exhibited notable cytotoxicity, 62 showed antibacterial activity, 4 showed antifungal activity, and 8 showed promising antiviral activity. Thus, 101 of the plant species examined in this work, or 62%, showed marked bioactivity in one or more bioassays. These results underscore the phytomedicinal potential of Neotropical cloud forests.",27,15162772,Journal,re,Review,100,6,6,Antibacterial activity | Antifungal activity | Antiherpes activity | Costa Rica | Cytotoxic activity | Monteverde Cloud Forest Preserve,13567,R15CA074343,0,FALSE,9,NCI,National Cancer Institute
true,https://api.elsevier.com/content/abstract/scopus_id/1842855253,SCOPUS_ID:1842855253,2-s2.0-1842855253,Sexual compatibility between two types of Hylocerus (Cactaceae),Castillo M R.,Revista de Biologia Tropical,00347744,51,3-4,699-705,2003-09-01,September 2003,"There are two types of pitahaya that are cultivated in Yucatan Peninsula of Mexico. They differ mainly in the skin color of the fruit, one of them has a red skin (Uqroo1), while the other has a light yellow skin (Uqroo2) both belong to Hylocereus undatus (Haworth) Britt. & Rose. The yellow skin pitahaya is the sweetest. The studies were conducted using the methods of self pollination and cross pollination, with direct crosses and reciprocal pollination in order to evaluate the effect related to the quantity of fruits that accomplish their growing process. Some characteristic parameters of fruits, thus obtained, were used to detect the possible xenic effect. The control samples were collected from naturally pollinated flowers. The experimental design used was completely random and the experiment was repeated fifteen times. The results revealed that the Uqroo1 turned out to be self-compatible, and their fruits reached one hundred percent of development. On the other hand, Uqroo2 was self-incompatible, that is, it did not accept self pollen. The control samples of both types reached the same weight, and the fruits of the Uqroo2 produced by cross pollination had the same or more weight than the control samples. Several parameters were positively correlated. The coefficient between the number of seeds and the fruit weight was r = 0.84. The highest correlation that was found (r = 0.97) in the fruit weight and the pulp weight within both types. The fruits obtained by cross-pollination maintained the characteristic of the female progenitor. It is suggest intercalate the yellow pitahaya plants with another types or species of pitahaya, other than the Uqroo1.",7,15162776,Journal,ar,Article,100,4,4,Cactaceae | Compatibility system | Hylocereus | Pitahaya | Pollination,13567,undefined,0,FALSE,10,NA,NA
