@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,entry_number,dc:description,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/84987815274,SCOPUS_ID:84987815274,2-s2.0-84987815274,The satyr effect: A model predicting parapatry and species extinction,Ribeiro J.,American Naturalist,00030147,128,4,513-528,1986-10-01,October 1986,10.1086/284584,116,Journal,no,Note,100,2,2,12604,NIAID,AI15886,National Institute of Allergy and Infectious Diseases,0,FALSE,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022908564,SCOPUS_ID:0022908564,2-s2.0-0022908564,The relationship between use and suitability of resources and its consequences to insect population size.,Soberon M. J.,American Naturalist,00030147,127,3,338-357,1986-01-01,1986,10.1086/284488,9,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,2,"A perhaps complex relation between patterns of use and the suitability of resources should determine the value of the carrying capacity of an animal population. The measurements both of use patterns and of suitability patterns are eased by restricting them to certain insect species that are monophagous as individuals. Mathematical modeling leads to a new concept, euchresis, defined as the degree of association between the pattern of the use of resources and the corresponding pattern of suitability, to the proposal of indexes to measure this, and to the hypothesis that population size and euchresis should be positively correlated whenever the resources are not dynamically coupled to the exploiters. -from Author",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0022908416,SCOPUS_ID:0022908416,2-s2.0-0022908416,Evolutionary ecology of seed-bank annuals in temporally varying environments.,Brown J.,American Naturalist,00030147,127,1,31-47,1986-01-01,1986,10.1086/284465,180,Journal,ar,Article,100,2,2,12604,NA,undefined,NA,0,FALSE,3,"The production of long-lived seeds by annual plants introduces a unique form of age structure. In a temporally varying environment the dormant seed may experience many years with different weather, whereas the germinating individual experiences only the weather conditions of a single growing season. Natural selection operates on both the between-year dormancy and on non-seed-bank traits that affect the degree of specialization to conditions pertaining in different year types. An integrated model permits these 2 aspects of the life history to evolve simultaneously, and leads to predictions that are not attainable by considering the evolution of each in isolation. Changes in the survival probability of the between-year seed bank select for reinforcing changes in between-year dormancy and specialization. Changes in the probability of occurrence of different year types select for damping changes in between-year dormancy and specialization. Across a gradient in environmental quality, most change should occur in between-year dormancy, with little change in specialization. If between-year dormancy is fixed, however, a greater change in specialization should occur. The predictions of the model are discussed in terms of environmental gradients, seed bank versus non-seed-bank annuals, and a variety of plant traits modeled elsewhere that may be involved in specialization to different types of years. -Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022905567,SCOPUS_ID:0022905567,2-s2.0-0022905567,Species packing in Desmognathus salamanders: experimental demonstration of predation and competition.,Hairston N.,American Naturalist,00030147,127,3,266-291,1986-01-01,1986,10.1086/284485,106,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,4,"Experiments were conducted in the Nantahala Mountains, North Carolina, with D. quadramaculatus, the largest and most aquatic; D. monticola, the next largest, a stream-bank species; D. ochrophaeus, smaller and largely terrestrial; and D. aeneus, the smallest and most terrestrial. The outcome of removal experiments largely supported the hypothesis that predation is the important organizing force. When D. ochrophaeus individuals were removed, the abundance of both larger species decreased significantly, relative to their abundance on control plots. Removing D. monticola salamanders led to the expected increase in the abundance of D. ochrophaeus, thus completing the predictions of the predation hypothesis. There was a small but statistically significant increase in the numbers of D. quadramaculatus, a result that confirmed the existence of competition. D. monticola and D. quadramaculatus compete for food and D. ochrophaeus is an important item in their diets. -from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022905253,SCOPUS_ID:0022905253,2-s2.0-0022905253,Character displacement between distantly related taxa? Finches and bees in the Galapagos.,Schluter D.,American Naturalist,00030147,127,1,95-102,1986-01-01,1986,10.1086/284470,32,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,5,"Presents evidence that competition for flower nectar has resulted in character displacement between finches and the large carpenter bee Xylocopa darwini on the Galapagos Islands. Use of flower nectar by Geospiza fuliginosa and G. difficilis species was higher on average on 3 islands where flowers are present but bees are absent than on islands where bees are present; mean body size of the 2 finch species is smallest on the same 3 islands; and in one finch population, individuals that exploited flower nectar were smaller in size than individuals that did not. Alternative explanations for these results are discussed. The form of character displacement between distantly related species may differ in general from that between closely related species. -from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022901040,SCOPUS_ID:0022901040,2-s2.0-0022901040,Lactation and fetal sex ratios in American bison.,Rutberg A.,American Naturalist,00030147,127,1,89-94,1986-01-01,1986,10.1086/284469,69,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,6,"The preponderance of male offspring among non-lactating cows is consistent with the Trivers-Willard hypothesis, but all such results are subject to a reporting bias and should be replicated where possible. Unnatural conditions-such as culling and abundant year-round grazing at the Bison Range-may produce results not interpretable under adaptation hypotheses. -from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022891666,SCOPUS_ID:0022891666,2-s2.0-0022891666,Habitat saturation in groove-billed anis ( Crotophaga sulcirostris).,Koford R.R.,American Naturalist,00030147,127,3,317-337,1986-01-01,1986,10.1086/284487,14,Journal,ar,Article,100,3,3,12604,NA,undefined,NA,0,FALSE,7,"The population was nonmigratory, density was relatively stable over the 5-yr study period; 14% of the breeding units each year could have resulted from colonization that year. On the average, c1/4 of the birds that reach breeding age apparently cannot find breeding vacancies; a small number of these become helpers in their natal units, and the rest apparently die without breeding. These findings indicate habitat saturation. Reproductive success was highest in large territories and those with many trees. The amount of area covered by tree canopies also affected territory quality, particularly for large groups; groups with little of their territories covered by tree canopies were often unsuccessful. The existence of these large groups in territories where their reproductive success was relatively low may be another indication that the option of dispersing is somewhat restricted. Average reproductive success of individuals in small groups was about the same as it was for pairs, as was the reproductive success of large groups in high-quality territories. Thus, a pair in a high-quality territory could apparently allow one or more of their offspring to remain with them to breed as a group without suffering any reduction in future reproductive success. For newly mature birds, plural breeding seems to be a better option than remaining in the natal unit as nonbreeding helpers, even if the young birds must disperse and face the dispersal risk associated with habitat saturation. -from Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022889518,SCOPUS_ID:0022889518,2-s2.0-0022889518,The nature of nutrient limitation in plant communities.,Chapin F.,American Naturalist,00030147,127,1,48-58,1986-01-01,1986,10.1086/284466,548,Journal,ar,Article,100,3,3,12604,NA,undefined,NA,0,FALSE,8,"Difficulties occur in transferring the concept of nutrient limitation directly to plant communities because 1) in comparing communities with different dominant species, the species characteristic of nutrient-rich sites are inherently more responsive to nutrient sites, and 2) ecosystem-level feedback complicates the analysis of experiments involving fertilization. Nutrient limitation in communities can be best measured by assessing the plants' response to large nutrient additions that are sufficient to saturate chemical and microbial immobilization processes and still meet plant nutrient requirements. The magnitude of community-level nutrient limitation is highly sensitive to the potential growth rate of component species; it may be greatest in sites of intermediate fertility. -from Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022872930,SCOPUS_ID:0022872930,2-s2.0-0022872930,"Three-way interactions: barnacles, limpets, and algae in a Sonoran Desert rocky intertidal zone.",Dungan M.,American Naturalist,00030147,127,3,292-316,1986-01-01,1986,10.1086/284486,76,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,9,"Competition for space, apparently via space preemption, between the barnacle Chthamalus anisopoma and an encrusting alga of the genus Ralfsia was consistently evident. Grazing by the limpet Collisella strongiana limited algal abundance and indirectly increased the abundance of Chthamalus; no direct effect of Collisella on Chthamalus was detectable. High percent cover of Chthamalus reduced both algal and limpet abundances. Chthamalus affected Ralfsia both directly, through space preemption, and indirectly, by limiting limpet densities. In one experiment, these opposing effects were equivalent, resulting in no net effect of the removal of Chthamalus on Ralfsia. Results also indicated a negative feedback loop: removal of Chthamalus increased limpet densities, which suppressed any increase in Ralfsia, enhancing the recovery of Chthamalus. The above interactions imply a beneficial indirect effect of Ralfsia on Collisella, arising from the prevention of Chthamalus settlement by Ralfsia. Predation on Chthamalus by the gastropod Acanthina angelica is also of major importance in this system.-from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022861428,SCOPUS_ID:0022861428,2-s2.0-0022861428,Complementary models for ecosystems.,Reiners W.,American Naturalist,00030147,127,1,59-73,1986-01-01,1986,10.1086/284467,245,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,10,"Two complementary models of ecosystems are suggested: the first based on energy, the second on matter. The first follows from the second law of thermodynamics, the second from the chemical stoichiometry of the biota. These models can be developed independently but have many points of interaction. These points yield another series of predictions and hypotheses. While these complementary models serve as theoretical structures for much of the body of ecosystem concepts, they are not adequate by themselves. Other complementary models, perhaps centered on explicit linkages at the population and community levels, are necessary. -from Author",NA,NA
