@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,authkeywords,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/20644454640,SCOPUS_ID:20644454640,2-s2.0-20644454640,Facultative ant-plant interactions: nectar sugar preferences of introduced pest ant species in south Florida,Koptur S.,Biotropica,00063606,30,2,179-189,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00053.x,"We observed nectar use by native and exotic ant species in nature, garden, and urban situations, and found ants utilizing flora and extrafloral nectar of a variety of flowering plant species. We collected 31 plant nectars (29 floral, 2 extrafloral) and used them in feeding preference tests against standard solutions of sugars (20 percent frutose, glucose, and sucrose, and their mixture), 10 tirals for each nectar-ant comparison. We compared time-to-discovery and total ant visits to each droplet using ANOVA, and found that both trial and solution contributed significantly to the variation in most experiments. Seven of the flora nectars tested were significantly more attractive to certain ant species than the sugar solutions. Not only do ants use floral nectar, but it appears that some flora nectars contain compounds that are especially attractive to ants.",39,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/20644447108,SCOPUS_ID:20644447108,2-s2.0-20644447108,Edaphic distribution of some species of the fern genus Adiantum in western Amazonia,Tuomisto H.,Biotropica,00063606,30,3,392-399,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00073.x,"The distribution patterns of Adiantum species were inventoried at twelve noninundated rain forest (tierra firme) sites in Amazonian Peru and Ecuador. Six species belonging to the genus were found, and four of these were abundant at some of the sites. At six of the sites none of the species was particularly abundant. Both the occurrence and the abundance of the species varied among sites with regard to soil texture and concentration of exchangeable bases and within sites with regard to topography. Adiantum tomentosum Klotzsch was restricted to loamy soils with intermediate to low content of extractable bases and was locally most abundant in the well drained parts of slopes and ridge tops. Adiantum terminatum Kunze ex Miq. and A. humile Kunze occurred at sites with intermediate to high content of extractable bases, but their relative abundances differed among and within sites. Adiantum pulverulentum L. was restricted to soils with relatively high base concentration. Ecological differences among the species obviously explained many of the differences in their distribution patterns at the local and regional scales, and may be important for the understanding of such patterns at biogeographical scales as well.",40,Journal,ar,Article,100,3,3,13817,undefined,0,FALSE,2,"Adiantum humile | Adiantum pulverulentum | Adiantum terminatum | Adiantum tomentosum | Ecuador, Amazonia | Fern | Peru, Amazonia | Rainforest | Soil property | Spatial distribution",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/20644436464,SCOPUS_ID:20644436464,2-s2.0-20644436464,Frugivory and seed dispersal by four species of primates in Madagascar's eastern rain forest,Lawrence Dew J.,Biotropica,00063606,30,3,425-437,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00076.x,"In the unique faunal assemblage of the Malagasy rain forest, lemurs appear to play particularly important roles as seed-dispersing frugivores. A three-month study of feeding ecology and seed dispersal by four species of lemurs in Madagascar's eastern rain forest found that three species, Eulemur rubriventer, Eulemur fulvus, and Varecia variegata were seed dispersers, and the fourth, Propithecus diadema, was a seed predator. In germination trials, seeds passed by lemurs sprouted significantly faster and in greater numbers than those not passed by lemurs. Analysis of fruit morphologies of 69 local plant taxa producing fleshy fruits during the study period found that these fruits fell into two well-defined color categories that correlated significantly with fruit size. Seventy seven percent of fleshy fruits greater than 10 mm in diameter were colored green, brown, tan, purplish, or black, while all fruits less than 10 mm in diameter were colored red, yellow, orange, pink, blue, or white. Three introduced exotic plant species provided exceptions to this pattern, producing fruits which were larger than 10 mm and pink or orange. Fruits chosen by the primates in this study were usually larger than 10 mm in diameter and were in nearly all cases colored green, brown, tan, purplish, red, or some combination of these colors. Morphological traits shared by fruits of multiple plant taxa in the diets of seed-dispersing lemurs suggest possible coevolved relationships between Malagasy rain forest plants and lemurs.",109,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,3,Eulemur fulvus | Eulemur rubriventer | Frugivory | Germination | Madagascar | Primate | Propithecus diadema | Rainforest | Seed dispersal | Varecia variegata,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032448846,SCOPUS_ID:0032448846,2-s2.0-0032448846,"Emergence, echolocation, diet and foraging behavior of Molossus ater (Chiroptera: Molossidae)",Fenton M.B.,Biotropica,00063606,30,2,314-320,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00065.x,"Between 4 and 16 Januiary 1996, during a period of cool weather, we studied the emergence and foraging behavior of Molossus ater at a site near Akumal, in the Yucatan Peninsula in Mexico. The bats, a colony of at least 32 individuals, roosted in a north-facing cinder block wall, and emerged about sunset. Emerging bats were usually clustered in time, while those returning usually were not. Radio-tracking revealed that the bats foraged for short periods (mean 26.8 min) and captures of returning individuals indicated that 27 or 28 had fed, taking, on average, 4.4 g of insects, mainly hydrophilid beetles. On some nights, few or none of the radio-tagged bats emerged from the roost. Calculations concerning the costs of flight and roosting show that they were more than covered by the energy intake the bats achieved. Molossus ater havehigh aspect ratio (8.3-9.1) wings and high wing-loadings of 17.55-24.15 N/m2. When searching for prey, these bats produce long (12.3 ms), narrowband (3.8 kHz), echolocation calls that sweep from 27.6-23.8 kHz. Energy was not limiting for these bats at the time of our study.",36,Journal,ar,Article,100,13,13,13817,undefined,0,FALSE,4,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032446098,SCOPUS_ID:0032446098,2-s2.0-0032446098,The effect of rust infection on reproduction in a tropical tree (Faramea occidentalis),Travers S.,Biotropica,00063606,30,3,438-443,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00077.x,"Fungal pathogens that infect reproductive structures of plants (e.g., flowers and fruits) can reduce the seed production and seedling recruitment of host plants. We report here on the effects of a rust, Aecidium farameae, that infects the ovaries and pedicels of mature flowers on Faramea occidentalis (Rubiaceae), a small tree common on Barro Colorado Island, Republic of Panama. Rust infection of ovaries reduced the number of maturing fruit on infected trees. Trees with low rust incidence in June of 1992 had 68 percent fruit survival, compared to 17 percent fruit survival for those with high rust incidence. Infected fruits developed abnormally and were usually aborted long before uninfected fruits were mature. One hundred percent of the infected ovaries marked in July were diseased or missing in August. We conclude that infection by A. farameae has the potential to seriously decrease the reproductive output of Faramea occidentalis and may represent an important source of variation in the relative fitness of individual plants.",7,Journal,ar,Article,100,3,3,13817,undefined,0,FALSE,5,Barro Colorado Island | Faramea occidentalis | Fungal disease | Host-pathogen interaction | Panama | Reproductive biology | Tree,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032446097,SCOPUS_ID:0032446097,2-s2.0-0032446097,Pattern and performance of understory bamboos (Chusquea spp.) under different canopy closures in old-growth oak forests in Costa Rica,Widmer Y.,Biotropica,00063606,30,3,400-415,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00074.x,"The effect of canopy closure on spatial and morphological patterns of three understory Chusquea species was studied in pristine upper montane oak forests. Plots with either Chusquea talamancensis Widmer and L.G. Clark or C. tomentosa Widmer and L.G. Clark were set out in gaps, under intermediate tree canopy and under closed canopy. The third species Chusquea foliosa L.G. Clark was only found in gap and intermediate canopy sites in the study area. Clumps of all bamboo species tend to be few and large under open conditions and numerous and small under more shady conditions. The larger size of clumps in gaps is reflected in the number of culms per clump, the diameter of the culms and, as a consequence, clump basal area, clump crown area, and biomass (index of plant volume) compared to intermediate and closed canopy. The smaller clump density in gaps compared to closed canopy implies that there is more intraspecific competition and density dependent mortality (self-thinning effect) when a bamboo species is dominant under favourable light conditions. Parameters of performance like culm length, number of nodes per culm, number and length of primary branches, and number of branch nodes seem not to be affected by the light regime, unlike total number of branches, total branch length, and the branching pattern. Species differ in their response to the light environment: C. tomentosa and C. foliosa have a higher degree of morphological plasticity than C. talamancensis, which in turn, appears to be more shade tolerant. No difference between species has been found regarding their contribution to vegetation, parameters reflecting abundance per unit area (site clump area, site crown area and site index of clump volume) were similar for all three species.",33,Journal,ar,Article,100,1,1,13817,undefined,0,FALSE,6,Canopy gap | Chusquea foliosa | Chusquea talamancensis | Chusquea tomentosa | Costa Rica | Light effect | Morphology | Old-growth forest | Population density | Understory,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032445851,SCOPUS_ID:0032445851,2-s2.0-0032445851,Tree mortality and collecting botanical vouchers in tropical forests,Phillips O.L.,Biotropica,00063606,30,2,298-305,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00063.x,"There is growing concern about the potential impact of researchers on tropical forest ecology, but few data. The aim of this paper is to examine the effects of collecting botanical specimens from tropical forest trees on their subsequent survivorship, using mortality data from plots in Amazonian Peru that were established in 1989 and reinventoried in 1994. In total, 2017 trees were originally tagged and collections were made from 948 trees. Making voucher collections always involved using unsterilized telescopic plant collecting poles to cut representative small brancyhes, and sometimes also involved using iron-spiked tree-climbing gear to gain access to the canopy. Annual mortality in the four plots averaged 1.99 percent. Among the whole population of dicotyledenous trees, there was no detectable difference between the mortality rate of collected trees (1.96%) and noncollected tress (2.29%). We conclude that in spite of the physical damage caused to collected trees, collecting voucher specimens from tropical moist forest trees may not affect their survivorship, at least in the short-term. Further studies are needed to fully evaluate the potential impacts of research activities on permanent forest plots in the tropics.",13,Journal,ar,Article,100,3,3,13817,undefined,0,FALSE,7,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032445850,SCOPUS_ID:0032445850,2-s2.0-0032445850,The polarization of light in a tropical rain forest,Shashar N.,Biotropica,00063606,30,2,275-285,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00061.x,"The light environment within forests presents complex patterns of brightness and spectral distribution of light. The polarized light field is no less complex. Using an imaging polarized light analyzer, we examined the natural fields of linearly polarized light in the tropical rain forest of Guatopo National Park, Venezuela. We found that the celestial polarization pattern remains visible underneath the forest canopy, although cloud and fog coverage may diffuse the light and reduce the polarization signal. We characterized several distinct light environments, each having a characteristic polarized light field. Furthermore, objects throughout the forest reflect light that is polarized in a predictable fashion depending upon the material, structure, and orientation of the reflecting surface. As a consequence of these patterns in the distribution of 0polarized light, some functions of polarization vision, such as navigation, must be limited to the spaces exposed to several extended portions of the sky, while others, such as remote sensing of surface orientation, object detection, and breaking of camouflage would be useful throughout the forest. The polarization of light adds another dimension to the complexity of the rain forest photic environment.",37,Journal,ar,Article,100,4,4,13817,undefined,0,FALSE,8,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032445213,SCOPUS_ID:0032445213,2-s2.0-0032445213,Disturbance and seasonal dynamics of mycorrhizae in a tropical deciduous forest in Mexico,Allen E.B.,Biotropica,00063606,30,2,261-274,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00060.x,"Mycorrhizal fungi were sampled in a deciduous tropical forest on the Pacific coast of Mexico during different seasons and in natural treefall gaps and pastures. All 12 plant species sampled in the forest were arbuscular mycorrhizal. The percent root infection and spore production were closely related to the phenology of the plants. Most tree species and all herbaceous species had the highest infection in the summer rainy season, but two species, Opuntia excelsa and Jacquinia pungens, had highest infection in the dry season. Unusually high rainfall during the dry season was associated with increased infection but not increased spore production. Spore density was low for all species at all sample times, except at the beginning of the July 1993 rainy season in, when we observed up to 28 spores/g soil. The percent cover of shrubs or herbs did not increase in gaps after two years, and we observed no colonizing seedlings. No plant species with cover higher than 2.7 percent occurred exclusively in gaps or forest. The percent mycorrhizal infection did not differ significantly between gaps and forest. Spore counts were as high in the gaps as in the forest in two of the three gaps but lower in the third gap. The lack of significant response of plants in these gaps after two years differed from the rapid response in tropical rainforests. It is likely related to the small size of the gaps and to light infiltration to the forest floor. Pasutres were dominated by two species of exotic grasses and one specie sof mycorrhizal fungus, whereas forest had 15 fungal species. The slow regrowth of vegetation in gaps was not limited by mycorrhizal fungi, since they were still abundant after the treefalls, but recovery in pastures could be affected by low fungal diversity and dominance of grasses.",72,Journal,ar,Article,100,5,5,13817,undefined,0,FALSE,9,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032445211,SCOPUS_ID:0032445211,2-s2.0-0032445211,Geographical and seasonal variation in the richness of ant-plant interactions in Mexico,Rico-Gray V.,Biotropica,00063606,30,2,190-200,1998-01-01,1998,10.1111/j.1744-7429.1998.tb00054.x,"The richness and seasonal variation of ant-plant interactions were compared in four habitats in Mexico: lowland tropical dry forest (La Mancha, Veracruz), coastal sand dune matorral (San Benito, Yucatan), semiarid highland vegetation (Zapotitlan, Puebla), and lower montane humid forest (Xalapa, Veracruz). The effects of temperature and precipitation on the seasonal distribution of the number of ant-plant interactions differed among habitats. The general linear models fitted to the ant-plant interaction curves explained 78.8 percent of the variation for La Manca, 80.1 percent for Zapotitlan, 18 percent for San Benito, and 29.5 percent for Xalapa. Even though rainfall is low in Zapotitlan and San Benito, minimum temperature was the most important factor accounting for the seasonal distribution and low number of interactions. At La Mancha, with milder minimum temperatures and higher water availability, temperature alone did not account for the seasonal distribution and number of interactions, whereas the effect of the precipitation × temperature interaction was highly significant. Xalapa exhibits the lowest temperatures and the highest precipitation, but the role of these factors was only margina. We suggest that the vegetation at Xalapa, a mixture of tropical and temperate floristic elements, constrains ant-plant interactions due to a limited presence of nectaries. Also, ants are less abundant in cool and relatively aseasonal habitats. The other habitats have tropical floristic elements that are abundant and frequently have nectar-producing structures. We report considerable variation among habitats in the number and seasonal distribution of ant-plant interactions, and suggests that it is due to the effect of variation in environmental parameters, the richness of plants with nectaries in the vegetaiton, and habitat heteorgeneity.",78,Journal,ar,Article,100,6,6,13817,undefined,0,FALSE,10,NA,NA,NA
