@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,dc:description
true,https://api.elsevier.com/content/abstract/scopus_id/0001076782,SCOPUS_ID:0001076782,2-s2.0-0001076782,Parent-specific gene expression and the triploid endosperm,Haig D.,American Naturalist,00030147,134,1,147-155,1989-12-01,1989,10.1086/284971,366,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,all,All Open Access,1,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024944730,SCOPUS_ID:0024944730,2-s2.0-0024944730,Variation and function of cucurbitacins in Cucurbita: an examination of current hypotheses,Tallamy D.,American Naturalist,00030147,133,6,766-786,1989-01-01,1989,10.1086/284952,52,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,NA,NA,2,Current interspecific and intraspecific patterns of cucurbitacin variation in the genus Cucurbita reflect an evolutionary compromise between several abiotic determinants of cucurbitacin metabolism and the conflicting pressures of both physiologically nonadapted and adapted cucurbit herbivores. -from Authors
true,https://api.elsevier.com/content/abstract/scopus_id/0024944049,SCOPUS_ID:0024944049,2-s2.0-0024944049,Sink or swim: growth dynamics and zooplankton hydromechanics,Power J.,American Naturalist,00030147,133,5,706-721,1989-01-01,1989,10.1086/284946,19,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,NA,NA,3,"Adjusting and maintaining a vertical position is of importance to zooplankton, but the development of the energetically significant values of weight in water (equal to the force the animal must exert to maintain position), weight per unit of body mass, and sinking speeds with animal growth does not appear to have been studied. A framework for developing these quantities over time is presented. Interpretation of the functional relation is facilitated by developing the equations in nondimensional form. A zooplankter's weight in water, weight per mass and sinking speed are likely to change non-linearly with animal growth, may change quite rapidly at certain stages of development, and may have maxima or minima. The changes could have significant energetic implications for zooplankton. Development of weight in water and the development of sinking speed are frequently altered and offset by developmental and biochemical adaptations such as swim bladders, lipid accumulation and ion regulation. Stress from suboptimal conditions will alter a zooplankter's hydromechanics and may further compound any debilitating effects. -from Author"
true,https://api.elsevier.com/content/abstract/scopus_id/0024940719,SCOPUS_ID:0024940719,2-s2.0-0024940719,"Extinction, colonization and population structure: a study of a milkweed beetle",McCauley D.,American Naturalist,00030147,134,3,365-376,1989-01-01,1989,10.1086/284986,42,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,NA,NA,4,"Extinction rates and the composition of colonizing groups were investigated for Tetraopes tetraophthalmus (Coleoptera: Cerambycidae). Four of 33 natural populations became extinct over 6 yr of observation, yielding an extinction probability of c2% per generation, sufficient to influence population structure. Study of migration into 8 experimental patches of milkweed showed that an average of 3 beetles invade an unoccupied site each year, ie significant genetic drift could be associated with the founding of populations. Variation about this average was significant from site to site and from year to year, tending to reduce the average effective number of colonists. Although the sex ratio of colonists, pooled across sites and years, was close to 50:50, significant but opposite deviations from this ratio were observed in 2 of 3 yr. Individuals migrating into patches persisted for 6 days, on average. The relative isolation of some of the experimental patches from potential sources of the migrants demonstrated that at least occasional dispersal events on the order of several kilometers occur in this species, raising the possibility that considerable gene flow could also be associated with the founding events. -from Author"
true,https://api.elsevier.com/content/abstract/scopus_id/0024939672,SCOPUS_ID:0024939672,2-s2.0-0024939672,Alternative models of territorial polygyny in birds,Searcy W.,American Naturalist,00030147,134,3,323-343,1989-01-01,1989,10.1086/284984,111,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,NA,NA,5,"Proposes a set of models for the explanation of territorial polygyny, outlines general methods for testing the models, and applies the tests in detail to 4 species. In all species, polygyny seems to be based on female choice rather than on male coercion. For red-winged blackbirds Agelaius phoeniceus, evidence indicates that mating with already-mated males is not costly to females. Polygyny in this species is probably best explained by models in which polygyny either has a net benefit or has no cost or benefit to females and in which the degree of polygyny is increased by female choice based on territory quality. In pied flycatchers, Ficedula hypoleuca, polygynous mating does seem to be costly to females. We can reject models in which females are forced to pay the cost because of a skewed sex ratio and those in which females are compensated for the cost. Polygyny in pied flycatcher is explained by models in which females pay a cost of polygynous mating for which they receive no compensation; discrimination among cost no-compensation models is difficult. Evidence regarding whether polygyny is costly to females is less conclusive in the other species examined, but what evidence there is supports a cost in marsh wrens Cistothorus palustris, and no cost in yellow-headed blackbirds Xanthocephalus xanthocephalus. No one model explains territorial polygyny in all species with this system. -from Authors"
true,https://api.elsevier.com/content/abstract/scopus_id/0024939460,SCOPUS_ID:0024939460,2-s2.0-0024939460,"LIfe-historical consequences of density-dependent selection in the pitcher-plant mosquito, Wyeomyia smithii",Bradshaw W.,American Naturalist,00030147,133,6,869-887,1989-01-01,1989,10.1086/284957,37,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,NA,NA,6,"Over its range, the pitcher-plant mosquito, experiences a gradient in density-dependent development. In each of 12 populations from 6 geographical regions over a range of 19° latitude and 900 m altitude, the authors determined capacity for increase and its components at 4 densities. Capacity for increase and its components, replacement rate and mean generation time, exhibited significant variation among densities and among localities within regions but not among regions. There was no trade-off among populations in capacity for increase at high and low densities. Consequently, variation in these fitness traits did not reflect major differences in climate or degree of density-dependent selection prevailing at the locality of origin. Hybrids between populations exhibited heterosis in capacity for increase and in both of its components. Despite a lack of differences in density tolerance among zones, southern populations exhibited greater competitive ability than did northern populations. Competitive ability can therefore evolve independently of density tolerance and can be assessed only by direct competition of the genotypes, populations, or species concerned. -from Authors"
true,https://api.elsevier.com/content/abstract/scopus_id/0024937022,SCOPUS_ID:0024937022,2-s2.0-0024937022,Population differentiation and the correlation among traits at the population level,Goodnight C.,American Naturalist,00030147,133,6,888-900,1989-01-01,1989,10.1086/284958,13,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,NA,NA,7,"Significant genetic variance for both population sizes and emigration rate was found in Tribolium castaneum and T. confusum. In addition, a genetic correlation between population size and emigration rate was found in T. confusum. Results provide empirical evidence that correlations may occur between traits measured at the group level. These genetic correlations at the group level may be due, at least in part, to nonadditive genetic variance that is contributing to the differentiation of populations. This finding corroborates earlier experiments suggesting that at least a portion of the correlation between population size and emigration rate in T. confusum is due to ecological interactions among individuals. These ecological interactions, which contribute only to the environmental variation at the individual level, become heritable at the group level. -from Authors"
true,https://api.elsevier.com/content/abstract/scopus_id/0024935918,SCOPUS_ID:0024935918,2-s2.0-0024935918,Environmental sex determination with overlapping generations,Charnov E.,American Naturalist,00030147,134,5,806-816,1989-01-01,1989,10.1086/285012,9,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,all,All Open Access,8,"A population-genetics model is developed for environmental sex determination (ESD) in age-structured (overlapping-generation) populations. The model allows opportunities for reproduction by either sex to vary with spatial location (patch type) but not with age. The model is applied to Salix arctica, a dioecious plant that shows habitat segregation by sex and a female-biased sex ratio. To explain the sex-ratio data, the model predicts that male mortality in both patch types is higher than female mortality and that the mortality ratio is much higher (c12 times) in the dry patches. The sex-ratio data cannot be explained by current (eg discrete-generations) ESD theory. The ""non-adaptation' hypothesis that the habitat-specific sex ratios are generated by sex-differential mortality is also discussed. The current model may aid in making decisions about whether habitat-specific sex ratios arise from ESD or from differential mortality, be it sex-specific or patch-specific. -Authors"
true,https://api.elsevier.com/content/abstract/scopus_id/0024934129,SCOPUS_ID:0024934129,2-s2.0-0024934129,Sources of variation in plant reproductive success and implications for concepts of sexual selection,Lyons E.,American Naturalist,00030147,134,3,409-433,1989-01-01,1989,10.1086/284988,68,Journal,ar,Article,100,5,5,12604,undefined,0,FALSE,NA,NA,9,"There is growing evidence of nonrandom reproductive success in plants. An experimental protocol was designed to yield more information on nonrandom transmission in general and on sexual selection as a special case. Reproduction is separated into pollination, fertilization and seed-maturation phases, in which functional processes associated with the genders are known and in which the genders can be manipulated. Sources of variation in reproductive success are then identified by systematically repeating a reciprocal-crossing design with treatments that alter the intensity with which males and/or females can interact. -from Authors"
true,https://api.elsevier.com/content/abstract/scopus_id/0024932643,SCOPUS_ID:0024932643,2-s2.0-0024932643,Optimal growth schedule of a perennial plant,Iwasa Y.,American Naturalist,00030147,133,4,480-505,1989-01-01,1989,10.1086/284931,132,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,NA,NA,10,"The optimal growth schedule of a deciduous perennial plant is studied theoretically, making 3 basic assumptions: 1) the daily net photosynethetic rate of a plant increases but saturates with the size of the production part (vegetative organs working for photosynthesis), 2) the production part is discarded at the end of the growing season, but it may be rebuilt at the beginning of the next season; and 3) the plant maximizes the lifetime reproductive investment by choosing both the growth schedule within each season and the resource allocation between reproduction for the year and storage for the next season. Analysis showed 3 basic results. 1) The annual life cycle is optimal under low storage efficiency, low habitat reliability, low growth rate, and a short growing season. 2) Under any other conditions, perennial growth is optimal. During years in which the final amount of resources is smaller than a critical value, the plant remains immature and saves all of the resources for the next season. If it becomes larger, the plant invests the excess in reproductive activities and repeats the same growth schedule thereafter (steady state). 3) Reproductive effort of a mature plant is high for an annual, is lowest for a perennial just above the threshold for the perennial growth pattern, increases as the length of the season increases, and in a very productive habitat may even exceed the level for an annual. The ratio of the plant size established by stored material to the maximum plant size decreases with the length of the growing season. Growth patterns and leaf phenology of many deciduous plants indicate that the nonlinearity of photosynthetic rate as a function of the size of the production part is important. For a case with nonlinear photosynthesis but without an upper limit to the leaf expansion rate, a plant's optimal phenology, if normalized by size, can be parameterized by productivity (maximum relative growth rate multiplied by a season's length) and stability (annual survival multiplied by storage efficiency). Timing of the cessation of leaf production within a season by a small immature plant is determined by productivity (occurring later in a more productive habitat). Leaf production ends earlier in the season as the plant grows. The optimal time for ending leaf production in a mature plant is controlled mainly by stability (ceasing earlier at the more stable site) and is almost independent of productivity. -from Authors"
