@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/33751353786,SCOPUS_ID:33751353786,2-s2.0-33751353786,Intestinal parasites in howler monkeys Alouatta palliata (Primates: Cebidae) of Costa Rica,Carmona M.C.,Revista de Biologia Tropical,00347744,00347744,53,3-4,437-445,2005-09-01,September 2005,"Fecal samples of 102 howler monkeys (Alouatta palliata) from several sites of Costa Rica were studied for intestinal parasites. The zones studied were: Central Valley (San Ramón, Alajuela), Central Pacific (Chomes and Manuel Antonio National Park, Puntarenas), North Pacific (Palo Verde Park and Playa Potrero, Guanacaste), Chira Island in the Nicoya Gulf and Caribean area (Cahuita, Limón). Animals were anesthetized with dards containing Telazol in order to collect the fecal material; some monkeys defecated spontaneously and others by direct stimulation. Samples were studied in saline solution (0.85%) and a Iodine solution, or stained with Haematoxylin. The material was also cultured in Dobell culture medium to determine the presence of amoeba and flagellates. Strongyloides, Controrchis, Trypanoxyuris genera were found in 3.4% of the samples. In addition 16.7% to 80% of the animals showed protozoa infection with Endolimax, Entamoeba, Trichomonas and Giardia. It is discussed the relationships of parasite infection with environmental conditions, animal population and human presence, specially in the monkey conservation programs point of view.",19,17354453,Journal,ar,Article,100,5,5,Alouatta palliata | Cebidae | Costa Rica | Howler monkeys | Intestinal parasites | Primates,13567,undefined,0,FALSE,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33751352939,SCOPUS_ID:33751352939,2-s2.0-33751352939,"Structure of reef fish communities in Catalinas Islands and Ocotal beach, North Pacific of Costa Rica",Espinoza M.,Revista de Biologia Tropical,00347744,00347744,53,3-4,523-536,2005-09-01,September 2005,"The reefs are heterogeneous systems that maintain a high diversity of organisms. Fish community structure varies within and among reefs, so it would be expected that reef structure and heterogeneity should affect fish communities inhabiting reefs. Four reef patches at Catalinas Islands (Sur, La Pared, Roca Sucia and Sombrero) and one in Ocotal beach (10°28'45'' N; 85°52'35'' W) were studied with visual censuses (July-December 2003). The structure and composition of fishes between Catalinas Islands and Ocotal beach were different, and habitat structure and composition explain most of the variance founded. The presence of the fleshy algae Caulerpa sertularioides in Ocotal, and the corals Tubastrea coccinea and Pocillopora spp. at Catalinas Island explained the variability among sites and how it affected fish community structure and composition. The butterfly fish Johnrandallia nigrirostris. damsel fish Microspathodon dorsalis, and surgeon fish Prionurus punctatus were directly correlated with the ahermatipic coral Tubastrea coccinea in Roca Sucia reef, while the angel fish Holacanthus passer was associated to reefs with a major percentage of rocky substrate. Other species such as the damselfish Abudefduf troschelli and Halichoeres dispilus were more abundant at Ocotal, where the algae C. sertularioides dominated. The number and abundance of reef fishes was directly correlated with the rugosity index at the reefs of Roca Sucia and Ocotal, but not at reefs of La Pared and Sombrero.",25,17354461,Journal,ar,Article,100,2,2,Community structure | Coral reef fishes | Diversity | Habitat structure | Substrate rugosity,13567,undefined,0,FALSE,2,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/34547700394,SCOPUS_ID:34547700394,2-s2.0-34547700394,"Proceedings of the 31st Scientific Meeting of the Association of Marine Laboratories of the Caribbean. July 14-18, 2003. Port of Spain, Trinidad and Tobago, W.I.",NA,Revista de biología tropical,00347744,NA,53 Suppl 1,NA,1-248,2005-05-01,May 2005,NA,0,17691120,Journal,cp,Conference Paper,100,0,NA,NA,13567,undefined,0,FALSE,3,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22244493951,SCOPUS_ID:22244493951,2-s2.0-22244493951,Welcome,LeGore S.,Revista de Biologia Tropical,00347744,NA,53,SUPPL. 1,NA,2005-05-01,May 2005,NA,0,NA,Journal,le,Letter,100,1,1,NA,13567,undefined,0,FALSE,4,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22244489744,SCOPUS_ID:22244489744,2-s2.0-22244489744,Potential sources of bacteriological pollution for two bays with marinas in Trinidad,Bullock C.,Revista de Biologia Tropical,00347744,NA,53,SUPPL. 1,91-103,2005-05-01,May 2005,"Welcome Bay and Chaguaramas Bay in the northwest peninsula of Trinidad contain large marinas and smaller sections of bathing beaches. Bacteriological surveys were conducted at both bays to assess water quality and to determine potential sources of pollution. These surveys were conducted during the wet season of 1996 and the dry season of 1997. Eleven sample stations were established at Welcome Bay and 12 at Chaguaramas Bay. Freshwater samples were collected from rivers and drains within the survey area. Marine water samples were collected from marinas, bathing beaches and inshore and outer areas at both bays. Five water samples were collected from each sampling station during the wet season of 1996 and six during the dry season of 1997. The membrane filter technique was used to determine faecal coliform and Escherichia coli levels in all samples. There was a seasonal effect on water quality, with significantly higher faecal coliform levels in the wet season, when water quality was not in compliance with international standards. This represents a potential health risk in bathing areas. Water quality was better at the outer area of both bays. Water quality at the inner bay areas was most likely adversely affected by land-based sources of pollution identified in this study. These sources include three drains and two rivers, which discharged into the bays. Yachts were apparently not a source of sewage pollution: there was no significant relationship between yacht number and faecal coliform levels.",3,17465149,Journal,cp,Conference Paper,100,2,2,Bacteriological water quality | Chaguaramas Bay | Land-based sources | Seasonal effect | Trinidad | Welcome Bay,13567,undefined,0,FALSE,5,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22244487698,SCOPUS_ID:22244487698,2-s2.0-22244487698,"Biomass, litterfall and decomposition rates for the fringed Rhizophora mangle forest lining the Bon Accord Lagoon, Tobago",Juman R.,Revista de Biologia Tropical,00347744,NA,53,SUPPL. 1,207-217,2005-05-01,May 2005,"The mangrove forest that fringes the Bon Accord Lagoon measures 0.8 km 2 and is dominated by red mangrove (Rhizophora mangle). This forest forms the landward boundary of the Buccoo Reef Marine Park in Southwest Tobago, and is part of a mangrove-seagrass-coral reef continuum. Biomass and productivity, as indicated by litterfall rates, were measured in seven 0.01 ha monospecific plots from February 1998 to February 1999, and decomposition rates were determined. Red mangrove above-ground biomass ranged between 2.0 and 25.9 kg (dry wt.) m-2. Mean biomass was 14.1±8.1 kg (dry wt.) m-2 yielding a standing crop of 11 318±6 488 t. Litterfall rate varied spatially and seasonally. It peaked from May to August (4.2-4.3 g dry wt. m-2 d-1) and was lowest from October to December (2.3-2.8 g dry wt. m-2 d-1). Mean annual litterfall rate was 3.4±0.9 g dry wt. m-2 d-1. Leaf degradation rates ranged from 0.3% loss d-1 in the upper intertidal zone to 1% loss d-1 at a lower intertidal site flooded by sewage effluent. Mean degradation rate was 0.4±1% loss d-1. The swamp produces 2.81 dry wt. of litterfall and 12 kg dry wt. of decomposed leaf material daily. Biomass and litterfall rates in Bon Accord Lagoon were compared to five similar sites that also participate in the Caribbean Coastal Marine Productivity Programme (CARICOMP). The Bon Accord Lagoon mangrove swamp is a highly productive fringed-forest that contributes to the overall productivity of the mangrove-seagrass-reef complex.",13,17465160,Journal,cp,Conference Paper,100,1,1,Biomass | Bon Accord Lagoon | CARICOMP | Litterfall rates | Rhizophora mangle,13567,undefined,0,FALSE,6,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22244482470,SCOPUS_ID:22244482470,2-s2.0-22244482470,Development and field application of a molecular probe for the primary pathogen of the coral disease white plague type II,Richardson L.,Revista de Biologia Tropical,00347744,NA,53,SUPPL. 1,1-10,2005-05-01,May 2005,"One of the current problems in the field of coral disease research is that of tracking coral pathogens in the natural environment. A promising method to do this is by use of pathogen-specific molecular probes. However, this approach has been little used to date. We constructed, and validated in the laboratory, a fluorochrome-labeled molecular probe specific to Aurantimonas coralicida, the bacterial pathogen of the Caribbean coral disease white plague type II (WPII). We then used the probe to test field samples of diseased coral tissue for the presence of this pathogen. Probe design was based on a unique subset (25 nucleotides) of the complete 16S rRNA gene sequence derived from a pure culture of the pathogen. The pathogen-specific probe was labeled with the fluorochrome GreenStar*™ FITC (fluorescein isothiocyanate, GeneDetect Ltd, New Zealand). As a control, we used the universal eubacterial probe EUB 338, labeled with a different fluorochrome (TRITC, tetra-methylrhodamine isothiocyanate). Both probes were applied to laboratory samples of pure cultures of bacteria, and field samples collected from the surface of the disease line of corals exhibiting signs of white plague (types I and II), healthy controls, and corals with an uncharacterized disease (""patchy necrosis""). All samples were analyzed using fluorescence in situ hybridization (FISH). We have determined that the probe is specific to our laboratory culture of the coral pathogen, and does not react with other bacterial species (the eubacterial probe does). The WPII pathogen was detected in association with diseased coral samples collected from coral colonies on reefs of the Bahamas (n= 9 samples) exhibiting signs of both WPI and WPII. Diseased (and healthy) tissue samples (n= 4) from corals exhibiting signs of ""patchy necrosis"" were also assayed. In this case the results were negative, indicating that the same pathogen is not involved in the two diseases. Incorporation and use of pathogen-specific probes can significantly expand our knowledge of the etiology of coral diseases.",4,17465139,Journal,cp,Conference Paper,100,4,4,Aurantimonas coralicida | Coral diseases | Coral pathogen | Pathogen specific molecular probe | White plague,13567,undefined,0,FALSE,7,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22244478071,SCOPUS_ID:22244478071,2-s2.0-22244478071,Determination of the distribution of shallow-water seagrass and drift algae communities with acoustic seafloor discrimination,Riegl B.,Revista de Biologia Tropical,00347744,NA,53,SUPPL. 1,165-174,2005-05-01,May 2005,"The spatial distribution of seagrass and algae communities can be difficult to determine in large, shallow lagoon systems where high turbidity prevents the use of optical methods like aerial photography or satellite imagery. Further complications can arise when algae are not permanently attached to the substratum and drift with tides and currents. A study using acoustic seafloor discrimination was conducted in the Indian River Lagoon (Florida, USA) to determine the extent of drift algae and seagrass. Acoustic surveys using the QTC View V system based on 50 and 200 kHz transducers were conducted near Sebastian Inlet. Results indicate that areas of seagrass can be identified, and are mixed with a high abundance of drift algae. Nearest-neighbor extrapolation was used to fill in spaces between survey lines and thus obtain spatially cohesive maps. These maps were then ground-truthed using data from towed video and compared using confusion matrices. The maps showed a high level of agreement (60%) with the actual distribution of algae, however some confusion existed between bare sand and algae as well as seagrass.",13,17465156,Journal,cp,Conference Paper,100,5,5,Acoustic ground discrimination | Drift algae | Florida | Indian River Lagoon | Remote sensing | Seagrass,13567,undefined,0,FALSE,8,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22244477447,SCOPUS_ID:22244477447,2-s2.0-22244477447,"The distribution and abundance of wetland ichthyofauna, and exploitation of the fisheries in the Godineau Swamp, Trinidad - Case study",Ramsundar H.,Revista de Biologia Tropical,00347744,NA,53,SUPPL. 1,11-23,2005-05-01,May 2005,"The Godineau (South Oropuche) Swamp (3171 ha) on the southwestern coast of Trinidad (10°13-15'N, 61°30-32'W) is heavily impacted by anthropogenic activities including fishing, oil exploration, drainage manipulation and wetland clearance. To reduce the negative effects of these activities and to manage the swamp more sustainably, more quantitative information is needed on the ecology of the wetland and the activities that occur within it. This study focuses on the distribution of the fish resources and exploited fisheries as a basis for more informed management directives. Sampling was conducted during 2002, in April-May (for dry season) and July-September (for wet season sampling). Ichthyofauna was sampled both day and night using trammel nets and a push seine. Fishing activities were assessed using a questionnaire and informal discussions with fishers. The wetland supports over 29 species of fish distributed over the freshwater, estuarine and saline zones (n=1454). Species distribution is seasonal, with evidence of the wetland being used as a spawning ground. Species richness and species diversity (Shannon-Weiner Index) for the wetland ranged over 2-11 and 0.162-0.967, respectively, in the dry season and 2-7 and 0.036-0.903, respectively, in the wet season. Communities inhabiting the saline and estuarine zones of the wetland were dominated by a single species, Hexanematichthys bonillai. Percent Similarity Indices were 41.8% for freshwater, 72.7% for estuarine and 79.8% for estuarine-saline communities. The commercial species accounted for 18% of total catch sampled and consisted of Centropomus undecimalis, Megalops atlanticus, Hoplosternum littorale, Hoplias malabaricus, Ophioscion punctatissimus and Macrodon ancyclodon. Full-time and part-time fishers, including recreational fishers, accounted for 14.3% and 85.7%, respectively of all fishers surveyed (n=56). A conservative estimate of the revenue earned directly at point of sale for fish and shellfish, is approximately US$43 000 per annum. Fishing is important in the area. Management directives taking into account the ecology of the target organisms are needed to allow these fishing practices to be continued in a sustainable manner.",9,17465140,Journal,cp,Conference Paper,100,1,1,Caribbean freshwater fisheries | Island fisheries | Seasonal distribution | Wetland fisheries | Wetland ichthyofauna,13567,undefined,0,FALSE,9,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22244473998,SCOPUS_ID:22244473998,2-s2.0-22244473998,Coral recruitment patterns in the Florida Keys,Moulding A.,Revista de Biologia Tropical,00347744,NA,53,SUPPL. 1,75-82,2005-05-01,May 2005,"This study examines scleractinian zooxanthellate coral recruitment patterns in the Florida Keys to determine if differences in density or community composition exist between regions. From July to September 2002, nine patch reefs, three in each of the upper, middle and lower Keys, were surveyed for coral recruits (colonies <5 cm in diameter) using randomly placed quadrats and transects. Coral recruits were enumerated, measured, and identified to genus. Fourteen genera of corals were observed across all sites and ranged from five to 13 per site. Densities ranged from 6.29 ± 1.92 (mean ± SE) to 39.08 ± 4.53 recruits m-2, and there were significant site and regional differences in recruit densities. The density of recruits in the upper Keys was significantly lower than in the middle and lower Keys. In addition, the upper Keys were less diverse and had a different recruit size-frequency distribution. The majority of recruits were non-massive scleractinian species that contribute relatively little to overall reef-building processes, a finding that is similar to previous studies. Fewer recruits of massive species were found in the upper Keys compared to the middle and lower Keys. The recruitment patterns of the reefs in the upper Keys could potentially hinder their ability to recover from stress and disturbances.",24,17465147,Journal,cp,Conference Paper,100,1,1,Community composition | Coral | Florida Keys | Recruitment | Scleractinians,13567,undefined,0,FALSE,10,NA,NA,NA
