@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,dc:description,authkeywords,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/9244255854,SCOPUS_ID:9244255854,2-s2.0-9244255854,Erratum: Climate change uncouples trophic interactions in an aquatic system (Ecology (2004) 85:8 (2100-2106)),Winder M.,Ecology,00129658,85,11,3178,2004-11-01,November 2004,7,Journal,er,Erratum,100,2,2,20308,undefined,0,FALSE,1,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/5344279145,SCOPUS_ID:5344279145,2-s2.0-5344279145,Erratum: Nutrient losses over four million years of tropical forest development (Ecology (2003) 84:9 (2231-2255)),Hedin L.,Ecology,00129658,85,9,2647,2004-09-01,September 2004,0,Journal,er,Erratum,100,3,3,20308,undefined,0,FALSE,2,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4444379672,SCOPUS_ID:4444379672,2-s2.0-4444379672,Erratum: The demographic consequences of releasing a population of red deer from culling (Ecology 85: 2 411-422)),Coulson T.,Ecology,00129658,85,5,1467,2004-05-01,May 2004,0,Journal,er,Erratum,100,4,4,20308,undefined,0,FALSE,3,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4444342542,SCOPUS_ID:4444342542,2-s2.0-4444342542,Erratum: Meta-analysis of cod-shrimp interactions reveals top-down control in oceanic foodwebs (Ecology 84: 1 (162-173)),Worm B.,Ecology,00129658,85,5,1467,2004-05-01,May 2004,0,Journal,er,Erratum,100,2,2,20308,undefined,0,FALSE,4,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/9344257870,SCOPUS_ID:9344257870,2-s2.0-9344257870,A hydraulic conductivity model points to post-neocene survival of the Mediterranean olive,Terral J.F.,Ecology,00129658,85,11,3158-3165,2004-01-01,November 2004,29,Journal,ar,Article,100,6,6,20308,undefined,0,FALSE,5,10.1890/03-3081,"Research on the subfossil record and paleoecology of Olea europaea suggests a new interpretation of its history and ecology with reference to the Mediterranean climate since the Neogene. New results are based on the wood anatomy of ancient and extant Olea and a model estimating hydraulic conductance established for wild forms belonging to Olea europaea subsp. europaea. These suggest that during glacial periods wild olive populations survived in protected microenvironments, particularly riparian habitats. Thereafter, the post-glacial expansion of olive associated with climatic warming took place from these refuge areas. This new evidence suggests that the continued existence of Olea in Mediterranean areas since the Neogene was made possible either by preferential survival of Olea lineages adaptable to the Holocene climate or from enhanced adaptation to extreme environmental variation, a trait possibly originating from Tertiary predecessors and maintained in post-glacial olive populations.",Last Glacial Maximum | Mediterranean | Neogene | Olea | Palaeoecology | Quantitative ecoanatomy | Riparian refuge areas,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/9244260572,SCOPUS_ID:9244260572,2-s2.0-9244260572,Alternative confidence intervals for the total of a skewed biological population,Andersson P.G.,Ecology,00129658,85,11,3166-3171,2004-01-01,November 2004,9,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,6,10.1890/03-3122,"In a 1999 Ecology article, T. G. Gregoire and O. Schabenberger addressed the problem of obtaining truly symmetric confidence intervals for the total of a positively skewed biological population under simple random sampling. Their simulation study revealed that the skewness induced a substantial positive correlation between the estimator of the total and the estimator of its variance. This caused the standard nominally symmetric t-based intervals, based on approximate normality of the estimator of the total, to be highly unbalanced, i.e., intervals much more often missed from below than from above. To better cope with this situation I suggest an alternative confidence interval procedure that takes into account and adjusts for the induced correlation. A simulation study based on one of the populations used by Gregoire and Schabenberger shows that the resulting adjusted intervals have more balanced noncoverage probabilities and often higher coverage probability than the standard intervals in cases of substantial correlation. I also provide an example of an unequal probability design using auxiliary information, where there is much less need for an adjustment.",Confidence intervals | Correlation | Normality | Poisson sampling | Simple random sampling | Skewness,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/9244257905,SCOPUS_ID:9244257905,2-s2.0-9244257905,The evolution of an invasive plant: An experimental study with Silene latifolia,Blair A.,Ecology,00129658,85,11,3035-3042,2004-01-01,November 2004,190,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,7,10.1890/04-0341,"The damage caused by biological invasions has traditionally been thought to result from alien species taking advantage of ecological differences between the native and introduced ranges. In contrast, the role of evolutionary forces has received relatively little attention. Our results show that evolutionary change in Silene latifolia, a North American weed that was introduced from Europe about 200 years ago, can help explain the plant's successful North American invasion. By growing plants from seed collected in 40 populations from Europe and North America under common garden greenhouse and field conditions, we found significant genetic differences in life history, reproductive, and defensive characters. In general, morphological traits and competitive ability remained unchanged, while North American plants germinated earlier, grew faster, produced more flowers, had greater survival, and invested less into defensive traits (trichomes, fruit capsule) than their European conspecifics. We suggest that as S. latifolia escaped a suite of specialist enemies, natural selection favored individuals that invest more in growth and reproduction and less in defense.",Alien plant | Biological invasion | Common garden | EICA hypothesis | Escape from enemies | Silene latifolia | Trichome,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/9244254796,SCOPUS_ID:9244254796,2-s2.0-9244254796,Formulating and testing a partially specified dynamic energy budget model,Nisbet R.,Ecology,00129658,85,11,3132-3139,2004-01-01,November 2004,49,Journal,ar,Article,100,5,5,20308,undefined,0,FALSE,8,10.1890/03-0429,"Dynamic energy budget models relate phenomena at many levels of ecological organization and can provide quantitative links from individual physiology to population, community, and ecosystem dynamics. A prerequisite for making these links is an empirically tested model of growth and reproduction for individual organisms in a temporally variable environment. We construct a model that is applicable to organisms with indeterminate growth. By applying a recent statistical approach attributable to S. N. Wood, we use the model to infer the size dependence of feeding rates and of energy allocation to growth vs. reproduction for Daphnia from new laboratory data on growth and egg production. The implied feeding rates are consistent with independent measurements. With one additional assumption, respiration rates can be predicted; they scale with size in a manner consistent with previous measurements of respiration allometry. These findings support the use of inverse methods to determine physiologically based functions and parameters for subsequent use in population and ecosystem models.",Daphnia | Dynamic energy budgets | Feeding | Growth | Inverse methods | Physiological models | Reproduction | Respiration,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/9244249861,SCOPUS_ID:9244249861,2-s2.0-9244249861,Odd species out as predators reduce diversity of coral-reef fishes,Almany G.,Ecology,00129658,85,11,2933-2937,2004-01-01,November 2004,53,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,9,10.1890/03-3150,"When predators differentiate among prey species, they commonly select the most abundant species. Surprisingly, on coral reefs in Australia and the Bahamas, we found evidence to the contrary: using null models, we observed that generalist predators had a greater impact on less-abundant species, thereby reducing local species richness. Disproportionate effects on these rare species were evident during a narrow window of time between settlement and 1-2 days later, highlighting how interactions during or immediately following settlement may influence subsequent community structure. Differences in species richness between treatments that were established during this narrow window of time eventually disappeared from reefs in Australia but persisted on reefs in the Bahamas. Our results highlight an unexpected and largely unexplored ecological interaction whereby predators reduce prey diversity.",Oddity effect | Predation | Rarefaction | Recruitment | Settlement,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/9244247651,SCOPUS_ID:9244247651,2-s2.0-9244247651,Plasticity and canalization of insect reproduction: Testing alternative models of life history transitions,Juliano S.,Ecology,00129658,85,11,2986-2996,2004-01-01,November 2004,16,Journal,ar,Article,100,4,4,20308,undefined,0,FALSE,10,10.1890/03-0814,"Life histories may show phases of both plasticity and canalization in response to feeding rate. Models for life history canalization and plasticity postulate a threshold for initiation of canalized developmental events. Some models postulate adaptive plasticity, whereas others postulate nonadaptive plasticity that results from environmental modulation of fixed development. These models have been tested by changing feeding rate at various times and determining when timing of life history events becomes unresponsive to those changes. This approach has been criticized because putative thresholds are usually not known. We use an alternative experimental design to test models of reproductive plasticity and canalization, and to estimate thresholds, in the grasshopper Romalea microptera. We develop mathematical models for published verbal models that predict how life history timing changes with feeding rate. Alternative models predict distinct relationships of time to oviposition vs. mean food intake that we test via experimental manipulation of food intake and nonlinear regressions. Regressions yield estimates of both the threshold and the duration of post-threshold development. A model postulating a fixed threshold and canalized post-threshold development provides the best, most parsimonious fit to data for this grasshopper. Thus, the simplest model, postulating no adaptive variation in development, is supported, a result that is consistent with previous experiments on this system using changing feeding rates. We use the estimate of the threshold (in units of food eaten) and measurements of hemolymph protein content to estimate the threshold in units of physiologically relevant storage. These results elucidate the structure of reproductive plasticity in this system and how this alternative experimental approach can provide testable predictions of developmental thresholds for further experiments on life history plasticity and canalization.",Fixed development model | Grasshopper | Nonlinear regression | Oviposition | Reproductive tactics | Romalea microptera | Wilbur-Collins model,NA,NA,NA,NA
