@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/35448998877,SCOPUS_ID:35448998877,2-s2.0-35448998877,Explaining interspecific differences in sapling growth and shade tolerance in temperate forests,Janse-Ten Klooster S.H.,Journal of Ecology,00220477,13652745,95,6,1250-1260,2007-11-01,November 2007,10.1111/j.1365-2745.2007.01299.x,"1. Species differences in growth and shade tolerance might contribute to coexistence of tree species. To explore how such differences depend on underlying plant traits, 14 tree species were investigated in temperate forests on sand and loess soils in the Netherlands. Plant traits were measured for 0.5-1 m tall saplings: 10 saplings growing at low light conditions and 10 at high light conditions. Growth was determined from annual lengths of leader shoots, and shade tolerance from an independently tested scale. 2. Shade tolerance and extension growth of the leader shoot were negatively correlated. Plant traits that related positively with shade tolerance were negatively related to extension growth, and vice versa. Photosynthetic capacity, leaf dark respiration and total leaf mass related weakly to shade tolerance and extension growth. Specific leaf area (SLA, leaf area/leaf mass) and wood density were the traits most strongly correlated to shade tolerance and extension growth. 3. Shade-tolerant species had denser wood and slower extension growth. They also had larger crowns, suggesting that dense stems provide strength for supporting larger crowns. 4. More shade-tolerant species had a higher SLA, which is opposite to tree communities with larger leaf life span variation. In winter deciduous tree communities, more shade-tolerant species benefit from investing leaf area at low costs (high SLA) rather than from investing in durable leaves (low SLA). 5. Species on sand had higher growth rates and higher light requirements than species on loess. In line with the resource-ratio hypothesis, the dominance of the more shade-tolerant species on nutrient rich loess soils may be attributed to the denser vegetation supported and the resultant lower light availability for saplings compared with saplings on infertile and drought-prone sand soils. 6. Synthesis: These results provide plant trait-based predictions for the regeneration success and composition of species of temperate forests with management based on natural regeneration. These forests are expected to become dominated by shade-tolerant species with high wood density and high SLA on the more productive soils, and by light demanding species with low wood density and low SLA on poorer soils. © 2007 The Authors.",62,Journal,ar,Article,100,3,3,Carbon balance | Extension growth | Natural forest development | Photosynthetic capacity | Shade tolerance | Soil | Specific leaf area | Temperate forests | Total leaf mass | Wood density,29602,undefined,1,TRUE,all,All Open Access,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35448995673,SCOPUS_ID:35448995673,2-s2.0-35448995673,"Wind-throw mortality in the southern boreal forest: Effects of species, diameter and stand age",Rich R.L.,Journal of Ecology,00220477,13652745,95,6,1261-1273,2007-11-01,November 2007,10.1111/j.1365-2745.2007.01301.x,"1. Patterns of tree mortality as influenced by species, diameter and stand age were assessed across a gradient in wind disturbance intensity in a southern boreal forest in Minnesota, USA. Few previous studies have addressed how wind impacts boreal forests where fire was historically the dominant type of disturbance. 2. We surveyed 29 334 trees of nine species within a 236 000 ha blowdown in the Boundary Waters Canoe Area Wilderness (BWCAW), in forests that have never been logged and were not salvaged after the windstorm. Within the disturbed area, a range of disturbance severity from zero to complete canopy mortality was present, overlaying an existing mosaic of fire origin stands. For this study, we derived an index of wind disturbance intensity by standardizing the observed disturbance severity using common species with similar diameter at breast height (d.b.h.) distributions. We then used multiple logistic regression to assess patterns of tree mortality across gradients in tree size and wind intensity index, and for three stand ages. 3. Probability of mortality was higher with increasing ln d.b.h. for all nine species, with two species (Abies balsamea and Picea mariana) showing much more dramatic shifts in mortality with d.b.h. than the others. As hypothesized, the species most susceptible to windthrow at all d.b.h. classes were early successional and shade intolerant (Pinus banksiana, Pinus resinosa, Populus tremuloides) and those least susceptible were generally shade tolerant (e.g. Thuja occidentalis, Acer rubrum), although the intolerant species Betula papyrifera also had low mortality. 4. Mortality rates were higher in mature (c. 90 years old) stands than for old and very old (c. 126-200 years old) stands, probably because old stands had already gone through transition to a multi-aged stage of development. 5. Synthesis. Quantification of canopy mortality patterns generally supports disturbance-mediated accelerated succession following wind disturbance in the southern boreal forest. This wind-induced weeding of the forest favoured Thuja occidentalis, Betula papyrifera and Acer rubrum trees of all sizes, along with small Abies balsamea and Picea mariana trees. Overall, the net impact of wind disturbance must concurrently consider species mortality probability, abundance and diameter distributions. © 2007 The Authors.",141,Journal,ar,Article,100,3,3,Boreal forest | Boundary Waters Canoe Area Wilderness (BWCAW) | Forest dynamics | Mortality | Stand age | Susceptibility | Wind disturbance | Wind-throw,29602,undefined,0,FALSE,NA,NA,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35448995243,SCOPUS_ID:35448995243,2-s2.0-35448995243,Plant functional types can predict decade-scale changes in fire-prone vegetation,Keith D.,Journal of Ecology,00220477,13652745,95,6,1324-1337,2007-11-01,November 2007,10.1111/j.1365-2745.2007.01302.x,"1. Plant functional types (PFTs) are groups of species sharing traits that govern their mechanisms of response to environmental perturbations such as recurring fires, inundation, grazing, biological invasions and global climate change. The key components of a PFT approach are an underlying model of vegetation dynamics for a given system and a classification of functional types based on traits deduced from key processes in the model. 2. Prediction and generalization underpin the potential utility of the PFT approach for understanding ecosystem behaviour. For PFTs to be useful in ecosystem management, they (in concert with their underlying model) must reliably predict vegetation change under given environmental scenarios and they must produce robust generalizations across the species that are classified and the range of environments in which they occur. 3. The efficacy of plant functional types has been explored using various approaches in a wide range of ecosystems. However, very few studies have tested the accuracy and generality of PFT predictions against vegetation changes observed empirically over medium to long time scales. 4. We applied this approach to examine the predictive accuracy and generality of a PFT classification and an associated model of vegetation dynamics for a fire-prone, species-rich wet heathland in south-eastern Australia. We assigned each species to one of six PFTs derived using a deductive approach based on the vital attributes scheme. We measured their initial abundance at a set of sample sites distributed across local environmental gradients. We used the PFT traits and processes in the underlying model to predict qualitative changes in abundance in response to a fire regime scenario observed at the sample sites during a subsequent period of 21 years. We then re-surveyed the sample sites to compare predictions with observed changes in abundance. 5. The PFTs and their underlying model produced an accurate prediction of average vegetation responses over the 21-year period. The majority of species within each PFT exhibited the predicted response and few species had strongly opposing responses in different environments. However, not all species within a PFT underwent the predicted direction of change, and responses of individual species were not uniform across the environmental gradients. 6. Synthesis. We conclude that plant functional types based on vital attributes are very useful tools for prediction and generalization in ecosystem management, although interpretations need to be tempered by the fact that PFTs may not accurately predict responses of all species across all environments. © 2007 The Authors.",74,Journal,ar,Article,100,5,5,Competition | Fire regimes | Heathlands | Long-term monitoring | Plant life history | Plant traits | Predictive modelling | Seed banks vegetation dynamics | Vital attributes,29602,undefined,1,TRUE,all,All Open Access,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35448990551,SCOPUS_ID:35448990551,2-s2.0-35448990551,Fire drives phylogenetic clustering in Mediterranean Basin woody plant communities,Verdú M.,Journal of Ecology,00220477,13652745,95,6,1316-1323,2007-11-01,November 2007,10.1111/j.1365-2745.2007.01300.x,"1. Many Mediterranean plant species persist after fire because their seeds are protected from the heat of the fire (e.g. hard-coated seeds, serotinous cones), thus permitting rapid post-fire recruitment. For simplicity, this trait will hereafter be called P and its two possible phenotypes P+ (seeder) and P- (non-seeder). 2. Because P+ appears in a narrow taxonomic spectrum and confers persistence under high fire frequencies, we test the extent to which communities with different fire histories have different phenotypic and phylogenetic structures. Specifically, we compare coastal vegetation growing in a warm and dry Mediterranean climate subject to high fire frequency (HiFi vegetation) with montane vegetation subject to a subhumid climate where fires are rare (LowFi) under the hypothesis that P+ species will be over-represented in HiFi communities, thus producing phenotypic and phylogenetic clustering. 3. Trait conservatism on P is evaluated by testing the presence of a phylogenetic signal, phenotypic clustering is tested by correlating co-occurrence and phenotypic distance matrices, and the phylogenetic structure is evaluated by testing whether the phylogenetic distances between species in each community are different from those expected by chance. 4. The results suggest that: (a) P is a strongly conserved trait; (b) co-occurring species have similar P phenotypes (phenotypic clustering); and (c) the phylogenetic structure in HiFi vegetation is significantly clustered while LowFi vegetation tends to be overdispersed. 5. Synthesis: Fire is a strong driving force in assembling HiFi communities while other forces, such as competitive interactions, are the main assembly mechanisms in LowFi communities. This result supports the role of recurrent disturbances as filters driving phylogenetic community structure. © 2007 The Authors.",162,Journal,ar,Article,100,2,2,Evolutionary filtering | Fire regime | Phylogenetic structure | Plant traits | Post-fire recruitment | Seeders,29602,undefined,1,TRUE,all,All Open Access,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35448986150,SCOPUS_ID:35448986150,2-s2.0-35448986150,Geographical variation in the determinants of seed dispersal success of a myrmecochorous herb,Rey P.J.,Journal of Ecology,00220477,13652745,95,6,1381-1393,2007-11-01,November 2007,10.1111/j.1365-2745.2007.01293.x,"1. This paper draws together geographical variation and various correlates of individual seed dispersal success to evaluate spatial variation in major determinants of seed removal rates of the myrmecochore Helleborus foetidus, whose ant assemblages and diaspores vary geographically. 2. We censused seed removal by ants directly from individual plants in 12 populations and four regions across the Iberian Peninsula, and measured the elaiosomed seed, plant fecundity, and the biotic and abiotic environment in the close vicinity of each plant. The relative effect of these three groups of variables on seed removal was then modelled at each region using structural equation models and path analyses. 3. We found a pervasive effect of the close surroundings of each plant on dispersal. We also found a geographically variable influence of diaspore traits on dispersal. Such variable influence of the diaspore was closely related to the compositional and functional variation in ant guilds. 4. Synthesis: The appearance of an effect of diaspore and plant traits on dispersal depended on the surroundings of the plant, the identity of the ant visitors and ant abundance. This dependence itself might lead to different directions of selection among populations, a conclusion that has not emerged from seed offerings to ants, which is the usual protocol in myrmecochory research. © 2007 The Authors.",19,Journal,ar,Article,100,2,2,Ant-plant mutualisms | Elaiosome-bearing seeds | Hellebore | Myrmecochory | Path analysis | Seed dispersal determinants | Seed dispersal macroecology | Structural equation models,29602,undefined,0,FALSE,NA,NA,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35448983148,SCOPUS_ID:35448983148,2-s2.0-35448983148,Genetic-based plant resistance and susceptibility traits to herbivory influence needle and root litter nutrient dynamics,Classen A.,Journal of Ecology,00220477,13652745,95,6,1181-1194,2007-11-01,November 2007,10.1111/j.1365-2745.2007.01297.x,"1. It is generally assumed that the same factors drive the decomposition of both litter and roots and that nutrient release from litter and roots is synchronized. However, few studies have explicitly tested these assumptions, and no studies have examined whether plant genetics (i.e. plant susceptibility to herbivory) could affect these relationships. 2. Here we examine the effects of herbivore susceptibility and resistance on needle and fine root litter decomposition of piñon pine, Pinus edulis. The study population consists of individual trees that are either susceptible or resistant to herbivory by the piñon needle scale, Matsucoccus acalyptus, or the stem-boring moth, Dioryctria albovittella. Genetic analyses and long-term experimental removals and additions of these insects to individual trees have identified trees that are naturally resistant or susceptible to M. acalyptus and D. albovittella. In addition, these herbivores increase litter chemical quality and alter soil microclimate, both of which mediate decomposition in ecosystems. 3. The effects of herbivore susceptibility and resistance on needle litter mass and phosphorus (P) loss, when significant, are largely mediated by herbivore-induced changes to microclimate. But the effects of herbivore susceptibility and resistance on root litter nitrogen (N) and P retention, and needle litter N retention, are largely governed by herbivore-induced changes to litter chemical quality. Whether a particular tree was resistant or susceptible to herbivores exerted a large influence on net nutrient release, but the direction of herbivore influence varied temporally. 4. The controls on decomposition vary between herbivore-susceptible and herbivore-resistant phenotypes. This suggests that understanding decomposition and nutrient retention in some ecosystems may require considering the effects of herbivores on above- and below-ground processes and how these effects may be governed by plant genetics. 5. Synthesis. Because so few studies have attempted to quantify genetic components of ecosystem processes, the integration of ecosystem ecology with population genetics has the potential to place ecosystem science within a genetic and evolutionary framework. Using field trials of known genetic composition, ecosystem scientists may use quantitative genetics techniques to explore ecosystem traits just as population geneticists have used these techniques to explore traditional traits such as resistance to insects. © 2007 The Authors.",41,Journal,ar,Article,100,5,5,Decomposition | Genotype | Herbivory | Insects | Needle | Nitrogen | Nutrient cycling | Phosphorus | Root | Semi-arid,29602,undefined,1,TRUE,all,All Open Access,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35448977329,SCOPUS_ID:35448977329,2-s2.0-35448977329,Impacts of burning and increased nitrogen deposition on nitrogen pools and leaching in an upland moor,Pilkington M.,Journal of Ecology,00220477,13652745,95,6,1195-1207,2007-11-01,November 2007,10.1111/j.1365-2745.2007.01292.x,"1. Upland moorlands are an extensive semi-natural resource, frequently burned either through management or uncontrolled outbreaks of fire. These systems are often situated in areas receiving high levels of atmospheric nitrogen (N) deposition, yet the effects of burning combined with high N deposition on ecosystem N pools and N leaching to surface waters are unknown. 2. A management burn was applied to an upland Calluna vulgaris moor which contained a set of long-term experimental plots treated with simulated increased N deposition at rates of +0, +40, +80 and +120 kg ha-1 year -1. Leaching losses of total dissolved inorganic N (TDNin) and dissolved organic N (DON) from organic and mineral soil horizons and the N pools in these horizons, as well as in litter and vegetation, were compared before and after the burn. 3. The results showed that leaching of TDN in and DON from both soil horizons increased in a 6-month period after the burn, with leaching of TDNin remaining elevated 2-3 years later. N pools in the deeper mineral layer of the soil also increased after the burn. Increasing long-term N additions magnified the burn effect on leaching losses but lessened the burn effect on the N pools in the mineral layer. In the +40 N addition plots, the amount of N removed in burning vegetation was of an equivalent size to the amount of additional N retained within the system. 4. Synthesis: These results suggest that burning approximately every 10 years may be effective in removing N retained in the system at N deposition rates up to 56 kg N ha-1 year-1. However, extensive burning of moorland or uncontrolled outbreaks of fire over wide areas may considerably exacerbate the threat of N loading to groundwater in areas where moors are more heavily N polluted, increasing the potential for acidification, eutrophication and brown water colouration. The data suggest that this is because the mineral horizon of upland moors receiving high N inputs has already been saturated with N such that increased downward percolation rates of N caused by the burn have risen above a threshold for immobilization (hence leading to more substantial post-burn increases in leaching of N). © 2007 The Authors.",21,Journal,ar,Article,100,8,8,Fire | Moorland burning | Nitrogen content | Nitrogen deposition | Nitrogen leaching,29602,undefined,1,TRUE,all,All Open Access,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35448972120,SCOPUS_ID:35448972120,2-s2.0-35448972120,Complementarity as a mechanism of coexistence between functional groups of grasses,Gross N.,Journal of Ecology,00220477,13652745,95,6,1296-1305,2007-11-01,November 2007,10.1111/j.1365-2745.2007.01303.x,"1. Increasing functional diversity often leads to an increase in ecosystem productivity in the form of overyielding. While the mechanisms (i.e. complementarity or facilitation) that underlie overyielding provide strong insights into species coexistence and community assembly, they are rarely tested. In subalpine grasslands, traditional management through manuring and hay-making results in intermediate productivity that is associated with high functional diversity. This functional diversity results from the coexistence between conservative plant species (with slow growth rates, low specific leaf area) and exploitative species (with fast growth rates, high specific leaf area). 2. We hypothesized that overyielding occurs among these two functional groups and tested whether complementarity or facilitation can explain overyielding. Using three perennial grass species per functional group, we compared single and mixed functional group mesocosms at low and intermediate levels of fertilization to test the occurrence of overyielding. Additionally, we measured the outcomes of biotic interactions among these two functional groups by manipulating plant density. 3. After two growing seasons, we found evidence of overyielding under intermediate levels of fertility. Overyielding was associated with a reduction of competition intensity when both functional groups were grown together. These results suggest that complementarity, as evidenced by a decrease in competition intensity, rather than facilitation, explains the observed overyielding. Indeed, we found evidence for complementarity for light and modification of nutrient use as possible mechanisms for the overyielding. 4. Synthesis. Complementarity between functional groups might be an important mechanism enhancing functional diversity, particularly in harsh environments at intermediate rather than low fertility. © 2007 The Authors.",105,Journal,ar,Article,100,4,4,Biotic interactions | Complementarity | Dominant species | Fertilization | Functional groups | Grasses | Overyielding | Subalpine grasslands,29602,undefined,1,TRUE,all,All Open Access,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35448969743,SCOPUS_ID:35448969743,2-s2.0-35448969743,"Tree life histories in a montane subtropical forest: Species differ independently by shade-tolerance, turnover rate and substrate preference",Easdale T.A.,Journal of Ecology,00220477,13652745,95,6,1234-1249,2007-11-01,November 2007,10.1111/j.1365-2745.2007.01290.x,"1. To investigate life-history differentiation and an objective functional classification of tree species we analysed the demography of 29 species in subtropical montane forests in north-western Argentina. 2. We computed 13 growth, demographic, abundance and distribution variables based on: (i) two 5-year re-measurements of stems ≥ 10 cm diameter at breast height (d.b.h.) in 8 ha of old growth forest and 4 ha of secondary forest; (ii) assessments of tree crown illumination; and (iii) sapling counts under shade and on landslides. 3. We assessed the potential confounding effects of stem size and crown illumination on absolute stem diameter growth rate for the 24 most abundant species. As diameter increased, one species showed significant increases in growth rate and five showed significant reductions. Seventeen species grew significantly faster with increased exposure to light and we controlled for this confounding effect in the computation of diameter growth rates for subsequent analyses. 4. A principal component analysis resulted in three meaningful and interpretable axes of demographic variation across species. The first axis (interpreted as shade tolerance) indicates that trees of species with inherently high growth rates tend to have well-exposed crowns at 10-30 cm d.b.h., have high density of trees in secondary forest and are less tolerant of shade. 5. The second axis (turnover) shows that in old-growth forest short-lived species, with high mortality rates, size-class distributions with a steep negative slope and low dominance, persist due to high rates of recruitment (to ≥ 10 cm d.b.h.). 6. The third axis indicates that species that colonize landslides have lower tree recruitment rates and greater growth variability in secondary forest, reflecting spatio/temporal differences in species' recruitment linked to differences in their substrate requirements for regeneration. 7. Maximum height and diameter are correlated with the first and second axes, indicating that higher rates of both growth and survival permit some species to attain large size. 8. All three demographic axes depict separate trade-offs that confer competitive advantage to each 'demographic type' under contrasting ecological conditions (of light availability, disturbance frequency and disturbance intensity), thus underpinning species' coexistence in dynamic forest landscapes. © 2007 The Authors.",43,Journal,ar,Article,100,4,4,Demography | Forest dynamics | Functional classification | Longevity | Maximum height | Species coexistence | Trade-off,29602,undefined,1,TRUE,all,All Open Access,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35448966615,SCOPUS_ID:35448966615,2-s2.0-35448966615,Barley yellow dwarf viruses (BYDVs) preserved in herbarium specimens illuminate historical disease ecology of invasive and native grasses,Malmstrom C.M.,Journal of Ecology,00220477,13652745,95,6,1153-1166,2007-11-01,November 2007,10.1111/j.1365-2745.2007.01307.x,"1. In plant invasion ecology, viruses and other pathogens are often considered in terms of the enemy release hypothesis, which predicts that plants become invasive in new ranges if they escape pathogens from their home range. However, pathogens may sometimes facilitate host spread rather than hinder it. 2. Previously, we hypothesized that apparent competition mediated by barley and cereal yellow dwarf viruses (Luteoviridae: BYDVs, CYDVs) may have facilitated historical grassland invasion in California, USA, where Eurasian grasses displaced native grasses in the 18th and 19th centuries (the disease facilitation hypotheses). However, this could have happened only if the viruses were present during the invasion, which is unknown. 3. To investigate the historical ecology of BYDVs in California grasses, we analysed preserved virus infections in herbarium specimens and used the historical virus sequences to determine rough time estimates of relevant phylogenetic events. 4. The historical viral RNA sequences we identified in invasive and native grasses date from 1917 and are among the oldest recovered from plants thus far and the oldest from North America. 5. Herbarium evidence and phylogenetic analysis suggest that BYDVs were likely to have been present in wild grasses during the California grassland invasion and to have shared some functional characteristics with present-day isolates, supporting the disease facilitation hypothesis. 6. We found evidence of virus spread from California to Australia (or, less likely, from Australia to California) in the late 19th century, when much horticultural exchange occurred, as well as potential correspondence in the timing of virus diversification events and the beginning of extensive human exchange between the Old and New Worlds. 7. Synthesis. Increasing evidence indicates that viruses are important in the ecology of grasslands and may, in some cases, mediate apparent competition among species. Historical data provide essential insight into plant virus ecology and suggest the need to examine human influence on plant virus diversification and spread within natural ecosystems. © 2007 The Authors.",57,Journal,ar,Article,100,5,5,Apparent competition | Barley yellow dwarf virus | Disease facilitation | Herbarium | Historic virus | Invasions | Luteovirus | Pathogen | Phylogenetic analysis | Preserved RNA,29602,undefined,1,TRUE,all,All Open Access,10,NA,NA
