@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,fund-acr,fund-sponsor,prism:doi,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/84870288889,SCOPUS_ID:84870288889,2-s2.0-84870288889,Descriptive epidemiology and molecular genetics of hereditary breast cancer in Costa Rica,García-Jiménez L.,Revista de Biologia Tropical,00347744,22152075,60,4,1663-1668,2012-12-01,December 2012,"Breast cancer is first in incidence and mortality among Costa Rican women. In 2011 there is a projected 1 071 new cases. We selected 116 patients diagnosed with breast cancer and family history of breast cancer. A detailed family history and epidemiology data was obtained from each patient and a blood sample was processed for DNA extraction. We analyzed the prevalence of risk factors and BRCA1 and BRCA2 mutations. These mutations were detected by different techniques and were confirmed by direct sequencing. Six patients (5.2%) had a mutation, five of which were in the BRCA2 gene and only one in BRCA1. We found that the average age of women who carry a mutation is lower than in non-carrier women. All other risk factors analyzed were not different among carrier and non-carrier women. In addition, these results and the increased incidence of breast cancer in recent years in Costa Rica, should promote an increase in prevention policies and the establishment of efficient detection methods that allow early disease diagnosis.",5,23342520,Journal,ar,Article,100,3,3,Breast cancer | Costa rica | Hereditary | Risk factors,13567,undefined,0,FALSE,1,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84870287388,SCOPUS_ID:84870287388,2-s2.0-84870287388,"Growth and survival of the green mussel p. viridis (Bivalvia: Mytilidae) in bottom culture conditions in Turpialito, golfo de Cariaco, Venezuela",Acosta V.,Revista de Biologia Tropical,00347744,22152075,60,4,1749-1762,2012-12-01,December 2012,"Mussels represent one of the most important mollusk species for culture activities around the world, and their growth may depend on the culture system used and locality. In this study, we evaluated the growth of Perna viridis in bottom culture to test its performance when using natural food, and to decide its use as a culture species in the Gulf of Cariaco. For this, mussel seeds (35.81±1.41mm in length) were obtained in the locality of Guaca (North coast of Sucre state) and transferred to the Hydrobiological Station of Turpialito, Gulf of Cariaco, Sucre state, Venezuela, where they were planted in ""Spanish baskets "" to evaluate their growth between July 2007 and February 2008. Monthly survival was determined and the maximum shell length, dry mass of muscle and remains tissues of the gonad. The environmental parameters (water temperature, salinity, dissolved oxygen, chlorophyll a, total seston and organic fraction), in the cultivation area were determined every 15 days. Monthly measurements were made of proteins, lipids and carbohydrates to seston. During the entire study the mussels showed continued growth, ultimately reaching a maximum length of 78.7±4.43mm. However, the growth rate of the dry mass of somatic (muscle, other tissue) and reproductive tissues showed variability throughout the study, and observed a significant increase by the end of the experiment. The observed variations in the growth rate of the reproductive tissue mass depended on the reserves accumulated and food offered by the environment. The organic seston throughout the experience showed an independence of temperature and chlorophyll a values; this one maintained values above 1mg/L, thus forming the main food resource for mussels. The high content of proteins, lipids and carbohydrates observed in the seston at the end of the study, might be mainly associated with coastal upwelling, which provides a great food contribution of phytoplankton and organic type. The high survival rate (>80%), increase in the length of the shell and the high gonad production, suggests an excellent physiological condition of P. viridis, related to the availability and quality of food particularly the organic type present in the medium. We concluded that the bottom culture can provide an alternative aquaculture production in the Gulf of Cariaco.",4,23342526,Journal,ar,Article,100,5,5,Bottom culture | Growth | Perna viridis | Survival,13567,undefined,0,FALSE,2,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84870284278,SCOPUS_ID:84870284278,2-s2.0-84870284278,Chemosensory age discrimination in the snake Boa constrictor (Serpentes: Boidae),Gabirot M.,Revista de Biologia Tropical,00347744,22152075,60,4,1603-1611,2012-12-01,December 2012,"Many snakes are able to use their chemosensory system to detect scent of conspecifics, which is important in many social contexts. Age discrimination based on chemical cues may be especially important to ensure access to sexually mature potential partners. In this study, we used 24 individual Boa constrictor snakes (12 adults mature and 12 non-mature individuals) that had been captured in different areas of Ecuador, and were maintained in captivity at the Vivarium of Quito. We used tongue-flick experiments to examine whether these snakes were able to discriminate between scents from mature and non-mature individuals. Results showed that B. constrictor snakes used chemical cues to recognize conspecifics and that the scent of individuals of different ages elicited chemosensory responses of different magnitudes. The scents from adult conspecifics elicited the quickest and highest chemosensory responses (i.e., short latency times and high tongue-flick rates), although we did not find differential responses to scent of males and females. The magnitude of the responses was lower to scent of sub adult individuals, and then even lower to scent of juvenile snakes, but in all cases the scent of snakes was discriminated from a blank control. We discuss the potential chemical mechanisms that may allow age recognition and its implications for social and sexual behavior of this snake species.",1,23342514,Journal,ar,Article,100,5,5,Age recognition | Boa constrictor | Chemoreception | Ecuador | Snakes,13567,undefined,0,FALSE,3,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84870284036,SCOPUS_ID:84870284036,2-s2.0-84870284036,"Food and reproductive biology of Farlowella vittata (Siluriformes: Loricariidae) in Güejar river basin, Orinoco, Colombia",García-Alzate C.,Revista de Biologia Tropical,00347744,22152075,60,4,1873-1888,2012-12-01,December 2012,"Neotropical fish live in streams with considerable spatial and temporal variability of their food items. Food availability depends on different factors such as discharge, channel morphology, physicochemical conditions and interactions with other species, as well as their food habits. On the other side, good food availability results in reproductive success. Because the study of those changes contributes to a better understanding of trophic interactions in fish populations, the present work describes and evaluates aspects of diet and reproduction of Farlowella vittata in Pringamosal Creek, Güejar River drainage, Orinoco River basin, Colombia. Five collecting expeditions were done during both high and low rain seasons of 2008 and 2009. Physical and chemical water parameters were measured, and fish were captured from several points along the total length of the 7km stream, to characterize their biometry and stomach contents. Our results showed that Pringamosal creek is a first order stream, about 3.5m wide and with an average depth of 1m in our study area. Dissolved oxygen values were 6.2mg/L during low water and 2.7mg/L during high water phase. The creek is classified as oligotrophic but with a tendency to eutrophication. A total of 130 fish samples were analyzed. Fishes were assigned to seven size range categories between 86.0 and 175.5mm standard length (SL). Stomach contents revealed that the diet of this species consisted mainly of algae (Bacillariophyceae) (84.6% Abundance Relative), but we observed a variation in the diet according to season; during low rainfall it feeds on phytoplankton (86.47% A.R.) and during high rainfall on zooplankton as well as plant material and organic material (0.685% A.R. and 18.83% A.R., respectively). A Kruskal-Wallis ANOVA showed statistically significant differences in food items between sexes. The condition factor (K) indicated that the species was well fed. Size at sexual maturity was 154mm SL for males and 124mm SL for females. The gonadosomatic index (RGS) showed that this fish reproduced during high water (April-May) season, and females showed a fecundity of 1 819 ovocites, with an average diameter of 1.4mm. Although parental care was not observed during this study, it is well known that males protect their eggs and juveniles, making them easy to capture during the breeding periods identified in this study, and at the same time, vulnerable to overexploitation. We recommend an urgent management plan for the conservation of this species, since at this time, no fishing controls are enforced even though it is harvested as an ornamental species.",4,23342535,Journal,ar,Article,100,3,3,Diet | Reproduction | Teleostei | Tropical freshwater fish,13567,undefined,0,FALSE,4,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84870282735,SCOPUS_ID:84870282735,2-s2.0-84870282735,Pontoscolex corethrurus (Annelidae: Oligochaeta) soil quality indicator in Eucalyptus grandis (Myrtacea) sites with slash and burn management,Uribe S.,Revista de Biologia Tropical,00347744,22152075,60,4,1543-1552,2012-12-01,December 2012,"Soil burning has been used in agricultural and forestry systems as a fundamental technique to clean the land and add some nutrients to the soil. In addition, earthworms are known to promote various soil functions since they contribute to aeration and organic matter and nutrients availability to other soil organisms. This study evaluated the effects of tropical forest crops management with presence-absence of Eucalyptus grandis on earthworm population in Huimanquillo, Tabasco, Mexico. Three sites (average area of 1-1.5ha each) with different management conditions were considered for soil and earthworm sampling (two depths and six replicates): without vegetation (SV) and recent slash-burned (38 days), forest crops of five years of production of E. grandis (Euc), and secondary vegetation of 15 years (Acah). Soil physico-chemical properties (apparent density, humidity, texture, pH, Ntot, OM, P, K, cationic capacity) were also evaluated, and earthworms were collected at the end of the rainy season (august-october 2007). We found that the sites soil is an acrisol acid, with pH 3.0-4.5 in the first 30cm depth. Organic matter content (OM) and total nitrogen (Ntot) in the recently burned sites were significantly lower (6-8% y 0.19-0.22%, respectively) than in sites with vegetation (OM=9-11%; el Ntot=0.27-0.33%). Only one species (P. corethrurus) was found in all the sampled areas, where most of the individuals were at juvenile stage (80%). The highest densities and biomass were found in Euc. treatment (166.4ind/m2 y 36.8g/m2) followed by Acah (138.7ind/m2 y 19.1g/m2 respectively), while the SV treatment showed of about an 80% reduced earthworm populations when compared to other treatments. Even though 15 years have passed over the secondary vegetation (Acah) still some perturbations were observed as the low abundance of the oligochaeta group. We concluded that the management used to culture E. grandis produces negative effects over the abundance and diversity of earthworms and soil nutrient availability.",4,23342509,Journal,ar,Article,100,6,6,Deforestation and slash burning | Earthworms | Eucalyptus grandis | Management | Pontoscolex corethrurus | Soil fertility,13567,undefined,0,FALSE,5,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84870282290,SCOPUS_ID:84870282290,2-s2.0-84870282290,"Histology of reproductive cycle of tropical gar atractosteus tropicus females (lepisosteiformes: Lepisosteidae) in Tabasco, Mexico",Méndez-Marin O.,Revista de Biologia Tropical,00347744,22152075,60,4,1857-1871,2012-12-01,December 2012,"In Southeast Mexico, A. tropicus is a species with great ecological, economic, cultural and aquaculture value, however wild populations have diminished due to diverse anthropological causes. The objective of this study was to characterize the reproductive cycle of A. tropicus, with a description of complete gonad structure and the changes in germinal and somatic elements during oogenesis, for better management and use of this species. Six sexually mature females (N=72) were captured monthly with drag nets during one year cycle (October 2003-October 2004) in wild populations of Pomposu lagoon, municipality of Jalpa de Mendez, Tabasco, Mexico. Females were sacrificed by decapitation and the ovaries were processed by standard histological methods; the diameter of 10-20 oocytes taken at random was determined in different stages of development. Gonadosmatic index (GSI), gonadal volume (gV) and follicule diameter (fD) were determined monthly. Among results we could determine eight oogenesis developmental stages: I: chromatin nucleolus stage, II: early perinucleolus stage, III: mid perinucleolus stage, IV: advanced perinucleolus stage, V: early vitellogenesis stage, VI: mid vitellogenesis stage, VII) advanced vitellogenesis stage and VIII: final maturation stage. The reproductive cycle could be divided in four phases: I: proliferative phase, II: initial maturation phase, III: late maturation phase, IV: regressing phase. Analysis of the data obtained from the IGS, gV and fD values, oogenesis stages and reproductive phases, indicate that in December previtellogenesis phase restarts, from March through July yolk deposition (vitellogenesis) occurs, and from August to November the maximum reproductive activity takes place. Contrasting this pattern with local environmental factors such as temperature and precipitation, we suggested that these may serve as an environmental activator in the development of oogenesis and spawning of this species.",4,23342534,Journal,ar,Article,100,5,5,Atractosteus tropicus | Follicle | Ovary | Previtellogenesis | Reproduction | Vitellogenesis,13567,undefined,0,FALSE,6,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84870278724,SCOPUS_ID:84870278724,2-s2.0-84870278724,USJ herbarium of Costa Rica: History and contributions,Morales C.,Revista de Biologia Tropical,00347744,22152075,60,4,1641-1648,2012-12-01,December 2012,"In 2011 the Herbarium USJ of the University of Costa Rica became 80 years old and came up with 100 000 specimens of all the taxa that traditional botany studies. Data and figures on the history, the founders, and contributions of USJ to the knowledge of Costa Rican flora are summarized.",0,23342518,Journal,ar,Article,100,1,1,Herbario Luis A. Fournier (USJ)/USJ-herbarium | Universidad de Costa Rica,13567,undefined,0,FALSE,7,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84870276651,SCOPUS_ID:84870276651,2-s2.0-84870276651,Phenology of tropical understory trees: Patterns and correlates,Alice Boyle W.,Revista de Biologia Tropical,00347744,22152075,60,4,1415-1429,2012-12-01,December 2012,"Reproductive phenologies of plants are constrained by climate in highly seasonal regions. In contrast, plants growing in wet tropical forests are freed from many abiotic constraints, which in canopy tree communities lead to a rich diversity of phenological patterns within and among individuals, species and communities. However, basic descriptions of tropical phenological patterns and the processes that shape them are rare. Here, we document the individual-, population-, and landscape-level phenological patterns of two dominant families of understory woody plants important to avian frugivores, the Melastomataceae and Rubiaceae, along an elevational transect in Costa Rica. The 226 individual plants belonging to 35 species in this study, varied in the number of reproductive bouts/year, and the timing, duration, and synchrony of reproductive stages. This variation was not related to factors related to their interactions with mutualists and antagonists, nor did it appear to be constrained by phylogeny. Diverse phenological patterns among species led to relatively aseasonal patterns at the community and landscape level. Overall, evidence for biotic processes shaping temporal patterns of fruiting phenology was weak or absent. These findings reveal a number of unexplained patterns, and suggest that factors shaping phenology in relatively aseasonal forests operate in idiosyncratic ways at the species level.",13,23342499,Journal,ar,Article,100,2,2,Climate | Costa rica | Frugivory | Fruit pathogens | Phenological patterns | Seed dispersal mutualisms | Tropical wet forest,13567,undefined,0,FALSE,8,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84870276498,SCOPUS_ID:84870276498,2-s2.0-84870276498,Validation of two indices of biological integrity (IBI) for the Angulo river subbasin in central Mexico,Ramírez-Herrejón J.P.,Revista de Biologia Tropical,00347744,22152075,60,4,1669-1685,2012-12-01,December 2012,"Efforts to halt freshwater ecosystem degradation in central Mexico can benefit from using bio-monitoring tools that reflect the condition of their biotic integrity. We analyzed the applicability of two fish-based indices of biotic integrity using data from lotic and lentic systems in the Angulo River subbasin (Lerma-Chapala basin). Both independent data from our own collections during two consecutive years, and existing information detailing the ecological attributes of each species, were used to calculate indices of biological integrity for 16 sites in lotic and lentic habitats. We assessed environmental quality by combining independent evaluations water and habitat quality for each site. We found sites with poor, regular and good biotic integrity. Our study did not find sites with good environmental quality. Fish-based IBI scores were strongly and significantly correlated with scores from independent environmental assessment techniques. IBI scores were adequate at representing environmental conditions in most study sites. These results expand the area where a lotic system fish-based IBI can be used, and constitute an initial validation of a lentic system fish-based IBI. Our results suggest that these bio-monitoring tools can be used in future conservation efforts in freshwater ecosystems in the Middle Lerma Basin.",8,23342521,Journal,ar,Article,100,4,4,Biomonitoring | Conservation | Environmental evaluation | Fish community | Freshwater ecosystems,13567,undefined,0,FALSE,9,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84870275795,SCOPUS_ID:84870275795,2-s2.0-84870275795,"Effects of short-term sediment nutrient enrichment and grazer (Neritina reclivata) removal on sediment microalgae in a shallow eutrophic estuary (Alabama, USA)",Cebrian J.,Revista de Biologia Tropical,00347744,22152075,60,4,1687-1706,2012-12-01,December 2012,"The olive snail (Neritina reclivata) is ubiquitous in tropical and sub-tropical systems of the Gulf of Mexico, however its impacts on sediment microalgae have been little studied. Many coastal systems around the world are being eutrophied due to human activities, and seemingly they will continue to be eutrophied to a further extent in the future. Exploring the single and combined impacts of further nutrient enrichment and grazing by the olive snail on sediment microalgae in such eutrophic systems is an important question for our understanding and management of these systems. Here we examine the effects of short-term nutrient enrichment and grazing by the olive snail N. reclivata on sediment microalgal biomass and composition in a shallow eutrophic estuary (Weeks Bay, Alabama, USA) of the Northern Gulf of Mexico. For this, we performed a series of factorial experiments adding or not nutrients and removing or not the snail, for a total of four treatments in each experiment: ambient grazing, ambient nutrients; ambient grazing, increased nutrients; no grazing, ambient nutrients; and no grazing, increased nutrients. We did not find any significant impact of nutrient addition in any of the eight short-term (i.e. four days) experiments carried out. Impacts by the snail were minor; we only found a decrease in biomass due to snail grazing in one of the eight experiments, and no impacts on microalgal (i.e. diatom) composition. High ambient nutrient concentrations in the sediment porewater and low snail abundances on the sediment could explain these findings. Our results suggest that ephemeral, short-term nutrient pulses into eutrophic coastal systems of the Northern Gulf of Mexico, such as Weeks Bay (Alabama, USA), should not greatly affect the abundance of sediment microalgae, even though those pulses occur in well-lit areas. The results further suggest the snail N. reclivata is not a major control of sediment microalgal populations in the subtidal sedimentary areas studied. Our findings contrast with the results of past work in sediments with well-lit and nutrient poor conditions, or sediments with high densities of other snail grazers. In conjunction this and other investigations indicate that the response of sediment microalgae to nutrient enrichment and modified grazer abundance depends to a large extent on the initial levels of nutrient availability and grazing before the system is altered.",4,23342522,Journal,ar,Article,100,6,6,Bottom-up | Chlorophylla | Eutrophication | Herbivory | Meridian reclivata | Sediment microalgae | Top-down,13567,undefined,0,FALSE,10,NA,NA,NA,NA,NA
