@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0041805103,SCOPUS_ID:0041805103,2-s2.0-0041805103,"Ecology of foliicolous lichens at the 'Botarrama' trail (Costa Rica), a Neotropical rain forest. I. Species composition and its ecogeographical implications",Lücking R.,Biotropica,00063606,31,4,553-564,1999-12-01,December 1999,"A total of 217 species of typically foliicolous lichens were found at the 'Botarrama' trail, a premontane rain forest in the Braulio Carrillo National Park, Costa Rica. The species composition confirmed the classification of this study site as transitional between lowland wet and montane rain forest. In terms of species richness, the foliicolous lichen flora was dominated by the families Gomphillaceae (Calenia, Echinoplaca, Gyalideopsis, and Tricharia), Trichotheliaceae (Porina and Trichothelium), and Pilocarpaceae (Byssoloma and Fellhanera). The most frequent species were Porina mirabilis (including its supposed anamorph Phyllophiale alba), Gyalectidium filicinum, Porina rufula, and Strigula platypoda. A large proportion of the species was rare. Frequency distributions based on area cover corresponded well to general community models by closely fitting a log-normal approximation. Half of the species had narrow ecological amplitudes while more than 70 percent exhibited a wide geographical distribution, thus making the study site representative of a Neotropical rain forest. The use of foliicolous lichens as indicators of altitudinal zonation is discussed.",25,Journal,ar,Article,100,1,1,Altitudinal zonation | Bioindication | Community ecology | Costa Rica | Diversity | Ecogeography | Foliicolous lichens | Neotropics | Tropical rain forest,13817,undefined,0,FALSE,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0345466586,SCOPUS_ID:0345466586,2-s2.0-0345466586,Litter interception on Astrocaryum mexicanum Liebm. (Palmae) in a tropical rain forest,Alvarez-Sánchez J.,Biotropica,00063606,31,1,89-92,1999-01-01,March 1999,"The goal of this study was to quantify litter interception on Astrocaryum mexicanum Liebm., an abundant and efficient litter-capturing palm. The study was done in a forest at Los Tuxtlas, Veracruz, on the Gulf of Mexico coast. Palms were randomly selected and total litter retention was quantified by determining dry weight over two years. Litter interception by palms was 4.4 and 27.1 Mg/ha/yr for the first and second years, respectively, and accounted for 47.9 and 239.4 percent of the reported annual litterfall in the same area. Results showed that litter interception by plants is related to litterfall and should therefore be added to total litterfall in order to calculate the net primary productivity.",24,Journal,ar,Article,100,2,2,Astrocaryum mexicanum | Litter interception | Litterfall | Mexico | Palms | Tropical rain forest | Veracruz,13817,undefined,0,FALSE,2,10.1111/j.1744-7429.1999.tb00119.x,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0345009026,SCOPUS_ID:0345009026,2-s2.0-0345009026,"Distribution, abundance and reproduction of Harengula jaguana (Goode and Bean 1879) in the continental platform of the Southern Gulf of Mexico (Pisces: Clupeidae)",García-Abad M.C.,Biotropica,00063606,31,3,494-501,1999-01-01,September 1999,"Harengula jaguana is a dominant species in the southern Gulf of Mexico. It is a demersal, estuarine-dependent species, distributed throughout the Campeche Sound area (12-54 m). It is found in areas influenced by coastal discharges. The size at first maturity of females is 117 mm total length. Reproduction occurs from February to October in depths 18-36 m. The juveniles are found on the shelf (<20 m) and inside the Terminos Lagoon. Recruitment is in two distinct periods, March-June and August-November, when adults and juveniles migrate to the outer shelf. Greatest abundance is observed in depths of 12-36 m. The biology and ecology of H. jaguana was analyzed in the Campeche Sound to better understand the structure and function of the demersal fish communities. It is a very important species in the trophic dynamics of the ecosystem because it transports matter and energy. A model of the biological pattern for this species in the area is proposed.",6,Journal,ar,Article,100,4,4,Campeche Sound | Demersal | Dominance | Fish ecology | Fish reproduction | Gulf of Mexico | Harengula jaguana,13817,undefined,0,FALSE,3,10.1111/j.1744-7429.1999.tb00392.x,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0344604490,SCOPUS_ID:0344604490,2-s2.0-0344604490,"Associations between anurans and ants in a West African savanna (Anura: Microhylidae, Hyperoliidae, and Hymenoptera: Formicidae)",Rödel M.O.,Biotropica,00063606,31,1,178-183,1999-01-01,March 1999,"We report observations and experiments on associations of the frogs, Phrynomantis microps and Kassina fusca, and the ponerine ants, Megaponera foetens and Paltothyreus tarsatus, in a West African savanna. Several experiments show that the tolerant behavior of the ants toward these frogs is due to chemical components of the frogs' skin. Comparisons to other syntopic frog species suggest that this enables these frogs to make use of burrows that otherwise are unavailable. This is advantageous because in the savanna, most hiding places that remain moist during the dry season are occupied by ants.",21,Journal,ar,Article,100,2,2,Ants | Anurans | Associations | Chemical defense | Kassina | Megaponera | Paltothyreus | Phrynomantis | Savanna habitat,13817,undefined,0,FALSE,4,10.1111/j.1744-7429.1999.tb00128.x,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0344172771,SCOPUS_ID:0344172771,2-s2.0-0344172771,Structure of benthic diatom assemblages from a mangrove environment in a Mexican subtropical lagoon,Siqueiros Beltrones D.A.,Biotropica,00063606,31,1,48-70,1999-01-01,March 1999,"The taxonomic list and the structure of benthic diatom assemblages occurring in fine sediments (silt and sand) from the mangrove forest of the Balandra lagoon in Baja California Sur, Mexico was determined based on seasonal samplings for one year. Assemblage structure was analyzed using several ecological indices for estimating diversity (H'), dominance (REDI), equitability, and similarity. A total of 230 diatom taxa were identified and include 109 new records for the Baja California peninsula coast. Taxa representative of highly productive and hypersaline environments were common. Assemblages were characterized by a few abundant species and many uncommon or rare taxa. High diatom diversity estimates at all sampling sites during all seasons suggest that diatom assemblages in sediments of the Balandra lagoon represent a quasi-pristine environment.",34,Journal,ar,Article,100,2,2,Baja California peninsula | Benthic diatoms | Diversity | Mangrove,13817,undefined,0,FALSE,5,10.1111/j.1744-7429.1999.tb00116.x,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0344172767,SCOPUS_ID:0344172767,2-s2.0-0344172767,Dry season migration by Costa Rican lowland paper wasps to high elevation cold dormancy sites,Mulkey S.S.,Biotropica,00063606,31,1,192-196,1999-01-01,March 1999,NA,40,Journal,no,Note,100,1,1,Costa Rica | Dormancy | Elevational migration | Hymenoptera | Mischocyttarus | Polistes | Seasonality | Vespidae | Wasp,13817,undefined,0,FALSE,6,10.2307/2663974,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0343415525,SCOPUS_ID:0343415525,2-s2.0-0343415525,Frogs and snakes as phoretic dispersal agents of bromeliad ostracods (Limnocytheridae: Elpidium) and annelids (Naididae: Dero),Lopez L.C.S.,Biotropica,00063606,31,4,705-708,1999-01-01,December 1999,NA,62,Journal,ar,Article,100,3,3,Annelid | Bromeliad | Dero | Elpidium | Frog | Ostracod | Phoresia | Phytotelmata,13817,undefined,0,FALSE,7,10.1111/j.1744-7429.1999.tb00421.x,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0042652870,SCOPUS_ID:0042652870,2-s2.0-0042652870,Deforestation rates (1938-1988) of tropical lowland forests on the Andean foothills of Colombia,Viña A.,Biotropica,00063606,31,1,31-36,1999-01-01,March 1999,"Deforestation rates were estimated in 270 km2 of lowland moist forest on the eastern slope of the Colombian Andes (300-800 m). Deforestation was quantified by determining areas of pasture, secondary growth, and forest in aerial photographs (1:19,000-1:60,000) taken in the 1930s, 1950s, 1960s, 1970s, and 1980s. Mean annual deforestation rate for the 1938-1988 period was 1.5 percent, and ranged from <0.1 percent (1938-1955) to 4.4 percent (1970s-1980s). Between the 1930s and the 1980s, areas covered by pasture and young secondary forest increased from 26-53 percent and from 2-14 percent, respectively. This suggests that, although there are areas with clear signs of forest regeneration, the overall trend is the conversion of mature tropical forests to pastures for cattle ranching.",33,Journal,ar,Article,100,2,2,Colombia | Pasture | Secondary growth | Tropical deforestation,13817,undefined,0,FALSE,8,10.1111/j.1744-7429.1999.tb00114.x,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033513558,SCOPUS_ID:0033513558,2-s2.0-0033513558,Evaporative water loss in insular populations of the Anolis cristatellus group (Reptilia: Sauria) in the British Virgin Islands II: The effects of drought,Perry G.,Biotropica,00063606,31,2,337-343,1999-01-01,1999,"Previous work has shown that water loss in some populations of Anolis cristatellus from the British Virgin Islands is closely tied to the conditions available on the islands they inhabit. This manifested itself in a strong correlation between habitat aridity and several water loss rate parameters. Here we report on a similar study conducted in the same locations in 994, a year of extreme drought. We hypothesized that lizards caught at the height of the drought will experience lower rates of water loss than those measured during a normal year. Our findings show that in 1994, as in 1993, habitat aridity and water loss parameters were strongly correlated. Also as before, the Guana Island population of A. cristatellus displayed higher resistance to water loss than expected by the island's aridity. However, a striking change occurred within populations. All were at least as good at retaining water (measured as integumentary resistance to water loss, R) as in 1993, and some were over 3.5 times better. Existing evidence is insufficient to determine whether these changes were the result of phenotypic plasticity or attributable to differential mortality of nonresistant individuals.",10,Journal,ar,Article,100,3,3,Anolis cristatellus | Anolis ernestwilliamsi | British Virgin Islands | Differential mortality | Evaporative water loss | Habitat aridity | Phenotypic plasticity | Tropical islands,13817,undefined,0,FALSE,9,10.1111/j.1744-7429.1999.tb00145.x,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033513557,SCOPUS_ID:0033513557,2-s2.0-0033513557,Tropical monodominance: A preliminary test of the ectomycorrhizal hypothesis,Torti S.,Biotropica,00063606,31,2,220-228,1999-01-01,1999,"This study reports results from the first explicit test of the ectomycorrhizal hypothesis for tropical monodominance in the Ituri Forest of the Democratic Republic of Congo (formerly Zaire), where the canopy tree Gilbertiodendron dewevrei forms large, monospecific stands. To test the hypothesis that ectomycorrhizae are important to the success of dominant species, we surveyed the mycorrhizal status of dominant species, as well as other common, but not dominant, species in the forest. The survey reveals that two dominant species, Gilbertiodendron dewevrei and Julbernardia seretii, form ectomycorrhizae and vesicular-arbuscular mycorrhizae, while Cynometra alexandri, another dominant, forms only vesicular-arbuscular mycorrhizae. These results, along with those of other species in this and other forests, are discussed within the context of the ectomycorrhizal hypothesis for tropical mondominance. This study demonstrates that the relationship between EM and tropical monodominance is more complex than has been previously recognized.",38,Journal,ar,Article,100,2,2,Ectomycorrhizae | Gilbertiodendron dewevrei | Monodominance | Mycorrhizae | Tropical | Vesicular-arbuscular,13817,undefined,0,FALSE,10,10.1111/j.1744-7429.1999.tb00134.x,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033513555,SCOPUS_ID:0033513555,2-s2.0-0033513555,Local distribution of Chusquea tomentosa (Poaceae: Bambusoideae) before and after a flowering event,Stern M.J.,Biotropica,00063606,31,2,365-368,1999-01-01,1999,NA,10,Journal,no,Note,100,3,3,Bamboo | Chusquea | Forest dynamics | Monocarpy | Montane cloud forest | Rhizomes | Seedling bank | Spatial distribution | Talamanca,13817,undefined,0,FALSE,11,10.1111/j.1744-7429.1999.tb00148.x,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033513085,SCOPUS_ID:0033513085,2-s2.0-0033513085,"Sampling effects on food availability estimates: Phenological method, sample size, and species composition",Hemingway C.,Biotropica,00063606,31,2,354-364,1999-01-01,1999,"It is currently recognized that the method used to collect phenology data can affect the resulting pattern. However, to date, the underlying influences have not been examined. To examine potential methodological biases, we investigated the effects of phenological method, sample size, and species composition on phenological patterns using data collected to estimate food availability for three primate species in Ranomafana National Park, Madagascar. Two phenological methods were compared: selected tree observations and systematic transect monitoring. By generating bootstrapped subsamples derived from the transect tree data set, we simulated two selected tree data sets and subsequently compared the observed and bootstrapped values. Although the observed values fell within the bootstrapped confidence intervals, suggesting no significant effects of sampling protocol or sample size, additional lines of evidence suggest otherwise. Observed samples composed of different plant species, whether based on species attributes such as life-form or categories such as food versus nonfood plants, consistently produced different phenological patterns. Wide confidence intervals of the bootstrapped samples indicate high individual variation in reproductive activity within the species sampled. Finally, we compared how well the selected tree and the transect methods represented food items used by all three primate species studied and found that transect methods sampled a wider diversity of food items, including rare foods, and a higher percentage of main primate food items than selected tree methods.",21,Journal,ar,Article,100,2,2,Bootstrapping | Food availability | Madagascar | Phenology | Ranomafana National Park | Sampling effects | Tropical rain forest,13817,undefined,0,FALSE,12,10.1111/j.1744-7429.1999.tb00147.x,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033512937,SCOPUS_ID:0033512937,2-s2.0-0033512937,Does optimal packing of flowers in syconia shape style length variation in monoecious figs?,Ganeshaiah K.,Biotropica,00063606,31,2,312-320,1999-01-01,1999,"Style length variation in female flowers of monoecious figs has been shown to play an important role in regulating the proportion of flowers that develop into seeds and those that become infested by the pollinator wasp. In this study, we tested the suggestion that style length variation in figs is a consequence of optimal packing of the flowers. We show that optimal packing of flowers in fig syconia will result in a highly skewed distribution of style lengths and a positive skewness of pedicel lengths. These predictions were qualitatively tested in eight species of figs and the results indicate that observed style length distributions did not conform to those expected. We argue that while the pedicel lengths are likely to be a spinoff of optimal packing of the flowers, style lengths are probably shaped by independent selective forces. The pedicel lengths also are subjected to compensatory growth so as to place the stigmas at a common height in the central cavity for effective pollination of the flowers. This was substantiated by the response (dependence) of pedicels to (on) the length of the style, neck, and other floral features. In all species the coefficient of variation of styles was very consistent (ca 30%). This is in accordance with expectations if style lengths are shaped to regulate the proportion of flowers for wasp and seed production.",15,Journal,ar,Article,100,3,3,Floral packing | Monoecious figs | South India | Style length variation,13817,undefined,0,FALSE,13,10.1111/j.1744-7429.1999.tb00143.x,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033512771,SCOPUS_ID:0033512771,2-s2.0-0033512771,"Isolated pasture trees and the vegetation under their canopies in the Chiapas Coastal Plain, Mexico",Otero-Arnaiz A.,Biotropica,00063606,31,2,243-254,1999-01-01,1999,"The Coastal Plain of Chiapas (southern Mexico) was formerly covered by large tracts of subhumid tropical forests but is heavily deforested at present. In this region, 15 pastures were selected to characterize species composition of isolated trees, as well as to describe species composition, growth form patterns, and patterns of dispersal units in the vegetation growing under their canopies. The 65 recorded pasture trees belonged to 20 species and 11 families, of which Fabaceae and Moraceae were the most species-rich. Coccoloba barbadensis (Polygonaceae) and Enterolobium cyclocarpum (Fabaceae) were the most abundant and frequent trees in the studied pastures. More than half (55%) of isolated tree species were fleshy-fruited. In the vegetation sampled under pasture trees, 134 species and 45 families were found. Fabaceae and Poaceae had the largest numbers of species. Herbs were the predominant growth form (46.3%), followed by shrubs (23.9%), trees (23.1%), and lianas (2.2%); 6 species could not be placed in any growth form category. Most species of this flora were fleshy-fruited (43.3%), followed by heavy, gravity-dispersed fruits (17.9%). The analysis of dispersal units by growth form category confirmed the prevalence of fleshy fruits, although their predominance was not so obvious among herb species. Almost half (49.2%) of the flora under pasture trees was typical of secondary vegetation; this pattern was true for herbs but not for most woody species, which were typical of primary vegetation. A numeric classification of the vegetation samples taken under pasture trees produced eight floristic groups, all of which were independent of the specific identity of pasture trees. No significant effect of dispersal unit type of pasture tree on the characteristics of the vegetation growing under them was found. Future attempts to re-create the original forest cover using isolated trees in pastures as regeneration foci should pay more attention to the maintenance of a large specific diversity independently of the dispersal types among these components of tropical landscapes.",31,Journal,ar,Article,100,4,4,Chiapas | Diaspore types | Dispersal | Landscape management | Pasture trees | Regeneration | Tropical pastures,13817,undefined,0,FALSE,14,10.1111/j.1744-7429.1999.tb00136.x,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033512743,SCOPUS_ID:0033512743,2-s2.0-0033512743,"Factors limiting tropical rain forest regeneration in abandoned pasture: Seed rain, seed germination, microclimate, and soil",Holl K.D.,Biotropica,00063606,31,2,229-242,1999-01-01,1999,"Vegetation, seed rain, seed germination, microclimate, and soil physical and chemical parameters were measured in a recently abandoned pasture and adjacent primary rain forest in southern Costa Rica. The goal of this study was to assess the importance of these factors in limiting forest regeneration in abandoned pastures. Seed rain of animal dispersed species decreased dramatically in the pasture >5 m from the forest/pasture edge; fewer wind dispersed seeds fell in the pasture than in the forest, but the difference was much less than for animal dispersed seeds. Percent seed germination of most species studied was similar in the forest and in pasture with grasses; seed germination was lower during the dry season in areas of pasture cleared of grasses. Air temperature, vapor pressure deficit (VPD), and photon flux density (PFD) were much higher in the pasture than in the forest at 1 m above the ground. VPD and PFD at ground level and soil temperature were similar in the pasture and the forest, indicating that pasture grasses strongly modify microclimatic conditions near the soil surface. The lowest gravimetric water content recorded in the pasture during the dry season was 0.5 and leaf relative water contents of the two species measured in the forest and pasture were identical, suggesting that plants in the pasture were not water stressed. Levels of most soil nutrients were lower in the pasture as compared to the forest; however, aboveground and root biomass for seedlings grown in pasture and forest soils did not differ significantly. Although a number of factors impede forest recovery in abandoned pastures, these results suggest that the most important limitation is lack of seed dispersal.",422,Journal,ar,Article,100,1,1,Andisol | Costa Rica | Pasture grasses | Phosphorus | Restoration | Seed dispersal | Soil compaction | Soil nutrients | Succession,13817,undefined,0,FALSE,15,10.1111/j.1744-7429.1999.tb00135.x,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033512742,SCOPUS_ID:0033512742,2-s2.0-0033512742,"Litterfall mass, chemistry, and nutrient retranslocation in a monodominant forest on Maraca Island, Roraima, Brazil",Villela D.,Biotropica,00063606,31,2,198-211,1999-01-01,1999,"Maraca Island is on the boundary of the Amazon rain forest and the Rio Branco-Rupunini savanna. The annual rainfall is ca 1800 mm, with a dry season from October-March and a wet season from April-September. A forest type dominated by Peltogyne gracilipes (Caesalpiniaceae) occurs on parts of the island and the adjacent mainland, the least species-rich (for trees > 10 cm DBH) of any recorded in Brazilian Amazonia. The goal of this study was to test the hypothesis that the dominance by Peltogyne is associated with an unusual litterfall mass, nutrient concentrations, or retranslocation. Three plots (50 x 50 m) were set up in each of three forest types: (1) Peltogyne-rich forest (PRFa), dominated by Peltogyne gracilipes; (2) Peltogyne-poor forest (PPF), with a sparse occurrence of Peltogyne; and (3) forest without Peltogyne (FWPa). Litterfall was collected for 360 d at ca 15-d intervals in 11 randomly positioned traps (0.32 m2) per plot. Mature Peltogyne leaves were collected at random from three randomly selected understory Peltogyne trees in each of the three PRFa plots during the early dry and early wet season. Additionally, young Peltogyne leaves were collected during the early wet season. Chemical analyses were made on bulked (on a 2-mo basis) litterfall samples and young and mature Peltogyne leaves. The estimated annual litterfall was similar among PRFa (7.9 t/ha), PPF (9.1 t/ha) and FWPa (8.6 t/ha); however, PRFa was distinguished by its littetfall seasonality, because of the deciduous Peltogyne, and its higher concentrations of Ca (9.3 compared to 6.5 mg/g in FWPa) and Mg (3.2 compared to 1.9mg/g in FWPa). About 40-50 percent of N and P, 25-41 percent of K, and 2-13 percent of Mg were retranslocated from Peltogyne leaves.",44,Journal,ar,Article,100,2,2,Amazon | Litterfall | Maraca | Monodominance | Nutrient concentration | Peltogyne | Retranslocation,13817,undefined,0,FALSE,16,10.1111/j.1744-7429.1999.tb00132.x,NA,NA
