@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/47849128457,SCOPUS_ID:47849128457,2-s2.0-47849128457,"Temporal and spatial distribution of ants in a light gradient, in a coffee agroforestry system, Turrialba, Costa Rica",Varón E.H.,Revista de Biologia Tropical,00347744,55,3-4,943-956,2007-09-01,September 2007,"Shade trees are frequently present in coffee (Coffea arabica L.) agroforestry systems of Mesoamerica. These systems can harbor a rich entomofauna, including ants, which could be predators of key pests in these systems. However, the role of shade on the distribution and abundance of these ants is unknown, yet such knowledge could suggest guidelines for manipulating certain environmental conditions of their habitat, thereby achieving their conservation and increase. Therefore, we studied the effect of shade on the spatial and temporal distribution of three ant species (Solenopsis geminata, Pheidole radoszkowskii and Crematogaster curvispinosa) that may prey on the coffee berry borer, Hypothenemus hampei (Coleoptera: Scolytidae), and the mahogany shootborer, Hypsipyla grandella (Lepidoptera: Pyralidae). To do this, abundance was evaluated across a sun-shade gradient in a coffee plantation with four alternate plots (from pure sun to total shade) in Turrialba, Costa Rica. In the community that was studied 28 species of ants were collected, of which S. geminata was the dominant species (79 % of the total individuals), followed by P. radoszkowskii (16 %). S. geminata and C. curvispinosa preferred sunny areas, while P. radoszkowskii showed no defined preference. Likewise, with respect to location, S. geminata predominated in the soil, while P. radoszkowskii and C. curvispinosa predominated in coffee bushes.",5,19086397,Journal,ar,Article,100,6,6,Agroforestry systems | Coffee | Costa Rica | Crematogaster curvispinosa | Pheidole radoszkowskii | Shade | Solenopsis geminata,13567,undefined,0,FALSE,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/47849126679,SCOPUS_ID:47849126679,2-s2.0-47849126679,Reproduction of the fish Brotula clarkae (Pisces: Ophidiidae) in the Colombian Pacific,Acevedo J.,Revista de Biologia Tropical,00347744,55,3-4,957-967,2007-09-01,September 2007,"We studied the reproductive ecology of the fish Brotula clarkae based on 754 individuals obtained from the industrial and artisanal fisheries in the Colombian Pacific (March 1994 to December 1996). Histological sections (paraplast embedding and Harris's hematoxylin-eosin stain) were made from 151 females (26-100 cm total length). Additionally, mean diameter and particular features are described for oocyte phases and ovarian development stages. The mean size at initial sexual maturity of females was determined with two methods (graphic and statistic) in 61.3 cm and 62.3 cm respectively. The general sex ratio was 1:1.There are several spawn pulses between May and October. The mean fecundity by spawn pulse was 1 005 657 eggs. We recommend a fishing ban during the reproduction period and a minimal catch size above 62.3 cm.",4,19086398,Journal,ar,Article,100,4,4,Brotula clarkae | Colombian Pacific | Fishes | Reproduction,13567,undefined,0,FALSE,2,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/47849108542,SCOPUS_ID:47849108542,2-s2.0-47849108542,"Variation of the orchid bees community (Hymenoptera: Apidae) in three altered habitats of the Colombian ""llano"" piedmont",Parra-H. A.,Revista de Biologia Tropical,00347744,55,3-4,931-941,2007-09-01,September 2007,"Orchid bees subsist in vast tropical forest areas because they maintain close relationships with particular plant species in diverse micro-habitats. Based on the relationships among the environment and biological features (food preference, morphologic and ethologic diversity), it is possible to determine habitat quality using the euglossine array. This work proposes the use of this ecological information, in addition to diversity indices, for the evaluation of environmental quality. Fifteen localities in three landscape types (urban, rural and conserved) were sampled in the eastern llanos foothill (Meta, Colombia), between March and December of 2003 using entomological nets, and Cineol and Metil Salicylate as baits. Of the 26 species known to occur in the area, 17 were registered. Eulaema nigrita was the most frequent, while E. speciosa E. bombiformis, Euglossa magnipes, E. cybelia, E. heterosticta, E. singularis and Exaerete frontalis were mostly found in habitats rated ""good to acceptable"". The vegetation composition and proximity of forest fragments seem to favor some species in disturbed habitats. Relative diversity of bee body shapes and sizes is proportional to habitat quality.",17,19086396,Journal,ar,Article,100,2,2,Colombian eastern llanos piedmont | Communities | Conservation | Diversity | Euglossine bees,13567,undefined,0,FALSE,3,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/47849108541,SCOPUS_ID:47849108541,2-s2.0-47849108541,"Distribution, abundance and alimentary preferences of the fish Opsanus phobetron (Batrachoididae) at the Chelem coastal lagoon, Yucatan, Mexico",Canto-Maza W.G.,Revista de Biologia Tropical,00347744,55,3-4,979-988,2007-09-01,September 2007,"Fish are important ecological components in tropical coastal lagoons. In order to evaluate the distribution and feeding preferences of the toadfish Opsanus phobetron in the Chelem Lagoon, Yucatan, Mexico, fish samples were collected using a beach seine in eight stations distributed randomly, from March 2002 to January 2003. The components were analyzed by means of the relative abundance percentage and occurrence frequency. The trophic similarity between ontogenetic stages was determined with the Morisita Index. A total of 221 organisms were collected, with a density and biomass of 92.09 ind/100 m 2 and 930.39 g/100 m2 respectively. The highest density and biomass were recorded in the same station. A total of 94 stomach contents were analyzed. Results showed a wide trophic generalization, including 40 alimentary items and great ontogenetic variation: juvenile stages consume preferentially microcrustaceans, while adults mainly feed on fish (96 %).",13,19086400,Journal,ar,Article,100,2,2,Chelem lagoon | Distribution | Feeding habits | México | Opsanus phobetron | Stomach content analysis,13567,undefined,0,FALSE,4,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/47849089027,SCOPUS_ID:47849089027,2-s2.0-47849089027,Morphology of the first zoea of the marine crabs Petrolisthes haigae and P. nobilii (Decapoda: Porcellanidae),Hernández G.,Revista de Biologia Tropical,00347744,55,3-4,879-887,2007-09-01,September 2007,"The porcellanid crabs Petrolisthes haigae Chace 1962, and P. nobilii Haig 1960, are shallow-water species distributed along the tropical Eastern Pacific shores. Larvae of both species from eight and four females, collected at Taboga and Naos Islands, respectively, were hatched in the laboratory. First zoeal stages of these species are described and illustrated for the first time and compared to previously first zoeae of other congeneric species from western Panama. Characters of the first zoeae of both species most closely agree with those Osawa's (2002) Group 4 of larvae.",2,19086392,Journal,ar,Article,100,4,4,Eastern Pacific | Larvae | Petrolisthes | Porcellanidae | Zoea,13567,undefined,0,FALSE,5,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/47849087226,SCOPUS_ID:47849087226,2-s2.0-47849087226,"Spiders (Arachnida: Araneae) associated with two degraded forests in the humid Chaco of Corrientes, Argentina",Avalos G.,Revista de Biologia Tropical,00347744,55,3-4,899-909,2007-09-01,September 2007,"The advancing degradation of the forest in the biogeographic Chaco province (Argentina) produces an important loss of its little known biodiversity. We studied the spider biodiversity in two forests of Corrientes, Argentina's ""Distrito Oriental Húmedo del Chaco"": Laguna Brava and El Perichón. Seasonal samplings of foliage and fallen leaves between 2001 and 2002 produced 2 067 individuals from 33 families and 226 species/ morphospecies). The families Araneidae, Anyphaenidae, Salticidae and Theridiidae were the most abundant in both forests. The ""orb weavers"" guild had the highest number of specimens (n=382) and ""stalkers"" the highest richness (S=56). In Brava, highest abundance was in the summer (n=287) and spring (n=273), in Perichón, it was in winter (n=315). The specific richness and the diversity indexes were higher in Brava (S=134, H′=4.23, E=0.86, D=0.023) than in Perichón (S=127, H′=4.08, E=0.84, D=0.029). The similarity value between both forests was MH=0.611.",29,19086394,Journal,ar,Article,100,4,4,Araneae | Argentina | Biodiversity | Corrientes | Humid forests,13567,undefined,0,FALSE,6,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/47749155638,SCOPUS_ID:47749155638,2-s2.0-47749155638,"Community structure of edaphic cunaxids (Acarina) from a lowland dry forest in Chamela, México",Mejía-Recamier B.E.,Revista de Biologia Tropical,00347744,55,3-4,911-930,2007-09-01,September 2007,"The structure community of cunaxids mites was studied at a tropical dry forest in the Chamela Biological Station, Jalisco, Mexico. Monthly samples of litter and soil were taken during one year (July 1991-May 1992), in two small watersheds. A total of 43 species was recorded. We studied their abundance, species frequency (F), rareness and relative abundance (Ar), density (ind m -2), species richness (S), Shannon's diversity index (H′), and Pielou's evenness index (J′). The species richness was similar in litter and soil (38 species), but species composition was different. The higher density was found in soil, with 5 074 ind m-2; litter density was 2 199 ind m-2. The subfamilies with the highest density in both biotopes were Coleoscirinae (H=1 127 ind m-2; S=2 235 ind m-2) and Cunaxiinae (H=887 ind m-2; S = 1 936 ind m-2). The genus Pulaeus had the most species, and all were new to science. Mean and variance indicate an aggregate distribution for these cunaxids. By permanency and relative abundance, the dominant species were: Cunaxa potchensis, Coleoscirus simplex, Armascirus harrisoni, Cunaxoides sp. nov. 1, Cunaxoides sp. nov. 2, Pulaeus sp. nov. 15 and Pulaeus sp. nov. 16. An significant effect of the month and the biotope were recorded on the diversity and composition of cunaxid communities. Most of the species presented a significant effect of the month (24 spp.) and biotope (23 spp.), and five species only had a significant effect of the watersheds. The highest similarity was in litter (75 %) and soil (74 %). The highest temporal variation in density, diversity and species richness was from April through June in litter, and from September through November in soil. The evenness was constant in both biotopes. In the dry period the soil presented higher values of density, while in the litter it was in the rainy season. The species with high soil density (February-June: dry season) in both watersheds, were: C. simple, C. potchensis, Cunaxa sp. nov. 1, Cunaxa sp. nov. 2, C. veracruzana, Dactyloscirus sp. nov. 2, A. harrisoni, Cunaxoides sp. nov. 1, Cunaxoides sp. nov. 2, P. pectinatus, Pulaeus sp. nov. 14, Pulaeus sp. nov. 15 and Pulaeus sp. nov. 16. They were the most representative species in the soil and litter of Chamela communities. The most abundant dry season species were C. potchensis in the soil and A. harrisoni in the litter.",2,19086395,Journal,ar,Article,100,2,2,Cunaxids | Diversity | Litter | Soil | Species richness | Temporal variation,13567,undefined,0,FALSE,7,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/47749139665,SCOPUS_ID:47749139665,2-s2.0-47749139665,Anti-fungi activity of organic extracts from the tree Fagara monophylla (Rutaceae) in Venezuela,Gómez Y.,Revista de Biologia Tropical,00347744,55,3-4,767-775,2007-09-01,September 2007,"The tree Fagara monophylla ranges throughout Tropical America. The genus Fagara has a diversity of alkaloid compounds with antibiotic properties; nevertheless, there are few reports antifungal activity of its organic compounds. Organic extracts from Venezuelan F. monophylla were tested for antimicrobial activity against Aspergillus terreus, A. flavus, Penicillium digitatum, P. funiculosum, P. citrinum, Paecilomyces and Candida albicans. Minimal Inhibitory Concentration (MIC) was determined. The susceptibility trials of organic fractions (Hex., CH2Cl2 and MeOH) showed that the highest inhibition was presented by MeOH against A. flavus (55 mm), P. digitatum (60 mm), P. funiculosum (56 mm) and C. albicans (26 mm). The activities of MeOH/EtOAc fractions 1 and 2 suggest a combined effect against A. flavus, P. digitatum and P. funiculosum. The MIC of 1 MeOH/ EtOAc subfraction activity was lower against C. albicans (32 μg/ml) and moderate (128 μg/ml) against P. digitatum. This organic extract has a great antifungal potential. The phytochemical proves and TLC testing on the organic extract, and the MeOH/EtOAc subfraction, respectively, indicated the presence of alkaloid compounds.",10,19086382,Journal,ar,Article,100,4,4,Antifungal activity | Fagara monophylla | Fungi | MIC | Organic extract,13567,undefined,0,FALSE,8,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/47749128114,SCOPUS_ID:47749128114,2-s2.0-47749128114,"Population ecology of the mouse Peromyscus mexicanus (Rodentia: Muridae) in Poas Volcano National Park, Costa Rica",Rojas L.,Revista de Biologia Tropical,00347744,55,3-4,1037-1050,2007-09-01,September 2007,"The Mexican Deer Mouse has been reported as an abundant wild mouse in Costa Rica; nevertheless, it has not been studied as well as other Peromyscus species. Thirty Sherman traps were placed on three habitats during six consecutive days of each month, from March 2002 through April 2003 in three sites of Poás Volcano National Park, Costa Rica. A total of 2 393 mice were captured. Other species such as Reithrodontomys creper, R. rodriguezi, Scotinomys teguina and Oryzomys devius (Muridae) were also captured in Tierra Fría and R. creper, R. sumichrasti, S. teguina and O. devius in Potrero Grande. In Canto de las Aves we captured P. mexicanus, R. creper, R. rodriguezi and O. devius. Of the total mice collected, 34.77 % were P. mexicanus. For this species, the mean monthly capture per hectare was 34±2.15 in Tierra Fría and 11±1.85 in Potrero Grande. In the third site, Canto de las Aves, only four mice were captured throughout the study. The estimated population size did not change among months in Tierra Fría, but it did in Potrero Grande. No sex ratio variation was found in any habitat. In Potrero Grande, weight averages were 43.54±3.42 g for males and 42.08±3.4 5 g for females. Variation in population structure among habitats was not significant. The presence of oak trees (Quercus sp.) and the high understory density could explain the stability of the population in this area.",7,19086405,Journal,ar,Article,100,2,2,Costa Rica | Density | Mexican deer mouse | Peromyscus mexicanus | Poás volcano National Park | Population ecology,13567,undefined,0,FALSE,9,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/47749124584,SCOPUS_ID:47749124584,2-s2.0-47749124584,"Demography of the snail Plicopurpura pansa (Neotaenioglossa: Muricidae) and constitution of the associated mollusk community, in Guerrero, Mexico",Flores-Garza R.,Revista de Biologia Tropical,00347744,55,3-4,867-878,2007-09-01,September 2007,"We quarterly sampled the molluskan community of Playa Ventura, Guerrero, Mexico. Sample size (20 m2 in 1m2 units) was determined by the spatial distribution pattern of Plicopurpura pansa using a negative binomial distribution. The density of the P. pansa was 5.19 snails/m2 and the sex ratio near 1:1. The average size was 20.10 mm (most females were 10.5 to 27.0 mm; most males 12.0 to 27.0 mm). Density was high and small sized dominated. Mean size varied with time. General mean weight was 1.79 g. Females weight varied more, maybe because of the reproductive cycle. Recruits were collected in five samplings. Most copulation activity was in March of 2001. The associated community includes 26 species of Gastropoda, five of Bivalvia and one of Polyplacophora, Brachidontes semilaevis being dominant.",10,19086391,Journal,ar,Article,100,4,4,Density | Mollusks community | Plicopurpura pansa | Population | Recruitment | Sizes,13567,undefined,0,FALSE,10,NA,NA,NA
