@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/9244234064,SCOPUS_ID:9244234064,2-s2.0-9244234064,Ribosomal RNA gene sequence diversity in arbuscular mycorrhizal fungi (Glomeromycota),Rodriguez A.,Journal of Ecology,00220477,92,6,986-989,2004-12-01,December 2004,10.1111/j.1365-2745.2004.00935.x,"1 The existence of multiple rRNA sequences within AMF single spores and the high levels of variability found in these symbionts for highly conserved genes with low copy numbers have provoked intense controversy over the genetic structure of the Glomeromycota. Lately, two hypotheses have been proposed to explain the source of such a variation, mainly either at internuclear (multigenomic) or intranuclear (polyploidy) levels. 2 Evidence reported by numerous authors suggests that the magnitude of sequence variation, and the presence in single spores of sequences from apparently unrelated taxa within the Glomeromycota, makes the use of one, or very few sequences, from only one or two isolates of AMF insufficient for taxonomic purposes in some species groups. 3 A large-scale, collaborative study on genetic variation in AMF across different genes could help to address fundamental questions on the biology and genetic structure of these important symbionts.",23,Journal,re,Review,100,3,3,Field studies | Gene sequence diversity | Multiple sequences | Mycorrhizal diversity,29602,undefined,1,TRUE,all,All Open Access,1
true,https://api.elsevier.com/content/abstract/scopus_id/19944428819,SCOPUS_ID:19944428819,2-s2.0-19944428819,Erratum: An evaluation of alternative dispersal functions for trees (Journal of Ecology (2004) 92 (758-766)),Greene D.,Journal of Ecology,00220477,92,6,1124,2004-12-01,December 2004,10.1111/j.1365-2745.2004.00949.x,NA,2,Journal,er,Erratum,100,4,4,NA,29602,undefined,1,TRUE,all,All Open Access,2
true,https://api.elsevier.com/content/abstract/scopus_id/19944427692,SCOPUS_ID:19944427692,2-s2.0-19944427692,"Tropical forest tree mortality, recruitment and turnover rates: Calculation, interpretation and comparison when census intervals vary",Lewis S.L.,Journal of Ecology,00220477,92,6,929-944,2004-12-01,December 2004,10.1111/j.0022-0477.2004.00923.x,"1 Mathematical proofs show that rate estimates, for example of mortality and recruitment, will decrease with increasing census interval when obtained from censuses of non-homogeneous populations. This census interval effect could be confounding or perhaps even driving conclusions from comparative studies involving such rate estimates. 2 We quantify this artefact for tropical forest trees, develop correction methods and re-assess some previously published conclusions about forest dynamics. 3 Mortality rates of > 50 species at each of seven sites in Africa, Latin America, Asia and Australia were used as subpopulations to simulate stand-level mortality rates in a heterogeneous population when census intervals varied: all sites showed decreasing stand mortality rates with increasing census interval length. 4 Stand-level mortality rates from 14 multicensus long-term forest plots from Africa, Latin America, Asia and Australia also showed that, on average, mortality rates decreased with increasing census interval length. 5 Mortality, recruitment or turnover rates with differing census interval lengths can be compared using the mean rate of decline from the 14 long-term plots to standardize estimates to a common census length using λcorr = λ × t0.08, where λ is the rate and t is time between censuses in years. This simple general correction should reduce the bias associated with census interval variation, where it is unavoidable. 6 Re-analysis of published results shows that the pan-tropical increase in stem turnover rates over the late 20th century cannot be attributed to combining data with differing census intervals. In addition, after correction, Old World tropical forests do not have significantly lower turnover rates than New World sites, as previously reported. Our pan-tropical best estimate adjusted stem turnover rate is 1.81 ± 0.16% a-1 (mean ± 95% CI, n = 65). 7 As differing census intervals affect comparisons of mortality, recruitment and turnover rates, and can lead to erroneous conclusions, standardized field methods, the calculation of local correction factors at sites where adequate data are available, or the use of our general standardizing formula to take account of sample intervals, are to be recommended.",146,Journal,ar,Article,100,18,18,Carbon dioxide | Global environmental change | Long-term monitoring | Modelling | Neotropics | Palaeotropics | Permanent sample plot | Rain forest | Tree | Tropical forest dynamics,29602,undefined,1,TRUE,all,All Open Access,3
true,https://api.elsevier.com/content/abstract/scopus_id/11244353305,SCOPUS_ID:11244353305,2-s2.0-11244353305,Novel phenotypes among early generation hybrids of two Louisiana iris species: Flooding experiments,Johnston J.A.,Journal of Ecology,00220477,92,6,967-976,2004-12-01,December 2004,10.1111/j.1365-2745.2004.00939.x,"1 Recent studies of hybridization have shown that extreme (e.g. transgressive) phenotypes can be generated during massive genetic recombination events such as interspecific hybridization. Extreme hybrid phenotypes appear to have the potential to create new lineages and lead to evolutionary divergence. 2 Hybrid genotypes of some salt marsh species have proven capable of reengineering their ecosystems, while in other cases, hybridization has transformed plant communities by facilitating species invasion. 3 Using the Louisiana irises, a naturally hybridizing group of species, we assessed the potential for hybrids of Iris brevicaulis and I. fulva to possess extreme physiological and growth traits. Our glasshouse experiment used two soil water environments (wet and flood) to measure hybrid trait expression at both the genotypic class and individual genotype level. 4 At the genotypic class level, two of the three hybrid classes (F1s, and backcrosses towards each parental species) were transgressive for at least one physiological trait (F1s for root mass proportion, specific leaf area and final leaf area; backcrosses to I. brevicaulis for leaf area ratio). Three fitness components (total biomass, ramet production and flower production) were measured on each plant in the experiment. All three hybrid classes had greater clonal fitness (total biomass) but not greater sexual fitness (flower number) than parent species. 5 At the individual genotype level, two F1 hybrids showed extreme physiological trait expression: one for specific leaf area, and the other for shallow root allocation. Flower production was the only fitness component that showed some degree of environment-dependence at the individual genotype level. 6 Although early generation hybrid classes can contain rare genotypes with extreme phenotypic trait expression, and hybrid fitness components were equal or superior to both parental species in most cases, there was not a strong association between transgressive traits and elevated hybrid fitness.",32,Journal,ar,Article,100,3,3,Clonal fitness | Flood tolerance | Hybrid fitness | Hybrid novelty | Hybrid zone | Hybridization | Louisiana iris | Phenotypic plasticity | Transgressive traits | Wetland,29602,undefined,1,TRUE,all,All Open Access,4
true,https://api.elsevier.com/content/abstract/scopus_id/11244335544,SCOPUS_ID:11244335544,2-s2.0-11244335544,Regulation of anti-herbivore defence by Fucus vesiculosus in response to various cues,Rohde S.,Journal of Ecology,00220477,92,6,1011-1018,2004-12-01,December 2004,10.1111/j.0022-0477.2004.00936.x,"1 We examined whether the marine macroalga Fucus vesiculosus induces defences against herbivory and, if so, which factors trigger this induction. In addition, we assessed whether induced defences are reduced after consumption stops. 2 Induced effects were measured as changes in palatability rather than changes in the chemistry of the algae. We also tested for reductions in growth rate to determine whether induced defence incurs metabolic costs. 3 We tested whether direct grazing, feeding on neighbouring plants, clipping and presence of a non-grazing herbivore could trigger induction. The isopod Idotea baltica and the gastropod Littorina littorea were used as herbivores. 4 Both direct feeding of I. baltica and feeding on neighbouring plants induced chemical defence in F. vesiculosus, whereas the snail L. littorea only induced defence by direct grazing. Simulated herbivory (clipping), or the presence of herbivores without grazing, did not lead to defence induction. All induced defences were reversed within 2 weeks of consumption ending. 5 Thus, F. vesiculosus differentiates between physical damage and natural herbivory. Furthermore, feeding by I. baltica on F. vesiculosus releases signals that trigger neighbouring Fucus individuals to induce defence. 6 We found no evidence that metabolic costs incurred as a consequence of induced defence were sufficient to lead to growth reduction. 7 This algal species demonstrates defence plasticity (i.e. induction and reduction of anti-herbivore defences 'on demand'), with the response depending on both grazer identity and grazing pattern matter.",87,Journal,re,Review,100,3,3,Baltic Sea | Chemical defence | Defence induction | Fucus vesiculosus | Herbivory | Idotea baltica | Littorina littorea | Macroalgae | Plant-herbivore interactions | Water-borne cues,29602,undefined,0,FALSE,all,All Open Access,5
true,https://api.elsevier.com/content/abstract/scopus_id/11244325734,SCOPUS_ID:11244325734,2-s2.0-11244325734,Resistance variation within and among host populations in a plant-pathogen metapopulation: Implications for regional pathogen dynamics,Laine A.,Journal of Ecology,00220477,92,6,990-1000,2004-12-01,December 2004,10.1111/j.0022-0477.2004.00925.x,"1 Studies conducted on natural host-pathogen metapopulations have revealed considerable diversity of host resistance phenotypes within populations. The resistance structure of non-infected populations has, however, been largely ignored and the role of among-population variation in resistance profiles in the dynamics of natural pathogen populations is poorly understood. 2 The Plantago lanceolata-Podosphaera plantaginis pathosystem in the Åland Islands in south-west Finland is characterized by the highly fragmented distribution of the host. Only a small fraction of the host populations is infected at one point in time and pathogen turnover rate is high. I studied a sample of these populations to find out whether adjacent host populations are differentiated in their resistance structure and whether variable levels of disease resistance among host populations could be linked to disease incidence patterns. 3 Results show striking differences in the resistance structure both within and among host populations. Sixteen resistance phenotypes were identified in a sample of 64 host individuals. Populations varied from one in which all sampled individuals represented a different resistance phenotype, to one in which half showed identical resistance responses. 4 There was no association between local resistance composition and the geographical distance between populations, suggesting that within-population processes, such as founder effects and genetic drift, largely determine local resistance structure. 5 Non-infected populations showed significantly higher mean levels of resistance than infected populations, suggesting that differences in the mean level of resistance among host populations may retard the spread of the fungus and thereby decrease the probability of regional epidemics.",91,Journal,re,Review,100,1,1,Disease resistance | Host-pathogen interactions | Metapopulation | Plant epidemiology | Plantago lanceolata | Spatial pattern,29602,undefined,1,TRUE,all,All Open Access,6
true,https://api.elsevier.com/content/abstract/scopus_id/11244309057,SCOPUS_ID:11244309057,2-s2.0-11244309057,Herbivory influences tree lines,Cairns D.M.,Journal of Ecology,00220477,92,6,1019-1024,2004-12-01,December 2004,10.1111/j.1365-2745.2004.00945.x,"1 Transitions between major vegetation types, such as the tree line, are useful systems for monitoring the response of vegetation to climate change. Tree lines have, however, shown equivocal responses to such change. 2 Tree lines are considered to be primarily thermally controlled, although recent work has highlighted the importance of biotic factors. Dispersal limitation and the invasibility of the tundra matrix have been implicated and here we propose herbivory as an additional control at some tree lines. 3 We propose a conceptual model in which differing relative impacts of foliage consumption, availability of establishment sites, trampling, dispersal and seed predation can lead to very different tree-line responses. 4 The presence of large numbers of small trees above the current tree line at a site in northern Sweden that experiences limited reindeer (Rangifer tarandus) herbivory suggests range expansion. Other locations in the same region with higher reindeer populations have considerably fewer small trees, suggesting that range expansion is occurring much more slowly, if at all. 5 The use of tree lines as indicators of climate change is confounded by the activity of herbivores, which may either strengthen or nullify the impacts of a changed climate. Similar arguments are likely to be applicable to other ecotones.",189,Journal,re,Review,100,2,2,Climate change | Herbivory | Migration rates | Reindeer | Reproduction | Tree line,29602,undefined,1,TRUE,all,All Open Access,7
true,https://api.elsevier.com/content/abstract/scopus_id/11244306457,SCOPUS_ID:11244306457,2-s2.0-11244306457,"Rates, pathways and drivers for peatland development in the Hudson Bay Lowlands, northern Ontario, Canada",Glaser P.,Journal of Ecology,00220477,92,6,1036-1053,2004-12-01,December 2004,10.1111/j.0022-0477.2004.00931.x,"1 The Hudson Bay Lowlands have been rising isostatically for the past 7000 years, creating a regional chronosequence as new land emerges from the sea. Rates of uplift are most rapid in the eastern portion of the lowlands near the lower Albany River study area. 2 The stratigraphy of three raised bogs was investigated to determine rates and pathways of peatland development in the Albany River region. The bogs are distributed evenly along the regional chronosequence from the oldest site at Oldman (5980 ± 100 BP) to progressively younger sites at Albany River (4810 ± 70) and Belec Lake (3960 ± 60). 3 Each bog had the same stratigraphic sequence, beginning with a basal tidal marsh assemblage that was rapidly replaced by a Larix-dominated swamp forest, followed by a Picea-forested bog, and ultimately a non-forested bog. The bog-fen boundary is marked by the disappearance of fen indicators, dominance of bog-forming Sphagna, and a sharp decline in nitrogen. Each of these successional stages was associated with different rates of vertical growth. 4 The rate of successional change was more rapid at the younger sites, and their vertical growth curve was more curvilinear. The formation of a raised bog, for example, was 1.3 times more rapid at Albany River and 5.5 times more rapid at Belec Lake than at Oldman. Belec Lake reached its ultimate successional stage first, although it was the last site to emerge from the sea. 5 The differential rate of isostatic uplift across this region rather than climate was the principal environmental driver for peatland development. The faster rate of uplift on the lower reaches of the drainage basin continues to reduce the regional slope, impede drainage and shift river channels, continually altering the local hydrogeological setting. 6 Groundwater flow simulations based on the Dupuit equation show that the growth of these raised bogs was probably constrained by their local hydrogeological setting. Bog formation was first induced by the creation of interfluvial divides between headwardly eroding streams or shifting river channels, and further bog growth was ultimately constrained by the width of the interfluve and the depth of river incision. The Belec Lake bog was the first to approach its limiting height because its narrow interfluve could only support a low water-table mound. 7 Although peatland succession largely followed the same conservative pathway at each site, both the pace and direction of these pathways were set by geological processes, which are probably the decisive drivers for the evolution of this large peat basin.",96,Journal,re,Review,100,5,5,Bog development | Ground water models | Isostatic uplift | Landscape evolution | Pollen analysis,29602,undefined,1,TRUE,all,All Open Access,8
true,https://api.elsevier.com/content/abstract/scopus_id/11244303593,SCOPUS_ID:11244303593,2-s2.0-11244303593,Long-term canopy dynamics in a large area of temperate old-growth beech (Fagus crenata) forest: Analysis by aerial photographs and digital elevation models,Henbo Y.,Journal of Ecology,00220477,92,6,945-953,2004-12-01,December 2004,10.1111/j.1365-2745.2004.00932.x,"1 Long-term canopy dynamics in a large area of temperate old-growth beech forest in the Daisen Forest Reserve, south-western Japan (11.56 ha studied over 43 years), were investigated using digital elevation models (DEMs) of the canopy surface, constructed from aerial photographs taken in the growing season (i.e. with foliage) in 1958, 1978, 1992 and 2001. A ground surface DEM at the same resolution (a 2.5 x 2.5 m grid) was constructed using aerial photographs taken when foliage was absent (winter 2002). Canopy height data were obtained by calculating differences in elevation between the canopy and the ground surface, and a canopy height profile was constructed. 2 Topographic data for a 4-ha plot, located within the 11.56-ha area, were obtained via a ground survey and used to validate the ground surface DEM derived from aerial photographs. 3 Canopy height class distributions changed significantly over the 43 years. The total number of gaps, defined as areas where canopy height was < 15 m, decreased but total gap area increased over time. Total gap area in 2001 was twice that of 1958. The density of gaps decreased as gap size increased. 4 Gap formation rates increased from 0.47% year-1 (1958-78) to 1.30% year -1 (1992-2001), with a mean of 0.77% year-1, and substantially exceeded closure rates, which fluctuated from 0.28% year -1 (1958-78) to 0.54% year-1 (1978-92), with a mean of 0.39% year-1. Gaps generally expanded and became connected to each other. 5 Temporal variation in gap formation and closure might be correlated with the frequency and severity of typhoon disturbances but, if the observed trends continue, this old-growth beech stand may become an open stand. The long-term dynamics of this forest type appear to be far from equilibrium.",24,Journal,ar,Article,100,4,4,Aerial photographs | Beech | Canopy dynamics | Canopy height profile | Digital elevation model | Dwarf bamboo | Gap dynamics | Large-scale study | Long-term study | Natural disturbance,29602,undefined,0,FALSE,NA,NA,9
true,https://api.elsevier.com/content/abstract/scopus_id/11244287284,SCOPUS_ID:11244287284,2-s2.0-11244287284,Plant isolation reduces outcross pollen receipt in a partially self-compatible herb,Duncan D.,Journal of Ecology,00220477,92,6,977-985,2004-12-01,December 2004,10.1111/j.1365-2745.2004.00933.x,"1 Few studies of pollination success in fragmented systems measure stigmatic pollen load, and those that do often find it unrelated to plant or population density, size or isolation. Reduced reproductive output, however, is commonly reported, probably because incompatible pollen is contributing substantially to pollen loads of isolated flowers. 2 We used manipulated floral arrays of a bee-pollinated species (Dianella revoluta) to investigate isolation effects on deposition of outcross pollen, while precluding self-pollen transfer. 3 Outcross pollen receipt declined significantly over short distances up to approximately 50 m but even the most isolated flowers received some pollen grains. In contrast, heterospecific pollen did not decline, indicating that the outcross-pollen decline was not due to reduced pollinator visitation. Increased distance of experimental arrays from a nature reserve did not reduce the probability of pollen receipt. 4 Many flowers were damaged by flower feeding beetles in the genus Arsipoda, which would be likely to substantially reduce the efficiency with which flowers are converted to fruits. The probability of flower damage from these predators was significantly lower in arrays that were more distant from the nature reserve. 5 This study indicates that reduced plant density and increased isolation from a source of outcrossed pollen can lead to a substantial decline in the probability of outcrossing, even when pollinator visitation is maintained at a high level. Depending on the mating system, this process will lead to reduced seed set or increased inbreeding for plants in fragmented habitats, even when pollinator abundance and behaviour are unaffected.",59,Journal,ar,Article,100,4,4,Buzz-pollination | Density dependence | Dianella revoluta | Habitat fragmentation | Heterospecific pollen,29602,undefined,1,TRUE,all,All Open Access,10
