@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:description
true,https://api.elsevier.com/content/abstract/scopus_id/0015439398,SCOPUS_ID:0015439398,2-s2.0-0015439398,Selective attraction of male euglossine bees to orchid floral fragrances and its importance in long distance pollen flow,Williams N.,Evolution,00143820,26,1,84-95,1972-01-01,1972,10.2307/2406985,88,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,1,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015439340,SCOPUS_ID:0015439340,2-s2.0-0015439340,A paternal role for bulls of the Galapagos Islands sea lion,Barlow G.,Evolution,00143820,26,2,307-308,1972-01-01,1972,10.2307/2407040,11,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,2,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015439330,SCOPUS_ID:0015439330,2-s2.0-0015439330,Maintenance of chromosomal polymorphism in a population of Drosophila pseudoobscura: viability under crowded and uncrowded conditions,Druger M.,Evolution,00143820,26,3,322-325,1972-01-01,1972,10.2307/2407007,3,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,3,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015439309,SCOPUS_ID:0015439309,2-s2.0-0015439309,"Patterns of geographic variation in karyotype in the pocket gopher, Thomomys bottae (Eydoux and Gervais)",Patton J.,Evolution,00143820,26,4,574-586,1972-01-01,1972,10.2307/2407054,31,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,4,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015439247,SCOPUS_ID:0015439247,2-s2.0-0015439247,"Egg production, polyploidization and evolution in a diploid all female fish of the genus Poeciliopsis",Cimino M.,Evolution,00143820,26,2,294-306,1972-01-01,1972,10.2307/2407039,97,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,5,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015439081,SCOPUS_ID:0015439081,2-s2.0-0015439081,Some functional aspects of molar evolution,Butler P.,Evolution,00143820,26,3,474-483,1972-01-01,1972,10.2307/2407021,61,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,6,"Attrition facets of the molars provide information about the direction of movement of the lower teeth while they are in occlusal contact with the upper teeth. In Mesozoic mammals, other than multituberculates, this movement always has a transverse component, which varies in amount, being least in supposedly carnivorous forms and greatest in herbivorous forms. When seen in the direction of relative movement, the molars of all pre Cretaceous mammals (except the docodontids and multituberculates) appear as purely shearing structures. Opposition between upper and lower teeth arose among Theria in the Creataceous with the development of the tribosphenic pattern. In herbivorous groups during the Tertiary, opposition formed the basis of a grinding action involving movement in directions different from the shearing stroke."
true,https://api.elsevier.com/content/abstract/scopus_id/0015439013,SCOPUS_ID:0015439013,2-s2.0-0015439013,Genetic distance and evolutionary relationships in the Drosophila obscura group,Lakovaara S.,Evolution,00143820,26,2,177-184,1972-01-01,1972,10.2307/2407029,31,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,7,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015439012,SCOPUS_ID:0015439012,2-s2.0-0015439012,Numbers of bird species on the California Islands,Power D.,Evolution,00143820,26,3,451-463,1972-01-01,1972,10.2307/2407019,66,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,8,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015439011,SCOPUS_ID:0015439011,2-s2.0-0015439011,Courtship interaction in the semispecies of Drosophila paulistorum,Koref Santibanez S.,Evolution,00143820,26,3,326-333,1972-01-01,1972,10.2307/2407008,6,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,9,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015438962,SCOPUS_ID:0015438962,2-s2.0-0015438962,The effects of genetic background on the ecology of selection in Tribolium populations,Sokal R.,Evolution,00143820,26,4,489-512,1972-01-01,1972,10.2307/2407046,5,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,10,NA
