@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:description,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0015710541,SCOPUS_ID:0015710541,2-s2.0-0015710541,Studies of linkage in populations. VI. Periodic selection for X chromosome gene arrangement combinations,Levitan M.,Evolution,00143820,27,2,215-225,1973-01-01,1973,10.2307/2406962,15,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015709828,SCOPUS_ID:0015709828,2-s2.0-0015709828,Genetic divergence in body size among experimental populations of Drosophila pseudoobscura kept at different temperatures,Anderson W.,Evolution,00143820,27,2,278-284,1973-01-01,1973,10.2307/2406968,80,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,2,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015709825,SCOPUS_ID:0015709825,2-s2.0-0015709825,The substitutional load and mutational load in a finite population,Maruyama T.,Evolution,00143820,27,1,95-99,1973-01-01,1973,10.2307/2407122,0,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,3,"The mean genetic load associated with the substitution of genes in a finite population was derived on the assumption that the genes eventually will be established (fixed). The second and higher moments were derived for the conditional load and for the unconditional load in which both the established and extinct cases are indistinguishable. Assuming mutation to be irreversible, the genetic load due to deleterious mutants was investigated for finite populations. The mean and higher moments for the load were derived.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015709259,SCOPUS_ID:0015709259,2-s2.0-0015709259,Frequency dependent selection at the Payne inversion in Drosophila melanogaster,Nassar R.,Evolution,00143820,27,4,558-564,1973-01-01,1973,10.2307/2407190,14,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,4,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015708098,SCOPUS_ID:0015708098,2-s2.0-0015708098,Genetic variation in side blotched lizards on islands in the Gulf of California,Soule M.,Evolution,00143820,27,4,593-600,1973-01-01,1973,10.2307/2407193,44,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,5,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015705509,SCOPUS_ID:0015705509,2-s2.0-0015705509,Interaction effects of temperature and humidity on pupal survival in Drosophila melanica,Tonzetich J.,Evolution,00143820,27,3,495-504,1973-01-01,1973,10.2307/2407312,3,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,6,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015705508,SCOPUS_ID:0015705508,2-s2.0-0015705508,"Chromosomal, electrophoretic, and breeding studies of selected populations of deer mice (Peromyscus maniculatus) and black eared mice (P. melanotis)",Bowers J.H.,Evolution,00143820,27,3,378-386,1973-01-01,1973,10.2307/2407301,12,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,7,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015704076,SCOPUS_ID:0015704076,2-s2.0-0015704076,Genic differentiation associated with the early stages of speciation in the Mulleri subgroup of Drosophila,Zouros E.,Evolution,00143820,27,4,601-621,1973-01-01,1973,10.2307/2407194,62,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,8,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015703502,SCOPUS_ID:0015703502,2-s2.0-0015703502,Adaptive chromosomal polymorphism in Drosophila melanica,Tonzetich J.,Evolution,00143820,27,3,486-494,1973-01-01,1973,10.2307/2407311,5,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,9,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0015703499,SCOPUS_ID:0015703499,2-s2.0-0015703499,Demography and genetics in colonizing populations of blue grouse (Dendragapus obscurus),Redfield J.,Evolution,00143820,27,4,576-592,1973-01-01,1973,10.2307/2407192,5,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,10,NA,all,All Open Access
