@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:pageRange,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0036929827,SCOPUS_ID:0036929827,2-s2.0-0036929827,Genetic influences on maternal care,Peripato A.C.,American Naturalist,00030147,160,6 SUPPL.,2002-12-01,1 December 2002,10.2307/3078955,"The basis of social evolution in mammals is the mother-offspring relationship. It is also the primary and most important instance of indirect genetic effects, where genetic variation in one individual affects phenotypic variation among others. This relationship is so important in mammals that often the major factor determining the life or death of newborns is the environment provided by their mother. Variations in these environments can be due to variations in maternal genotypes. In our work with the intercross of two mouse inbred strains, LG/J and SM/J, we uncovered a very severe variation in maternal performance. These females failed to nurture their offspring and showed abnormal maternal behaviors leading to loss of their litter. Rather than this being due to a single gene variant as in knockout mice, we uncovered a complex genetic basis for this trait. The effects of genes on maternal performance are entirely context dependent in our cross. They depend on the alleles present at the same or other epistatically interacting loci. Genomic locations identified in this study include locations of candidate genes whose knockouts displayed similar aberrant maternal behavior. Behaviors significantly associated with maternal performance in this study include suckling, nest building, placentophagia, pup grooming, and retrieval of pups after disturbance.",29,Journal,ar,Article,100,2,2,Epistasis | Genetic architecture | Mammals | Maternal care | QTL,12604,undefined,0,FALSE,1,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036929551,SCOPUS_ID:0036929551,2-s2.0-0036929551,Why alien invaders succeed: Support for the escape-from-enemy hypothesis,Wolfe L.,American Naturalist,00030147,160,6,2002-12-01,1 December 2002,10.1086/343872,"Successful biological invaders often exhibit enhanced performance following introduction to a new region. The traditional explanation for this phenomenon is that natural enemies (e.g., competitors, pathogens, and predators) present in the native range are absent from the introduced range. The purpose of this study was to test the escape-from-enemy hypothesis using the perennial plant Silene latifolia as a model system. This European native was introduced to North America in the 1800s and subsequently spread to a large part of the continent. It is now considered a problematic weed of disturbed habitats and agricultural fields in the United States and Canada. Surveys of 86 populations in the United States and Europe revealed greater levels of attack by generalist enemies (aphids, snails, floral herbivores) in Europe compared with North America. Two specialists (seed predator, anther smut fungus) that had dramatic effects on plant fitness in Europe were either absent or in very low frequency in North America. Overall, plants were 17 times more likely to be damaged in Europe than in North America. Thus, S. latifolia's successful North American invasion can, at least in part, be explained by escape from specialist enemies and lower levels of damage following introduction.",352,Journal,ar,Article,100,1,1,Aliens | Hadena | Herbivory | Invasion | Microbotryum | Silene latifolia,12604,undefined,0,FALSE,2,705-711,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036928967,SCOPUS_ID:0036928967,2-s2.0-0036928967,The evolution of interacting phenotypes: Genetics and evolution of social dominance,Moore A.J.,American Naturalist,00030147,160,6 SUPPL.,2002-12-01,1 December 2002,10.2307/3078956,"Although the argument over genetic influences on social dominance is contentious, genetic models of interacting phenotypes provide a theoretical framework for heritable effects on, and therefore evolution of, social behavior. Here we adapt the interacting phenotype model to show how social dominance can evolve. Our model makes a number of predictions: rapid evolution of behavior, strong correlated responses in associated traits (such as a badge of status), and, because context is important for social dominance, integrated evolution of both dominant and subordinate behavior reflecting direct and indirect genetic effects and social selection. We also describe the results of empirical work, artificial selection based on social status within a hierarchy in the cockroach Nauphoeta cinerea, that we used to test the predictions of our model. There was little change within selection lines in the expression of agonistic behavior, but by just generation 7 of selection, in comparisons between lines, high-line males consistently dominated low and control males, while low-line males were consistently subordinate to high-line and control males. There was a strong correlated response to selection in the pheromonal badge of status. Some correlated responses to selection differed among replicate lines, with the compound that makes males subordinate changed in one replicate, while the compound that confers dominance was altered in the other. Overall, our results are consistent with predictions from models of interacting phenotypes: social dominance is influenced by additive genetic variation, can evolve as a result of social selection, and evolution of social interactions appears to be rapid. Finally, different responses in the replicates allowed us to test very specific predictions regarding the role of the social pheromone in N. cinerea, highlighting the value of artificial selection experiments as a tool in evolutionary behavioral genetic studies.",89,Journal,ar,Article,100,4,4,Artificial selection | Interacting phenotypes | Pheromone | Sexual selection | Social dominance | Social selection,12604,undefined,0,FALSE,3,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036928850,SCOPUS_ID:0036928850,2-s2.0-0036928850,The energetics and scaling of search strategies in bacteria,Mitchell J.G.,American Naturalist,00030147,160,6,2002-12-01,1 December 2002,10.1086/343874,"The influence of body size on the energetic cost of movement is well studied in animals but has been rarely investigated in bacteria. Here, I calculate the cost of four chemotactic strategies for different-sized bacteria by adding the costs of their locomotion and reorientation. Size differences of 0.1 μm result in 100,000-fold changes in the energetic cost of chemotaxis. The exact cost for any given size is a nonlinear function of flagella length, the minimum speed necessary to detect and respond to a signal, and the gradient of the signal. These parameters are interlinked in such a way that body size and strategy, are tightly coupled to particular environmental gradients, offering avenues for explaining and exploring diversity and competition. The analysis here has implications beyond bacteria. Power-law regression through the minimum costs of transport for different kinds of chemotaxis has the same slope as that for swimming animals, suggesting a universal allometric equation for all swimming organisms.",76,Journal,ar,Article,100,1,1,Allometry | Bacteria | Body size | Chemotaxis | Metabolic cost | Motility,12604,undefined,0,FALSE,4,727-740,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036928523,SCOPUS_ID:0036928523,2-s2.0-0036928523,"An Mhc component to kin recognition and mate choice in birds: Predictions, progress, and prospects",Zelano B.,American Naturalist,00030147,160,6 SUPPL.,2002-12-01,1 December 2002,10.2307/3078959,"The major histocompatibility complex (Mhc) has been identified as a locus influencing disease resistance, mate choice, and kin recognition in mammals and fish. However, it is unclear whether the mechanisms by which Mhc genes influence behavior in mammals are applicable to other nonmammalian vertebrates such as birds. We review the biology of Mhc genes with particular reference to their relevance to avian mating and social systems. New genomics approaches recently have been applied to the Mhcs of chickens, quail, and several icons of avian behavioral ecology, including red-winged blackbirds (Agelaius phoeniceus) and house finches (Carpodacus mexicanus). The predominance of concerted evolution at avian Mhc loci makes such methods attractive for providing access to this complicated multigene family. Although some biological processes influenced by Mhc in mammals are physiologically implausible for birds, Mhc could influence cues that form well-known bases for mate choice in birds by influencing the health and vigor of individuals. The tight associations of Mhc variation and disease resistance in chickens raise hope that finding associations of Mhc genes, disease, and mate choice in natural populations of birds will be as fruitful as in mammalian systems.",113,Journal,re,Review,100,2,2,Cooperation | Extrapair fertilizations | Genome-enabled science | Kin selection | QTL,12604,undefined,0,FALSE,5,NA,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036928288,SCOPUS_ID:0036928288,2-s2.0-0036928288,"American society of naturalists: Secretary's report, 2002",Wootton T.,American Naturalist,00030147,160,6,2002-12-01,1 December 2002,10.1086/345394,NA,0,Journal,no,Note,100,1,1,NA,12604,undefined,0,FALSE,6,819-822,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036928283,SCOPUS_ID:0036928283,2-s2.0-0036928283,Sex chromosomes and sexual selection in poeciliid fishes,Lindholm A.,American Naturalist,00030147,160,6 SUPPL.,2002-12-01,1 December 2002,10.2307/3078958,"We propose that the evolution of female preferences can be strongly influenced by linkage of attractive male traits to the Y chromosome and female preferences to the X chromosome in male heterogametic species. Such linkage patterns are predicted by models of the evolution of sexually antagonistic genes. Subsequent recombination of attractive male characters from the Y to the X would create physical linkage between attractive male trait and preference. A literature survey shows that Y linkage of potentially sexually antagonistic traits is common in poeciliid fishes and other species with sex chromosomes that are not well differentiated, but may also occur in taxa with degenerate Y chromosomes. In the guppy, attractive male traits are primarily Y and X linked; a literature review of the inheritance of sex-limited attractive male characters suggests that 16 are Y linked, 24 recombine between the X and Y, two are X linked, and two are autosomal. Crosses and backcrosses between high female preference (Endler's live-bearers) and low female preference (Rio San Miguel) guppy populations show that this character has a strong additive genetic component and that it will be possible to investigate the physical linkage of male and female sexually selected characters in this species through mapping studies.",165,Journal,ar,Article,100,2,2,Poecilia reticulata | Poeciliidae | Sex chromosomes | Sexual selection | Y chromosome,12604,undefined,0,FALSE,7,NA,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036927547,SCOPUS_ID:0036927547,2-s2.0-0036927547,Does within-population variation in fish egg size reflect maternal influences on optimal values?,Einum S.,American Naturalist,00030147,160,6,2002-12-01,1 December 2002,10.1086/343876,"Various models that assume correlations between maternal phenotype and offspring environment predict adaptive variation in egg size within populations. Here we conduct a comparative test of these models using published data on fish egg size. Intrapopulation variation in egg size was most pronounced in fish with demersal eggs and larvae (median coefficient of variation [CV] at family level = 6.5%), where offspring environment is likely influenced by maternal phenotype, and least so in fish with pelagic eggs (CV = 3.6%), which experience a relatively stochastic spatial distribution during incubation. This difference was significant at various taxonomic levels, was robust to variation in mean egg size and habitat (i.e., freshwater or marine), and was mirrored in independent paired contrasts. Fish with demersal eggs and pelagic larvae were not significantly different from those with pelagic eggs (CV = 3.8%), indicating that selection favoring within-population variation in egg size occurs mainly posthatching and that any such selection occurring prehatching may be less intense. These results suggest that patterns of within-population variation in egg size among fish taxa reflect adaptive processes and that maternal effects on the egg size-fitness function may explain apparent discrepancies from the single-optima Smith-Fretwell model.",105,Journal,ar,Article,100,2,2,Adaptive phenotypic plasticity | Coadaptation | Life-history correlations | Maternal phenotype | Reproductive traits,12604,undefined,0,FALSE,8,756-765,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036927543,SCOPUS_ID:0036927543,2-s2.0-0036927543,Genomics and integrative analyses of division of labor in honeybee colonies,Robinson G.E.,American Naturalist,00030147,160,6 SUPPL.,2002-12-01,1 December 2002,10.2307/3078954,"One approach to understanding proximate and evolutionary mechanisms of social behavior is to analyze mechanisms of neural and behavioral plasticity and their underlying genes. This article deals with such analyses in the honeybee Apis mellifera. The first part reviews the control of age-related division of labor in honeybee colonies with special attention to social, endocrine, and neurochemical factors. The second part reviews progress in studying changes in gene expression that are associated with division of labor, including a brief description of a genomics project that involves a set of 20,000 expressed sequence tags from the honeybee brain and cDNA microarrays for large-scale gene expression analysis. The article concludes by considering some of the general issues associated with studies of genes and social behavior in honeybees.",119,Journal,re,Review,100,1,1,Apis mellifera | Behavioral development | Division of labor | Genomics | Honeybee | Social insects,12604,undefined,0,FALSE,9,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036924802,SCOPUS_ID:0036924802,2-s2.0-0036924802,Species invasions exceed extinctions on islands worldwide: A comparative study of plants and birds,Sax D.F.,American Naturalist,00030147,160,6,2002-12-01,1 December 2002,10.1086/343877,"Species richness is decreasing at a global scale. At subglobal scales, that is, within any defined area less extensive than the globe, species richness will increase when the number of nonnative species becoming naturalized is greater than the number of native species becoming extinct. Determining whether this has occurred is usually difficult because detailed records of species extinctions and naturalizations are rare; these records often exist, however, for oceanic islands. Here we show that species richness on oceanic islands has remained relatively unchanged for land birds, with the number of naturalizations being roughly equal to the number of extinctions, and has increased dramatically for vascular plants, with the number of naturalizations greatly exceeding the number of extinctions. In fact, for plants, the net number of species on islands has approximately doubled. We show further that these patterns are robust to differences in the history of human occupation of these islands and to the possibility of undocumented species extinctions. These results suggest that species richness may be increasing at subglobal scales for many groups and that future research should address what consequences this may have on ecological processes.",407,Journal,ar,Article,100,3,3,Birds | Ecosystem stability | Extinctions | Naturalized species | Plants | Species richness,12604,undefined,0,FALSE,10,766-783,NA,NA,NA,NA
