@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:coverDate,prism:coverDisplayDate,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:pageRange,prism:doi,dc:description,authkeywords,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/27844441884,SCOPUS_ID:27844441884,2-s2.0-27844441884,"Executive document: Evolution, science, and society foreword: Evolution in the century of biology",Meagher T.,American Naturalist,00030147,158,4 SUPPL.,2001-12-01,2001,0,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,1,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035668258,SCOPUS_ID:0035668258,2-s2.0-0035668258,Premating isolation is determined by larval-rearing substrates in cactophilic Drosophila mojavensis. V. Deep geographic variation in epicuticular hydrocarbons among isolated populations,Etges W.,American Naturalist,00030147,158,6,2001-12-01,2001,64,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,2,585-598,10.1086/323587,"Adult epicuticular hydrocarbon variation of 14 geographically isolated populations of cactophilic Drosophila mojavensis was assessed to further investigate mechanisms of sexual isolation. Hydrocarbon transfer experiments demonstrated that these compounds are part of the mate recognition system in this species. Sixteen of the 23 epicuticular hydrocarbon components studied differed in amounts between males and females, and 13 differed in quantity between the geographic regions encompassing Baia California and mainland Mexico (Sonora and Sinaloa). Eight hydrocarbon components, seven of which differed in quantity between sexes, showed significant sex-by-region interactions, indicating region-specific sex reversals in hydrocarbon quantities. Such regional variation in epicuticular hydrocarbon profiles suggests that these hydrocarbon differences have also evolved in D. mojavensis since this species invaded mainland Sonora and Sinaloa from Baja California by switching host plants, in addition to a number of key genetic, behavioral, and life-history characters.",Cactus | Cuticular hydrocarbons | Drosophila | Sexual isolation | Sonoran Desert | Speciation,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035665899,SCOPUS_ID:0035665899,2-s2.0-0035665899,Adaptation to the laboratory: Comments on Sgrò and Partridge,Matos M.,American Naturalist,00030147,158,6,2001-12-01,2001,15,Journal,no,Note,100,2,2,12604,undefined,0,FALSE,3,655-656,10.1086/323591,NA,Convergent evolution | Drosophila | Genetic sampling effect | Laboratory adaptation,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035665898,SCOPUS_ID:0035665898,2-s2.0-0035665898,"Mutation, multilevel selection, and the evolution of propagule size during the origin of multicellularity",Roze D.,American Naturalist,00030147,158,6,2001-12-01,2001,46,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,4,638-654,10.1086/323590,"Evolutionary transitions require the organization of genetic variation at two (or more) levels of selection so that fitness heritability may emerge at the new level. In this article, we consider the consequences for fitness variation and heritability of two of the main modes of reproduction used in multicellular organisms: vegetative reproduction and single-cell reproduction. We study a model where simple cell colonies reproduce by fragments or propagules of differing size, with mutations occurring during colony growth. Mutations are deleterious at the colony level but can be advantageous or deleterious at the cell level (""selfish"" or ""uniformly deleterious"" mutants). Fragment size affects fitness in two ways: through a direct effect on adult group size (which in turn affects fitness) and by affecting the within- and between-group variances and opportunity for selection on mutations at the two levels. We show that the evolution of fragment size is determined primarily by its direct effects on group size except when mutations are selfish. When mutations are selfish, smaller propagule size may be selected, including single-cell reproduction, even though smaller propagule size has a direct fitness cost by virtue of producing smaller organisms, that is, smaller adult cell groups.",Altruism | Endosymbiosis | Evolutionary transitions | Levels of selection | Multicellularity | Mutation load,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035665623,SCOPUS_ID:0035665623,2-s2.0-0035665623,Phenotypic selection on a heritable size trait revisited,Kruuk L.,American Naturalist,00030147,158,6,2001-12-01,2001,126,Journal,ar,Article,100,3,3,12604,undefined,0,FALSE,5,557-571,10.1086/323585,"One of evolutionary biology's most persistent puzzles is the fact that apparent directional selection on a heritable trait in a natural population often does not produce a selection response. We tested three possible explanations for this problem using data on body size of more than 23,000 individuals, measured over 18 yr, in a collared flycatcher (Ficedula albicollis) population. Using a restricted maximum likelihood ""animal model"", we found a narrow-sense heritability for fledgling tarsus length of 0.35 ± 0.02 SE and substantial common environment effects (0.30 ± 0.01 SE). For survival to adulthood, the selection differential on tarsus length was 0.18 ± 0.02 SE. There was, however, no response to this selection over the study period. One explanation for the lack of response might have been that selection was associated with only the environmental (nonheritable) component of phenotype, but we found significant selection on breeding values (the heritable component). There was also no evidence of fluctuating selection pressures or of antagonistic selection between the sexes in selection pressures. Thus, in contrast to earlier investigations in this same population, none of the potential explanations for the absence of a selection response was supported; we discuss alternative hypotheses yet to be investigated.",Additive genetic variance | BLUP breeding values | Ficedula albicollis | Natural selection | Tarsus length,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035662553,SCOPUS_ID:0035662553,2-s2.0-0035662553,"Effects of competition, predation, and dispersal on species richness at local and regional scales",Shurin J.,American Naturalist,00030147,158,6,2001-12-01,2001,169,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,6,624-637,10.1086/323589,"This study explores the consequences of predator-mediated coexistence among competitors for patterns of incidence and diversity at local and regional scales. We develop a model that draws on elements of metapopulation models of competitors and food chains by allowing competitors to coexist locally in the presence of predators but not in their absence. The model predicts that predators promote regional coexistence by greatly expanding the range of conditions under which two competitors persist at equilibrium. Predators could have positive or negative effects on mean local diversity within the region depending on their dispersal rates, those of the prey, and their effects on prey extinction rates. The presence of predators increased the abundance of inferior competitors, thereby expanding the conditions for positive relationships between local and regional diversity. The model also predicted positive correlations between local diversity of predators and prey. These predictions were supported by patterns of phytoplankton, zooplankton, and fish species richness among lakes. The model may help to resolve the apparent contrast between linear patterns of local and regional richness and experimental evidence for strong invasion resistance and rapid dispersal in zooplankton.",Coexistence | Dispersal | Keystone predators | Local and regional processes | Metapopulation,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035662513,SCOPUS_ID:0035662513,2-s2.0-0035662513,"Spatial heterogeneity, source-sink dynamics, and the local coexistence of competing species",Amarasekare P.,American Naturalist,00030147,158,6,2001-12-01,2001,262,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,7,572-584,10.1086/323586,"Patch occupancy theory predicts that a trade-off between competition and dispersal should lead to regional coexistence of competing species. Empirical investigations, however, find local coexistence of superior and inferior competitors, an outcome that cannot be explained within the patch occupancy framework because of the decoupling of local and spatial dynamics. We develop two-patch metapopulation models that explicitly consider the interaction between competition and dispersal. We show that a dispersal-competition trade-off can lead to local coexistence provided the inferior competitor is superior at colonizing empty patches as well as immigrating among occupied patches. Immigration from patches that the superior competitor cannot colonize rescues the inferior competitor from extinction in patches that both species colonize. Too much immigration, however, can be detrimental to coexistence. When competitive asymmetry between species is high, local coexistence is possible only if the dispersal rate of the inferior competitor occurs below a critical threshold. If competing species have comparable colonization abilities and the environment is otherwise spatially homogeneous, a superior ability to immigrate among occupied patches cannot prevent exclusion of the inferior competitor. If, however, biotic or abiotic factors create spatial heterogeneity in competitive rankings across the landscape, local coexistence can occur even in the absence of a dispersal-competition trade-off. In fact, coexistence requires that the dispersal rate of the overall inferior competitor not exceed a critical threshold. Explicit consideration of how dispersal modifies local competitive interactions shifts the focus from the patch occupancy approach with its emphasis on extinction-colonization dynamics to the realm of source-sink dynamics. The key to coexistence in this framework is spatial variance in fitness. Unlike in the patch occupancy framework, high rates of dispersal can undermine coexistence, and hence diversity, by reducing spatial variance in fitness.",Coexistence | Competition | Dispersal-competition trade-off | Immigration | Source-sink dynamics | Spatial heterogeneity,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0035662350,SCOPUS_ID:0035662350,2-s2.0-0035662350,On incorporating fire into our thinking about natural ecosystems: A response to Saha and Howe,Keeley J.,American Naturalist,00030147,158,6,2001-12-01,2001,19,Journal,no,Note,100,2,2,12604,undefined,0,FALSE,8,664-670,10.1086/323594,NA,Bamboo | Critique | Delayed reproduction | Fuels | India | Mass flowering | Monocarpic | Seedling recruitment | Wildfire,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035659021,SCOPUS_ID:0035659021,2-s2.0-0035659021,The effect of sex-allocation biasing on the evolution of worker policing in hymenopteran societies,Foster K.,American Naturalist,00030147,158,6,2001-12-01,2001,47,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,9,615-623,10.1086/323588,"Mutual policing is thought to be important in conflict suppression at all levels of biological organization. In hymenopteran societies (bees, ants, and wasps), multiple mating by queens favors mutual policing of male production among workers (worker policing). However, worker policing of male production is proving to be more widespread than predicted by relatedness patterns, occurring in societies headed by single-mated queens in which, paradoxically, workers are more related to the workers' sons that they kill than the queen's sons that they spare. Here we develop an inclusive-fitness model to show that a second reproductive conflict, the conflict over sex allocation, can explain the evolution of worker policing contrary to relatedness predictions. Among ants, and probably other social Hymenoptera, workers kill males to favor their more related sisters. Importantly, males are killed at the larval stage, presumably because workers cannot determine the sex of queen-laid eggs. Sex-allocation biasing favors worker policing because policing removes some males (the workers' sons) at low cost at the egg stage rather than at higher cost at the larval stage. Our model reveals an important interaction between two reproductive conflicts in which the presence of one conflict (sex allocation) favors the suppression of the other (male production by workers).",Mutual policing | Reproductive conflict | Sex-allocation conflict | Social insects | Worker policing,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0035658971,SCOPUS_ID:0035658971,2-s2.0-0035658971,The bamboo fire cycle hypothesis: A comment,Saha S.,American Naturalist,00030147,158,6,2001-12-01,2001,20,Journal,no,Note,100,2,2,12604,undefined,0,FALSE,10,659-663,10.1086/323593,NA,Bamboo | Critique | Delayed reproduction | Fuels | India | Mast flowering | Monocarpic | Seedling recruitment | Wildfire,NA,NA
