@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,authkeywords,freetoread.value.$,freetoreadLabel.value.$,pubmed-id
true,https://api.elsevier.com/content/abstract/scopus_id/0030439646,SCOPUS_ID:0030439646,2-s2.0-0030439646,Response of stream invertebrates to a global-warming thermal regime: an ecosystem-level manipulation,Hogg I.,Ecology,00129658,77,6,393-407,1996-12-01,1996,"Using a permanent first-order stream near Toronto, Ontario, examined the effects of a 2-3.5°C water-temperature increase on densities, biomass, species composition, and life histories of resident stream invertebrates. Changes included: 1) decreased total animal densities, particularly Chironomidae (Diptera); 2) earlier onset of adult insect emergence; 3) increased growth rates and precocious breeding in Hyalella azteca (Amphipoda); 4) smaller size at maturity for Nemoura trispinosa (Plecoptera) and H. azteca; and 5) altered sex ratios for Lepidostoma vernale (Trichoptera). Variation in the responses of individual target species to the manipulation was unexpected and may have been influenced by the genetic structure of local populations. Levels of gene flow among habitats may be critical to the degree of impact seen as a result of large-scale thermal perturbation.",131,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,1,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0001447581,SCOPUS_ID:0001447581,2-s2.0-0001447581,The energetic costs of alternative rate currencies in the foraging starling,Bateson M.,Ecology,00129658,77,4,1303-1307,1996-12-01,1996,NA,11,Journal,no,Note,100,2,2,20308,036990,0,FALSE,2,10.2307/2265602,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/3042988046,SCOPUS_ID:3042988046,2-s2.0-3042988046,High foliar nitrogen in desert shrubs: An important ecosystem trait or defective desert doctrine?,Killingbeck K.,Ecology,00129658,77,6,1728-1737,1996-01-01,1996,"Nitrogen concentrations in green and senesced leaves of perennial desert shrubs were compiled from a worldwide literature search to test the validity of the doctrine that desert shrubs produce foliage and leaf litter much richer in nitrogen than that in the foliage of plants from more mesic environments. Mean nitrogen concentration in the green leaves of 78 species of shrubs growing in 11 deserts on five continents (2.2%) was not different from that in 67 species of trees and shrubs growing in deciduous, and mixed deciduous forests (2.2%), and only slightly higher than that in overstory (2.0%) and understory (2.1%) plants growing in tropical wet forest. Mean nitrogen concentration in the green leaves of a ubiquitous shrub that dominates large areas of desert in the United States (Larrea tridentata, 2.1%), and in the green-stem tissues of leafless desert shrubs (2.1%) were also similar to that in plants from mesic environments. Mean green-leaf nitrogen was similar in shrubs growing in different deserts. Mean nitrogen concentration in leaf litter was 1.1% for 11 species of desert shrubs, and 1.0% for the 10 species of this group that were not capable of symbiotic nitrogen fixation. Both concentrations were lower than those routinely provided to describe nitrogen in the litter of desert shrubs (1.5-1.7%), and only slightly higher than the mean nitrogen concentration in 77 species of woody perennials growing in a wide variety of environments worldwide (0.9%). Nitrogen in the leaf litter of one desert shrub (0.4%, Brickellia laciniata) was nearly as low as the lowest leaf-litter nitrogen concentration known for any woody species (0.3%). Because nitrogen concentrations in the foliage of desert shrubs are not higher than those in plants growing in more mesic environments, the tenet that desert shrubs support extraordinarily nitrogen-rich foliage can no longer be supported.",56,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,3,10.2307/2265778,Desert shrubs | Ecosystem traits | Green leaves | Leaf litter | Nitrogen in desert shrubs | Nutrient cycling,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/3042956090,SCOPUS_ID:3042956090,2-s2.0-3042956090,The varying success of invaders,Williamson M.,Ecology,00129658,77,6,1661-1666,1996-01-01,1996,NA,907,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,4,10.2307/2265769,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/3042956078,SCOPUS_ID:3042956078,2-s2.0-3042956078,Fish invasions in California: Do abiotic factors determine success?,Moyle P.,Ecology,00129658,77,6,1666-1670,1996-01-01,1996,NA,319,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,5,10.2307/2265770,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/3042874175,SCOPUS_ID:3042874175,2-s2.0-3042874175,What attributes make some plant species more invasive?,Rejmánek M.,Ecology,00129658,77,6,1655-1661,1996-01-01,1996,NA,1319,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,6,10.2307/2265768,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/3042871627,SCOPUS_ID:3042871627,2-s2.0-3042871627,Post-establishment spread in large-scale invasions: Dispersal mechanisms of the zebra mussel Dreissena Polymorpha,Johnson L.E.,Ecology,00129658,77,6,1686-1690,1996-01-01,1996,NA,208,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,7,10.2307/2265774,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/3042757014,SCOPUS_ID:3042757014,2-s2.0-3042757014,Microcosm experiments have limited relevance for community and ecosystem ecology,Carpenter S.,Ecology,00129658,77,3,677-680,1996-01-01,1996,NA,532,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,8,10.2307/2265490,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0345657688,SCOPUS_ID:0345657688,2-s2.0-0345657688,Soil microcosms and the population biology of nematophagous fungi,Jaffee B.,Ecology,00129658,77,3,690-693,1996-01-01,1996,NA,11,Journal,ar,Article,100,1,1,20308,undefined,0,FALSE,9,10.2307/2265493,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030993075,SCOPUS_ID:0030993075,2-s2.0-0030993075,Theory for biological control: Recent developments,Murdoch W.,Ecology,00129658,77,7,2001-2013,1996-01-01,1996,"It has been argued that ecological theory has not been useful to the practice of biological control. The purpose of this article is to show how recent theoretical advances may reverse this situation. We first discuss four issues that have arisen in the development of theory for biological control. (1) Recent work has clarified and resolved earlier disagreements concerning the effect of aggregation of the parasitoid to local host density on the stability of parasitoid-host models; this work emphasizes that such aggregation increases the ability of the parasitoid to reduce pest density. (2) There has been disagreement over the conditions under which stability, in the mathematical sense and on a local spatial scale, is an appropriate goal for classical biological control of insect pests, and whether a metapopulation may sometimes provide a more appropriate framework. We also comment on (3) relative size of refuges, which has been proposed as a unifying concept, and (4) density dependence and ratio dependence. We then discuss recent models using a stage-structured approach, particularly those that compare potential biological control agents or agents that have been differentially successful in practice. We argue that this approach has already produced valuable insights into the factors operating in several field situations. It demonstrates the importance of identifying which pest stages are most injurious to the crop, since the natural enemy that wins in competition may not be the most effective at suppressing the crucial pest stage(s): in general, the winning parasitoid reduces the density of the host stage attacked by its competitor below the level at which the latter can maintain a positive growth rate when at low density. A useful criterion is that pest equilibrium density is suppressed most by the parasitoid species that needs the fewest host individuals to allow a female parasitoid to replace herself in the next generation. Caveats are that this may apply only under equilibrium conditions and that the pest stage most suppressed is the one we wish to control. We discuss the connection between successful biological control and evolutionary considerations.",172,Journal,ar,Article,100,2,2,20308,undefined,0,FALSE,10,10.2307/2265696,"Biological control of insect pests | Competition between natural enemies | Effects on biocontrol | Evolution and ecology | Insects, stage-structured models of | Parasitoid aggregation and stability | Parasitoid behavior",NA,NA,NA
