@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/35748947255,SCOPUS_ID:35748947255,2-s2.0-35748947255,Large-vertebrate assemblages of primary and secondary forests in the Brazilian Amazon,Parry L.,Journal of Tropical Ecology,02664674,14697831,23,6,653-662,2007-11-01,November 2007,10.1017/S0266467407004506,S0266467407004506,"Secondary forests account for 40% of all tropical forests yet little is known regarding their suitability as habitat for diurnal large mammals and game birds. This is especially so for second-growth that develops on large areas of degraded land. We address this by investigating assemblages of large-bodied birds and mammals in extensive patches of secondary forest in the Jarí region of the north-eastern Brazilian Amazon, comparing species richness and abundance against that of adjacent undisturbed primary forests. We conducted 184 km of line-transect censuses over a period of 3 mo, and found that although primary and secondary forests held a similar abundance of large vertebrates, the species composition was very different. Secondary forests supported a high abundance of ungulate browsers (0.85 vs 0.44 indiv. per 10 km) and smaller-bodied primates (15.6 vs 4.6 indiv. per 10 km) compared with primary forests. However, large prehensile-tailed primates were absent (black spider monkey Ateles paniscus) or at very low abundance (Guyanan red howler monkey Alouatta macconelli) in secondary forest. The abundance of large frugivorous/granivorous birds was also low in secondary forests compared with primary forests (22.6 vs 37.1 individuals per 10 km, respectively). Faunal assemblages appear to reflect food resource availability. Concurrent vegetation surveys indicated that secondary forests had high levels of terrestrial and understorey browse. Fruit production was largely restricted to pioneer trees such as Bellucia and Inga spp. Although these regenerating forests were an important habitat for large mammals and birds, they were limited in terms of faunal richness, particularly dispersers of large-seeded plants. Copyright © 2007 Cambridge University Press.",66,Journal,ar,Article,100,3,3,Amazon | Frugivory | Herbivory | Large mammals | Regeneration | Secondary forest,23435,undefined,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35649024255,SCOPUS_ID:35649024255,2-s2.0-35649024255,Interaction network and the relationships between bromeliads and hummingbirds in an area of secondary Atlantic rain forest in southern Brazil,Piacentini V.D.Q.,Journal of Tropical Ecology,02664674,14697831,23,6,663-671,2007-11-01,November 2007,10.1017/S026646740700449X,S026646740700449X,"The reciprocal importance of bromeliads and hummingbirds has been proposed for many years, even suggesting coevolution between these two groups. Nevertheless, data are lacking that allow a better test of the relationships involved. Here we investigate the relationship between bromeliads and hummingbirds in an area of secondary Atlantic rain forest in southern Brazil. The study examined the interactions among 12 species of bromeliad and 10 of hummingbird at Reserva Natural Salto Morato, Paraná state. The number of flowering species of bromeliad and the species richness and abundance of hummingbirds were quantified monthly between November 2004 and October 2005. Focal observations on each bromeliad species were made to determine the hummingbird visitors. Neither species richness nor abundance of hummingbirds were related to bromeliad phenology. Together with the monthly variation in visit frequency by a given pollinator to a given plant, these factors indicate a generalization in the use of bromeliads by hummingbirds and argue against tight coevolution. Ramphodon naevius and Thalurania glaucopis were the main pollinators in the community. Aechmea nudicaulis was the most generalist bromeliad species. The generalist species interacted with other generalists or with asymmetric specialists and there was no specialist-specialist interaction. This produced a strongly organized and nested matrix of interactions. This nestedness is similar to other plant-pollinators networks, supporting the hypothesis that the evolutionary relationship between bromeliads and hummingbirds is no stronger than that of other pollination networks. Copyright © 2007 Cambridge University Press.",31,Journal,ar,Article,100,2,2,Bromeliaceae | Coevolution | Hummingbirds | Interactions | Nestedness | Phenology | Pollination systems,23435,undefined,0,FALSE,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35649012029,SCOPUS_ID:35649012029,2-s2.0-35649012029,Nutritional composition of the diet of the gorilla (Gorilla beringei): A comparison between two montane habitats,Rothman J.M.,Journal of Tropical Ecology,02664674,14697831,23,6,673-682,2007-11-01,November 2007,10.1017/S0266467407004555,S0266467407004555,"The mountain gorilla (Gorilla beringei beringei) lives in two geographically separated populations, Bwindi Impenetrable National Park, Uganda and in three national parks spanning the Virunga mountain region in Rwanda, Democratic Republic of Congo, and Uganda. The altitude, climate and plant composition of these habitats differ. Our goal was to compare the diets of gorillas living in each of these habitats. The nutrients in staple foods and in the diets of individuals in a group of gorillas in Bwindi (N = 12 individuals) and a group in the Virungas (N = 7 individuals) were compared to determine if differences in dietary composition affected concentrations of nutrients in their diets. At both sites gorilla diets consisted primarily of herbaceous leaves, but the diet of Bwindi gorillas contained more tree leaves, fruit, pith and dry wood, and fewer stems. Despite differences in habitat and dietary composition, the nutrient concentrations in both gorilla diets were remarkably similar. On a dry matter basis, the diets and staple foods of Bwindi and Virunga gorillas contained similar concentrations of crude protein (CP), fibre (NDF) and non-structural carbohydrates (TNC). Bwindi gorillas ate diets containing 18% CP, 43% NDF and 19% TNC on a dry-matter basis, while the diets of the Virunga gorillas contained 17% CP, 41% NDF and 18% TNC. Our results demonstrate that gorillas consume diets that differ by plant species and part, but contain similar concentrations of nutrients. This suggests that classifying animals by broad dietary strategy (e.g. frugivory and folivory) does not provide a reliable indicator of the nutritional quality of their diet, and that our previous assumptions about these categories should be re-evaluated. Copyright © 2007 Cambridge University Press.",77,Journal,ar,Article,100,4,4,Apes | Dietary variability | Food chemistry | Nutritional ecology | Primates | Tropical forests,23435,undefined,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35648985648,SCOPUS_ID:35648985648,2-s2.0-35648985648,Conventional and genetic measures of seed dispersal for Dipteryx panamensis (Fabaceae) in continuous and fragmented Costa Rican rain forest,Hanson T.,Journal of Tropical Ecology,02664674,14697831,23,6,635-642,2007-11-01,November 2007,10.1017/S0266467407004488,S0266467407004488,"The effects of habitat fragmentation on seed dispersal can strongly influence the evolutionary potential of tropical forest plant communities. Few studies have combined traditional methods and molecular tools for the analysis of dispersal in fragmented landscapes. Here seed dispersal distances were documented for the tree Dipteryx panamensis in continuous forest and two forest fragments in Costa Rica, Central America. Distance matrices were calculated between adult trees (n = 283) and the locations of seeds (n = 3016) encountered along 100 x 4-m transects (n = 77). There was no significant difference in the density of seeds dispersed > 25 m from the nearest adult (n = 253) among sites. There was a strong correlation between the locations of dispersed seeds and the locations of overstorey palms favoured as bat feeding roosts in continuous forest and both fragments. Exact dispersal distances were determined for a subset of seeds (n = 14) from which maternal endocarp DNA could be extracted and matched to maternal trees using microsatellite analysis. Dispersal within fragments and from pasture trees into adjacent fragments was documented, at a maximum distance of 853 m. Results show no evidence of a fragmentation effect on D. panamensis seed dispersal in this landscape and strongly suggest bat-mediated dispersal at all sites. Copyright © 2007 Cambridge University Press.",19,Journal,ar,Article,100,4,4,Bats | Gene flow | Habitat fragmentation | Microsatellites | Tropical trees,23435,undefined,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35648984562,SCOPUS_ID:35648984562,2-s2.0-35648984562,"The impact of bird's nest ferns on stemflow nutrient concentration in a primary rain forest, Sabah, Malaysia",Turner E.,Journal of Tropical Ecology,02664674,14697831,23,6,721-724,2007-11-01,November 2007,10.1017/S026646740700452X,S026646740700452X,NA,15,Journal,ar,Article,100,4,4,Asplenium | Bird's nest fern | Danum Valley | Epiphytes | Nutrients | Stemflow | Throughfall,23435,undefined,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35648971118,SCOPUS_ID:35648971118,2-s2.0-35648971118,A stable isotope study of a neotropical stream food web prior to the extirpation of its large amphibian community,Verburg P.,Journal of Tropical Ecology,02664674,14697831,23,6,643-651,2007-11-01,November 2007,10.1017/S0266467407004518,S0266467407004518,"Rapid and massive amphibian population declines have been reported throughout upland areas of the Neotropics. The abundance and species richness of Neotropical amphibian communities suggest that losses of this magnitude are likely to have strong effects at the ecosystem level. To improve understanding of the implications of their loss we used stable isotope analysis to examine trophic relationships in an ecosystem in which amphibians are dominant in a second-order forest stream at 750 m asl in Parque Nacional Omar Torrijos Herrera, Panama. We analysed δ13C, δ15N and C:N ratios of major biotic components (basal resources, invertebrates, amphibians, fish and reptiles) in the stream and of the adjacent riparian food web. Tadpoles (mean δ15N = 4.49‰) and adult amphibians (mean δ15N = 5.45‰) were intermediate links in the aquatic and terrestrial food web respectively. High δ15N signatures identified fish as top predators in the aquatic food web and snakes and the toad Bufo as top predators in the terrestrial food web. Isotopic signatures clearly distinguished between trophic groups of tadpoles: microbial feeders (Centrolenidae, δ15N range = 0.91-3.05‰), herbivores (Rana and Hyla, δ15N range = 4.74-5.15‰) and neuston feeders (Colostethus, δ15N range = 5.31-6.40‰). Dependence on autotrophic production was indicated by enriched signatures of carbon isotopes in pool dwellers versus those that reside in faster-flowing sections of the stream. High nitrogen concentrations in detrital matter (average 0.8%, C:N = 10.3) suggested that grazing tadpoles enhanced nitrogen fluxes and improved the quality of organic matter available to detritivores. Copyright © 2007 Cambridge University Press.",46,Journal,ar,Article,100,5,5,δ C 13 | δ N 15 | Amphibian declines | Aquatic invertebrates | Panama | Stable isotopes | Tadpoles,23435,undefined,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35648968152,SCOPUS_ID:35648968152,2-s2.0-35648968152,Impacts of habitat fragmentation on genetic diversity in a tropical forest butterfly on Borneo,Benedick S.,Journal of Tropical Ecology,02664674,14697831,23,6,623-634,2007-11-01,November 2007,10.1017/S0266467407004543,S0266467407004543,"Many areas of rain forest now exist as habitat fragments, and understanding the impacts of fragmentation is important for determining the viability of populations within forest remnants. We investigated impacts of forest fragmentation on genetic diversity in the butterfly Mycalesis orseis (Satyrinae) in Sabah (Malaysian Borneo). We investigated mtDNA diversity in 90 individuals from ten forest sites typical of the sizes of forest remnants that currently exist in the region. Nucleotide diversity declined with increasing isolation of remnants, but there was no effect of remnant size or population size, and haplotype diversity was similar among sites. Thus, approximately 50 y after forest fragmentation, few changes in genetic diversity were apparent and remnants apparently supported genetically viable populations of this butterfly. Many studies have shown that responses of species to habitat fragmentation usually follow a time delay, and so we developed a Monte Carlo simulation model to investigate changes in genetic diversity over time in small remnants. Model output indicated a substantial time delay (> 100 y) between fragmentation and genetic erosion, suggesting that, in the smallest study remnants, an increased risk of extinction from reduced genetic diversity is likely in the longer term. Copyright © 2007 Cambridge University Press.",26,Journal,ar,Article,100,9,9,Forest remnants | Genetic erosion | Lepidoptera | Mycalesis orseis,23435,undefined,0,FALSE,7,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/35648963689,SCOPUS_ID:35648963689,2-s2.0-35648963689,Bird predation on insects reduces damage to the foliage of cocoa trees (Theobroma cacao) in western Panama,Van Bael S.,Journal of Tropical Ecology,02664674,14697831,23,6,715-719,2007-11-01,November 2007,10.1017/S0266467407004440,S0266467407004440,NA,25,Journal,ar,Article,100,3,3,Agroforestry | Exclosure experiment | Insectivory | Multi-trophic interactions | Theobroma cacao,23435,undefined,0,FALSE,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35648956204,SCOPUS_ID:35648956204,2-s2.0-35648956204,"Patterns of phosphorus, nitrogen and δ<sup>15</sup>N along a peat development gradient in a coastal mire, Panama",Troxler T.,Journal of Tropical Ecology,02664674,14697831,23,6,683-691,2007-11-01,November 2007,10.1017/S0266467407004464,S0266467407004464,"Differentiation of limiting nutrients within small spatial scales has been observed in coastal mangrove forests, but research on other tropical peatlands suggests it is a more widespread phenomenon. In the Changuinola mire of coastal Panama, oligotrophy was hypothesized to increase along a gradient of peat development (peat doming). Nutrient and carbon concentration of leaf tissue, soil, and soil porewater were characterised over a successive sequence of plant communities along the gradient. Soil phosphorus (P) and nitrogen (N) concentrations decreased from 1200 μg P g-1 and 27 mg N g -1 to 377 μg P g-1 and 22 mg N g-1 within 2.7 km into the mire interior. These changes coincided with an increase in soil and average leaf N:P molar ratios from 52-128 and 24-41, respectively. Soil P was strongly related to leaf P and soil N:P to foliar N:P. There was a wide range in δ15N values for canopy (4.0 to -9.4‰), Campnosperma panamense (4.0 to -7.8‰) and understorey (4.8 to -3.1‰) species. Foliar δ15N values of canopy species were strongly related to soil N:P, soil P and leaf P. The depleted foliar δ15N values appeared to be an effect of both the N atmospheric source and P limitation. Here, P limitation is likely associated with ombrotrophic conditions that developed as hydrologic inputs became dominated by precipitation. Copyright © 2007 Cambridge University Press.",31,Journal,ar,Article,100,1,1,Biological-physical feedbacks | Isotopes | N:P ratios | Nutrient limitation | Ombrotrophy,23435,undefined,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/35648948417,SCOPUS_ID:35648948417,2-s2.0-35648948417,"Post-fire succession on savanna habitats in the Okavango Delta wetland, Botswana",Heinl M.,Journal of Tropical Ecology,02664674,14697831,23,6,705-713,2007-11-01,November 2007,10.1017/S0266467407004452,S0266467407004452,"Drying floodplains that were not inundated for more than 10 y were investigated to relate plant species and vegetation structure to time-since-fire for the southern Okavango Delta wetland in Botswana. The aims of the research were to study post-fire succession on savanna habitats in the Okavango Delta and to investigate the mechanisms behind vegetation changes with time-since-fire. We hypothesize that vegetation structure rather than species occurrence is affected by the fire event and that the driving forces of post-fire succession change from fire-driven to competition-driven with increasing time-since-fire. A total number of 153 study sites were investigated, representing areas of 2-12 y without a fire. Both woody and herbaceous plant species were recorded and cover/abundance values were measured. The vegetation changes with time-since-fire could be assigned to three different successional stages: (1) the post-fire conditions shortly after fire, supporting high species numbers due to open space and little competition; (2) the dominance of competitive perennial grass species (e.g. Urochloa mosambicensis) after 6-8 y; and (3) the enhanced establishment of woody species after about 10 y, creating new habitats in their vicinity. High species numbers were found after short and long fire-free periods, and different species occurred shortly after the fire event and at late stages of the post-fire succession. A variety of different inter-fire intervals is therefore expected to be responsible for sustaining plant species richness and habitat diversity in the study area. Post-fire succession could be described as not only being driven by the life history of the species, but also by seedbank dynamics and plant mobility in early successional stages and by competition and niche differentiation in late-successional stages. Copyright © 2007 Cambridge University Press.",10,Journal,ar,Article,100,4,4,Fire | Fire ecology | Fire history | Fire regime | Richness | Southern Africa | Structure | Vegetation,23435,undefined,0,FALSE,10,NA,NA
