@_fa,prism:url,dc:identifier,eid,dc:title,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:creator,author-count.$,fund-acr,fund-sponsor,dc:description,authkeywords
true,https://api.elsevier.com/content/abstract/scopus_id/84972416670,SCOPUS_ID:84972416670,2-s2.0-84972416670,Instructions to authors,Journal of Tropical Ecology,02664674,14697831,4,1,95-97,1988-01-01,February 1988,10.1017/S0266467400002595,0,Journal,ar,Article,100,0,23435,undefined,0,FALSE,1,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84972217781,SCOPUS_ID:84972217781,2-s2.0-84972217781,Burrowing parrots—all credit to the world bank,Journal of Tropical Ecology,02664674,14697831,4,3,270,1988-01-01,August 1988,10.1017/S0266467400002820,0,Journal,no,Note,100,1,23435,undefined,0,FALSE,2,Goodland R.,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84959604504,SCOPUS_ID:84959604504,2-s2.0-84959604504,Age structure of male Euglossa imperialis (Hymenoptera: Apidae: Euglossini) at nectar and chemical sources in Panama,Journal of Tropical Ecology,02664674,14697831,4,3,303-306,1988-01-01,August 1988,10.1017/S0266467400002868,11,Journal,ar,Article,100,1,23435,BSR-8501246,0,FALSE,3,Santiago M.,1,SI,Smithsonian Institution,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024257246,SCOPUS_ID:0024257246,2-s2.0-0024257246,Internal heterogeneity of gaps and species richness in costa rican tropical wet forest,Journal of Tropical Ecology,02664674,14697831,4,2,99-119,1988-01-01,May 1988,10.1017/S0266467400002625,120,Journal,ar,Article,100,2,23435,undefined,0,FALSE,4,Hartshorn G.S.,2,NA,NA,"In Costa Rican tropical wet forest the distribution of seedlings of most tree species colonizing 51 tree-fall gaps is clumped, probably because of differences in the proximity of gaps to fruiting trees. Different gap zones (root, bole and crown) are more similar to one another, in terms of their species composition, than they are to other zones in the same gap. This nonrandom pattern is established soon after gap formation, indicating that mortality of young seedlings is both high and related to gap zones. Some tree species are strongly positively associated with one of the gap zones, whereas others are associated with the age of the gap at the time the census was taken or the species of tree whose fall caused the gap. Root zones are dominated by fewer species than are bole or crown zones. Results are consistent with the assumption that an initial random distribution of seedlings is quickly changed to a strongly non-random pattern by selective mortality of seedlings of different tree species in the different gap zones. The internal heterogeneity of gaps is probably one of the factors helping to maintain the high tree species richness characteristic of tropical wet forests. © 1988, Cambridge University Press. All rights reserved.",Costa Rica | disturbance | diversity | gaps | La Selva | patchy environments | species richness | tree-falls | tropical forests
true,https://api.elsevier.com/content/abstract/scopus_id/0024254519,SCOPUS_ID:0024254519,2-s2.0-0024254519,Water potential gradients for gaps and slopes in a panamanian tropical moist forest's dry season,Journal of Tropical Ecology,02664674,14697831,4,2,173-184,1988-01-01,May 1988,10.1017/S0266467400002674,151,Journal,ar,Article,100,3,23435,undefined,0,FALSE,5,Rabenold P.E.,3,NSF,National Science Foundation,"Soil water potentials were measured weekly by psychrometers at 20 cm depth during the dry season in a tropical moist forest on Barro Colorado Island, Panama. There was a persistent gradient of decreasing soil moisture from gap centre to gap edge to adjacent understorey at both a large and a small gap. On both a north-south and an east-west transect, the soil was drier (water potentials were more negative) on an upland surface than on moderate slopes. This trend was reflected in the predawn, total water potentials of shallow-rooted Psychotria horizontalis and deep-rooted Trichilia tuberculata measured in the understorey during the last two months of the dry season. P. horizontalis from the wettest sites on the transects had higher osmotic potentials at full hydration and at zero turgor, indicating less drought resistance than for conspecifics from the driest sites. © 1988, Cambridge University Press. All rights reserved.",Barro Colorado Island | dry season | gap | gradient | osmotic potential | Panama | plant water potential | slope | soil water potential | tropical moist forest
true,https://api.elsevier.com/content/abstract/scopus_id/0024248232,SCOPUS_ID:0024248232,2-s2.0-0024248232,"Relict mangrove stand on last interglacial terrace, christmas island, indian ocean",Journal of Tropical Ecology,02664674,14697831,4,1,1-17,1988-01-01,February 1988,10.1017/S0266467400002431,16,Journal,ar,Article,100,1,23435,undefined,0,FALSE,6,Woodroffe C.,1,ANU,Australian National University,"A unique stand of mangroves of the genus Bruguiera occurs on the shore terrace at Hosnies Spring, Christmas Island, Indian Ocean. The mangrove stand, of about 0.33 ha, occurs 120 m inland and over an elevational range of 13 m, from 24 to 37 m above sea level. It is flooded by freshwater from a spring which trickles over a partially-cemented calcsinter concretion gravel with mud. Trees reach 30–40 m high, and 80 cm diameter breast height. The size structure is bimodal with few trees in the 10–25 cm dbh size classes, but abundant propagules, seedlings and saplings. The shore terrace contains corals, some in their position of growth, and has been shown by Uranium-series dating to be Last Interglacial in age. Several alternative explanations of how the mangroves reached this site are examined. One explanation is that this stand of mangroves has persisted at the site for approximately 120,000 years since the Last Interglacial. While this cannot be proved it does appear that the stand is relict and is actively regenerating in this unusual location. © 1988, Cambridge University Press. All rights reserved.",Bruguiera | Christmas Island | Indian Ocean | Last Interglacial | mangrove | paleoecology | relict forest
true,https://api.elsevier.com/content/abstract/scopus_id/0024229586,SCOPUS_ID:0024229586,2-s2.0-0024229586,"Litterfall and productivity in a tropical rain forest, southern bakundu forest reserve, cameroon",Journal of Tropical Ecology,02664674,14697831,4,1,25-37,1988-01-01,February 1988,10.1017/S0266467400002467,43,Journal,ar,Article,100,2,23435,undefined,0,FALSE,7,Songwe N.,2,NA,NA,"Litterfall was measured monthly in ten 1 m2 traps in each of two 0.25 ha plots in the rain forest of Southern Bakundu Forest Reserve, Cameroon for 18 months from 1 July 1982 to 31 December 1983. Particular emphasis was placed on measuring species contributions and in relating litterfall to climatic factors; the litterfall data were also used in estimating leaf production. Annual litterfall ranged between 12.9 and 14.1 t ha-1and was partitioned to leaves (61-66%), branches (23-38%), fruits and flowers (8—12%) and ephiphytes (0.8%). Emergents and top canopy species like Desbordesia glaucescens (evergreen) and Ceiba pentandra (deciduous) contributed more litter than the numerically dominant lower storey species like Cola leptdota and Diospyros spp. Litter fell throughout the year but was greatest during the dry season (November to March); litterfall was thus strongly negatively correlated with environmental moisture variables and could be predicted from its linear regression on time of year, throughfall and relative humidity. By correcting the leaf fall data for leaf weight losses due to grazing and re-translocation, leaf production rates of 10.2 to 11.2 t ha-1yr-1were estimated for the forest. © 1988, Cambridge University Press. All rights reserved.",Cameroon | litterfall | productivity | rain forest
true,https://api.elsevier.com/content/abstract/scopus_id/0024229246,SCOPUS_ID:0024229246,2-s2.0-0024229246,The use of tubificids for weeding and aquaculture in paddy fields in Japan,Journal of Tropical Ecology,02664674,14697831,4,4,393-401,1988-01-01,November 1988,10.1017/S0266467400003059,8,Journal,ar,Article,100,2,23435,undefined,0,FALSE,8,Kurihara Y.,2,OCW,"Ministerie van Onderwijs, Cultuur en Wetenschap","Tubificid worms that live in the paddy mud increase in numbers when an organic fertilizer is applied. They mix the soil by passing it through their gut as well as by their burrowing and respiratory movements, thereby checking the sprouting of paddy weeds. Tubificids inhabiting the pond’s mud also serve as fish food. It is suggested that such a pond might be appropriate for aquaculture. This study considers a method to control paddy field ecosystems based on the above to produce rice and freshwater fish, with organic fertilizers but without the use of herbicides and insecticides. © 1988, Cambridge University Press. All rights reserved.",agricultural chemicals | aquaculture | Japan | paddy field | tubificids
true,https://api.elsevier.com/content/abstract/scopus_id/0024228797,SCOPUS_ID:0024228797,2-s2.0-0024228797,"Invertebrates in the litter and soil on Volcàn Barva, Costa Rica",Journal of Tropical Ecology,02664674,14697831,4,3,307-310,1988-01-01,August 1988,10.1017/S026646740000287X,33,Journal,ar,Article,100,2,23435,undefined,0,FALSE,9,Atkin L.,2,NA,NA,NA,altitudinal zonation | Costa Rica soil invertebrates
true,https://api.elsevier.com/content/abstract/scopus_id/0024228525,SCOPUS_ID:0024228525,2-s2.0-0024228525,"Dormancy, germination and seedling growth of two kalaharian perennials of the genus harpagophytum (pedaliaceae)",Journal of Tropical Ecology,02664674,14697831,4,2,185-198,1988-01-01,May 1988,10.1017/S0266467400002686,10,Journal,ar,Article,100,4,23435,undefined,0,FALSE,10,Ernst W.,4,NA,NA,"Dormancy and germination ecology of two Harpagophytum species (Pedaliaceae) from an open Acacia savanna in Botswana were investigated. The maintenance of dormancy is governed partly by the seed coat but mainly by the endosperm and the embryo itself, as demonstrated by removal of the endosperm. Dissemination of the seed from the fruit can be delayed for several years without affecting the viability of the embryo, due to very low respiration rates. Germination can be enhanced slightly by high temperatures under natural conditions, and by gibberellic acid or removal of the endosperm under laboratory conditions. Relative growth rates for both Harpagophytum species are lower than for subtropical grasses and legumes, due to a strong investment in root and tuber biomass. Germination and seedling growth is discussed in relation to the drought avoidance syndrome and the animal disperser syndrome. © 1988, Cambridge University Press. All rights reserved.",Botswana | dormancy | Harpagophytum | Kalaharian plants | photosynthesis | seed germination | seed weight | seedling survival | water uptake
