@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,pubmed-id,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/53249125129,SCOPUS_ID:53249125129,2-s2.0-53249125129,Lac Croche understory vegetation data set (1998-2006): Ecological Archives E088-197,Paquette A.,Ecology,00129658,88,12,3209,2007-12-01,December 2007,10.1890/07-0513.1,"The Lac Croche data set covers a nine-year period (1998-2006) of detailed understory vegetation sampling of a temperate North American forest located in the Station de Biologie des Laurentides (SBL), Québec, Canada. After having been submitted to logging in the late 19th and early 20th centuries followed by a major fire in 1923, the forest is currently in a transition state dominated by pioneer canopy tree species. The sampling design is based on the annual re-sampling of 43 permanent 400-m2 plots along five transects running parallel to an elevation gradient from a lake (Lac Croche) to the top of a hill. Abundances of all understory vascular plants (tree seedlings, herbs, and shrubs) are included in the data set and are expressed either as absolute densities or cover classes, depending on life form. The location and elevation of each plot, as well as some key environmental descriptors such as slope, rockiness, canopy openness, age of the largest tree, basal area of mature trees, and a number of soil variables are also available. The Lac Croche data set should prove useful for testing hypotheses about forest vegetation dynamics at different scales, as well as to test new statistical tools developed for the analysis of the spatio-temporal variation of plant distributions. Sampling is ongoing, and new data will be added every year. © 2007 by the Ecological Society of America.",2,Journal,ar,Article,100,6,6,Community patterns | Forest succession | Spatial variation | Station de Biologie des Laurentides (SBL) | Temperate forest | Temporal variation | Understory plants | Vegetation dynamics,20308,undefined,1,TRUE,all,All Open Access,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/40449140902,SCOPUS_ID:40449140902,2-s2.0-40449140902,The effects of landscape structure on space competition and alternative stable states,Buenau K.,Ecology,00129658,88,12,3022-3031,2007-12-01,December 2007,10.1890/06-1850.1,"Many species that compete for space live on heterogeneous landscapes and interact at local scales. The quality, amount, and structure of landscapes may have considerable impact on the ability of species to compete or coexist, yet basic models of space competition do not include that level of detail. We model space competition between two species with positive feedback through recruitment facilitation, which creates the potential for alternative stable states to occur. We compare the predictions of a spatially implicit model with a simulation model that includes explicit space and landscape structure. We create structured landscapes in which we specify the amount of habitat and degree of fragmentation and ask how landscape structure, dispersal strategy, and scale affect the presence of alternative stable states, or bistability. We find that structured landscapes can reduce the range of parameter values that lead to bistability in our model, but they do not eliminate bistability. The type of landscape and the dispersal distance for each species also influence the amount of environmental change needed for abrupt community shifts to occur. Coexistence of the two competitors is possible under certain conditions when connectivity is low. Consequently, landscape structure may lead to considerable disparity between the predictions of simple models and actual dynamics on complex landscapes during environmental change. © 2007 by the Ecological Society of America.",9,Journal,ar,Article,100,3,3,Alternative stable states | Dispersal | Fragmentation | Hysteresis | Landscapes | Space competition,20308,undefined,0,FALSE,NA,NA,2,18229837,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/40449135551,SCOPUS_ID:40449135551,2-s2.0-40449135551,Aquatic plant community invasibility and scale-dependent patterns in native and invasive species richness,Capers R.,Ecology,00129658,88,12,3135-3143,2007-12-01,December 2007,10.1890/06-1911.1,"Invasive species richness often is negatively correlated with native species richness at the small spatial scale of sampling plots, but positively correlated in larger areas. The pattern at small scales has been interpreted as evidence that native plants can competitively exclude invasive species. Large-scale patterns have been understood to result from environmental heterogeneity, among other causes. We investigated species richness patterns among submerged and floating-leaved aquatic plants (87 native species and eight invasives) in 103 temperate lakes in Connecticut (northeastern USA) and found neither a consistently negative relationship at small (3-m2) scales, nor a positive relationship at large scales. Native species richness at sampling locations was uncorrelated with invasive species richness in 37 of the 60 lakes where invasive plants occurred; richness was negatively correlated in 16 lakes and positively correlated in seven. No correlation between native and invasive species richness was found at larger spatial scales (whole lakes and counties). Increases in richness with area were uncorrelated with abiotic heterogeneity. Logistic regression showed that the probability of occurrence of five invasive species increased in sampling locations (3 m2, n = 2980 samples) where native plants occurred, indicating that native plant species richness provided no resistance against invasion. However, the probability of three invasive species' occurrence declined as native plant density increased, indicating that density, if not species richness, provided some resistance with these species. Density had no effect on occurrence of three other invasive species. Based on these results, native species may resist invasion at small spatial scales only in communities where density is high (i.e., in communities where competition among individuals contributes to community structure). Most hydrophyte communities, however, appear to be maintained in a nonequilibrial condition by stress and/or disturbance. Therefore, most aquatic plant communities in temperate lakes are likely to be vulnerable to invasion. © 2007 by the Ecological Society of America.",84,Journal,ar,Article,100,4,4,Beta diversity | Biodiversity | Biological invasion | Density | Exotic plants | Invasion resistance | Macrophytes | Species richness,20308,undefined,0,FALSE,NA,NA,3,18229847,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/40449129980,SCOPUS_ID:40449129980,2-s2.0-40449129980,"Extinction, recolonization, and dispersal through time in a planktonic crustacean",Mergeay J.,Ecology,00129658,88,12,3032-3043,2007-12-01,December 2007,10.1890/06-1538.1,"Dormant propagule banks are important reservoirs of biological and genetic diversity of local communities and populations and provide buffering mechanisms against extinction. Although dormant stages of various plant and animal species are known to remain viable for decades and even centuries, little is known about the effective influence of recolonization from such old sources on the genetic continuity of intermittent populations under natural conditions. Using recent and old dormant eggs recovered from a dated lake sediment core in Kenya, we traced the genetic composition of a local population of the planktonic crustacean Daphnia barbata through a sequence of extinction and recolonization events. This was combined with a phylogeographic and population-genetic survey of regional populations. Four successive populations, fully separated in time, inhabited Lake Naivasha from ca. 1330 to 1570 AD, from ca. 1610 to 1720 AD, from ca. 1840 to 1940 AD, and from 1995 to the present (2001 AD). Our results strongly indicate genetic continuity between the 1840-1940 and 1995-2001 populations, which are separated in time by at least 50 years, and close genetic relatedness of them both to the 1330-1580 population. A software tool (Colonize) was developed to find the most likely source population of the refounded 1995-2001 population and to test the number of colonists involved in the recolonization event. The results confirmed that the 1995-2001 population most probably developed out of a limited number of surviving local dormant eggs from the previous population, rather than out of individuals from regional (central and southern Kenya) or more distant (Ethiopia, Zimbabwe) populations that may have immigrated to Lake Naivasha through passive dispersal. These results emphasize the importance of prolonged dormancy for the natural long-term dynamics of crustacean zooplankton in fluctuating environments and suggest an important role of old local dormant egg banks in aquatic habitat restoration. © 2007 by the Ecological Society of America.",54,Journal,ar,Article,100,4,4,Ancient DNA | Colonize software | Daphnia | Dispersal | Egg bank | Extinction | Habitat restoration | Paleogenetics | Recolonization | Seed bank | Storage effect,20308,undefined,0,FALSE,NA,NA,4,18229838,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/40449129979,SCOPUS_ID:40449129979,2-s2.0-40449129979,Oceanic variability and coastal topography shape genetic structure in a long-dispersing sea urchin,Banks S.,Ecology,00129658,88,12,3055-3064,2007-12-01,December 2007,10.1890/07-0091.1,"Understanding the scale of marine population connectivity is critical for the conservation and sustainable management of marine resources. For many marine species adults are benthic and relatively immobile, so patterns of larval dispersal and recruitment provide the key to understanding marine population connectivity. Contrary to previous expectations, recent studies have often detected unexpectedly low dispersal and fine-scale population structure in the sea, leading to a paradigm shift in how marine systems are viewed. Nonetheless, the link between fine-scale marine population structure and the underlying physical and biological processes has not been made. Here we show that patterns of genetic structure and population connectivity in the broadcast-spawning and long-distance dispersing sea urchin Centrostephanus rodgersii are influenced by physical oceanographic and geographic variables. Despite weak genetic differentiation and no isolation-by-distance over thousands of kilometers among samples from eastern Australia and northern New Zealand, fine-scale genetic structure was associated with sea surface temperature (SST) variability and geography along the southeastern Australian coast. The zone of high SST variability is characterized by periodic shedding of eddies from the East Australian Current, and we suggest that ocean current circulation may, through its influence on larval transport and recruitment, interact with the genetic consequences of large variance in individual reproductive success to generate patterns of fine-scale patchy genetic structure. If proven consistent across species, our findings suggest that the optimal scale for fisheries management and reserve design should vary among localities in relation to regional oceanographic variability and coastal geography. © 2007 by the Ecological Society of America.",144,Journal,ar,Article,100,6,6,Centrostephanus rodgersii | Connectivity | Genetic patchiness | Larval dispersal | Microsatellite | Multilocus spatial autocorrelation | Oceanography | Sea urchin,20308,undefined,0,FALSE,NA,NA,5,18229840,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/40449129967,SCOPUS_ID:40449129967,2-s2.0-40449129967,"The patchiness of epifoliar fungi in tropical forests: Host range, host abundance, and environment (Ecology (March 2007) 88:3 (575-581))",Gilbert G.S.,Ecology,00129658,88,12,3218,2007-12-01,December 2007,NA,NA,0,Journal,er,Erratum,100,3,3,NA,20308,undefined,0,FALSE,NA,NA,6,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/40449129641,SCOPUS_ID:40449129641,2-s2.0-40449129641,Windows of opportunity: Historical and ecological controls on Berberis thunbergii invasions,Degasperis B.,Ecology,00129658,88,12,3115-3125,2007-12-01,December 2007,10.1890/06-2014.1,"Attempts to determine characteristics that render habitats invasible to nonnative species have met with limited success. This may be because most studies focus on modern habitat conditions and do not consider invasibility in the context of a historically dynamic landscape in which both the abundance of a species and the invasibility of a site may change. We surveyed 159 currently forested sites for the occurrence and abundance of Berberis thunbergii (Japanese barberry), an invasive, nonnative shrub in forests of the northeastern United States, relative to modern environmental conditions, contemporary logging activity, and two periods of historical land use. Berberis thunbergii occurred more frequently and was more abundant in post-agricultural forests than in continuously wooded sites. This relationship was stronger for agricultural sites that were abandoned and reforested after B. thunbergii was introduced to the region than for sites that reforested prior to B. thunbergii introduction. In contrast, recent forest harvesting did not influence the occurrence or abundance of B. thunbergii. Modern soil fertility explained a significant portion of the variation in B. thunbergii occurrence, whereas site history considerably improved predictions of population density and helped evaluate potential invasion mechanisms. While land-use history covaries with soil fertility and distance to putative seed sources, the strong relationship between modern abundance patterns and historical agriculture suggests that B. thunbergii colonized recently abandoned agricultural lands in the early 20th century and then persisted and spread locally during subsequent reforestation. Our results indicate that interpretations of both native community composition and modern plant invasions must consider the importance of historical landscape changes and the timing of species introduction along with current environmental conditions. © 2007 by the Ecological Society of America.",70,Journal,ar,Article,100,2,2,"Berberis thunbergii | Disturbance | Forest harvesting | Habitat invasibility | Invasive plant species | Land-use history | Logging | Massachusetts, USA | Propagule availability | Quabbin reservoir reservation",20308,undefined,0,FALSE,NA,NA,7,18229845,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/40449123009,SCOPUS_ID:40449123009,2-s2.0-40449123009,Analyzing the spatial structure of a Sri Lankan tree species with multiple scales of clustering,Wiegand T.,Ecology,00129658,88,12,3088-3092,2007-12-01,December 2007,10.1890/06-1350.1,"Clustering at multiple critical scales may be common for plants since many different factors and processes may cause clustering. This is especially true for tropical rain forests for which theories explaining species coexistence and community structure rest heavily on spatial patterns. We used point pattern analysis to analyze the spatial structure of Shorea congestiflora, a dominant species in a 25-ha forest dynamics plot in a rain forest at Sinharaja World Heritage Site (Sri Lanka), which apparently shows clustering at several scales. We developed cluster processes incorporating two critical scales of clustering for exploring the spatial structure of S. congestiflora and interpret it in relation to factors such as competition, dispersal limitation, recruitment limitation, and Janzen-Connell effects. All size classes showed consistent large-scale clustering with a cluster radius of ∼25 m. Inside the larger clusters, small-scale clusters with a radius of 8 m were evident for recruits and saplings, weak for intermediates, and disappeared for adults. The pattern of all trees could be divided into two independent patterns: a random pattern (nearest neighbor distance > 8 m) comprising ∼12% of the trees and a nested double-cluster pattern. This finding suggests two independent recruitment and/or seed dispersal mechanisms. Saplings were several times as abundant as recruits and may accumulate several recruit generations. Recruits were only weakly associated with adults and occupied about half of the large-scale clusters, but saplings almost all. This is consistent with recruitment limitation. For ∼70% (95%) of all juveniles the nearest adult was less than 26 m away (53 m), suggesting a dispersal limitation that may also be related to the critical large-scale clustering. Our example illustrates the manner in which the use of a specific and complex null hypothesis of spatial structure in point pattern analysis can help us better understand the biology of a species and generate specific hypotheses to be further investigated in the field. © 2007 by the Ecological Society of America.",167,Journal,ar,Article,100,4,4,"Janzen-Connell | Multiple clustering | Pair correlation function | Point pattern analysis | Ripley's K function | Shorea congestiflora | Sinharaja forest dynamics plot, Sri Lanka | Spatial point processes",20308,undefined,0,FALSE,NA,NA,8,18229843,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/40449123008,SCOPUS_ID:40449123008,2-s2.0-40449123008,Do source-sink dynamics promote the spread of an invasive grass into a novel habitat?,Thomson D.,Ecology,00129658,88,12,3126-3134,2007-12-01,December 2007,10.1890/06-1463.1,"Models of source-sink and other spatial patch dynamics have generated a number of ideas and predictions about species range expansion, the evolution of local adaptation, and the factors influencing population persistence, but relatively few empirical studies have applied these ideas due to the difficulty of measuring both patch-specific demography and movement rates. In this study, I used a combination of mark-recapture experiments, model fitting, and demographic approaches to ask how habitat-specific differences in population growth and dispersal affect spread of the invasive grass Aegilops triuncialis into serpentine environments. A. triuncialis germinated at lower rates but exhibited equivalent survival and greater growth in edge (extreme serpentine) than in core populations, even accounting for density differences between habitats. Estimated growth rates (λ) for four of five edge subpopulations were strongly positive, ranging from λ = 1.32 to 2.09 without propagule input from adjacent habitat. Local dispersal was best described by an exponential kernel, with a mean dispersal distance about twice as long on the edge (0.24-0.40 m) as in the core (0.18 m). Twenty-five percent of marked spikes in the edge were not relocated within the patch, suggesting greater rates of either seed predation or long-distance dispersal that reduced population growth. These results suggest that A. triuncialis can successfully spread into extreme serpentine habitats without sustained propagule input from adjacent populations. Further, asymmetric dispersal that may be both habitat- and density-dependent could slow growth rates on the edge. This pattern may also increase the importance of harsh edge patches as a source of long-distance dispersers. © 2007 by the Ecological Society of America.",28,Journal,ar,Article,100,1,1,Aegilops triuncialis | Demography | Dispersal | Habitat heterogeneity | Invasive species | Range expansion | Serpentine soils | Source-sink,20308,undefined,0,FALSE,NA,NA,9,18229846,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/40449120472,SCOPUS_ID:40449120472,2-s2.0-40449120472,Microsite-limited recruitment controls fern colonization of post-agricultural forests,Flinn K.,Ecology,00129658,88,12,3103-3114,2007-12-01,December 2007,10.1890/06-2124.1,"Assessing the relative roles of dispersal limitation and environmental effects in population dynamics and community assembly is fundamental to understanding patterns of species distribution and diversity. In forests growing on abandoned agricultural lands, both legacies of vegetation disturbance and changes in the abiotic environment shape the diversity and composition of recovering communities. Here I specify how interactions among historical, environmental, and biological factors influence species distributions, focusing on three fern species with contrasting distributions across forests of different history in central New York, USA: Dryopteris carthusiana, Dryopteris intermedia, and Polystichum acrostichoides. Using population surveys, spore-trap and spore-bank studies, and a three-year field experiment, I compare demographic rates among species and between forest types to determine which life history stages limit colonization and which traits explain species distributions. Adult plants of all three species were larger and more likely to produce spores in post-agricultural forests than in adjacent, uncleared stands. Though lower population densities led to fewer spores in post-agricultural soils, spore availability still exceeded recruitment by four to five orders of magnitude. Sowing additional spores had relatively little effect, while microhabitat conditions had the greatest impact on establishment rates. Given similar microsites, the two forest types had equal rates of establishment, but some forest-floor features preferentially occupied by juvenile plants were less frequent in post-agricultural stands. The availability of suitable sites for establishment, created by small-scale heterogeneity on forest floors, thus limits both the growth of fern populations and the colonization of new habitats. In fact, reduced microtopographic variation in post-agricultural forests may represent a greater hindrance to plant establishment than changes in mean environmental conditions. Among the three fern species, establishment rates differed as species distributions would predict, with the strongest colonizer consistently having the highest rates and the slowest colonizer the lowest. Rather than random or trait-mediated dispersal, the different distributions of these species reflect life history traits that determine establishment rates and thus colonization ability. This case study demonstrates that ecological interactions based on the unique life histories of individual species can override dispersal in determining species distributions. © 2007 by the Ecological Society of America.",63,Journal,ar,Article,100,1,1,Colonization | Dispersal | Diversity | Environmental heterogeneity | Establishment | Ferns | Land-use history | Life history | Population dynamics | Recruitment | Restoration | Succession,20308,undefined,0,FALSE,NA,NA,10,18229844,NA,NA
