@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/85053940333,SCOPUS_ID:85053940333,2-s2.0-85053940333,"Cellulolytic ability of a promising Irpex Lacteus (Basidiomycota: Polyporales) strain from the subtropical rainforest of Misiones province, Argentina",Giorgio E.M.,Revista de Biologia Tropical,00347744,22152075,66,3,1034-1045,2018-09-01,September 2018,10.15517/rbt.v66i3.30589,"The cellulolytic activity of fungi growing in the subtropical rainforest of Misiones (Argentina) represents a challenge in the technological development of the production of cellulosic bioethanol in the region using native sources. These fungi are promising to obtain sustainable enzyme cocktails using their enzymes. Cellulolytic ability of 22 white-rot fungi isolated from the subtropical rainforest of Misiones-Argentina in agar medium with two types of cellulosic substrates, carboxy-methylcellulose or crystalline cellulose, were comparatively analyzed, and the activity of two cellulolytic enzymes was evaluated in liquid medium. Although all isolates were able to grow and degrade both substrates in agar medium, and to produce total cellulase Filter paper (FPase) and endo-β-1,4-glucanase (EG) activities in broth, the isolate Irpex sp. LBM 034 showed the greatest enzymatic levels (FPase, 65.45 U L-1; EG, 221.21 U L-1). Therefore, the ITS sequence of this fungus was sequenced and analyzed through a phylogenetic analysis. These results indicate that the isolate LBM 034, corresponding to Irpex lacteus, has a promising cellulolytic ability and enzymes such as EG useful in sustainable saccharification of cellulosic materials in the region.",2,Journal,ar,Article,100,5,5,4-glucanase | Cellulases | Endo-β-1 | FPase | Irpex lacteus | White-rot fungi,13567,ANPCyT,16Q486,Agencia Nacional de Promoción Científica y Tecnológica,1,TRUE,all,All Open Access,1
true,https://api.elsevier.com/content/abstract/scopus_id/85053940186,SCOPUS_ID:85053940186,2-s2.0-85053940186,Geographical context of forgotten amphibians: Colombian “Data Deficient species” sensu IUCN,Román-Palacios C.,Revista de Biologia Tropical,00347744,22152075,66,3,1272-1281,2018-09-01,September 2018,10.15517/rbt.v66i3.30818,"Whereas more than 10% of global amphibian richness is known to occur in Colombia, almost 16% of these species are currently classified as Data Deficient according to the IUCN. These estimates suggest that the available data for a large portion of amphibians occurring in Colombia is insufficient to assess extinction risk. Here we aim to (1) review the available information on the distribution of the Colombian Data Deficient (DD hereafter) amphibians, (2) analyze their geographic distribution, and (3) evaluate the relationship between anthropogenic impact and their current conservation status. For this, we first compiled geographical records for the DD amphibian species using primary sources. Geographical records were obtained mainly from taxonomic descriptions and non-systematic surveys. We then estimated the geographical range and inferred the potential distribution for each species using letsR and MaxEnt, respectively. We quantified the human footprint for each species and tested the relationship between spatial distribution and anthropogenic change across populations. Analyses are here based on 128 of the 129 DD amphibian species that occur in Colombia. We found that most of these species were recently described and have small geographic ranges. A large proportion of these DD amphibians inhabit the Colombian Andes, and their populations have been strongly affected by human activities. Overall, the spatial clustering suggests that many of these species have faced similar environmental and anthropogenic pressures that have contributed to their rareness. We also suggest that the conservation status for several of the analyzed DD amphibians should be changed to account for the threats they face.",0,Journal,ar,Article,100,2,2,Andes | Anura | Caudata | Conservation | Human footprint | MaxEnt,13567,UA,501100002322,University of Arizona,1,TRUE,all,All Open Access,2
true,https://api.elsevier.com/content/abstract/scopus_id/85053933070,SCOPUS_ID:85053933070,2-s2.0-85053933070,"Current knowledge of earthworm richness and distribution in Santa Fe Province, Argentina",Masin C.,Revista de Biologia Tropical,00347744,22152075,66,3,1171-1181,2018-09-01,September 2018,10.15517/rbt.v66i3.31010,"Updated list of earthworms (Oligochaeta: Lumbricina) from Santa Fe (Argentina) is presented in this work, including current data of species richness and territorial distribution status and information collected by Ljungström and collaborators 40 years ago. Field samplings were conducted between 2012 and 2015 at 23 sites, located in 11 of the 19 districts of the province. Earthworms were collected following a standard methodology. The conservation of specimens was done with 4% formalin solution and their identification was performed according to taxonomy keys. Richness, similarity and complementarity of species between the phytogeographic provinces were analyzed. A total of 15 earthworm species were identified and grouped into ten genera and five families: Acanthodrilidae (Dichogaster bolaui, Microscolex dubius), Glossoscolecidae (Glossodrilus parecis), Lumbricidae (Aporrectodea caliginosa, Aporrectodea rosea, Aporrectodea trapezoides, Bimastos parvus, Eisenia fetida, Octolasion tyrtaeum), Megascolecidae (Amynthas gracilis, Amynthas morrisi, Metaphire californica), Ocnerodrilidae (Eukerria saltensis, Eukerria rosae, Eukerria stagnalis). From all the species found five, G. parecis, E. saltensis, E. rosea, E. stagnalis and M. dubius, are native to South America, and the rest were introduced from Asia and Europe. The Espinal presented the greatest richness of earthworms (12), while the Pampeana showed high values of complementarity (greater than 70%) with the Chaco Húmedo and Valle de Inundación del Río Paraná. Endogeic species were present in all environments surveyed. In particular, the exotic species A. trapezoides and A. morrisi showed a wide geographical distribution, having been found at 70 and 50%, respectively, of the total number of the studied sites. One species, E. rosea, which is in the list, was not recorded in the sampling of 40 years ago. The results of current survey show that the number of species was lower compared to study by Ljungström and collaborators (60% of the 23 species registered). Possibly the remarkable change in the richness and distribution of earthworms could be a process associated with changes in soil use and land management developed over 40 years.",1,Journal,ar,Article,100,4,4,Argentina | Biodiversity | Lumbricina | Native and exotic species | Oligochaeta | Santa Fe,13567,NA,undefined,NA,1,TRUE,all,All Open Access,3
true,https://api.elsevier.com/content/abstract/scopus_id/85053928505,SCOPUS_ID:85053928505,2-s2.0-85053928505,"Cattle raising influence over the aquatic macroinvertebrates in microbasins of central Andes, Colombia",Ramírez Y.,Revista de Biologia Tropical,00347744,22152075,66,3,1244-1257,2018-09-01,September 2018,10.15517/rbt.v66i3.30316,"In Colombia, livestock activity is of great importance for the rural economy and the country’s food supply. In order to measure the impact of cattle raising and riparian corridors on the composition and diversity of benthic macroinvertebrates in Andean microbasins, nine headwater streams were selected in the municipality of Villamaría (Caldas, Colombia), five of them with riparian corridors and four without protection. During July 2013, macroinvertebrate samples were collected using D-net and Surber nets, and each streams was characterized according to water quality, channel metrics and habitat quality score. In total 98 934 individuals were collected, distributed in nine classes, 17 orders, 56 families and 92 genera. Veneroidea was the most abundant order followed by Trichoptera, Diptera, Tubificida and Ephemeroptera. Coleoptera was the richest order with 28 genera, followed by Diptera with 18, Trichoptera with 11, Ephemeroptera with 10 and Odonata with 8. Streams with riparian corridors were deeper, had higher proportion of coarse substrates and Habitat Quality Score and presented higher genus diversity than those unprotected (P < 0.05). The genera Ferrisia, Eurygerris, Heleobia and Pisidium; total nitrogen, ammonia nitrogen and silt proportion on the streambed were correlated with unprotected streams, whilst the genus Rhagovelia, the subfamily Chironominae, the Habitat Quality Score and the proportion of coarse substrates were correlated with streams with riparian corridors. This information confirms that riparian corridors help reducing the negative impact generated by cattle ranching practices and improve the provision of environmental services, and therefore it is recommended to maintain or restore the strip of riparian vegetation to protect the streams in cattle ranching landscapes.",5,Journal,ar,Article,100,5,5,Benthos | Microbasins | Riparian corridors | Water quality,13567,COLCIENCIAS,undefined,"Departamento Administrativo de Ciencia, Tecnología e Innovación",1,TRUE,all,All Open Access,4
true,https://api.elsevier.com/content/abstract/scopus_id/85053925708,SCOPUS_ID:85053925708,2-s2.0-85053925708,"Insect galls from Córdoba, Argentina: A case where stem galls predominate",Kuzmanich N.,Revista de Biologia Tropical,00347744,22152075,66,3,1135-1148,2018-09-01,September 2018,10.15517/rbt.v66i3.31947,"Galls are structures produced by plants in response to the activity of several types of organisms. Gall-inducing species have a close relationship with their host plant, as their habitat is largely restricted to the gall and the plant organ in which it develops. All plant organs are susceptible to gall induction by insects, the leaves being the most vulnerable. Knowledge about interactions between gall-inducing insects and plants is fragmented and incomplete in Argentina. In this study, we completed an inventory of galls induced by insects on plants in Córdoba (central Argentina) using information from field surveys and a review of the literature. We also focused on the frequency of plant-insect taxonomic associations and plant organs most commonly attacked by gall-inducing insects. Field surveys were performed systematically in 26 sites of Chaco Serrano, which were visited five times in two consecutive years, and in 17 sites of the province, which were sampled one or two times each. A comprehensive literature search of electronic and conventional databases was also conducted to complete the inventory. A total of 99 gall morphospecies on 58 plant species (21 families and 44 genera) were recorded through both field surveys and a literature review, enlarging the list of species available for the region by almost 50%. Asteraceae and Fabaceae were the plant families most attacked by galling insects, in partial concordance with the most species-rich plant families in the region. Diptera, particularly the family Cecidomyiidae, was the most species-rich group in the community of galling insects, which is in agreement with different studies across the globe. Baccharis was the genus displaying the highest number of gall morphotypes, followed by Acacia, Condalia, Geoffroea, Prosopis and Schinus. Almost 60% of the morphotypes were stem galls, a pattern uncommon in the literature. Fusiform and globoid-shaped galls were predominant. Our study highlights the scarce knowledge there is about the interactions between plants and gall-inducing insects in Argentina, particularly those involving species of Cecidomyiidae, with more than 30 undescribed species. Possible mechanisms involved in the predominance of stem galls in central Argentina are discussed.",2,Journal,ar,Article,100,3,3,Asteraceae | Cecidogenous insects | Cecidomyiidae | Insect-plant interactions | Species inventory,13567,UNC,undefined,Universidad Nacional de Córdoba,1,TRUE,all,All Open Access,5
true,https://api.elsevier.com/content/abstract/scopus_id/85053923809,SCOPUS_ID:85053923809,2-s2.0-85053923809,"The effect of seasonal and human pressure on macrobenthic fauna in the Caroni Swamp Ramsar Site, Trinidad and Tobago",Kanhai A.,Revista de Biologia Tropical,00347744,22152075,66,3,1101-1117,2018-09-01,September 2018,10.15517/rbt.v66i3.31419,"Human pressures have placed many tropical estuaries in developing countries under increased levels of stress. The Caroni Swamp Ramsar Site, the largest mangrove swamp along the west coast of Trinidad, has been subjected to high levels of anthropogenic impacts including hydrological alteration and pollution from land-based sources since the 1920’s. While most of these impacts have been well documented, limited information exists on the macrobenthic communities in the swamp. This study addresses the paucity of information. The macrobenthic fauna in the main waterways of Caroni Swamp was sampled at 12 locations using a Van Veen 0.025 m2 grab, once in the dry (April) and wet (August) season of 2015 with a total of 144 samples. The samples were sorted, counted and species were identified to the lowest possible taxonomic level. A total of 55 taxa were identified with polychaetes being the most abundant taxa. The ecological status of the macrobenthos was assessed using AZTI’s Marine Biotic Index (AMBI) and the multivariate-AMBI (M-AMBI). Physicochemical parameters were measured with a YSI multiparameter metre. Chemical analyses were also conducted on nitrates, nitrites, ammonia and reactive phosphates using standard methods. Overall, AMBI characterised the Caroni Swamp as “slightly disturbed” with a macrobenthic community of “poor” ecological status according to M-AMBI. Generally, the quality of the environment improves from the dry season to the wet season. However, seasonal variations in AMBI and M-AMBI were found to be site specific as some showed improvement in ecological status and macrozoobenthos quality while others showed degradation from the dry season to the wet season. The stations to the North of the swamp showed improvement from the dry season to the wet season while the opposite was observed in the more Southern stations. One notable characteristic of the swamp was the high levels of pollutants, particularly ammonia, recorded in one of its major waterways, the Caroni River. This is in contrast to the other waterways within the swamp which experience much lower levels of pollutant input from land-based sources. The assessment of the Caroni Swamp using AMBI and M-AMBI may be useful for informing management strategies to conserve the wetland and improve environmental quality.",3,Journal,ar,Article,100,2,2,Caroni Swamp | Ecological status | Environmental quality assessment | Macrozoobenthos,13567,NA,undefined,NA,1,TRUE,all,All Open Access,6
true,https://api.elsevier.com/content/abstract/scopus_id/85053920546,SCOPUS_ID:85053920546,2-s2.0-85053920546,Antimicrobial activity of four Valeriana (Caprifoliaceae) species endemic to the Venezuelan Andes,Rondón M.,Revista de Biologia Tropical,00347744,22152075,66,3,1282-1289,2018-09-01,September 2018,10.15517/rbt.v66i3.30699,"Valeriana L. genus is represented in Venezuela by 16 species, 9 of these are endemic of Venezuelan Andes growing in high mountains at 2 800 masl. In this investigation, four species were analyzed in order to determine the main secondary metabolites and antimicrobial activity of extracts obtained from aerial parts of Valeriana parviflora, V. rosaliana, V. triplinervis and V. phylicoides. Alkaloids, flavonoids, tannins, sterols, triterpenoids and saponins were qualitatively observed in all methanolic extracts tested. The color intensity or a precipitate formation was used as analytical response to these tests. Antimicrobial activity was evaluated against Gram positive, Gram negative bacterial strains and yeast, using disc diffusion method. N-hexane extracts of V. triplinervis and V. rosaliana showed the highest efficiency against Staphylococcus aureus, exhibiting inhibition zones of 16 mm and 15 mm; MIC (Minimal Inhibition Concentration) values were observed at 116 mg/mL and 150 mg/mL, respectively. Dichloromethane and methanolic extracts of V. triplinervis and methanolic extract of V. rosaliana showed a rather moderate activity (MIC between 200 to 316 mg/ml) but a very weak antibacterial activity was observed in V. phylicoides and V. parviflora extracts (MIC > 420 mg/mL). None of the extracts assayed in this investigation showed any activity against Candida albicans and Candida krusei. Statistical analysis showed no significant differences on the different polarity extracts assayed with respect to antimicrobial activity against S. aureus (P > 0.10), however it was observed significant differences between the Valeriana species analyzed (P < 0.10) in relation to the minimal inhibitory concentration (MIC).",2,Journal,ar,Article,100,7,7,Antimicrobial activity | Phytochemical | Valeriana | Venezuela,13567,Uniandes,FA-528-12-08,Universidad de los Andes,1,TRUE,all,All Open Access,7
true,https://api.elsevier.com/content/abstract/scopus_id/85053917652,SCOPUS_ID:85053917652,2-s2.0-85053917652,Growth-promoting rhizobacteria from Guarianthe skinneri (Orchidaceae),Díaz T.A.,Revista de Biologia Tropical,00347744,22152075,66,3,953-968,2018-09-01,September 2018,10.15517/rbt.v66i3.30638,"The Guarianthe skinneri orchid is included in NOM-059-ECOL-2010, Mexico standard as an endangered species. In order to study PGPR (promoting growth plant rhizobacteria) from this orchid, 10 roots were collected from different plants to isolate bacteria associated with the roots, which were analyzed by in vitro tests such as: production of AIA, nitrogen fixation, interaction with the mycorrhizal fungus Thanatephorus sp. strain RG26 and phosphate solubilization. We obtain 71 bacterial isolates, 10 strains of them were characterized by sequencing with the 16d rDNA marker identifying six bacteria: Sphingomonas sp. Sinorhizobium sp. Bacillus sp. Nocardia cerradoensis, Bacillus megaterium and Burkholderia phytofirmans. We observed that the bacterium Sinorhizobium sp. produced a greater amount of AIA (69.189 μg/ml) and Bacillus sp. performed greater acetylene reduction (10.251 nmol cultivo/96h). In the interactions of the bacteria and the fungus RG26, four categories were presented (extremely positive, positive, antagonism 50-50 and inhibition). In relation to the solubilization of phosphate, Burkholderia phytofirmans presented higher IS after 48 and 96 hr with an IS of 3.11 and 3.48, respectively. The results indicate that Bacillus sp. it could have the best characteristics to promote the development of the G. skinneri orchid by inoculating seeds and seedlings.",1,Journal,ar,Article,100,6,6,Antagonism | Bacillus sp | Indoleacetic acid | Nitrogen fixation | Phosphate solubilization,13567,CONACYT,573959,Consejo Nacional de Ciencia y Tecnología,1,TRUE,all,All Open Access,8
true,https://api.elsevier.com/content/abstract/scopus_id/85053917094,SCOPUS_ID:85053917094,2-s2.0-85053917094,Production of fruits of Gleditsia amorphoides (Fabaceae) and abundance of Bruchidius endotubercularis Arora (Coleoptera: Chrysomelidae) during three consecutive years in the Southeast of the Formosa Province (Argentina),Godoy M.,Revista de Biologia Tropical,00347744,22152075,66,3,1046-1054,2018-09-01,September 2018,10.15517/rbt.v66i3.30791,"Gleditsia amorphoides (Griseb.) Taub. is a tree species native to South America. It is known for its good quality wood and for its fruits that contain a rubber for industrial uses. One of the causes for the reduction of the production of viable seeds in forest trees is the damage caused by predators of fruits and seeds. The relationship between fruit production and predators is not known for G. amorphoides. Therefore, in this study, we evaluated the fruit production in this three species and the abundance of specimens of the Subfamily Bruchinae associated to G. amorphoides. The study was carried out in three localities of the Formosa Province in the Northeast of Argentina for three consecutive years. We found a single species of Bruchinae, identified as Bruchidius endotubercularis Arora. The results showed the existence of variability in the production of G. amorphoides fruits between years, but not between locations. The abundance of insects remained constant, not responding to the variation in the production of fruits between years. In this study, we report for the first time, the occurrence of B. endotubercularis associated with G. amorphoides in Argentina.",2,Journal,ar,Article,100,3,3,Argentina | Bruchinae | Espina corona | Fruits | Gleditsia amorphoides,13567,NA,undefined,NA,1,TRUE,all,All Open Access,9
true,https://api.elsevier.com/content/abstract/scopus_id/85053917064,SCOPUS_ID:85053917064,2-s2.0-85053917064,Microencapsulated diets for tropical gar (Atractosteus tropicus) larviculture,de Rodrigáñez M.S.,Revista de Biologia Tropical,00347744,22152075,66,3,1298-1313,2018-09-01,September 2018,10.15517/rbt.v66i3.31727,"Tropical gar is an important species for aquaculture purposes in Southeast Mexico. Several studies regarding nutrition and digestive physiology have been done; however, the use of microcapsules for larvae feeding to improve growth and survival has not been conducted. In this sense, four microencapsulated diets were evaluated with respect to the growth and survival of tropical gar Atractosteus tropicus larvae. The treatments consisted of four experimental diets and one control diet 1) fish meal, 2) a combination of pork and poultry meals, 3) Nannochloropsis gaditana meal, 4) enzyme preparation and the control treatment 5) Artemia nauplii. The evaluation indicated that the larvae fed the Artemia nauplii obtained the greatest growth and survival (3.93 cm, 0.19 g y 82% respectively), which justifies a correct culture system operation. While larvae fed microencapsulated diets best values in survival were observed with diets Nannochloropsis gaditana and enzyme preparation (20.0 and 19.2%). Our results showed that microencapsulated could be used to feed A. tropicus in feasibly form. However, more information concerning to optimize the design and manufacturing are required to improve the growth and survival of organisms.",2,Journal,ar,Article,100,9,9,Aquaculture | Growth | Larvae | Microencapsulated diets | Survival,13567,UJAT,290604,Universidad Juárez Autónoma de Tabasco,1,TRUE,all,All Open Access,10
