@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/33845541574,SCOPUS_ID:33845541574,2-s2.0-33845541574,Sink habitats can alter ecological outcomes for competing species,Schreiber S.,Journal of Animal Ecology,00218790,13652656,74,6,995-1004,2005-11-01,November 2005,10.1111/j.1365-2656.2005.00996.x,"1. Species often compete for breeding sites in heterogeneous landscapes consisting of sources and sinks. To understand how the presence or absence of sink breeding sites influence ecological outcomes, we extend Pulliam's source-sink model to competing species. 2. In a homogeneous landscape consisting of source sites, we prove that one species, the 'superior' competitor, competitively excludes the other. Dominance is determined by a simple rule: the species that at equilibrium acquires new breeding sites at a faster rate dominates. 3. We prove that the inclusion of sink sites can alter this ecological outcome by either mediating coexistence, reversing competitive dominance, or facilitating a priority effect. 4. Sink-mediated coexistence requires the species to exhibit asymmetries in acquiring sink sites, the 'inferior' species to have a competitive advantage on sink sites and the ratio of sink to source sites be sufficiently low. 5. For example, if the sink breeding sites are competitive refuges for the 'inferior' competitor and not too low in quality, coexistence occurs if the number of sink sites lies below a threshold. Alternatively, when the number of sink sites exceeds this threshold, competitive dominance is reversed and the 'superior' competitor is displaced. 6. Counter-intuitively, despite being unable to support species in isolation, sink habitats embedded in a geographical mosaic of sources and sinks can enhance biodiversity by mediating coexistence or alter species composition by reversing competitive interactions. © 2005 British Ecological Society.",13,Journal,ar,Article,100,2,2,Competition | Population dynamics | Sink-mediated coexistence,29544,undefined,1,TRUE,all,All Open Access,1
true,https://api.elsevier.com/content/abstract/scopus_id/33845531298,SCOPUS_ID:33845531298,2-s2.0-33845531298,Genetic and spatial structure within a swift fox population,Kitchen A.,Journal of Animal Ecology,00218790,13652656,74,6,1173-1181,2005-11-01,November 2005,10.1111/j.1365-2656.2005.01017.x,"1. We incorporated spatial data on swift foxes (Vulpes velox) with genetic analysis to assess the influence of relatedness between individuals on their social and spatial ecology. We recorded the space use patterns of 188 radio-collared swift foxes in south-eastern Colorado from January 1997 to December 2000. One hundred and sixty-seven foxes were also genotyped at 11 microsatellite DNA loci and the degree of relatedness between individuals was estimated. 2. We described the genetic structure of the population by examining the relatedness of neighbours and the relationship between the spatial and genetic distance of all individuals. We found that close kin appeared to cluster within the population. Neighbours were significantly more related (mean R = 0.089 ± 0.01) than non-neighbours (mean R = 0.003 ± 0.01; randomization test, P < 0.0002). Female clusters were more extensive than male clusters. 3. The degree of genetic relatedness among foxes was useful in explaining why foxes tolerated encroachment of their home ranges by neighbours; the more closely related neighbours were, the more home-range overlap they tolerated (Mantel test, P = 0.0004). Foxes did not appear to orientate their home ranges to avoid neighbours and home ranges overlapped by as much as 54.77% (x = 14.13% ± 0.41). Neighbours also occasionally engaged in concurrent den sharing. 4. Relatedness influenced the likelihood that an individual would inherit a newly vacated home range, with a mean relatedness of range inheritors to previous owners of 0.333 ± 0.074. Thus, the genetic structure of the population and interactions between kin were interrelated to space-use patterns and social ecology of the swift fox. © 2005 British Ecological Society.",42,Journal,ar,Article,100,5,5,Kin clusters | Relatedness | Social tolerance | Space use patterns | Swift fox,29544,undefined,0,FALSE,NA,NA,2
true,https://api.elsevier.com/content/abstract/scopus_id/33845528309,SCOPUS_ID:33845528309,2-s2.0-33845528309,Reduced foraging efficiency of a parasitoid under habitat complexity: Implications for population stability and species coexistence,Gols R.,Journal of Animal Ecology,00218790,13652656,74,6,1059-1068,2005-11-01,November 2005,10.1111/j.1365-2656.2005.01003.x,"1. Habitat complexity may stabilize interactions among species of different trophic levels by providing refuges to organisms of lower trophic levels. 2. Searching behaviour of the parasitoid, Diadegma semiclausum, was followed in different semifield set-ups, a low and high-density monoculture of Brassica oleracea and two intercrops, B. oleracea with Sinapis alba (also a member of the Brassicaceae) and B. oleracea with Hordeum vulgare (Poaceae). 3. When a low-density monocrop of B. oleracea was compared with a high-density monocrop, no differences were found in the ability of the female wasps to locate a host-infested plant, B. oleracea, infested with Plutella xylostella that was placed in the centre of the set-up. 4. The efficiency of the parasitoid to locate the host-infested plant was differentially affected by the species composition of the vegetation. Wasps entered the Sinapis-Brassica set-up faster, but took more time to find the host-infested plant than in the Hordeum-Brassica set-up. 5. The horizontal arrangement, i.e. by mixing S. alba or H. vulgare with, or placing them as rows between B. oleracea, did not affect host-finding efficiency. 6. Plant height did influence host finding. Wasps found the host-infested plants earlier in the set-up with short Sinapis plants compared with tall Sinapis plants. 7. Once the wasps had landed on the host-infested plant, the surrounding vegetation did not affect time needed to parasitize five consecutive hosts on the same infested plant, regardless of the composition or horizontal/vertical arrangement of the set-up. 8. Chemical and structural refuges in complex landscapes may play an important role in the persistence of this system through dampening oscillations of parasitoid and host populations. © 2005 British Ecological Society.",82,Journal,ar,Article,100,6,6,Crucifers | Diadegma semiclausum | Plutella xylostella | Proportional hazards model | Refuges,29544,undefined,0,FALSE,NA,NA,3
true,https://api.elsevier.com/content/abstract/scopus_id/33845524010,SCOPUS_ID:33845524010,2-s2.0-33845524010,Interspecific variation in antipredator behaviour leads to differential vulnerability of mule deer and white-tailed deer fawns early in life,Lingle S.,Journal of Animal Ecology,00218790,13652656,74,6,1140-1149,2005-11-01,November 2005,10.1111/j.1365-2656.2005.01014.x,"1. Ungulates are viewed as being highly susceptible to predation during the initial weeks or months of life. Yet aggressive defence by adult females is common in many ungulates and has the potential to reduce the vulnerability of the young significantly. 2. We observed naturally occurring predatory encounters between coyotes Canis latrans Say and deer fawns to test the hypothesis that a difference in aggressive defence leads to the differential vulnerability of mule deer Odocoileus hemionus Rafinesque and white-tailed deer O. virginianus Zimmermann fawns in summer, when fawns are 0-14 weeks in age. Whitetail fawns suffer higher levels of coyote predation than do mule deer fawns at that time. The two species of deer are similar in size, but are known to differ in their antipredator behaviour in winter when fawns are older. 3. Coyotes were less likely to attack mule deer than whitetail fawns they encountered, and were less likely to kill mule deer than whitetail fawns they attacked. 4. The presence of a mule deer, but not a whitetail, female with a fawn deterred coyotes from attacking the fawn. Once attacked, fawns of both species were less likely to be killed when females defended them, but mule deer females were far more likely to defend fawns. 5. Mule deer females defended fawns that were not their own offspring, including heterospecific fawns. Mule deer fawns were more likely to be defended if they had a larger number of females nearby when encountered. These observations raise the possibility that mule deer, and even whitetail, fawns may have improved survival in areas with higher densities of mule deer females. 6. These results show that higher levels of defence by mule deer females reduced the vulnerability of mule deer fawns, contributing to the lower predation rates reported for mule deer than for whitetail fawns of this age group. © 2005 British Ecological Society.",51,Journal,ar,Article,100,3,3,Aggressive defence | Cooperation | Predation risk | Temporal variation | Vulnerability,29544,undefined,0,FALSE,NA,NA,4
true,https://api.elsevier.com/content/abstract/scopus_id/33845479393,SCOPUS_ID:33845479393,2-s2.0-33845479393,The natal dispersal of tree swallows in a continuous mainland environment,Winkler D.W.,Journal of Animal Ecology,00218790,13652656,74,6,1080-1090,2005-11-01,November 2005,10.1111/j.1365-2656.2005.01007.x,"1. To minimize study-area artefacts in a study of natal dispersal distances in tree swallows, we intensively banded nestlings and adults in nest-boxes in upstate New York and recruited and trained 70 volunteer banders within a 400 km radius of Ithaca. We banded 26 567 nestlings in the years 1985 through 1998, and captured 4774 adults at the nest, 630 of which had been banded as nestlings and were recaptured the year after fledging. 2. To correct for spatial variation in capture intensity, we resampled the distribution of all boxes where an adult capture was made under uniform, exponential and Cauchy null hypotheses. Compared to the null distributions, the frequency of observed dispersal events was significantly higher at 0-10 km and lower for all larger dispersal distances. The Cauchy distribution came closest to approximating the observed dispersal distance distribution. 3. Dispersal distances were sensitive to the distribution of nesting sites, and all measurements of dispersal distance distributions must be seen as being habitat-specific. We could detect no effect of dispersal distance on the subsequent timing of breeding and no effect of the timing of fledging on dispersal distance. The sexual differences in raw mean dispersal distances (8·38 km for females, 2·44 km for males) are similar to those reported for other species. 4. While it is tempting to conclude that studies in smaller areas have not missed a great deal, even a study area of 10 km extent (substantially larger than most) would have missed 11% of the dispersing birds detected and 95% of the range of distances recorded. Despite this sizeable component that would have been missed with a smaller study area, the relatively low frequencies of long-distance dispersal overall reinforce the conclusion that tree swallows, and probably most other migratory passerines, generally disperse much less far from their natal sites than the distances of their annual migrations might lead one to expect. © 2005 British Ecological Society.",69,Journal,ar,Article,100,7,7,Bird | Dispersal distance distribution | Life history | Natal dispersal | Swallow,29544,undefined,1,TRUE,all,All Open Access,5
true,https://api.elsevier.com/content/abstract/scopus_id/33845370880,SCOPUS_ID:33845370880,2-s2.0-33845370880,Predation of beech seed by mice: Effects of numerical and functional responses,Ruscoe W.A.,Journal of Animal Ecology,00218790,13652656,74,6,1005-1019,2005-11-01,November 2005,10.1111/j.1365-2656.2005.00998.x,"1. The functional response of post-dispersal seed predators (house mouse, Mus musculus) to absolute densities of southern beech seed (Nothofagus solandri var. cliffortioides) was studied in laboratory and field trials. House mice showed a Type II (hyperbolic) functional response to seed availability and this was not modified by the presence of an alternative food source. 2. Maximum daily intake rate of beech seeds during field trials averaged 1042 seeds mouse(-1). This is sufficient to provide house mice with both the energy and protein required for growth and reproduction. 3. We explicitly incorporated the functional response into the numerical response of house mice to beech seed, measured for field populations monitored in a New Zealand beech forest. House mice showed a strong numerical response to beech seed intake rate that was modified by some density-dependent mechanism(s). 4. We developed a model that simulated seedfall, house mouse population growth and seed reserve depletion over one year. We found that the previously reported decline in house-mouse populations in beech forests during spring and summer is likely to be related to spring beech seed germination that renders seed no longer available as a food source for house mice. 5. From our simulation model it does not appear that house-mouse populations can completely eat-out beech seed reserves prior to germination in a year of large seedfall. 'Masting' behaviour in New Zealand native beech trees is therefore sufficient to satiate an eruptive population of an exotic mammalian omnivore, despite the lack of a long co-evolutionary interaction. © 2005 British Ecological Society.",43,Journal,ar,Article,100,4,4,Mus musculus | Nothofagus solandri var. cliffortioides | Predator satiation | Simulation model,29544,undefined,0,FALSE,NA,NA,6
true,https://api.elsevier.com/content/abstract/scopus_id/33750008960,SCOPUS_ID:33750008960,2-s2.0-33750008960,The strength of trophic cascades across ecosystems: Predictions from allometry and energetics,Shurin J.,Journal of Animal Ecology,00218790,13652656,74,6,1029-1038,2005-11-01,November 2005,10.1111/j.1365-2656.2005.00999.x,"1. Top-down control of trophic structure is often highly variable both within and among ecosystems. We explored the roles of relative body sizes of predators and prey, their metabolic types, the production-to-biomass ratio (P : B) of plants, and system productivity in determining the strength of the indirect effects of predators on plants. 2. We used a well-studied food chain model with three trophic levels that is parameterized based on allometric relationships for rates of ingestion and metabolic efficiency. The model predicts that invertebrate and ectotherm predators and herbivores should propagate cascades to a greater degree than vertebrates and endotherms because of their higher metabolic efficiency. 3. Increasing the herbivore-to-plant body-size ratio strengthened the effects of cascades, while predator body-size was predicted to have no effect. Increasing system productivity or plant P : B magnified cascades. Because herbivore : plant body size ratios and plant P : B are both generally greater in aquatic than terrestrial systems (especially those with unicellular producers), the model predicts stronger cascades in water than on land. This prediction is supported by a recent cross-system comparison of trophic cascade experiments. 4. We discuss features of natural systems that are not incorporated into the model and their implications for the intensity of trophic cascades across ecosystems. © 2005 British Ecological Society.",83,Journal,ar,Article,100,2,2,Allometry | Cross-system comparison | Indirect effects | Metabolic rate | Population dynamic equations | Production | Top-down control | Trophic structure,29544,undefined,1,TRUE,all,All Open Access,7
true,https://api.elsevier.com/content/abstract/scopus_id/33745557947,SCOPUS_ID:33745557947,2-s2.0-33745557947,Biased estimates of fitness consequences of brood size manipulation through correlated effects on natal dispersal,Tinbergen J.M.,Journal of Animal Ecology,00218790,13652656,74,6,1112-1120,2005-11-01,November 2005,10.1111/j.1365-2656.2005.01010.x,"1. Dispersal of parents and offspring in relation to manipulated brood size were analysed in the great tit Parus major (L.) to study the potential confusion between dispersal and survival. The study area consisted of eight woodlots interspersed with nonbreeding habitat. The maximum distance between nestboxes was 10 km. 2. The brood size of pairs with similar clutch size and laying date was manipulated in 3 years when chicks were 2 days old (1995, 1997 and 1998). Three nestlings were removed from one and added to another brood while a third was kept as a control. Offspring were measured, weighed and marked and breeding birds were captured and marked to allow dispersal estimates. 3. For the offspring, dispersal was estimated as the distance between the natal nestbox and the nestbox of first breeding (natal dispersal distance) and, for the parents, as the distance between breeding boxes in two subsequent seasons (breeding dispersal distance). 4. Natal dispersal distance was positively affected by brood size manipulation. This effect was more pronounced in males than in females. Breeding dispersal distance was not affected by manipulation. 5. The practical consequence of this finding is that fitness estimates used to measure selection on brood size did depend on the spatial scale of the study area. For the Lauwersmeer population measured selection pressure changed from positive to stabilizing when I restricted the spatial scale of recovery. Other brood size manipulation experiments may suffer from similar biases in their fitness estimates. 6. The biological consequence of this finding is that, if clutch size has a heritable component, local adaptation of clutch size will depend on the spatial heterogeneity of the habitat. © 2005 British Ecological Society.",41,Journal,ar,Article,100,1,1,Brood size manipulation | Dispersal | Fitness | Parus major | Selection,29544,undefined,1,TRUE,all,All Open Access,8
true,https://api.elsevier.com/content/abstract/scopus_id/33745263194,SCOPUS_ID:33745263194,2-s2.0-33745263194,Helping enhances multiple components of reproductive success in the cooperatively breeding apostlebird,Woxvold I.,Journal of Animal Ecology,00218790,13652656,74,6,1039-1050,2005-11-01,November 2005,10.1111/j.1365-2656.2005.01001.x,"1. We examined the influence of helpers on reproductive success in the apostlebird using data gathered over three breeding seasons (116 nests, 34 breeding groups). Initially, annual productivity and individual components of reproductive success were examined in relation to group size (two to 17 birds). The effect of helping per se was then examined in a reduced data set by comparing (a) the predictive power of group size and actual helper numbers, and/or (b) the productivity of groups that changed in size between nests or seasons. 2. Group size was positively and linearly related to annual fledgling production and the number of offspring that survived to the following season. This was attributed to the presence of helpers, as the number of birds that fed nestlings, but not group size, was significantly related to annual fledging success. Neither group size nor helper number influenced fledgling survival over the subsequent winter. 3. The probability of re-nesting after a successful first brood increased with group size. Among double-brooded groups, the interval between nests was inversely related to group size. 4. Clutch size increased linearly with group size among groups with two to five birds, but was not related to group size among larger groups. A matched comparison of groups that changed size between years further suggests that clutch size was facultatively adjusted to group size, a phenomenon rarely reported in species with non-breeding helpers. 5. Hatching success was not related to group size or the number of birds participating in incubation. 6. The number of birds provisioning the brood was a better predictor of feeding rate per chick than group size, and was significantly and inversely related to the incidence of nestling starvation. However, there was no relationship between group size and fledgling body mass. 7. Fledging success per brood increased linearly among groups with three to five members. The only case of pair-breeding was unsuccessful, suggesting that this species is one of only a few birds that may be obligately cooperative. 8. We found no evidence that helpers influenced the likelihood of nest predation, or the probability of group members surviving to the following season. © 2005 British Ecological Society.",62,Journal,ar,Article,100,2,2,Brood reduction | Clutch size | Cooperative breeding | Load-lightening | Struthidea cinerea,29544,undefined,1,TRUE,all,All Open Access,9
true,https://api.elsevier.com/content/abstract/scopus_id/33745239988,SCOPUS_ID:33745239988,2-s2.0-33745239988,"Root herbivore effects on above-ground herbivore, parasitoid and hyperparasitoid performance via changes in plant quality",Soler R.,Journal of Animal Ecology,00218790,13652656,74,6,1121-1130,2005-11-01,November 2005,10.1111/j.1365-2656.2005.01006.x,"1. Plants and insects are part of a complex multitrophic environment, in which they closely interact. However, most of the studies have been focused mainly on bi-tritrophic above-ground subsystems, hindering our understanding of the processes that affect multitrophic interactions in a more realistic framework. 2. We studied whether root herbivory by the fly Delia radicum can influence the development of the leaf feeder Pieris brassicae, its parasitoid Cotesia glomerata and its hyperparasitoid Lysibia nana, through changes in primary and secondary plant compounds. 3. In the presence of root herbivory, the development time of the leaf herbivore and the parasitoid significantly increased, and the adult size of the parasitoid and the hyperparasitoid were significantly reduced. The effects were stronger at low root fly densities than at high densities. 4. Higher glucosinolate (sinigrin) levels were recorded in plants exposed to below-ground herbivory, suggesting that the reduced performance of the above-ground insects was via reduced plant quality. Sinigrin contents were highest in plants exposed to low root fly densities, intermediate in plants exposed to high root fly densities and lowest in plants that were not exposed to root herbivory. 5. Our results show, for the first time, that root herbivory via changes in plant quality can reduce the performance of an above-ground multitrophic level food chain. This underlines the importance of integrating a broader range of above- and below-ground organisms to facilitate a better understanding of complex multitrophic interactions and interrelationships. © 2005 British Ecological Society.",182,Journal,ar,Article,100,5,5,Above-below-ground interactions | Cotesia glomerata | Lysibia nana | Pieris brassicae | Plant-insect interactions,29544,undefined,1,TRUE,all,All Open Access,10
