@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:description,authkeywords,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/33750377146,SCOPUS_ID:33750377146,2-s2.0-33750377146,Editorial: All in a day's work,Chazdon R.,Biotropica,00063606,17447429,38,6,709-710,2006-11-01,November 2006,10.1111/j.1744-7429.2006.00225.x,0,Journal,ed,Editorial,100,1,1,13817,undefined,0,FALSE,1,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33750349893,SCOPUS_ID:33750349893,2-s2.0-33750349893,Mesoscale gradients of herb richness and abundance in central Amazonia,Costa F.R.C.,Biotropica,00063606,17447429,38,6,711-717,2006-11-01,November 2006,10.1111/j.1744-7429.2006.00211.x,33,Journal,ar,Article,100,1,1,13817,undefined,0,FALSE,2,"There are few hypotheses to explain local understory diversity patterns. There is a consensus that climate and soil fertility affect understory density and diversity at large scales, but few studies addressed the mechanisms controlling density and diversity locally. Here, I examine patterns of abundance and diversity of three understory herb groups along gradients of soil nutrients and topography at the mesoscale (64 km2) in a wet tropical forest, and possible factors causing them. Herb richness, diversity, density, and cover were measured in fifty-nine 250 x 2 m plots systematically distributed over Reserva Ducke, Manaus. Herb groups responded differently to environmental gradients. Whereas density and cover of pteridophytes increased with altitude and slope, Marantaceae density and cover decreased. Density of sedges increased with altitude, but did not vary with slope. Density and cover of Marantaceae and sedges but not pteridophytes increased with the soil cation content. Pteridophyte richness increased with slope whereas Marantaceae richness decreased, richness of both groups increased with cation content. Diversity increased with altitude for Marantaceae and decreased for pteridophytes. Some of these patterns agree with what is expected from herbs, such as the greater abundance of Marantaceae and sedges in flat and low altitude plots, where water availability is higher and probably also light, and the greater richness of Marantaceae and pteridophytes in higher nutrient plots. The unexpected results of higher abundance and richness of pteridophytes in slopes, instead of in bottomlands, suggest that biotic or litter-mediated controls may be important to set these patterns. © 2006 The Author(s).",Amazon | Competition | Environmental gradients | Establishment windows | Marantaceae | Pteridophytes | Tropical wet forest | Understory plants,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33750346339,SCOPUS_ID:33750346339,2-s2.0-33750346339,A new independently derived social spider with explosive colony proliferation and a female size dimorphism,Avilés L.,Biotropica,00063606,17447429,38,6,743-753,2006-11-01,November 2006,10.1111/j.1744-7429.2006.00202.x,32,Journal,ar,Article,100,3,3,13817,undefined,0,FALSE,3,"Permanent cooperative sociality is rare in spiders. Here we describe sociality in a cobweb (Theridiidae) genus with no other known social species. In five areas of eastern Ecuador, we found nests of Theridion nigroannulatum containing from a single to several thousand adults living together in a communal web. Spiders cooperated in prey capture and shared their food. Subadult to young adult sex ratios were highly female biased, suggesting a strongly subdivided population structure as in other permanent-social spiders. Unusual aspects of T. nigroannulatum's biology include the existence of adult females of two discrete sizes, an extreme boom and bust pattern of colony growth, and the presence, within larger colonies, of populations of a predatory spider (Faiditus spp., Argyrodinae) that may play the role of a colony-level parasite. The existence of females of two sizes may be the result of alternative female reproductive strategies, intracolony competition for resources, or an incipient caste system in this species. A redescription and phylogenetic analysis corroborate the placement of this species in Theridion, indicating that sociality has evolved independently in at least three theridiid genera. © 2006 The Author(s).",Dispersal | Ecuador | Female size dimorphism | Kleptoparasitism | Predator-prey dynamics | Reproductive skew | Sociality | Theridiid phylogeny | Theridion nigroannulatum,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33750335780,SCOPUS_ID:33750335780,2-s2.0-33750335780,The effect of dung and dispersal on postdispersal seed predation of Attalea phalerata (Arecaceae) by bruchid beetles,Rios R.,Biotropica,00063606,17447429,38,6,778-781,2006-11-01,November 2006,10.1111/j.1744-7429.2006.00209.x,26,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,4,"Low postdispersal mortality of palm seeds in tapir dung is hypothesized to result from the mechanical barrier provided by dung against bruchid infestation and/or from the distance to adult palms at which seeds are dispersed. We tested these hypotheses by distributing endocarps of Attalea phalerata Mart. ex Spreng. in experimental dung piles in Beni, Bolivia. Predation rates were significantly lower for seeds covered by dung than for exposed or partially covered seeds, but did not differ between seeds placed below and 50 m away from palms. Thus, dung, not short-distance dispersal, protects seeds against bruchid beetles, and may ultimately promote survival of palm seeds. © 2006 The Author(s).",Attalea phalerata | Bolivia | Bruchids | Postdispersal seed predation | Seed fate | Tropical rain forest islands,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33750316405,SCOPUS_ID:33750316405,2-s2.0-33750316405,"Ant defense versus induced defense in Lafoensia pacari (Lythraceae), a myrmecophilous tree of the Brazilian Cerrado",Korndörfer A.,Biotropica,00063606,17447429,38,6,786-788,2006-11-01,November 2006,10.1111/j.1744-7429.2006.00200.x,47,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,5,"We compared the effects of ant presence at extrafloral nectaries of Lafoensia pacari St. Hil. on herbivore damage and silicon accumulation. Plants that were accessible to ants experienced lower herbivory levels over the first 3 mo of the experiment. After 3 mo, most leaves were fully expanded with inactive extrafloral nectaries; by 6 mo there was no effect of ant access on herbivore damage. Along with experiencing higher herbivory, plants in the ant-exclusion treatment had significantly higher silicon levels in their leaves, suggesting that silicon serves as an induced defense in this ant-plant-herbivore interaction. © 2006 The Author(s).",Cerrado | Extrafloral nectaries | Herbivory | Induced defense | Lafoensia pacari | Silicon,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33750315888,SCOPUS_ID:33750315888,2-s2.0-33750315888,Comparative roosting ecology of Cynopterus (Chiroptera: Pteropodidae) fruit bats in peninsular Malaysia,Campbell P.,Biotropica,00063606,17447429,38,6,725-734,2006-11-01,November 2006,10.1111/j.1744-7429.2006.00203.x,18,Journal,ar,Article,100,5,5,13817,undefined,0,FALSE,6,"Although the use of modified roosts has been reported in more than 20 species of bats in the tropics, comparative studies of the roosting ecology of congeneric tent-roosting species are notably lacking. In the Paleotropics, this unique behavior has been described in two species belonging to the genus, Cynopterus: C. sphinx and C. brachyotis. However, it is not known whether tent roosting is an essential component of their roosting ecology, or whether the behavior is found in other members of the genus. In this study we characterize the roosting ecology of four sympatric species of Cynopterus in peninsular Malaysia and use these data to address two main questions. (1) Do all four species use modified roosts and, in those that do, is tent-roosting obligate or opportunistic? (2) Do species pairs overlap in roost preferences and roosting habitat and, if so, is there evidence for interspecific interactions in relation to these resources? We radio-tracked bats at two floristically distinct sites and located a total of 249 roosts. Interspecific roost niche overlap was minimal at both sites and we found no evidence for interspecific competition for roost resources at the local level. Species differences in roosting ecology were defined primarily by spatial separation of roosting habitats and secondarily by within-habitat differences in roost selection. Importantly, we found that although periodic use of modified roosts was a characteristic shared by all four species, most roosts were unmodified, indicating that tent roosting is a facultative behavior in Malaysian Cynopterus. © 2006 The Author(s).",Cynopterus | Harems | Malaysia | Palms | Radiotelemetry | Roost-selection | Tent roosting,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33750311816,SCOPUS_ID:33750311816,2-s2.0-33750311816,"Discovery of a parasitoid and a predator of bat flies (Diptera: Streblidae) at La Selva, Costa Rica",Shockley F.W.,Biotropica,00063606,17447429,38,6,789-790,2006-11-01,November 2006,10.1111/j.1744-7429.2006.00207.x,4,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,7,"While netting bats to collect streblid bat flies at La Selva Biological Station, Costa Rica, two different natural enemies of streblids were found attacking the bat flies on two species of bats. One was identified as a parasitoid in the hymenopteran family, Braconidae, while the other was a predaceous plant bug in the hemipteran family, Miridae. This is the first description of a natural enemy of streblids being collected in situ (i.e., actively foraging through the hair of the streblid bat host). © 2006 The Author(s).",Bat flies | Bats | Braconidae | Ectoparasites | La Selva | Miridae | Phyllostomidae | Streblidae,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33750299632,SCOPUS_ID:33750299632,2-s2.0-33750299632,Weaver ants increase premature loss of leaves used for nest construction in rhizophora trees,Offenberg J.,Biotropica,00063606,17447429,38,6,782-785,2006-11-01,November 2006,10.1111/j.1744-7429.2006.00206.x,16,Journal,ar,Article,100,5,5,13817,undefined,0,FALSE,8,"Oecophylla ants utilize living leaves when they construct their nests. We investigated how Oecophylla smaragdina nests in southern Thailand affected leaf performance on the mangrove tree Rhizophora mucronata. Leaves used in nests and neighboring leaves showed a higher rate of premature leaf loss compared to control leaves farther from the nests. However, a tree's total cost due to the higher premature leaf loss was estimated to be approximately between 3- and 20-fold lower than the benefit derived from ant protection, detected in a previous study (Offenberg et al. 2004). © 2006 The Author(s).",Ant leaf nests | Ant-plant interaction | Cost/benefit | Mangrove forest | Oecophylla smaragdina | Rhizophora mucronata | Scale insects | Thailand,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33750297790,SCOPUS_ID:33750297790,2-s2.0-33750297790,Seed rain produced by bats and birds in forest islands in a neotropical savanna,Arteaga L.,Biotropica,00063606,17447429,38,6,718-724,2006-11-01,November 2006,10.1111/j.1744-7429.2006.00208.x,21,Journal,ar,Article,100,3,3,13817,undefined,0,FALSE,9,"The high degree of isolation of forest ""islands"" relative to ""continental"" forested areas creates a naturally fragmented landscape in the savanna ecosystem. Because fragmentation can affect the intensity and quality of biological interactions (e.g., seed dispersal) we examined the abundance and species richness of seed rain produced by birds and bats in three different parts of forest islands (center, edge, and exterior) located at the Estación Biológica del Beni, Bolivia. Despite the fact that we found higher species density of seeds in the seed rain at the center of forest islands, when comparing species richness corrected for observed differences in density, species richness was higher at the edge of islands. The three parts of the islands did not differ in total number of seeds. Three genera (Byrsonima, Ficus, and Piper) contributed the most seeds to the seed rain. We found differences in the abundance of dispersed seeds probably because of the variation related with the disturbance line, where the savanna matrix interacts with the forest islands. Carollia perspicillata, Carollia brevicauda, and Sturnira lilium were the bats that contributed most to seed dispersal within forest islands, and Schistochlamys melanopis and Tyranneutes stolzmanni were the most important birds. The movement of seeds produced by bats and birds within forest islands of the savanna is crucial to assure the continuity of ecological process and dynamics of these forest islands. © 2006 The Author(s).",Bats | Birds | Bolivia | Forest island | Neotropical savannas | Seed dispersal | Seed rain,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33750297011,SCOPUS_ID:33750297011,2-s2.0-33750297011,Variation in seedling density and seed predation indicators for the emergent tree Dipteryx panamensis in continuous and fragmented rain forest,Hanson T.,Biotropica,00063606,17447429,38,6,770-774,2006-11-01,November 2006,10.1111/j.1744-7429.2006.00204.x,15,Journal,ar,Article,100,3,3,13817,undefined,0,FALSE,10,"Seedling density and the condition of stony endocarps of the tree Dipteryx panamensis were assessed in protected continuous forest and two forest fragments exposed to hunting and selective logging. Seedling density was higher in forest fragments than in continuous forest, while more whole endocarps and fewer chewed and half endocarps were found in fragments, indicating lower seed predation at fragment sites. These findings appear to contradict two earlier D. panamensis studies and we discuss methodological differences that could account for our disparate results. Hunting and fragmentation effects on mammal populations are suggested as a cause for the altered recruitment pattern in fragments. © 2006 The Author(s).",Costa Rica | Dipteryx panamensis | Forest fragmentation | Hunting | Seed predation | Seedling density | Wet tropical forest,NA,NA,NA,NA
