@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/0021616515,SCOPUS_ID:0021616515,2-s2.0-0021616515,Genetic variation and divergence in a disjunct Phlox.,Levin D.A.,Evolution,00143820,38,1,223-225,1984-01-01,1984,10.1111/j.1558-5646.1984.tb00275.x,"Describes the divergence of a recent long distance disjunct from its parental taxon Phlox pilosa spp. detonsa in an outcrossing perennial herb. The disjunct, P. pilosa spp. sangamonensis, occurs only in a small, glaciated region of central Illinois of <100 square miles. -from Author",3,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,1
true,https://api.elsevier.com/content/abstract/scopus_id/0021599065,SCOPUS_ID:0021599065,2-s2.0-0021599065,Fighting and assessment in Harpobittacus scorpionflies.,Thornhill R.,Evolution,00143820,38,1,204-214,1984-01-01,1984,10.1111/j.1558-5646.1984.tb00272.x,"In Harpobittacus nigriceps males provide females with a prey arthropod during mating. Individual males secure prey by hunting or stealing them from other males. After obtaining prey and while still holding it, males release pheromone that other males without prey (and females) respond to from a distance. Any attracted male (pirate) attempts to steal prey from the male releasing pheromone (owner). These attempts result in contests. Resource value (prey size) does not play a significant role in determining fight outcomes or durations, possibly because female choice on the basis of prey size is relaxed in this species. Individuals do not fight for a fixed duration dependent on self's size, but fight in relation to their size relative to that of their opponent. Relative body sizes of fighters and ownership vs. non-ownership are 2 important asymmetries influencing contest outcome and duration, the former probably more important. Relative size is evaluated by contestants after an interaction begins rather than prior to interaction. Fights are increasingly prolonged as the difference in contestant's sizes declines, but even prolonged flights probably do not lead to injury. -from Author",63,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,2
true,https://api.elsevier.com/content/abstract/scopus_id/0021599058,SCOPUS_ID:0021599058,2-s2.0-0021599058,Experimental studies of the evolutionary significance of sexual reproduction. I. A test of the frequency-dependent selection hypothesis.,Antonovics J.,Evolution,00143820,38,1,103-115,1984-01-01,1984,10.1111/j.1558-5646.1984.tb00263.x,"Tests the hypothesis that one evolutionary advantage of sexual reproduction is that it produces rare or unique genotypes with a frequency-dependent advantage. The experimental approach involved planting clonal tillers of the grass Anthoxanthum odoratum into natural sites. Clones in situations as a minority genotype had a c2-fold increase of fitness compared to those in majority genotype situations. Although fitness data were strongly skewed and highly variable, overall these differences were significant. Data are in concordance with the theoretical expectations of the frequency-dependent hypothesis for the evolutionary significance of sex and represent the first experimental demonstration of frequency-dependent selection under natural field conditions. -Authors",97,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,3
true,https://api.elsevier.com/content/abstract/scopus_id/0021594918,SCOPUS_ID:0021594918,2-s2.0-0021594918,Long-term maintenance of size variation in populations of Centris pallida ( Hymenoptera: Anthophoridae).,Alcock J.,Evolution,00143820,38,1,220-223,1984-01-01,1984,10.1111/j.1558-5646.1984.tb00274.x,"Results add support to the argument that large males of C. pallida are at a great reproductive advantage over their smaller rivals in dense emergence sites. The success of large males persists from year to year and throughout any one flight season. The large male advantage can be quantified by contrasting the expected with the observed frequency of mating by males of different head- widths. A 5.7 mm head-width male is c7 times as likely to mate as a male of average size (5.1 mm). Females actively control the size of their progeny, producing added diversity in males because it is in their reproductive interest to do so. Small males faced with numerous larger opponents may switch reproduction tactics altogether to hover at waiting stations for passing females. -from Author",22,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,NA,NA,4
true,https://api.elsevier.com/content/abstract/scopus_id/0021594915,SCOPUS_ID:0021594915,2-s2.0-0021594915,"Distributional and ecological differentiation between asexual gynogenetic planthoppers and related sexual species of the genus Muellerianella ( Homoptera, Delphacidae).",Booij C.J.H.,Evolution,00143820,38,1,163-175,1984-01-01,1984,10.1111/j.1558-5646.1984.tb00269.x,"The occurrence of asexual gynogenetic planthoppers in association with the related sexual species Muellarianellla fairmairei was studied in 62 populations in Western Europe. The frequency of asexual females in mixed populations tends to increase with altitude and latitude and is related to wetness of the climate and the length of the growing season. At a local scale, cool, wet and disturbed habitats like meadows seem to favor the asexuals, whereas the sexual species is dominating at warmer, moist and less disturbed habitats such as pastures. -Authors",20,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,NA,NA,5
true,https://api.elsevier.com/content/abstract/scopus_id/0021593699,SCOPUS_ID:0021593699,2-s2.0-0021593699,Changes in corolla color and other floral characteristics in Cryptantha humilis ( Boraginaceae): cues to discourage pollinators?,Casper B.B.,Evolution,00143820,38,1,128-141,1984-01-01,1984,10.1111/j.1558-5646.1984.tb00266.x,"The loss of yellow color in the coronas of Cryptantha humilis var. nana occurs c3 days after anthesis, is a time dependent event, and takes place even if the flower has not received a visit from a pollinator. White corollas remain on the plant at least one full day before withering. This variety of C. humilis is visited by a diversity of insects but most commonly by a species in the family Empididae and several species of beeflies. Insects visit flowers with yellow coronas significantly more often than flowers with totally white corollas. Presumably this is because only flowers with yellow coronas produce nectar. The 2 flower types also produce different odors, and their corollas may differ in patterns of UV reflectance. The changes in corolla color and/or the changes in other floral characteristics apparently serve as signals to discourage pollinators. Hand pollination experiments revealed that the flowers are self-incompatible and that the viability of the pollen and the receptivity of the stigma are substantially less in flowers with totally white corollas. Thus to maximize reroductive potential, flowers must be outcrossed before the color change occurs. An adaptive function of maintaining corollas that have changed color was not identified. White corollas do not appear to increase the overall attractiveness of the plants to pollinators. -from Authors",71,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,6
true,https://api.elsevier.com/content/abstract/scopus_id/0021584222,SCOPUS_ID:0021584222,2-s2.0-0021584222,Genetic divergence under uniform selection. I. Similarity among populations of Drosophila melanogaster in their responses to artificial selection for modifiers of ci<sup>D</sup>.,Cohen F.M.,Evolution,00143820,38,1,55-71,1984-01-01,1984,10.1111/j.1558-5646.1984.tb00260.x,Tested the hypothesis that selected lines derived from the same population are more likely to evolve by similar genetic changes than lines derived from different conspecific populations. There was no evidence that populations of D. melanogaster are different in their most likely responses to selection for ciD-modifiers. -from Author,27,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,NA,NA,7
true,https://api.elsevier.com/content/abstract/scopus_id/0021581577,SCOPUS_ID:0021581577,2-s2.0-0021581577,Distance methods for inferring phylogenies: a justification.,Felsenstein J.,Evolution,00143820,38,1,16-24,1984-01-01,1984,10.1111/j.1558-5646.1984.tb00255.x,"The logic of inferring phylogenies from measures of the phenotypic distance between species is examined, and a statistical model constructed. -from Author",343,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,8
true,https://api.elsevier.com/content/abstract/scopus_id/0021579155,SCOPUS_ID:0021579155,2-s2.0-0021579155,Deferred reproduction as a response to sexual selection in a coral reef fish: a test of the life historical consequences.,Warner R.R.,Evolution,00143820,38,1,148-162,1984-01-01,1984,10.1111/j.1558-5646.1984.tb00268.x,"In bluehead wrasse Thalassoma bifasciatum, small reefs are characterized by a large amount of sexual selection: larger, older males have complete control of the spawning sites. On larger reefs, the population density at the mating site is such that large males cannot monopolize mating. When return for reproductive effort is low, and the rewards of attaining large size are great, individuals should postpone reproduction and direct energy into survival and growth. Smaller males on small reefs indeed spend much less time in reproduction than do equivalent males on large reefs, and females show no differences. The same hypotheses assume that time spent in reproduction carries a cost in reduced growth and/or mortality. It was determined that 1) no differences in mortality are detectable and 2) males on small reefs grow c100% faster than males on large reefs, while females again show no differences among reefs. The increased growth and rapid approach to large size by males on small reefs do not appear to fully compensate for losses in early reproduction.-from Author",95,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,9
true,https://api.elsevier.com/content/abstract/scopus_id/0021576935,SCOPUS_ID:0021576935,2-s2.0-0021576935,Ontogeny and phylogeny in horse skull evolution.,Radinsky L.,Evolution,00143820,38,1,1-15,1984-01-01,1984,10.1111/j.1558-5646.1984.tb00254.x,An analysis of functionally significant aspects of cranial morphology in 25 species of fossil equids indicates that both reorganization and allometry were involved in the evolutionary transformation of the equid skull. -from Author,68,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,10
