@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0030046897,SCOPUS_ID:0030046897,2-s2.0-0030046897,Perspective: Evolutionary patterns in the fossil record,Foote M.,Evolution,00143820,50,1,1-11,1996-02-01,February 1996,"The study of large-scale evolutionary patterns in the fossil record has benefited from a diversity of approaches, including analysis of taxonomic data, ecology, geography, and morphology. Although genealogy is an important component of macroevolution, recent visions of phylogenetic analysis as replacing rather than supplementing other approaches are short-sighted. The ability of traditional Linnaean taxa to document evolutionary patterns is mainly an empirical rather than a theoretical issue, yet the use of these taxa has been dismissed without thorough evaluation of their empirical properties. Phylogenetic analysis can help compensate for some of the fossil record's imperfections. However, the shortcomings of the phylogenetic approach have not been adequately acknowledged, and we still lack a rigorous comparison between the phylogenetic approach and probabilistic approaches based on sampling theory. Important inferences about the history of life based on nongenealogical data have later been corroborated with genealogical and other analyses, suggesting that we risk an enormous loss of knowledge and understanding if we categorically dismiss nonphylogenetic data.",25,Journal,re,Review,100,1,1,Biological diversity | Biotal evolution | Macroevolution | Paleobiology | Phylogenetic analysis | Systematics,22104,undefined,0,FALSE,1,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/12644312178,SCOPUS_ID:12644312178,2-s2.0-12644312178,"Allozyme and advertisement call variation in the tungara frog, Physalaemus pustulosus",Ryan M.J.,Evolution,00143820,50,6,2435-2453,1996-01-01,December 1996,"We analyzed variation in advertisement calls and allozymes in 30 populations along a 5000-km transect throughout most of the range of the tungara frog, Physalaemus pustulosus. All 12 call variables measured show significant differences among populations despite the importance of the advertisement call in species recognition. Some call variables exhibited clinal variation, whereas most others differed between the two major allozyme groups that have invaded Panama at different times, perhaps 4-4.5 million yr apart. Call variables that primarily affect discrimination among conspecifics tended to exhibit greater variation than call variables thai are crucial for species recognition. The proximate mechanism of production underlying a call variable, however, is a better predictor of its variation. Contrary to predictions of some sexual selection models, call variation exhibits predictable patterns of geographical variation, although a substantial portion of variation among populations is not explained by geographic position. Although allozymes, calls, and geography usually covary, closer populations can have more similar calls independent of allozyme similarity.",102,Journal,ar,Article,100,3,3,Advertisement calls | allozyme variation | genetic variation | geographical variation | Physalaemus pustulosus | sexual selection | tungara frog,22104,undefined,1,TRUE,2,10.1111/j.1558-5646.1996.tb03630.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030515620,SCOPUS_ID:0030515620,2-s2.0-0030515620,Erratum: Locomotor modules and the evolution of avian flight (Evolution) 50 (331-340)),Dial K.P.,Evolution,00143820,50,6,2563,1996-01-01,1996,NA,0,Journal,er,Erratum,100,1,1,NA,22104,undefined,0,FALSE,3,10.2307/2410728,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030513161,SCOPUS_ID:0030513161,2-s2.0-0030513161,"Competition between segregation distorters: Coexistence of ""superior"" and ""inferior"" haplotypes at the t complex",Van Boven M.,Evolution,00143820,50,6,2488-2498,1996-01-01,December 1996,"By means of population genetical models, we investigate the competition between sex-specific segregation distorters. Although the models are quite general, they are motivated by a specific example, the t complex of the house mouse. Some variants at this gene complex, the t haplotypes, distort Mendelian segregation in heterozygous males in their favor. The selective advantage at the gamete level is counterbalanced by strong negative fitness effects at the individual level (male sterility or even lethality in both sexes). A plethora of different t haplotypes has been found, both in the field and in the lab. Up to now, however, models have focused on the equilibrium frequency of a single t haplotype In contrast, we explicitly model the competition between several t haplotypes. A deterministic model for a large, well-mixed population predicts a surprisingly high degree of polymorphism. Haplotypes with seemingly inferior fitness characteristics may easily coexist with ""superior"" haplotypes. For instance, a lethal haplotype with a low segregation ratio may stably coexist with a sterile haplotype with a high segregation ratio. Stable coexistence is even possible for haplotypes with a segregation disadvantage. A simple stochastic model shows that the same principles apply in the context of a structured metapopulation. Although counterintuitive at first sight, all our results can be explained by the fact that segregation distorters have an inherent advantage when they are rare. We conclude that fitness comparisons are not sufficient to predict the outcome of competition when selective forces are acting at different levels.",8,Journal,ar,Article,100,4,4,Complementation | House mouse | Mathematical model | Meiotic drive | Polymorphism | Population genetics | t haplotypes,22104,undefined,1,TRUE,4,10.1111/j.1558-5646.1996.tb03634.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030512772,SCOPUS_ID:0030512772,2-s2.0-0030512772,Temporal instability of genetic components of floral trait variation: Maternal family and population effects in Spergularia marina (Caryophyllaceae),Mazer S.J.,Evolution,00143820,50,6,2509-2515,1996-01-01,December 1996,NA,11,Journal,ar,Article,100,2,2,Floral traits | gamete production | gender | maternal effects | population differentiation | quantitative characters | sex allocation,22104,undefined,1,TRUE,5,10.1111/j.1558-5646.1996.tb03637.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030512736,SCOPUS_ID:0030512736,2-s2.0-0030512736,An experimental test for food effects on head size allometry in juvenile snakes,Forsman A.,Evolution,00143820,50,6,2536-2542,1996-01-01,December 1996,NA,41,Journal,ar,Article,100,1,1,Adaptation | allometry | growth | head size | phenotypic plasticity | shape | snake | Vipera berus,22104,undefined,1,TRUE,6,10.1111/j.1558-5646.1996.tb03642.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030512735,SCOPUS_ID:0030512735,2-s2.0-0030512735,Morphological evolution in response to fluctuating selection,Benkman C.W.,Evolution,00143820,50,6,2499-2504,1996-01-01,December 1996,NA,41,Journal,ar,Article,100,2,2,NA,22104,undefined,1,TRUE,7,10.1111/j.1558-5646.1996.tb03635.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030502942,SCOPUS_ID:0030502942,2-s2.0-0030502942,Latitudinal variation in developmental time and mass in Drosophila melanogaster,Worthen W.B.,Evolution,00143820,50,6,2523-2529,1996-01-01,December 1996,NA,16,Journal,ar,Article,100,1,1,Adaptation | climate | development | Drosophila melanogaster | latitudinal variation,22104,undefined,1,TRUE,8,10.1111/j.1558-5646.1996.tb03640.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030502276,SCOPUS_ID:0030502276,2-s2.0-0030502276,Molecular genetic analysis of a stepped multilocus cline in the American oyster (Crassostrea virginica),Hare M.P.,Evolution,00143820,50,6,2305-2315,1996-01-01,December 1996,"Gulf of Mexico versus Atlantic populations of several coastal species in the southeastern United States are known to differ sharply inn genetic composition, but most transitional zones have not previously been examined in detail. Here we employ molecular markers from mitochondrial and nuclear loci to characterize cytonuclear genetic associations at meso- and microgeographic scales along an eastern Florida transitional zone between genetically distinct Atlantic and Gulf populations of the American oyster, Crassostrea virginica. The single- and multilocus cytonuclear patterns display: (1) a cline extending along 340 km of the east Florida coastline; (2) a pronounced step in the cline centered at Cape Canaveral (shifts in allelic frequencies by 50-75% over a 20 km distance); (3) a close agreement of observed genotypic frequencies with Hardy-Weinberg expectations within locales; and (4) mild or nonexistent nuclear and cytonuclear disequilibria in most local population samples. These results imply: (1) considerable restrictions to interpopulational gene flow along the eastern Florida coastline: (2) within locales, free interbreeding (as opposed to mere population admixture) between Gulf and Atlantic forms of oysters; and (3) localized population recruitment in the transition zone localities. These findings demonstrate that marine organisms with high dispersal potential via long-lived pelagic larvae can nonetheless display pronounced spatial population genetic structure, and more generally they exemplify the utility of pronounced genetic transition zones for the study of population level processes.",93,Journal,ar,Article,100,2,2,Cline | cytonuclear genotype | gene flow | mtDNA | oyster | RFLP | RSR | scnDNA,22104,undefined,1,TRUE,9,10.1111/j.1558-5646.1996.tb03618.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030502275,SCOPUS_ID:0030502275,2-s2.0-0030502275,Meta-analyses of the association between multilocus heterozygosity and fitness,Britten H.B.,Evolution,00143820,50,6,2158-2164,1996-01-01,December 1996,"Meta-analyses of published correlation coefficients between multilocus heterozygosity (MLH) and two fitness surrogates, growth rate and fluctuating asymmetry, suggested that the strength of these correlations are generally weak. A variety of plants and animals was included in the meta-analyses. A statistically homogeneous group of MLH-growth rate correlation coefficients that included both plants and animals yielded a common correlation of r2 = 0.133. A common correlation of r2 = -0.170 was estimated for correlations between MLH and fluctuating asymmetry in three species of salmonid fishes. These results suggest that selection, including overdominance, has at most a weak effect at allozyme loci and cast some doubt on the widely held notion that heterozygosity and individual fitness are strongly correlated.",190,Journal,ar,Article,100,1,1,Allozymes | fitness | fluctuating asymmetry | growth rate | molluscs,22104,undefined,1,TRUE,10,10.1111/j.1558-5646.1996.tb03606.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030498776,SCOPUS_ID:0030498776,2-s2.0-0030498776,Natural formation of iris hybrids: Experimental evidence on the establishment of hybrid zones,Hodges S.A.,Evolution,00143820,50,6,2504-2509,1996-01-01,December 1996,NA,43,Journal,ar,Article,100,3,3,Gene flow | introgression | reproductive isolation | secondary contact,22104,undefined,1,TRUE,11,10.1111/j.1558-5646.1996.tb03636.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030498774,SCOPUS_ID:0030498774,2-s2.0-0030498774,Phylogenetic analysis of learning-related neuromodulation in molluscan mechanosensory neurons,Wright W.G.,Evolution,00143820,50,6,2248-2263,1996-01-01,December 1996,"In spite of significant advances in our understanding of mechanisms of learning and memory in a variety of organisms, little is known about how such mechanisms evolve. Even mechanisms of simple forms of learning, such as habituation and sensitization, have not been studied phylogenetically. Here we begin an evolutionary analysis of learning-related neuromodulation in species related to the well-studied opisthobranch gastropod, Aplysia californica. In Aplysia, increased spike duration and excitability in mechanosensory neurons contribute to several forms of learning-related changes to defensive withdrawal reflexes. The modulatory transmitter serotonin (5-hydroxytryptamine, or 5-HT), is thought to play a critical role in producing these firing property changes. In the present study, we tested mechanosensory homologs of the tail withdrawal reflex in species related to Aplysia for 5-HT-mediated increases in spike duration and excitability. Criteria used to identify homologous tail-sensory neurons included position, relative size, resting electrical properties, expression of a sensory neuron-specific protein, neuroanatomy, and receptive field. The four ingroup species studied (Aplysia californica, Dolabella auricularia, Bursatella leachii, and Dolabrifera dolabrifera) belong to two clades (two species each) within the family Aplysiidae. In the first clade (Aplysia/Dolabella), we found that the tail-sensory neurons of A. californica and tail-sensory homologs of a closely related species, D. auricularia, responded to bath-applied serotonin in essentially similar fashion: significant increases in spike duration as well as excitability. In the other clade (Dolabrifera/Bursatella), more distantly related to Aplysia, one species (B. leachii) showed spike broadening and increased excitability. However, the other species (D. dolabrifera) showed neither spike broadening nor increased excitability. The firing properties of tail-sensory homologs of D. dolabrifera were insensitive to 5-HT over a wide range of concentrations. We also performed experiments on two outgroup species (Akera bullata and Bulla gouldiana) and found that spike duration was unaffected by 5-HT, whereas excitability was increased. This study suggests that 5-HT-induced spike broadening arose more recently in opisthobranch evolution, whereas 5-HT-induced excitability increase is a more ancestral trait that may have been expressed in the earliest opisthobranchs. Both traits are absent in the aplysiid species D. dolabrifera, demonstrating that a lineage can lose learning-related mechanisms. The phylogenetic variation observed in the present study presents the opportunity to test general models about learning mechanisms and their evolution in unique ways.",30,Journal,ar,Article,100,4,4,Cellular evolution | evolution of behavior | evolution of learning | evolution of neuromodulation | neurobiology | Opisthobranchia | phylogenetic lesion | serotonin,22104,undefined,1,TRUE,12,10.1111/j.1558-5646.1996.tb03614.x,all,All Open Access,NA,NA
