@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/0027884101,SCOPUS_ID:0027884101,2-s2.0-0027884101,"Species richness, species composition and population dynamics of protists in experimental microcosms",Lawler S.,Journal of Animal Ecology,00218790,62,4,711-719,1993-01-01,1993,10.2307/5391,"Experiments using communities assembled from bacteria plus one, two or four protist predator-prey pairs tested whether species richness affects the persistence, abundance and temporal variability of the protist species. Comparisons among six different food webs of four protist species tested whether the effects of species composition rival the effects of species richness. Most populations in species-rich food webs were less abundant than populations of the same species in food webs with fewer species. Increased species richness increased the variability of one species. Combining predator-prey pairs increased the number of extinctions. The species composition of food webs also affected the persistence and mean abundances of man species, and changed the variability of two species. -from Author",43,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,1
true,https://api.elsevier.com/content/abstract/scopus_id/0027881410,SCOPUS_ID:0027881410,2-s2.0-0027881410,The cost of polygyny in the house wren Troglodytes aedon,Johnson L.,Journal of Animal Ecology,00218790,62,4,669-682,1993-01-01,1993,10.2307/5387,"Choosing a mated male in the studied Wyoming study population is inherently costly to female fitness. In each of three breeding seasons, females who chose mated males (secondary = 2° females) produced significantly fewer fledglings per breeding attempt than females who chose unmated males (monogamous (M°) and primary (1°) females). Secondary females were less likely than M°/1° females to complete nesting attempts, primarily because they lost more broods to starvation, and had more clutches and broods destroyed by conspecifics intruding onto territories. Secondary females also produced fewer fledglings in completed nesting attempts, primarly because they lost more offspring to starvation during the first two-thirds of the nestling stage. Nestlings raised by 2° females weighed less than nestling raised by M°/1° females late in the nestling stage. Whereas males provided substantial aid to M° and 1° mates, most 2° females received little or no aid. The few 2° females who did receive substantial male aid produced more fledglings than 2° females without male aid. -from Authors",56,Journal,ar,Article,100,3,3,29544,undefined,0,FALSE,2
true,https://api.elsevier.com/content/abstract/scopus_id/0027881402,SCOPUS_ID:0027881402,2-s2.0-0027881402,Diving performance of Adelie penguins in relation to food availability in fast sea-ice areas: comparison between years,Watanuki Y.,Journal of Animal Ecology,00218790,62,4,634-646,1993-01-01,1993,10.2307/5384,"Between-year variation in Pygoscelis adeliae foraging behaviour was studied at Lutzow-Holm Bay, Antarctica. Poor chick survival and growth, long foraging trip duration and low meal delivery rate indicate that food availability was poor in 1991 compared to 1990, but mass of food brought to chicks per shore visit and rate of decrease of parental mass did not differ between years. In 1991, penguins on average dived deeper (12.3±4.2m) and for longer durations (1.9±0.2 min) than they did in 1990 (7.1±1.6m depth and 1.5±0.2 min), but time under water, number of dive bouts per day and dive bout duration did not differ significantly between years. Foraging trip duration in mid to late January was longer in 1991 (861±419 min) than in 1990 (502±199 min) because travelling/searching time within trips in 1991 was about four times as long as it had been in 1990. Total dive bout duration within foraging trips did not differ between years. Thus, probability of locating a prey patch was lower in 1991, but once a prey patch was found total diving effort was similar to that in 1990. When food was less abundant Adelie penguin parents increased the duration of their foraging trips, thereby decreasing meal delivery rate, but did not increase total diving effort to compensate for poor food availability. Their foraging sites might have been highly restricted to small ice holes or tide cracks; therefore, prey abundance within sites might decrease rapidly by depletion and the penguins might not be able to get more food even if they forage for a longer period. Alternatively, they have a priority to maintain their body condition for their own future survival at the expense of offspring production. -from Authors",75,Journal,ar,Article,100,4,4,29544,undefined,0,FALSE,3
true,https://api.elsevier.com/content/abstract/scopus_id/0027879851,SCOPUS_ID:0027879851,2-s2.0-0027879851,"The relationship between parasite burden and host resources in the desert toad (Scaphiopus couchii), under natural environmental conditions",Tocque K.,Journal of Animal Ecology,00218790,62,4,683-693,1993-01-01,1993,10.2307/5388,"The desert toad survives 10 months hibernation (during which it does not feed) by utilizing stored lipid reserves predominantly concentrated in coelomic fat bodies. Most toads emerging from hibernation have negligible fat bodies, although 4% of uninfected males have enough reserves to survive a further year. Adults of the monogenean parasite Pseudodiplorchis americanus infect breeding toads (with a 50% prevalence) and feed upon host blood. In one area of desert in SE Arizona, infected male and female toads emerging from hibernation had significantly smaller fat bodies than those uninfected. Fat body weights increased during the period of foraging and there was no measurable effect of adult parasite infection after 2 wk feeding. The difference observed in freshly-emerged toads thus probably reflects the actual parasite drain on host fat reserves during hibernation, representing c7% of the toads' annual lipid requirement. Ovary weight also increased during foraging, but it was not possible to determine of reproductive investment was lower in infected animals. Some toads would not breed or might not survive hibernation due to parasite infection, ie there is a potential for parasites to regulate natural host populations. -from Author",26,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,4
true,https://api.elsevier.com/content/abstract/scopus_id/0027871635,SCOPUS_ID:0027871635,2-s2.0-0027871635,"Environmental degradation, food limitation and reproductive output: juvenile survival in lesser snow geese",Williams T.,Journal of Animal Ecology,00218790,62,4,766-777,1993-01-01,1993,10.2307/5395,"Long-term changes in pre-fledging gosling survival, in relation to food availability, were investigated in a population of Anser caerulescens caerulescens at La Perouse Bay, Manitoba. Both colony size and the density of birds using brood-rearing areas increased over the duration of the study (the former from 2000 to 8-9000 pairs). Annual mean size of broods using traditional brood-rearing areas (as a proportion of initial brood size) declined significantly between 1979-1991, from 0.9-1.0 to 0.6-0.8. Mean proportion of marked goslings in a brood that survived from hatch to ringing (5-6 wk of age) declined from 65% prior to 1980 to 35-40% in recent years. Annual mean daily survival rate of goslings declined from 70-100% to 40-55% over the same period. Within-seasons there was a small but significant decline in gosling survival rate over time for weeks 1-4 post-hatch, while the decline in week 5 was highly significant and 12-14 times greater than for weeks 1-4 combined. Over 1979-91 mean above-ground biomass of graminoid salt-marsh sward declined signficantly from 50 g m-2 to 25 g m-2, a rate of decline greatest during late brood-rearing (>21 days post-hatch). Annual and seasonal variation in gosling survival is consistent with a density-dependent effect of habitat degradation and food limitation. Birds remaining on the traditional areas are suffering decreased reproductive output (feeding site fidelity may now be maladaptive); and those dispersing to alternative rearing areas show higher rates of growth and survival. -from Authors",83,Journal,ar,Article,100,4,4,29544,undefined,0,FALSE,5
true,https://api.elsevier.com/content/abstract/scopus_id/0027870959,SCOPUS_ID:0027870959,2-s2.0-0027870959,Effect of an ectoparasite on reproduction in great tits,Richner H.,Journal of Animal Ecology,00218790,62,4,703-710,1993-01-01,1993,10.2307/5390,"The effect of a haematophageous ectoparasite, the hen flea Ceratophyllus gallinae, on quality and number of offspring was experimentally investigated in Parus major. Hatching success and hatchling numbers did not differ between the two experimental groups. Offspring mortality between hatching and fledging was significantly higher in the infested broods (mean 0.22 chicks dead per day) than in the parasite-free broods (0.07 dead per day). Fledging success was 83% in the parasite-free broods, but only 53% in the infested ones. The number of fledglings in infested broods (3.7 fledglings ±2.1 SD) was significantly lower than in the parasite-free (4.9±1.1 SD) broods. Body mass of chicks in the infested broods was significantly smaller than in the parasite-free broods both 14 days and 17 days after hatching. The chicks in the infested broods reached a significantly smaller tarsus length than the ones in the parasite-free broods. Close to fledging, the nutritional condition of chicks was significantly lower in infested broods. Haematocrit levels were significantly lower in the infested broods. In parasite-free broods fitness can potentially be gained through offspring quality or number or both, whereas in infested broods it can be gained through offspring quantity only. A trade-off between quality and number of offspring is feasible only in the absence of the parasitic hen flea. -from Authors",270,Journal,ar,Article,100,3,3,29544,undefined,0,FALSE,6
true,https://api.elsevier.com/content/abstract/scopus_id/0027870943,SCOPUS_ID:0027870943,2-s2.0-0027870943,Spatial synchrony in the dynamics of moth and aphid populations,Hanski I.,Journal of Animal Ecology,00218790,62,4,656-668,1993-01-01,1993,10.2307/5386,"Describes patterns of intraspecific spatial synchrony (cross-correlation with lag zero) in the dynamics of British moths and aphids sampled at 57 and 21 localities throughout the UK. Spatial synchrony was substantially higher in aphids than in moths. In both taxa, spatial synchrony declined with increasing distance between conspecific populations, but synchrony remained positive at all distances up to 800 km. Species with large slopes (>2) of the spatial variance-mean regression had spatially asynchronous dynamics, as predicted by a theoretical model. In noctuid moths and in aphids, but not in geometrid moths, there was a significant positive correlation between degree of spatial synchrony and level of temporal variability in local populations. Results on large-scale spatial synchrony in moths and aphids are better explained by regional stochasticity (spatially correlated weather conditions) than by migration. -from Authors",245,Journal,ar,Article,100,2,2,29544,undefined,0,FALSE,7
true,https://api.elsevier.com/content/abstract/scopus_id/0027866298,SCOPUS_ID:0027866298,2-s2.0-0027866298,"Aggregation patterns of pelagic predators and their principal prey, Antarctic krill, near South Georgia",Veit R.,Journal of Animal Ecology,00218790,62,3,551-564,1993-01-01,1993,10.2307/5204,Pelagic birds and seals were distributed in a strikingly non-random fashion at sea near South Georgia; their distributional patterns were strongly influenced by the distribution of krill swarms. Differences between predators in their spatial distribution and in their response to krill swarms suggest interspecific differences in foraging strategies. -from Authors,76,Journal,ar,Article,100,3,3,29544,undefined,0,FALSE,8
true,https://api.elsevier.com/content/abstract/scopus_id/0027866206,SCOPUS_ID:0027866206,2-s2.0-0027866206,Roe deer survival patterns: a comparative analysis of contrasting populations,Gaillard J.M.,Journal of Animal Ecology,00218790,62,4,778-791,1993-01-01,1993,10.2307/5396,"Capreolus capreolus in Trois Fontaines, a 1360ha reserve in E France, faced severe winters. The size of this highly productive population was roughly constant during the study period. In Chize, a 2660ha reserve in W France with mild winters, roe deer showed density dependence in reproduction and body weight. Females generally survived better than males, the survival rates of prime-age adults were the highest, and survival decreased after seven years of age. Only the severe winters affected markedly the survivorship of roe deer. In Chize only, juveniles survived markedly less well than prime-age adults. Since physical maturity was reached later in Chize, the length of the critical stage for survival may be sensitive to population dynamics. Survival of juvenile roe deer thus appears to be very sensitive to external influences. Despite their marked differences between the two populations, survival rates of prime-age adults were similar. Thus, survival of prime-age adult roe deer appears to be relatively insensitive to external influences. The differences in survival between sexes for prime-age adults was close to values observed in dimorphic and polygynous ungulates, but roe deer only exhibit a marginal sexual dimorphism in size, a small breeding group size and no sex differences in fawn mortality. Costs of sexual selection cannot account for this gender effect in roe deer, and changes in social interactions between females in these high-density populations could be involved. The decline of survival after seven years of age was probably related to tooth wear. -from Authors",226,Journal,ar,Article,100,6,6,29544,undefined,0,FALSE,9
true,https://api.elsevier.com/content/abstract/scopus_id/0027846674,SCOPUS_ID:0027846674,2-s2.0-0027846674,"Does nest-hole quality, poor breeding success or food depletion drive the breeding dispersal of Tengmalm's owls?",Korpimaki E.,Journal of Animal Ecology,00218790,62,4,606-613,1993-01-01,1993,10.2307/5382,"With the nest-hole quality hypothesis (HQH), the decrease in Aegolius funereus breeding frequency in old nest-boxes is due to the deteriorating quality of the box. On the predation risk hypothesis (PRH), the decrease in the use of old boxes is a response to increased predation risk. On the breeding success hypothesis (BSH), the owls disperse more after poor than good reproductive success. On the food depletion hypothesis (FDH), a breeding owl pair may reduce vole density in the vincinity of the nest-box which increases dispersal. The predictions of the four hypotheses were tested using field data collected in W Finland. HQH predicts that the breeeding frequency should increase when an old box is renewed. PRH predicts that the use of old boxes should increase by relocation. However, the renewal and/or the relocation of boxes did not increase subsequent usage. BSH states that dispersal distances should be negatively related to the breeding success in the preceding year, but this was not the case. FDH predicts that the owls should disperse less in the increase phase than in the decrease phase of the vole cycle. Data were consistent with this prediction. Results agreed with the theoretical dispersal models predicting that temporal variation in environmental quality increases dispersal, whereas spatial variation acts in an opposite way. -from Author",58,Journal,ar,Article,100,1,1,29544,undefined,0,FALSE,10
