@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/57349111146,SCOPUS_ID:57349111146,2-s2.0-57349111146,Geographic variation in adaptation at the molecular level: A case study of plant immunity genes,Moeller D.A.,Evolution,00143820,15585646,62,12,3069-3081,2008-12-01,December 2008,10.1111/j.1558-5646.2008.00511.x,"Natural selection imposed by interacting species frequently varies among geographic locations and can lead to local adaptation, where alternative phenotypes are found in different populations. Little is known, however, about whether geographically variable selection acting on traits that mediate species interactions is consistent or strong enough to influence patterns of nucleotide variation at individual loci. To investigate this question, we examined patterns of nucleotide diversity and population structure at 16 plant innate immunity genes, with putative functions in defending plants against pathogens or herbivores, from six populations of teosinte (Zea mays ssp. parviglumis). Specifically, we tested whether patterns of population structure and within-population diversity at immunity genes differed from patterns found at nonimmunity (reference) loci and from neutral expectations derived from coalescent simulations of structured populations. For the majority of genes, we detected no strong evidence of geographically variable selection. However, in the wound-induced serine protease inhibitor (wip1), which inhibits the hydrolysis of dietary proteins in insect herbivores, one population showed unusually high levels of genetic differentiation, very low levels of nucleotide polymorphism, and was fixed for a novel replacement substitution in the active site of the protein. Taken together, these data suggest that wip1 experienced a recent selective sweep in one geographic region; this pattern may reflect local adaptation or an ongoing species-wide sweep. Overall, our results indicate that a signature of local adaptation at the molecular level may be uncommon - particularly for traits that are under complex genetic control. © 2008 The Author(s).",34,18786191,Journal,ar,Article,100,2,2,Host-parasite interactions | Local adaptation | Natural selection | Nucleotide variation | Population structure,22104,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/57249111826,SCOPUS_ID:57249111826,2-s2.0-57249111826,Tree hybridization and genotypic variation drive cryptic speciation of a specialist mite herbivore,Evans L.,Evolution,00143820,15585646,62,12,3027-3040,2008-12-01,December 2008,10.1111/j.1558-5646.2008.00497.x,"Few studies have investigated the roles that plant hybridization and individual plant genotype play in promoting population divergence within arthropod species. Using nrDNA sequence information and reciprocal transfer experiments, we examined how tree cross type (i.e., pure Populus angustifolia and P. angustifolia × P. fremontii F1 type hybrids) and individual tree genotype influence host race formation in the bud-galling mite Aceria parapopuli. Three main findings emerged: (1) Strong genetic differentiation of mite populations found on pure P. angustifolia and F 1 type hybrids indicates that these mites represent morphologically cryptic species. (2) Within the F1 type hybrids, population genetic analyses indicate migration among individual trees; however, (3) transfer experiments show that the mites found on heavily infested F1 type trees perform best on their natal host genotype, suggesting that genetic interactions between mites and their host trees drive population structure, local adaptation, and host race formation. These findings argue that hybridization and genotypic differences in foundation tree species may drive herbivore population structure, and have evolutionary consequences for dependent arthropod species. © 2008 The Author(s).",51,18752612,Journal,ar,Article,100,5,5,Aceria parapopuli | Cryptic speciation | Foundation species | Host race formation | Hybridization | Populus,22104,undefined,1,TRUE,2,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/57249111825,SCOPUS_ID:57249111825,2-s2.0-57249111825,Discordant longitudinal clines in flowering time and Phytochrome C in Arabidopsis thaliana,Samis K.E.,Evolution,00143820,15585646,62,12,2971-2983,2008-12-01,December 2008,10.1111/j.1558-5646.2008.00484.x,"Using seasonal cues to time reproduction appropriately is crucial for many organisms. Plants in particular often use photoperiod to signal the time to transition to flowering. Because seasonality varies latitudinally, adaptation to local climate is expected to result in corresponding clines in photoperiod-related traits. By experimentally manipulating photoperiod cues and measuring the flowering responses and photoperiod plasticity of 138 Eurasian accessions of Arabidopsis thaliana, we detected strong longitudinal but not latitudinal clines in flowering responses. The presence of longitudinal clines suggests that critical photoperiod cues vary among populations occurring at similar latitudes. Haplotypes at PHYC, a locus hypothesized to play a role in adaptation to light cues, were also longitudinally differentiated. Controlling for neutral population structure revealed that PHYC haplotype influenced flowering time; however, the distribution of PHYC haplotypes occurred in the opposite direction to the phenotypic cline, suggesting that loci other than PHYC are responsible for the longitudinal pattern in photoperiod response. Our results provide previously missing empirical support for the importance of PHYC in mediating photoperiod sensitivity in natural populations of A. thaliana. However, they also suggest that other loci and epistatic interactions likely play a role in the determination of flowering time and that the environmental factors influencing photoperiod in plants vary longitudinally as well as latitudinally. © 2008 The Author(s).",51,18752603,Journal,ar,Article,100,3,3,Association mapping | Clines | Ecological genomics | Flowering time | FRI | Phenotypic plasticity | Photoperiod | PHYC,22104,undefined,1,TRUE,3,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/57249111820,SCOPUS_ID:57249111820,2-s2.0-57249111820,Genetic incompatibilities in killifish and the role of environment,Fuller R.,Evolution,00143820,15585646,62,12,3056-3068,2008-12-01,December 2008,10.1111/j.1558-5646.2008.00518.x,"Measuring reproductive isolation across multiple generations and environments is a key endeavor in speciation research because it indicates which isolating barriers currently prevent introgression and the extent to which they are intrinsic versus environmentally dependent. Here, I present data from several crosses (parental crosses, F1s, F2s, back-crosses) between two species of killifish (Lucania goodei and L. parva) that have diverged along a salinity gradient (L. goodei - freshwater, L. parva - euryhaline). Offspring were raised under high and low salinity to test for (1) extrinsic isolation, (2) intrinsic isolation manifested through genetic incompatibilities, and (3) environmentally dependent genetic incompatibilities. I found evidence for both intrinsic and extrinsic isolation, but no evidence for environmentally dependent genetic incompatibilities. The presence of extrinsic and intrinsic isolation varied among fitness measures, and all forms of reproductive isolation were asymmetric. Early egg survival was independent of salinity, but demonstrated pronounced intrinsic isolation. Both extrinsic and intrinsic isolation existed for egg hatching and survival of fry to the eating stage. Unfortunately, the order in which extrinsic and intrinsic isolation arose is unresolved. Understanding the extent to which adaptation to salinity creates multiple forms of reproductive isolation is critical for understanding diversification in many fish taxa. © 2008 The Author(s).",48,18786184,Journal,ar,Article,100,1,1,Epistasis | F2 breakdown | Fundulidae | Genetic incompatibility | Joint scaling analysis | Line cross analysis | Osmoregulation | Reproductive isolation,22104,undefined,1,TRUE,4,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/57249108311,SCOPUS_ID:57249108311,2-s2.0-57249108311,Toward the evolutionary genomics of gametophytic divergence: Patterns of transmission ratio distortion in monkeyflower (Mimulus) hybrids reveal a complex genetic basis for conspecific pollen precedence,Fishman L.,Evolution,00143820,15585646,62,12,2958-2970,2008-12-01,December 2008,10.1111/j.1558-5646.2008.00475.x,"Conspecific pollen precedence (CPP) is a major component of reproductive isolation between many flowering plant taxa and may reveal mechanisms of gametophytic evolution within species, but little is known about the genetic basis and evolutionary history of CPP. We systematically investigated the genetic architecture of CPP using patterns of transmission ratio distortion (TRD) in F2 and backcross hybrids between closely related species of Mimulus (Phrymaceae) with divergent mating systems. We found that CPP in Mimulus hybrids was polygenic and was the majority source of interspecific TRD genome-wide, with at least eight genomic regions contributing to the transmission advantage of M. guttatus pollen grains on M. guttatus styles. In aggregate, these male-specific transmission ratio distorting loci (TRDLs) were more than sufficient to account for the 100% precedence of pure M. guttatus pollen over M. nasutus pollen in mixed pollinations of M. guttatus. All but one of these pollen TRDLs were style-dependent; that is, we observed pollen TRD in F 1 and/or M. guttatus styles, but not in M. nasutus styles. These findings suggest that species-specific differences in pollen tube performance accumulate gradually and may have been driven by coevolution between pollen and style in the predominantly outcrossing M. guttatus. © 2008 The Author(s).",51,18691263,Journal,ar,Article,100,3,3,Evolutionary genomics | Mating systems | Quantitative genetics | Reproductive isolation | Selection - sexual | Speciation,22104,undefined,0,FALSE,5,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/57249108300,SCOPUS_ID:57249108300,2-s2.0-57249108300,Adult male nutrition and reproductive success in Drosophila melanogaster,Fricke C.,Evolution,00143820,15585646,62,12,3170-3177,2008-12-01,December 2008,10.1111/j.1558-5646.2008.00515.x,"Explanations for the maintenance of variation in reproductive traits influenced by seminal fluid accessory gland proteins (Acps) in male Drosophila melanogaster include nontransitivity in the outcome of sperm competition and/or condition dependence of the traits involved. We investigated the effects of adult male nutrition (five diets) on the expression of Acp- and sperm- mediated traits. We found novel, nonlinear effects, with females showing lower levels of refractoriness to remating after mating with males held on the lowest and highest yeast diets. There were no significant effects of adult male nutrition on male paternity share, but there was a striking, nonlinear effect on second male progeny production, with males kept on intermediate yeast diets fathering the highest number of offspring. Such ""bell shaped"" responses of life-history traits to nutrition have only previously been reported for longevity. Consistent with previous reports, males maintained on low protein diets had lower premating success and gained fewer rematings with nonvirgins. We show novel and body size independent effects of adult male nutrition on traits influenced by Acps and sperm, which do not fit current condition-dependent handicap models and can affect the strength of sexual selection acting upon such fitness-related traits. © 2008 The Author(s).",94,18786187,Journal,ar,Article,100,3,3,Accessory gland proteins | Female refractoriness | Sexual selection | Sperm competition,22104,NE/C510516/1,1,TRUE,6,all,All Open Access,NERC,Natural Environment Research Council
true,https://api.elsevier.com/content/abstract/scopus_id/57249108290,SCOPUS_ID:57249108290,2-s2.0-57249108290,Defeating pathogen drug resistance: Guidance from evolutionary theory,Pepper J.,Evolution,00143820,15585646,62,12,3185-3191,2008-12-01,December 2008,10.1111/j.1558-5646.2008.00525.x,"Many of the greatest challenges in medicine and public health involve the evolution of drug resistance by pathogens. Recent advances in the theory of natural selection suggest that there are two broad classes of pathogen traits that can be targeted by drugs or vaccines. The first class, consisting of traits that benefit the individual organisms bearing them, causes a strong evolutionary response and the rapid emergence of drug resistance. The second class, consisting of traits that benefit groups of pathogen organisms including the individual provider, causes a weaker evolutionary response and less drug resistance. Although most previous drug development has targeted the first class, it would be advantageous to focus on the second class as targets for drug and vaccine development. Specific examples and test cases are discussed. © 2008 The Author(s).",24,18803686,Journal,re,Review,100,1,1,Avian influenza | HIV | Malaria | MRSA | Multilevel selection | Tuberculosis | Vaccine design,22104,undefined,1,TRUE,7,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/57249108289,SCOPUS_ID:57249108289,2-s2.0-57249108289,"Spatial and temporal dynamics in a sexual selection mosaic (Evolution (2008) 62, 4)",Gosden,Evolution,00143820,15585646,62,12,3192,2008-12-01,December 2008,10.1111/j.1558-5646.2008.00535.x,NA,0,NA,Journal,er,Erratum,100,2,2,NA,22104,undefined,1,TRUE,8,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/57249105426,SCOPUS_ID:57249105426,2-s2.0-57249105426,"Genetics of drought adaptation in Arabidopsis thaliana II. QTL analysis of a new mapping population, Kas-1 × Tsu-1",McKay J.,Evolution,00143820,15585646,62,12,3014-3026,2008-12-01,December 2008,10.1111/j.1558-5646.2008.00474.x,"Despite compelling evidence that adaptation to local climate is common in plant populations, little is known about the evolutionary genetics of traits that contribute to climatic adaptation. A screen of natural accessions of Arabidopsis thaliana revealed Tsu-1 and Kas-1 to be opposite extremes for water-use efficiency and climate at collection sites for these accessions differs greatly. To provide a tool to understand the genetic basis of this putative adaptation, Kas-1 and Tsu-1 were reciprocally crossed to create a new mapping population. Analysis of F3 families showed segregating variation in both δ13C and transpiration rate, and as expected these traits had a negative genetic correlation (rg = - 0.3). 346 RILs, 148 with Kas-1 cytoplasm and 198 with Tsu-1 cytoplasm, were advanced to the F9 and genotyped using 48 microsatellites and 55 SNPs for a total of 103 markers. This mapping population was used for QTL analysis of δ13C using F9 RIL means. Analysis of this reciprocal cross showed a large effect of cytoplasmic background, as well as two QTL for δ13C. The Kas-1 × Tsu-1 mapping population provides a powerful new resource for mapping QTL underlying natural variation and for dissecting the genetic basis of water-use efficiency differences. © 2008 The Author(s).",96,18691264,Journal,ar,Article,100,9,9,Adaptation | Arabidopsis thaliana | Carbon isotope ratio | Correlated traits | Drought avoidance | Drought escape | Drought tolerance | Transpiration | Water-use efficiency,22104,undefined,1,TRUE,9,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/57249105424,SCOPUS_ID:57249105424,2-s2.0-57249105424,"""Reverse ecology"" and the power of population genomics",Li Y.F.,Evolution,00143820,15585646,62,12,2984-2994,2008-12-01,December 2008,10.1111/j.1558-5646.2008.00486.x,"Rapid and inexpensive sequencing technologies are making it possible to collect whole genome sequence data on multiple individuals from a population. This type of data can be used to quickly identify genes that control important ecological and evolutionary phenotypes by finding the targets of adaptive natural selection, and we therefore refer to such approaches as ""reverse ecology."" To quantify the power gained in detecting positive selection using population genomic data, we compare three statistical methods for identifying targets of selection: the McDonald-Kreitman test, the mkprf method, and a likelihood implementation for detecting dN/dS > 1. Because the first two methods use polymorphism data we expect them to have more power to detect selection. However, when applied to population genomic datasets from human, fly, and yeast, the tests using polymorphism data were actually weaker in two of the three datasets. We explore reasons why the simpler comparative method has identified more genes under selection, and suggest that the different methods may really be detecting different signals from the same sequence data. Finally, we find several statistical anomalies associated with the mkprf method, including an almost linear dependence between the number of positively selected genes identified and the prior distributions used. We conclude that interpreting the results produced by this method should be done with some caution. © 2008 The Author(s).",97,18752601,Journal,ar,Article,100,4,4,Adaptation | McDonald-Kreitman test | mkprf | Molecular evolution | Population genetics | Positive selection,22104,R01GM071926,0,FALSE,10,all,All Open Access,NIGMS,National Institute of General Medical Sciences
