@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/19244377523,SCOPUS_ID:19244377523,2-s2.0-19244377523,Pérdida de nutrimentos por la quema de la vegetación en una sabana de Trachypogon,Hernández-Valencia I.,Revista de Biologia Tropical,00347744,50,3-4,1013-1019,2002-09-01,September 2002,"The losses of nutrients by fire were assesed in a Trachypogon savanna located in Calabozo, Venezuela. About 95% of the biomass, 97% of N, 61% of P, 76% of K and 65% of Ca and Mg were transferred to the atmosphere. Ash deposition returned between 21-34% of Mg, Ca, K and P and 0.2% of N. Previous data indicated that precipitation and atmospheric fixation (in the case of N) could replace the rest of N, Ca, K and Mg transferred to the atmosphere. As a consequence of frequent burning (annual or biannual), the soil of the savanna showed lower organic matter and available P and K content when it is compared with a 32 year protected savanna.",21,12947585,Journal,ar,Article,100,2,2,Ashes | Burning | Nutrient losses | Savanna | Soils | Trachypogon | Venezuela,13567,undefined,0,FALSE,1
true,https://api.elsevier.com/content/abstract/scopus_id/18844477602,SCOPUS_ID:18844477602,2-s2.0-18844477602,"Estrés producido por sedimentos contaminados con níquel en una granja de trucha arcoiris, Oncorhynchus mykiss (Pisces: Salmonidae)",Martínez-Tabche L.,Revista de Biologia Tropical,00347744,50,3-4,1159-1168,2002-09-01,September 2002,"Previous studies indicated the presence of high concentrations of nickel in the ""El truchón"" ponds (in México), so it was necessary to find a possible correlation between sediment physicochemical properties of this water body and the damage that could be produced on the rainbow trout which culture is done in a rustic reservoir. The study was initiated with the determination of the physicochemical properties of the trout farm sediments, which are; granular composition, total nitrogen percentage, organic matter content, pH, redox potential, cationic interchange capacity, and Ni concentration. LC50 of Ni at 96 h was determined on Onchorynchus mykiss in the sytem water-sediment from the trout farm at equilibrium time. In the same system the sublethal toxicity of Ni was evaluated by the determination of metallotioneine (MT) levels, o-demethylase activity (OD) and protein concentration. The results showed a significant increment in the three-biochemical parameters. A linear relation was observed between Ni concentration and MT, OD and protein concentration, so these damage biomarkers are recommended in order to evaluate Ni toxicity. Probably these effects were due to the physicochemical characteristics of the sediments, which may give a high capacity to store metal in it. According to the obtained results it was suggested not to use rustic ponds in the fish culture, and use concrete ponds to avoid the accumulation of toxic compounds or make periodic sediments remotion.",0,12956103,Journal,ar,Article,100,4,4,Metalothionein | Nickel | o-demetilasa | Oncorhynchus mykiss | Sediments,13567,undefined,0,FALSE,2
true,https://api.elsevier.com/content/abstract/scopus_id/1842864703,SCOPUS_ID:1842864703,2-s2.0-1842864703,Morfología vegetal neotropical,Pérez-García B.,Revista de Biologia Tropical,00347744,50,3-4,893-902,2002-09-01,September 2002,"An analysis on plant morphology and the sources that are important to the morphologic interpretations is done. An additional analysis is presented on all published papers in this subject by the Revista de Biología Tropical since its foundation, as well as its contribution to the plant morphology development in the neotropics.",3,12947576,Journal,ar,Article,100,2,2,Neotropical region | Tropical Biology | Tropics | Vegetal morphology,13567,undefined,0,FALSE,3
true,https://api.elsevier.com/content/abstract/scopus_id/1842864696,SCOPUS_ID:1842864696,2-s2.0-1842864696,Las ciencias del mar en la Revista de Biología Tropical en su 50 aniversario,Cortés J.,Revista de Biologia Tropical,00347744,50,3-4,903-907,2002-09-01,September 2002,"The first paper published in the Revista de Biología Tropical (RBT) on anything related to marine science was in 1963. Since then the number of marine-related papers has increased to 637, which represents 27% of the total production of RBT (excluding the Supplements), and 33% since 1979. Most publications are Full Articles on Ecology (135 papers). The marine ecosystem of which there is more publications is the coral reefs (28); and fish is the most studied taxonomic group (165). Almost half of the Supplements are marine related (12). The RBT must continue its efforts to maintain itself as a leading marine science publication in Latin America.",9,12947577,Journal,ar,Article,100,2,2,Costa Rica | Latin America | Marine science | Tropical science,13567,undefined,0,FALSE,4
true,https://api.elsevier.com/content/abstract/scopus_id/1842864691,SCOPUS_ID:1842864691,2-s2.0-1842864691,Una visión de la biología tropical a través del microscopic electrónico,Hernández-Chavarría F.,Revista de Biologia Tropical,00347744,50,3-4,927-940,2002-09-01,September 2002,"The first electron microscope in Costa Rica was a donation from the government of Japan throught its International Cooperation Agency (JICA) in 1974. This donation made possible the consolidation of what was to become the University of Costa Rica's Electron Microscope Unit (UME). Within three years the first scientific papers were published, dealing with ultrastructural aspects of ""Corn's rayado fino virus"" and rotavirus, viral agent of human diarrhea. Subsequent papers out of the UME were published for the most part in the Journal of Tropical Biology, totaling at least 50 in that journal alone by the year 2000. With the recent acquisition of Energy Dispersive Spectrometer to coupled in transmission electron microscope and scanning electron microscope to X ray analysis, the data acquisition of the UME has been greatly enhanced, making possible to analyze both structure and elemental chemical composition in a specimen. Other applications of this new technology include studies of environmental pollution with heavy metals, such as comparative analysis of residues on leaves from urban areas and those on leaves from primary forest.",3,12947579,Journal,ar,Article,100,1,1,Bacteria | Diarrheal viruses | Electron microscopy | Plant viruses | Ultrastructure | X ray analysis,13567,undefined,0,FALSE,5
true,https://api.elsevier.com/content/abstract/scopus_id/1842853694,SCOPUS_ID:1842853694,2-s2.0-1842853694,Publicaciones científicas de Costa Rica en el Science Citation Index: Análisis bibliométricos del trienio 1999-2001,Lomonte B.,Revista de Biologia Tropical,00347744,50,3-4,951-962,2002-09-01,September 2002,"This study analyzed the publications of authors from Costa Rican institutions that were included in the Science Citation Index (SCI) during 1999-2001. Out of the 722 references detected, distributed in 328 journals, 90.7% corresponded to original research articles. The total productivity figures showed a moderately increasing trend, both in absolute and population-adjusted terms, in concordance with previous data recorded for the period 1980-1998. The contribution of Revista de Biología Tropical to these figures corresponded to 10.0%, 8.9%, and 19.1%, for the years 1999, 2000, and 2001, respectively. The subject distribution of articles followed a similar pattern to that described for 1980-1998, with a predominance of biomedical (33.3%) and biological (27.5%) sciences, followed by agronomical (15.5%) sciences, chemistry (13.6%), physics (5.0%), geological sciences (3.6%), and mathematics (1.5%). Citation analyses for individual publications (up to July 15, 2002) revealed that only 45.2% of the articles had been cited at least once. The ten most cited references were analyzed, varying from 26 to 114 citations. The average citation per article was 2.60, and the average number of authors per article was 2.92. In agreement with data from 1980-1998. the University of Costa Rica appeared as the institution with highest productivity of SCI publications during 1999-2001, with a contribution of 50.0%. The percentage of publications performed without the participation of foreign co-authors showed a change in its decreasing trend of 1980-1998, stabilizing near the range of 25-30% during the period 1999-2001.",9,12947581,Journal,ar,Article,100,2,2,Bibliometry | Costa Rica | Publications | Sciences,13567,undefined,0,FALSE,6
true,https://api.elsevier.com/content/abstract/scopus_id/1842853684,SCOPUS_ID:1842853684,2-s2.0-1842853684,Nueva especie de Parathelohania (Microsporidia) en larvas de Anopheles aquasalis (Diptera: Culicidae) en Venezuela,Osborn F.,Revista de Biologia Tropical,00347744,50,3-4,1045-1053,2002-09-01,September 2002,"The symptoms of Anopheles aquasalis larvae naturally infected by a microsporidium, and the ultrastructure of the infecting spores is described. The larvae were maintained under laboratory conditions in salt concentrations of 10 g/l and 20 g/l of water. Daily recordings of the mortality of the larvae were made and the dates of change of instar were noted. Infected larvae were processed for transmission electronic microscopy using conventional methods at pH 7.2 and 260 mOsm/l. The infection by the microsporidia was positively correlated with an increase in the mean duration of the fourth instar of 2.88 to 6.33 days in 10 g/l of salt and of 2.47 to 6.14 days in 20 g/l of salt. Larval mortality also increased by approximately 50% during this instar in both salt concentrations. Development time and survival were not affected during the other immature stages. The mature spores found in the intestines of infected larvae were barrel shaped and measured approximately 2.6 x 2.4 mm. The exospore has a collar shaped prolongation at the posterior end of the spore. The spores are uninuclear with a posterior vacuole. The polar filament is anisofilar with nine rings, five with a diameter of 58 nm each and four with a diameter of 23 nm each. The polarplast is lamellate, and more tightly packed in the apical region. The reduction of the survival of A. aquasalis larvae infected with the microsporidia, and the increase in the development time suggest that this parasite might have a potential as a biological control of this pest. The microsporidium described here has similar characteristics to that of the genus Parathelohania. I suggest that the microsporidium found in A. aquasalis represents a new species and I propose the name Parathelohania aquasalensis. This is the first report of a microsporidium from a dipteran in Venezuela.",2,12947588,Journal,ar,Article,100,1,1,Anopheles aquasalis | Larvae | Microsporidia | Parasite | Parathelohania,13567,undefined,0,FALSE,7
true,https://api.elsevier.com/content/abstract/scopus_id/1842853682,SCOPUS_ID:1842853682,2-s2.0-1842853682,"Experimental taphonomy of velvet worms (Onychophora) and implications for the Cambrian ""explosion, disparity and decimation"" model",Monge-Nájera J.,Revista de Biologia Tropical,00347744,50,3-4,1133-1138,2002-09-01,September 2002,"Experimental preservation of velvet worms (phylum Onychophora), a very rare but evolutionarily important group that has existed for more than 500 million years, showed that the absence of bucal parts, adhesive-expelling organs, gonopore, eyes, legs, claws, annulation and papillation in fossils may not represent absence in the living animals. In fossils, leg thickness and claw orientation can be unreliable. The experiments indicate that not only absence, but even presence of certain structures can simply be the result of tissue decomposition. Computer-aided photorealistic reconstructions of fossil onychophorans are presented. We recommend future researchers to conduct taphonomy experiments specially before analysing unusual fossils.",6,12947596,Journal,ar,Article,100,2,2,Cambrian | Evolution | Fossil | Model | Onychophora | Photorealistic reconstruction | Taphonomy,13567,undefined,0,FALSE,8
true,https://api.elsevier.com/content/abstract/scopus_id/1842831794,SCOPUS_ID:1842831794,2-s2.0-1842831794,"Moluscos asociados a las raíces sumergidas del mangle rojo Rhizophora mangle, en el Golfo de Santa Fe, Estado Sucre, Venezuela",Márquez B.,Revista de Biologia Tropical,00347744,50,3-4,1101-1112,2002-09-01,September 2002,"A qualitative and quantitative monthly study of the mollusks community associated to the submerged roots of the red mangrove, Rhizophora mangle (L.), between October of 1998 and September of 1999, in six stations of the Gulf of Santa Fe, (Sucre State, Venezuela). Were collected 4 704 specimens, 45 species of mollusks were identified (22 gastropods, 15 bivalves and 8 chitons). The most abundant species were: Crassostrea rhizophorae, Isognomon bicolor, I. alatus and Brachidontes exustus. The highest values in diversity and evenness, and the smallest dominant values, were in the stations three and four, while the opposed happened in the stations one and two. The analysis of likeness showed that in the first five stations the space variations in the composition of the community are bigger than the temporary variations, while in the station six the temporary differences prevail. They were factors that could be important to determine the structure of the community, as vicinity to other ecosystems and/or specific biological aspects of the species like adaptations to fluctuating conditions, nutritious habits and migration in search of shady and protected atmospheres.",19,12947593,Journal,ar,Article,100,2,2,Associate fauna | Mangrove | Mollusks | Rhizophora mangle | Santa Fe gulf,13567,undefined,0,FALSE,9
true,https://api.elsevier.com/content/abstract/scopus_id/0142121444,SCOPUS_ID:0142121444,2-s2.0-0142121444,Una cuestiön de peso y de posiciön,Seijo C.,Revista de Biologia Tropical,00347744,50,3-4,875-878,2002-09-01,September 2002,NA,15,12947574,Journal,re,Review,100,1,1,NA,13567,undefined,0,FALSE,10
