@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:description,fund-sponsor,fund-acr,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/84974450016,SCOPUS_ID:84974450016,2-s2.0-84974450016,Canopy openings in a primary neotropical lowland forest,Sanford R.,Journal of Tropical Ecology,02664674,14697831,2,3,277-282,1986-01-01,August 1986,10.1017/S0266467400000894,69,Journal,ar,Article,100,3,3,canopy openings | Costa Rica | gaps | tropical forest,23435,undefined,0,FALSE,1,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84974403738,SCOPUS_ID:84974403738,2-s2.0-84974403738,"Fruiting and frugivores at a strangler fig in the tropical rain forest of Los Tuxtlas, Mexico",Coates-Estrada R.,Journal of Tropical Ecology,02664674,14697831,2,4,349-357,1986-01-01,November 1986,10.1017/S0266467400000985,51,Journal,ar,Article,100,2,2,Ficus | frugivory | Mexico | seed dispersal | tropical rain forest,23435,undefined,0,FALSE,2,"Diurnal and nocturnal censuses were conducted on animal visitors at a single strangler Ficus aff. cotinifolia (H.B.K.) tree during the entire period of ripe fruit availability. Fruit fall to the ground was measured with fruit traps, and chemical analyses were conducted on the figs. Fourteen species of birds, four species of nonvolant mammals and two species of bats consumed the figs. Of the total number of ripe figs accounted for during the sampling period (N = 1.9 × 105), 42% fell to the ground, 45% were removed by mammals and 13% by birds. Frugivores such as the howling monkey Alouatta palliata, the cacomistle Bassariscus sumichrasti, the keel-billed toucan Ramphastos sulphuratus and fruit-eating bats removed the largest amounts of figs from the tree and deposited seeds of 13 plant species other than figs below the tree crown. © 1986, Cambridge University Press. All rights reserved.",NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84974173137,SCOPUS_ID:84974173137,2-s2.0-84974173137,The secretion of the temporal gland of the African elephant Loxodonta africana as an elephant repellent,Gorman M.,Journal of Tropical Ecology,02664674,14697831,2,2,187-190,1986-01-01,May 1986,10.1017/S0266467400000766,9,Journal,ar,Article,100,1,1,African elephant | behaviour | repellents | temporal glands,23435,undefined,0,FALSE,3,NA,Carnegie Trust for the Universities of Scotland,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84974132775,SCOPUS_ID:84974132775,2-s2.0-84974132775,"Reproductive response of Gerbillus harwoodii to 6-MBOA in the Kora National Reserve, Kenya",Alibhai S.K.,Journal of Tropical Ecology,02664674,14697831,2,4,377-379,1986-01-01,November 1986,10.1017/S0266467400001012,16,Journal,ar,Article,100,1,1,6-Methoxybenzoxazolinone (6-MBOA) | Africa | breeding | Gerbillus | Kenya | small mammals,23435,undefined,0,FALSE,4,NA,University of London,UoL,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84974126978,SCOPUS_ID:84974126978,2-s2.0-84974126978,"The reinfestation of forest rats (Maxomys musschenbroekii) by epifaunistic arthropods in Sulawesi, Indonesia",Durden L.,Journal of Tropical Ecology,02664674,14697831,2,3,283-286,1986-01-01,August 1986,10.1017/S0266467400000900,5,Journal,ar,Article,100,1,1,ectoparasites | rats | reinfestations | Sulawesi,23435,2946-84,0,FALSE,5,NA,National Geographic Society,NGS,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84974065997,SCOPUS_ID:84974065997,2-s2.0-84974065997,The mangrove understory: Some additional observations,Corlett R.,Journal of Tropical Ecology,02664674,14697831,2,1,93-94,1986-01-01,February 1986,10.1017/S0266467400000651,21,Journal,ar,Article,100,1,1,Malaysia | mangrove | swamp forest | understory,23435,undefined,0,FALSE,6,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84974059114,SCOPUS_ID:84974059114,2-s2.0-84974059114,Mangrove understory: An expensive luxury?,Lugo A.E.,Journal of Tropical Ecology,02664674,14697831,2,3,287-288,1986-01-01,February 1986,10.1017/S0266467400000912,35,Journal,ar,Article,100,1,1,mangrove | stress | understory,23435,undefined,0,FALSE,7,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84905718740,SCOPUS_ID:84905718740,2-s2.0-84905718740,The significance of crown architecture in Acacia albida in the Sudan,Ismail A.M.A.,Journal of Tropical Ecology,02664674,14697831,2,1,51-54,1986-01-01,February 1986,10.1017/S0266467400000596,3,Journal,ar,Article,100,1,1,Acacia | light | phenology | Sudan | tree architecture,23435,undefined,0,FALSE,8,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022887294,SCOPUS_ID:0022887294,2-s2.0-0022887294,Movement and spatial distribution of the Nile rat ( Arvicanthis niloticus) in Kenya.,Delany M.,Journal of Tropical Ecology,02664674,NA,1,2,110-130,1986-01-01,1986,NA,6,Journal,ar,Article,100,2,2,NA,23435,undefined,0,FALSE,9,"Movement and spatial distribution of Nile rats were traced through phases of a low density population from January to August 1981, a rapidly growing population from September to January 1982, and a high and declining post-reproductive population from February to April 1982. Apart from late in the population cycle there was considerable movement, interchange and establishment of new ranges. As the population increased individual ranges became smaller. The rats apparently preferred field edges. Females frequently established themselves at certain sites where they produced their litters; some of the offspring remained with the mother in the warren. Outsiders of both sexes joined these warrens. Males were generally more wide-ranging than females. Agricultural practices, eg mowing and trampling by cattle, influenced the rats' preparedness to remain within a particular location. -from Authors",NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022857436,SCOPUS_ID:0022857436,2-s2.0-0022857436,Floristic and structural changes during old-fleld succession in the Mexican tropics in relation to site history and species availability,Purata S.E.,Journal of Tropical Ecology,02664674,14697831,2,3,257-276,1986-01-01,August 1986,10.1017/S0266467400000882,74,Journal,ar,Article,100,1,1,direct eradient analysis | disturbance | Mexico | multivariate methods | secondary | species availability | succession | tropical rain forest,23435,undefined,0,FALSE,10,"Community patterns along a successional sequence of abandoned fields within a tropical rain forest environment are described in terms of floristic composition and structure. Temporal patterns were summarized and main axes of variation extracted by multivariate methods. External factors — length of cropping period, regrowth age, and proportion of the perimeter occupied by forest communities or remnants (here called forested perimeter) — were related to floristic and structural data on 40 sites. Multivariate direct gradient analysis showed overall floristic development to be positively related to regrowth age and forested perimeter, and negatively related to length of cropping period. Structural development was shown by multiple regression to be positively related to regrowth age and negatively to length of cropping period; but forested perimeter had no significant relation to site structure. The type of crop grown showed no significant relation with floristic or structural development of the reerowth. These results indicate that the conditions of the vegetation around a site have a great effect on community recovery, particularly in its species composition, whilst structure seems to be affected more directly by parameters which imply time. © 1986, Cambridge University Press. All rights reserved.",Universidad Nacional Autónoma de México,UNAM,NA,NA
