@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:description
true,https://api.elsevier.com/content/abstract/scopus_id/0000194619,SCOPUS_ID:0000194619,2-s2.0-0000194619,An analysis of diet selection by large generalist herbivores,Westoby M.,American Naturalist,00030147,108,961,290-304,1974-12-01,1974,10.1086/282908,327,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,1,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016355257,SCOPUS_ID:0016355257,2-s2.0-0016355257,Ecological strategies and population parameters,Southwood T.,American Naturalist,00030147,108,964,791-804,1974-01-01,1974,10.1086/282955,148,Journal,ar,Article,100,4,4,12604,undefined,0,FALSE,2,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016353829,SCOPUS_ID:0016353829,2-s2.0-0016353829,Multiple stable points in natural communities,Sutherland J.,American Naturalist,00030147,108,964,859-873,1974-01-01,1974,10.1086/282961,498,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,3,"Evidence is presented which indicates the importance of historical events in determining the structure of a variety of natural communities. In the fouling community at Beaufort, North Carolina, the order of larval recruitment determined which species monopolized the available space during initial community development. In other systems, community structure could be explained only by referring to the specific historical events which determined the presence or absence of important consumers. Since history was relevant to the observed community structure, multiple stable points are an undeniable reality in space and time in these systems."
true,https://api.elsevier.com/content/abstract/scopus_id/0016319578,SCOPUS_ID:0016319578,2-s2.0-0016319578,Theoretical considerations of unequal sex ratios,Spieth P.,American Naturalist,00030147,108,964,837-849,1974-01-01,1974,10.1086/282959,16,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,4,"A generalized, single locus model was developed to investigate the evolutionary behavior of an autosomal locus capable of modifying the primary sex ratio. The model analytically incorporates effects of any differential fecundity and viability associated with different primary sex ratios. Computer simulation based upon the model confirms, for the most part, MacArthur's prediction that evolution will produce a sex ratio that maximizes the product of the number of daughters in the population times the number of sons in the population. Some exceptions to MacArthur's principle are noted, arising from certain kinds of dominance relations at the modifier locus. Analysis of the effects of differential viability shows that the stage in the life cycle to which MacArthur's principle applies is that stage at which male mortality and female mortality both cease to differ between families possessing different sex ratios. In particular, as previously shown by Shaw and Mohler, differences in viability that depend solely upon an individual's sex have no effect upon the primary sex ratio and cannot, by themselves, be invoked as an explanation for non one to one primary sex ratios. Some possible sources of differential fecundity and viability capable of producing unequal primary sex ratios are discussed."
true,https://api.elsevier.com/content/abstract/scopus_id/0016318426,SCOPUS_ID:0016318426,2-s2.0-0016318426,"Environmental certainty, trophic level, and resource availability in life history evolution",Wilbur H.,American Naturalist,00030147,108,964,805-817,1974-01-01,1974,10.1086/282956,118,Journal,ar,Article,100,3,3,12604,undefined,0,FALSE,5,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016314859,SCOPUS_ID:0016314859,2-s2.0-0016314859,The role of environmental grain in the maintenance of genetic variation,Gillespie J.,American Naturalist,00030147,108,964,831-836,1974-01-01,1974,10.1086/282958,24,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,6,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016298499,SCOPUS_ID:0016298499,2-s2.0-0016298499,The behavioral phenotype in mice,Parsons P.A.,American Naturalist,00030147,108,961,377-385,1974-01-01,1974,10.1086/282915,7,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,7,"Three inbred strains of mice showed characteristic behavioral phenotypes. BALB/c and C57BL were usually extreme and C3H intermediate. This applies to open field activity, exploratory activity, open field emotionality, and temperature preference. The same was found for weight, skeletal divergence, body temperature, and abdominal hair density. Since skeletal variants must be associated with variants of the muscular, nervous, and vascular systems, associated behavioral variants leading to overall behavioral phenotypes are likely. None of these traits showed heterosis, and they are probably controlled by stabilizing selection. For learning as measured in a conditioned avoidance apparatus, the above sequence of strains was not found, and sequences varied according to the mode of assessing learning. Heterosis was found, indicating directional selection for higher fitness, that is, greater learning ability. Heterosis was also found for long tails, there being little difference between inbred strains for tail length. Hence the two traits showing a component of directional selection as shown by heterosis are exceptional for the ordering of the inbred strains."
true,https://api.elsevier.com/content/abstract/scopus_id/0016249654,SCOPUS_ID:0016249654,2-s2.0-0016249654,The direction of lower primate evolution: an old hypothesis revived,Minkoff E.,American Naturalist,00030147,108,962,519-532,1974-01-01,1974,10.1086/282931,2,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,8,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0016165183,SCOPUS_ID:0016165183,2-s2.0-0016165183,The superficial masseter and gape in mammals,Herring S.W.,American Naturalist,00030147,108,962,561-576,1974-01-01,1974,10.1086/282934,153,Journal,ar,Article,100,2,2,12604,undefined,0,FALSE,9,"A geometrical model was developed, relating gape to the orientation of the superficial masseter muscle. The degree to which the muscle must stretch depends on relative distances of its origin and insertion from the craniomandibular joint and the angle between these line segments. Assumptions of the model are considered. Measurements on a variety of placental skulls demonstrated the validity of predictions derived from the model. This method of analysis can be applied to other adductor muscles."
true,https://api.elsevier.com/content/abstract/scopus_id/0015994140,SCOPUS_ID:0015994140,2-s2.0-0015994140,"'Sex ratio', meiotic drive, and group selection in Drosophila pseudoobscura",Policansky D.,American Naturalist,00030147,108,959,75-90,1974-01-01,1974,10.1086/282886,18,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,10,"'Sex ratio' (SR) is a widespread genetic condition of the X chromosome in Drosophila species which causes males to produce progenies consisting almost entirely of females. Results of samples from natural populations of Drosophila pseudoobscura and results of some laboratory experiments indicate that SR males produce only about half as many sperm as normal (ST) males; because of this deficiency, SR males are able to fertilize only about half as many eggs as ST males. These results explain the observed equilibria of frequencies of SR in natural populations, and suggest that, at least in the case of D. pseudoobscura, male fertility may be partly limited by the number of sperm males can produce."
true,https://api.elsevier.com/content/abstract/scopus_id/0015990181,SCOPUS_ID:0015990181,2-s2.0-0015990181,The survival of a mutant gene and the maintenance of polymorphism in subdivided populations,Pollak E.,American Naturalist,00030147,108,959,20-28,1974-01-01,1974,10.1086/282882,4,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,11,"The usual way to derive conditions for the maintenance of polymorphism in a subdivided population is to show that trivial equilibria, representing the absence or sole presence of a gene in all subpopulations, are unstable. The theory is deterministic and is based on the implicit assumption that all genes are so numerous that sampling fluctuations need not be considered. It is shown that if heterozygotes carrying a new mutant gene differ in viability from the wild type in at least one subpopulation, conditions for survival of this gene are the same as those that have been given for instability of the trivial equilibrium associated with the gene being absent in all subpopulations. It is also shown for a model of Levene (1953), that the condition for survival of a recessive gene is the same as the condition for instability of the equilibrium associated with the absence of the gene from all subpopulations. The survival probability in a large population is of a much smaller order of magnitude than it would be if the mutant gene showed some dominance. This difference is not evident in deterministic treatments of the problem."
