@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0006471148,SCOPUS_ID:0006471148,2-s2.0-0006471148,The effect of soft selection on the variability of a quantitative trait,García-Dorado A.,Evolution,00143820,15585646,44,1,168-179,1990-02-01,February 1990,10.1111/j.1558-5646.1990.tb04287.x,"The equilibrium phenotypic variance (σ2) of a normally distributed quantitative character P under soft selection is studied. This character is assumed to undergo Gaussian stabilizing selection W(p, x) = exp[-(p - x)2 /2w2 ]. The environmentally determined optimum (x) is a normal variable with variance s2 . A stable equilibrium with σ2=S2-w2 is found, so that σ2 increases both with increasing environmental heterogeneity and with increasing local intensity of stabilizing selection. It is shown that both genetic and environmental components of the variance are selected until this equilibrium is reached. Habitat selection, supposed to be normal (with variance H2 ) around the optimum, also increases the σ2 value. Nevertheless, relatively intense local stabilizing selection (w < s) and accurate habitat choice (H < s) are required for the initial spread and the evolutionary stability of this habitat selection.",5,Journal,ar,Article,100,1,1,22104,CAICYT,undefined,Comisión Asesora de Investigación Científica y Técnica,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0025694383,SCOPUS_ID:0025694383,2-s2.0-0025694383,Accuracy of estimated phylogenies: effects of tree topology and evolutionary model,Rohlf F.J.,Evolution,00143820,NA,44,6,1671-1684,1990-01-01,1990,10.1111/j.1558-5646.1990.tb03855.x,"A simulation study was carried out to investigate the relative importance of tree topology (both balance and stemminess), evolutionary rates (constant, varying among characters, and varying among lineages), and evolutionary models in determining the accuracy with which phylogenetic trees can be estimated. The 3 evolutionary context models were phyletic (characters can change at each simulated time step), speciational (changes are possible only at the time of speciation into 2 daughter lineages), and punctuational (changes occur at the time of speciation but only in one of the daughter lineages). UPGMA clustering and maximum parsimony (""Wagner trees') methods for estimating phylogenies were compared. The three evolutionary context models had the largest influence on accuracy of estimates by both methods. The next most important effect was that of the stemminess × context interaction. Overall, maximum parsimony yielded more accurate trees than UPGMA. The great majority of estimated phylogenetic trees are likely to be quite inaccurate. -from Authors",93,Journal,ar,Article,100,4,4,22104,NA,undefined,NA,1,TRUE,2,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025694382,SCOPUS_ID:0025694382,2-s2.0-0025694382,Phylogenesis of insect/plant interactions: have Phyllobrotica leaf beetles (Chrysomelidae) and the Lamiales diversified in parallel?,Farrell B.,Evolution,00143820,NA,44,6,1389-1403,1990-01-01,1990,10.1111/j.1558-5646.1990.tb03834.x,"Comparison of phylogeny estimates for the strictly monophagous Phyllobrotica leaf beetles and their lamialean hostplants shows nearly complete concordance, strongly supporting the hypothesis of parallel diversification. The dependence of both larval and adult beetles on the hostplants, larval endophagy, and possible dependence of beetles on toxic host compounds for defense against predators are suggested to underlie the evolutionary persistence of this interaction. -from Authors",127,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,1,TRUE,3,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025694087,SCOPUS_ID:0025694087,2-s2.0-0025694087,Habitat choice by allelic variants in Xiphophorus variatus (Pisces: Poeciliidae) and implications for maintenance of genetic polymorphism,Borowsky R.,Evolution,00143820,NA,44,5,1338-1345,1990-01-01,1990,10.1111/j.1558-5646.1990.tb05236.x,"Stream pools in NE Mexico exhibit gradients in dissolved oxygen (DO) concentration with low DO at the upstream ends. These pools contain populations of variable platyfish which are polymorphic at an autosomal locus that affects tailspot pigmentation. Adult males of the cut-crescent morph have a lower metabolic rate than wild type males. Among adult males, all morphs were found in equal proportions at the upstream and downstream ends of the pools, except cut-crescents, which were distributed preferentially toward the upstream ends. The opposite distributional pattern was found among adult females. Habitat choice may contribute to the stability of the tailspot polymorphism, especially because preferences differing between the sexes can lead to disassortative mating -from Author",18,Journal,ar,Article,100,1,1,22104,NA,undefined,NA,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0025694081,SCOPUS_ID:0025694081,2-s2.0-0025694081,The evolutionary genetic status of Icelandic eels,Avise J.C.,Evolution,00143820,NA,44,5,1254-1262,1990-01-01,1990,10.1111/j.1558-5646.1990.tb05229.x,"Molecular data, in conjunction with the geographic distributions, strongly suggest that the differences in migrational behavior and morphology between American and European eels include an important additive genetic component. Evolutionary hypotheses are advanced to account for the original separation of North Atlantic eels into American and European populations, and for the presence of hybrids in Iceland -from Authors",118,Journal,ar,Article,100,6,6,22104,NA,undefined,NA,1,TRUE,5,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025693844,SCOPUS_ID:0025693844,2-s2.0-0025693844,Components of flowering time variation in a desert annual,Fox G.A.,Evolution,00143820,NA,44,6,1404-1423,1990-01-01,1990,10.1111/j.1558-5646.1990.tb03835.x,"Differences in flowering time between Sonoran (earlier flowering) and Chihuahuan Desert (later flowering) populations of Eriogonum abertianum (Polygonaceae) are significant, and persist into a second greenhouse generation. Many fewer Sonoran than Chihuahuan Desert plants survive to the summer rainy season, suggesting selection for earlier flowering in the Sonoran Desert. Within natural populations there is considerable phenological complexity: time of first flowering varies by up to 6 months, and individuals may have 0, 1 or several reproductive episodes. The resemblance between parents and offspring for size and time of flowering varied with growth conditions, suggesting that this marginal variation among families may be at least partly due to factors other than additive genetic variance. Moisture limitation significantly delayed onset of flowering. Variation in moisture availability in both time and space is characteristic of desert environments. The phenological complexity in natural populations may thus be generated by random variation in moisture availability, possibly in conjunction with variation in germination date and plant size. -from Author",43,Journal,ar,Article,100,1,1,22104,NA,undefined,NA,1,TRUE,6,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025693830,SCOPUS_ID:0025693830,2-s2.0-0025693830,Fluctuating selection and response in a population of freshwater copepods,Hairston N.G.,Evolution,00143820,NA,44,7,1796-1805,1990-01-01,1990,10.1111/j.1558-5646.1990.tb05250.x,"Timing of springtime production of diapausing eggs by a population of Diaptomus sanguineus is consistent with avoidance of seasonally intense fish predation. Natural selection acting on the timing of diapause fluctuates between years depending upon the population density of fish. Diapause is earlier in years following high predator density, and is later in years following low predator density. Although selection intensity in individual years may be large, the mean intensity over the decade of fluctuating selection investigated here is close to zero. Photoperiod sensitivity of the diapause-timing trait is heritable in the laboratory. The combination of fluctuating selection and multi-generation storage of genotypes as diapausing eggs in lake sediments may contribute to the maintenance of the genetic variation that permits the rapid selection response seen in the field. -from Authors",110,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,1,TRUE,7,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025693674,SCOPUS_ID:0025693674,2-s2.0-0025693674,Dynamics of sexual selection in diploid populations,Heisler I.L.,Evolution,00143820,NA,44,5,1164-1176,1990-01-01,1990,10.1111/j.1558-5646.1990.tb05223.x,"Describes results for a diploid, 2-locus model for the evolution of a female mating preference directed at an attractive male trait subject to viability and/or fertility selection. Using computer simulation, the authors studied a large, random sample of parameter values, assuming additivity of alleles at the preference locus and partial dominance at the trait locus. Results were classifiable into 9 types of parameter sets, each differing in equilibria, evolutionary trajectories, and rates of evolution. For many parameters, evolutionary trajectories converged on curves within the allelic frequency plane and subsequently evolved along the curves toward fixation. Neutrally stable curves of equilibria did not occur in Fisherian models that assume only viability and sexual selection unless there is complete dominance at the trait locus. The Fisherian models also exhibited oscillation of allelic frequencies and unique polymorphic equilibria. ""Sexy son' models in which attractive males had reduced fertility were much less likely to lead to increase in traits and preferences than were the Fisherian models. However, if less fertile males had increased viability, trait polymorphisms and fixation of rare ""sexy' alleles occurred. -from Authors",18,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,1,TRUE,8,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0025693627,SCOPUS_ID:0025693627,2-s2.0-0025693627,Why mothers do not resist infanticide: a cost-benefit genetic model,Yamamura N.,Evolution,00143820,NA,44,5,1346-1357,1990-01-01,1990,10.2307/2409294,"A hypothesis that mothers can recover lost offspring by gaining more grandchildren is rejected in most cases. Costs and benefits for both males and females have the strongest influence on the evolution of infanticide and obedience to it. An estimation of parameters for a natural population of hanuman langurs Presbytis entellus suggest that infanticide is more advantageous than non-infanticide and the costs of resistance, compared to obedience, is higher than its benefits. -from Authors",4,Journal,ar,Article,100,3,3,22104,NA,undefined,NA,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0025693599,SCOPUS_ID:0025693599,2-s2.0-0025693599,The evolution of reproductive isolation as a correlated character under sympatric conditions: experimental evidence,Rice W.R.,Evolution,00143820,NA,44,5,1140-1152,1990-01-01,1990,10.1111/j.1558-5646.1990.tb05221.x,"Tests the hypothesis that disruptive selection on habitat preference can lead to sympatric speciation when individuals mate locally within their selected habitat. Drosophila melanogaster was used as a model system. A 35-generation experiment using a complex habitat maze led to complete reproductive isolation between subpopulations using different spatiotemporal habitats. The reproductive isolation that developed over the course of the experiment was a result of offspring returning to mate in the habitat type selected by their parents, ie a gradual breakdown in migration between habitats. -from Authors",117,Journal,ar,Article,100,2,2,22104,NA,undefined,NA,1,TRUE,10,all,All Open Access
