@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,dc:description
true,https://api.elsevier.com/content/abstract/scopus_id/0018253563,SCOPUS_ID:0018253563,2-s2.0-0018253563,Genetic differentiation in two members of the Drosophila athabasca complex,Johnson D.L.E.,Evolution,00143820,32,4,798-811,1978-01-01,1978,10.1111/j.1558-5646.1978.tb04634.x,11,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,1,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0018248709,SCOPUS_ID:0018248709,2-s2.0-0018248709,Primate skeletal allometry and hominoid evolution,Corruccini R.S.,Evolution,00143820,32,4,752-758,1978-01-01,1978,10.1111/j.1558-5646.1978.tb04628.x,13,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,2,"One hypothesis explains the derived body proportion pattern of living hominoids as an inevitable outcome of parallel acquisition of increased body size in the great apes and man. A multivariate allometric analysis of skeletal proportions within New World monkeys, Old World monkeys and prosimians does indicate some tendency for the larger members to exhibit growth patterns that converge on hominoid characteristics. However, these interspecific allometries are too weakly manifested to serve as an adequate explanation for shared hominoid differences from monkeys. This fact increases the probability that hominoid proportions are synapomorphies reflecting a common ancestor that was fully specialized rather than generalized."
true,https://api.elsevier.com/content/abstract/scopus_id/0017892813,SCOPUS_ID:0017892813,2-s2.0-0017892813,Genetic variation associated with growth rate in the American oyster (Crassostrea virginica),Singh S.M.,Evolution,00143820,32,2,342-353,1978-01-01,1978,10.2307/2407602,154,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,NA,NA,3,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017890346,SCOPUS_ID:0017890346,2-s2.0-0017890346,Genetic differentiation in salamanders of the Desmognathus ochrophaeus complex (Plethodontidae),Tilley S.G.,Evolution,00143820,32,1,93-124,1978-01-01,1978,10.2307/2407413,35,Journal,ar,Article,100,4,4,22104,undefined,0,FALSE,NA,NA,4,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017890345,SCOPUS_ID:0017890345,2-s2.0-0017890345,"Genetic variation in isolated populations of the Australian bush-rat, Rattus fuscipes",Schmitt L.H.,Evolution,00143820,32,1,1-14,1978-01-01,1978,10.2307/2407406,38,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,NA,NA,5,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017886203,SCOPUS_ID:0017886203,2-s2.0-0017886203,Demographic and genetic responses of two strains of Tribolium castaneum to a novel environment,McCauley D.E.,Evolution,00143820,32,2,398-415,1978-01-01,1978,10.1111/j.1558-5646.1978.tb00655.x,9,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,6,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017886202,SCOPUS_ID:0017886202,2-s2.0-0017886202,A multivariate analysis of behavioral divergence among closely related species of endemic Hawaiian Drosophila,Ringo J.,Evolution,00143820,32,2,389-397,1978-01-01,1978,NA,15,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,NA,NA,7,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017871739,SCOPUS_ID:0017871739,2-s2.0-0017871739,Courtship patterns and evolution of the Drosophila adiastola and Planitibia species subgroups,Spieth H.T.,Evolution,00143820,32,2,435-451,1978-01-01,1978,10.1111/j.1558-5646.1978.tb00658.x,39,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,8,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017857649,SCOPUS_ID:0017857649,2-s2.0-0017857649,Reproductive adaptations among viviparous fishes (Cyprinodontiformes: Poeciliidae),Thibault R.E.,Evolution,00143820,32,2,320-333,1978-01-01,1978,10.1111/j.1558-5646.1978.tb00648.x,156,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,NA,NA,9,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017851333,SCOPUS_ID:0017851333,2-s2.0-0017851333,Genetic differentiation between species of the genus Speyeria (Lepidoptera: Nymphalidae),Brittnacher J.G.,Evolution,00143820,32,1,199-210,1978-01-01,1978,10.2307/2407420,37,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,NA,NA,10,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017821552,SCOPUS_ID:0017821552,2-s2.0-0017821552,Biological variability in the parthenogenetic grasshopper Warramaba virgo (Key) and its sexual relatives. II. The Western Australian taxa,Atchley W.R.,Evolution,00143820,32,2,375-388,1978-01-01,1978,10.1111/j.1558-5646.1978.tb00653.x,11,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,11,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017819695,SCOPUS_ID:0017819695,2-s2.0-0017819695,Correlations of quantitative parameters of fecundity in amphibians,Kuramoto M.,Evolution,00143820,32,2,287-296,1978-01-01,1978,10.1111/j.1558-5646.1978.tb00644.x,74,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,12,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0017817206,SCOPUS_ID:0017817206,2-s2.0-0017817206,Selection at electrophoretic loci for reproductive parameters in island and mainland voles,Kohn P.,Evolution,00143820,32,1,15-28,1978-01-01,1978,10.2307/2407407,12,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,NA,NA,13,NA
