@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:pageRange,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/33845277775,SCOPUS_ID:33845277775,2-s2.0-33845277775,Biological stoichiometry: A chemical bridge between ecosystem ecology and evolutionary biology,Elser J.,American Naturalist,00030147,168,SUPPL.,2006-12-01,December 2006,10.1086/509048,"The mission of the American Society of Naturalists is ""to advance and diffuse knowledge of organic evolution and other broad biological principles so as to enhance the conceptual unification of the biological sciences."" In this article, I argue that the area of biology least integrated with knowledge of organic evolution is the field of ecosystem ecology, as evidenced by a semiquantitative literature survey of use of terms in the scientific literature. I present an overview of recent theoretical developments and empirical findings in the emerging field of biological stoichiometry (the study of the balance of energy and multiple chemical elements in living systems). These developments hold some promise as a means to conceptually integrate ecosystem ecology, with its emphasis on flows and pools of energy and chemical elements, with evolutionary biology, with its emphasis on genetic fitness and the biochemical products of the genome. For example, recent evidence indicates that organismal C:P and N:P ratios have a major impact on biologically mediated flows of energy and phosphorus; in turn, variations among taxa in these ratios are connected to evolved differences in organismal growth rate because of the connection between growth rate and the need for increased allocation to P-rich ribosomal RNA. In this way, evolutionary change in growth-related traits, by altering organismal P requirements, has direct biogeochemical implications, while ecosystem conditions can constrain evolutionary acceleration of growth rates by imposing a direct P limitation on production of the needed biochemical machinery of growth. Thus, stoichiometric theory provides a broad biological principle that can interconvert the currencies and concerns of ecosystem ecology and evolutionary biology, facilitating integration of diverse fields of study and contributing to conceptual unification of the biological sciences. © 2006 by The University of Chicago. All rights reserved.",97,17109326,Journal,cp,Conference Paper,100,1,1,Biological stoichiometry | Ecosystem | Evolution | Growth rate | Phosphorus,12604,undefined,0,FALSE,1,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845275333,SCOPUS_ID:33845275333,2-s2.0-33845275333,Manipulating lek size and composition using decoys: An experimental investigation of lek evolution models,Jiguet F.,American Naturalist,00030147,168,6,2006-12-01,December 2006,10.1086/508808,"Four theoretical models have been proposed to account for the origin and maintenance of leks: hotspot, female preference, hotshot, and black hole models. Each has been validated in particular cases, and most are not mutually exclusive; therefore, it has been difficult to contrast and separate them, empirically and experimentally. By using decoys to mimic natural leks in the little bustard, artificial leks attracted wild birds. Then, by manipulating artificial lek size and structure (sex ratio, male phenotype), the study of responses of wild males and females allowed us to test specific predictions derived from the four classical models of lek evolution. The hotspot model was not supported because female decoys did not attract wild males. Conversely, hotshot males do exist in this species (attracting both wild females and males), as does a female preference for a particular lek size (four males). Finally, males aggressive toward decoys attracted fewer females, consistent with one of the mechanisms by which the black hole model may work. Therefore, three models of lek evolution were partly or fully supported by our experimental results: hotshot, female preference, and black hole models. We suggest that these models actually fit within each other, ensuring the evolution, functioning, and long-term maintenance of leks. © 2006 by The University of Chicago. All rights reserved.",42,17109318,Journal,ar,Article,100,2,2,Black hole | Exploded lek | Female preference | Hotshot | Hotspot | Little bustard,12604,undefined,0,FALSE,2,758-768,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845272938,SCOPUS_ID:33845272938,2-s2.0-33845272938,What hypotheses are you willing to entertain?,McPeek M.,American Naturalist,00030147,168,SUPPL.,2006-12-01,December 2006,10.1086/509053,"The 2005 American Society of Naturalists Vice-Presidential Symposium was organized on the theme of ""Integrating across Scientific Disciplines."" Integration implies considering some aspect of nature from disparate vantages that cut across disciplinary boundaries. The articles presented here illustrate that taking integrative approaches to addressing research questions yields much greater insights than do piecemeal contributions by separate fields. © 2006 by The University of Chicago. All rights reserved.",2,17109324,Journal,cp,Conference Paper,100,1,1,NA,12604,undefined,0,FALSE,3,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845272265,SCOPUS_ID:33845272265,2-s2.0-33845272265,Exploring evolutionary constraints is a task for an integrative evolutionary biology,Brakefield P.,American Naturalist,00030147,168,SUPPL.,2006-12-01,December 2006,10.1086/509049,"Judging by the volume of writings about evolutionary constraints, they are an important topic in evolutionary biology. However, their involvement in shaping patterns of evolutionary change from morphological stasis to adaptive radiation remains contentious. This is at least in part because of the paucity of robust analyses of potential examples of constraints, whether of a more absolute or a relative nature. Here, we argue that what is needed to explore the type of constraints and bias on evolutionary change that may emerge from the way in which phenotypic variation is generated is an integrative approach applied to systems that can be tackled at different levels of biological organization. This is illustrated using research on the evolution of patterns in butterfly wing eyespots that has applied a combination of evolutionary genetics and evo-devo to an emerging model species with the beginnings of a comparative approach to describe patterns of variability among the extant taxa of two species-rich genera. © 2006 by The University of Chicago. All rights reserved.",43,17109328,Journal,cp,Conference Paper,100,2,2,Butterfly eyespots | Developmental bias | Morphospace | Natural selection,12604,undefined,0,FALSE,4,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845271181,SCOPUS_ID:33845271181,2-s2.0-33845271181,Metapopulation dynamics and biological invasions: A spatially explicit model applied to a freshwater snail,Facon B.,American Naturalist,00030147,168,6,2006-12-01,December 2006,10.1086/508669,"The spatial spread of invading organisms is a major contemporary concern. We focus here on invasions in inherently fragmented habitats, such as freshwater systems, and explore the usefulness of metapopulation models in this context. Maximum-likelihood methods allow the estimation of colonization and extinction rates, as functions of habitat patch sizes and positions, from time series of presence/absence data. This framework also provides confidence intervals of these estimates and hypotheses tests. We analyze a previously unpublished 12-year survey of the spread of the introduced snail Tarebia granifera in 47 Martinican rivers. Simple metapopulation models reproduce with reasonable accuracy several quantitative aspects of the invasion, including regional abundance, spatiotemporal structure, and site-by-site colonization dates. Sensitivity analysis reveals that the invasion sequence depended strongly on metapopulation size (number of sites) and spatial structure (distances among sites). The invasion history has also been accelerated by stochastic events, as illustrated by a large, central river that happened to be colonized very early and served as an invasion pool. Finally, we discuss the benefits of this approach for the understanding of invasions in fragmented landscapes. © 2006 by The University of Chicago. All rights reserved.",34,17109319,Journal,ar,Article,100,2,2,Biological invasion | Fragmented habitats | Geographic spread | Stochasticity | Thiarid mollusks,12604,undefined,0,FALSE,5,769-783,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845270720,SCOPUS_ID:33845270720,2-s2.0-33845270720,Directional changes in ecological communities and social-ecological systems: A framework for prediction based on Alaskan examples,Chapin F.S.,American Naturalist,00030147,168,SUPPL.,2006-12-01,December 2006,10.1086/509047,"In this article we extend the theory of community prediction by presenting seven hypotheses for predicting community structure in a directionally changing world. The first three address well-studied community responses to environmental and ecological change: ecological communities are most likely to exhibit threshold changes in structure when perturbations cause large changes in limiting soil or sediment resources, dominant or keystone species, or attributes of disturbance regime that influence community recruitment. Four additional hypotheses address social-ecological interactions and apply to both ecological communities and social-ecological systems. Human responsiveness to short-term and local costs and benefits often leads to human actions with unintended long-term impacts, particularly those that are far from the site of decision making or are geographically dispersed. Policies are usually based on past conditions of ecosystem services rather than expected future trends. Finally, institutions that strengthen negative feedbacks between human actions and social-ecological consequences can reduce human impacts through more responsive (and thus more effective) management of public ecosystem services. Because of the large role that humans play in modifying ecosystems and ecosystem services, it is particularly important to test and improve social-ecological hypotheses as a basis for shaping appropriate policies for long-term ecosystem resilience. © 2006 by The University of Chicago. All rights reserved.",42,17109327,Journal,cp,Conference Paper,100,10,10,Common-pool resources | Community | Human impacts | Resilience | Social-ecological system | Threshold,12604,undefined,0,FALSE,6,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845263234,SCOPUS_ID:33845263234,2-s2.0-33845263234,The sorry state of F<inf>2</inf> hybrids: Consequences of rapid mitochondrial DNA evolution in allopatric populations,Burton R.,American Naturalist,00030147,168,SUPPL.,2006-12-01,December 2006,10.1086/509046,"Through the processes of natural selection and genetic drift, allopatric populations diverge genetically and may ultimately become reproductively incompatible. In cases of prezygotic reproductive isolation, candidate systems for speciation genes logically include genes involved in mate or gamete recognition. However, where only postzygotic isolation exists, candidate speciation genes could include any genes that affect hybrid performance. We hypothesize that because mitochondrial genes frequently evolve more rapidly than the nuclear genes with which they interact, interpopulation hybridization might be particularly disruptive to mitochondrial function. Understanding the potential impact of intergenomic (nuclear and mitochondrial) coadaptation on the evolution of allopatric populations of the intertidal copepod Tigriopus californicus has required a broadly integrative research program; here we present the results of experiments spanning the spectrum of biological organization in order to demonstrate the consequences of molecular evolution on physiological performance and organismal fitness. We suggest that disruption of mitochondrial function, known to result in a diverse set of human diseases, may frequently underlie reduced fitness in interpopulation and interspecies hybrids in animals. © 2006 by The University of Chicago. All rights reserved.",150,17109325,Journal,cp,Conference Paper,100,3,3,Cytonuclear coadaptation | Hybrid breakdown | Molecular divergence | mtDNA,12604,undefined,0,FALSE,7,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845259544,SCOPUS_ID:33845259544,2-s2.0-33845259544,Habitat selection responses of parents to offspring predation risk: An experimental test,Fontaine J.,American Naturalist,00030147,168,6,2006-12-01,December 2006,10.1086/508297,"The ability of nest predation to influence habitat settlement decisions in birds is widely debated, despite its importance in limiting fitness. Here, we experimentally manipulated nest predation risk across a landscape and asked the question, do migratory birds assess and respond to variation in nest predation risk when choosing breeding habitats? We examined habitat preference by quantifying the density and settlement date of eight species of migratory passerines breeding in areas with and without intact nest predator communities. We found consistently more individuals nesting in areas with reduced nest predation than in areas with intact predator assemblages, although predation risk had no influence on settlement or breeding phenology. Additionally, those individuals occupying safer nesting habitats exhibited increased singing activity. These findings support a causal relationship between habitat choice and nest predation risk and suggest the importance of nest predation risk in shaping avian community structure and breeding activity. © 2006 by The University of Chicago. All rights reserved.",123,17109323,Journal,ar,Article,100,2,2,Breeding density | Habitat selection | Nest initiation | Nest predation | Song rate,12604,undefined,0,FALSE,8,811-818,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845252887,SCOPUS_ID:33845252887,2-s2.0-33845252887,Vicariant origin of Malagasy reptiles supports late cretaceous antarctic land bridge,Noonan B.,American Naturalist,00030147,168,6,2006-12-01,December 2006,10.1086/509052,"Since the acceptance of Wegener's theory of plate tectonics in the 1960s, continental drift vicariance has been proposed as an explanation for pan-Gondwanan faunal distributions. Given the recognition of historical connections among continents, it no longer was necessary to invoke hypotheses of dispersal across nearly insurmountable barriers. The application of continental drift vicariance theory to Gondwanan floral and faunal distributions provided reasonable explanations for such unusual distributions as that of the southern beech (Nothofagus) and chameleons. However, recent studies have demonstrated a significant, if not dominant, role for dispersal in the present-day distributions of these and numerous other ""Gondwanan"" taxa. The evolutionary histories of three Malagasy groups (boid snakes, podocnemid turtles, and iguanid lizards) commonly have been interpreted as reflecting vicariance because of continental drift associated with the breakup of Gondwana. Bayesian analyses of divergence ages suggest that this pattern is the result of vicariance coincident with the isolation of Madagascar in the Late Cretaceous (∼80 million years ago). This represents the first temporal evidence linking the vicariant origin of extant Malagasy vertebrates to a single geologic event. Specifically, our data provide strong, independently corroborated evidence for a contiguous Late Cretaceous Gondwana, exclusive of Africa and connected via Antarctica. © 2006 by The University of Chicago. All rights reserved.",123,17109316,Journal,ar,Article,100,2,2,Boidae | Gondwana | Iguanidae | Madagascar | Podocnemidae | Vicariance,12604,undefined,0,FALSE,9,730-741,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33845246107,SCOPUS_ID:33845246107,2-s2.0-33845246107,Sexual conflict and the evolution of female preferences for indicators of male quality,Van Doorn G.S.,American Naturalist,00030147,168,6,2006-12-01,December 2006,10.1086/508634,"Males and females have opposing interests when it comes to the honesty of signals used in mate choice. The existence of this sexual conflict has long been acknowledged, but its consequences have not been fully investigated. By applying adaptive dynamics methods and individual-based computer simulations to a standard model for good-genes sexual selection, we show that sexual conflict over condition-dependent signaling can prevent the handicap process from ever attaining an evolutionary equilibrium. We outline the parameter conditions and properties of the underlying genetics conducive to nonequilibrium behavior and discuss the potential of such behavior to explain the elaboration and frequent phylogenetic loss of sexually selected traits. We also evaluate its consequences for well-established insights of sexual selection theory previously shown to apply when female mating preference and male ornament expression do converge on stable equilibrium levels. Contrary to equilibrium expectation, a continual change of condition-dependent signaling enables the evolution of a costly preference for a pure epistatic indicator and the evolution of preferences for redundant signals or a large number of independent ornaments. We thus conclude that seemingly general results of sexual selection theory, insofar as these are based on equilibrium considerations, do not extend to cases where nonequilibrium behavior occurs. © 2006 by The University of Chicago. All rights reserved.",35,17109317,Journal,ar,Article,100,2,2,Adaptive dynamics | Condition-dependent handicap | Multiple ornaments | Nonequilibrium dynamics | Revealing handicap,12604,undefined,0,FALSE,10,742-757,all,All Open Access,NA,NA
