@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0342960861,SCOPUS_ID:0342960861,2-s2.0-0342960861,Low intraspecific variation for genomic isolation between hybridizing sunflower species,Alex Buerkle C.,Evolution,00143820,55,4,684-691,2001-01-01,April 2001,10.1111/j.0014-3820.2001.tb00804.x,"Barriers to gene flow between species result from selection against foreign linkage blocks in hybrids. When the geographic ranges of taxa meet at multiple locations, the opportunity exists for variation in the genetic architecture of isolating barriers. Hybrid zones between two sunflower species (Helianthus annuus and H. petiolaris) in Nebraska and California exhibited remarkably similar patterns of introgression of mapped molecular markers. Congruence among hybrid zones may result from limited intraspecific variation at loci contributing to isolation and from similar selective effects of alleles in the heterospecific genetic background. The observed consistency of introgression patterns across distantly separated hybrid zones suggests that intrinsic forces predominate in determining hybrid zone dynamics and boundaries between these sunflower species.",48,11392386,Journal,ar,Article,100,2,2,Genetic architecture | Hybridization | Introgression | Reproductive isolation | Speciation genetics,22104,undefined,1,TRUE,all,All Open Access,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0038072991,SCOPUS_ID:0038072991,2-s2.0-0038072991,Perspective: Reverse evolution,Teotónio H.,Evolution,00143820,55,4,653-660,2001-01-01,April 2001,10.1111/j.0014-3820.2001.tb00800.x,"For some time, the reversibility of evolution was primarily discussed in terms of comparative patterns. Only recently has this problem been studied using experimental evolution over shorter evolutionary time frames. This has raised questions of definition, experimental procedure, and the hypotheses being tested. Experimental evolution has provided evidence for multiple population genetic mechanisms in reverse evolution, including pleiotropy and mutation accumulation. It has also pointed to genetic factors that might prevent reverse evolution, such as a lack of genetic variability, epistasis, and differential genotype-by-environment interactions. The main focus of this perspective is on laboratory studies and their relevance to the genetics of reverse evolution. We discuss reverse evolution experiments with Drosophila, bacterial, and viral populations. Field studies of the reverse evolution of melanism in the peppered moth are also reviewed.",91,11392382,Journal,re,Review,100,2,2,Constraint | Epistasis | Experimental evolution | Reversibility | Selection | Variation,22104,undefined,0,FALSE,NA,NA,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035688423,SCOPUS_ID:0035688423,2-s2.0-0035688423,How lizards turn into snakes: A phylogenetic analysis of body-form evolution in anguid lizards,Wiens J.,Evolution,00143820,55,11,2303-2318,2001-01-01,2001,10.1111/j.0014-3820.2001.tb00744.x,"One of the most striking morphological transformations in vertebrate evolution is the transition from a lizardlike body form to an elongate, limbless (snakelike) body form. Despite its dramatic nature, this transition has occurred repeatedly among closely related species (especially in squamate reptiles), making it an excellent system for studying macroevolutionary transformations in body plan. In this paper, we examine the evolution of body form in the lizard family Anguidae, a clade in which multiple independent losses of limbs have occurred. We combine a molecular phylogeny for 27 species, our morphometric data, and phylogenetic comparative methods to provide the first statistical phylogenetic tests of several long-standing hypotheses for the evolution of snakelike body form. Our results confirm the hypothesized relationships between body elongation and limb reduction and between limb reduction and digit reduction. However, we find no support for the hypothesized sequence going from body elongation to limb reduction to digit loss, and we show that a burrowing lifestyle is not a necessary correlate of limb loss. We also show that similar degrees of overall body elongation are achieved in two different ways in anguids, that these different modes of elongation are associated with different habitat preferences, and that this dichotomy in body plan and ecology is widespread in limb-reduced squamates. Finally, a recent developmental study has proposed that the transition from lizardlike to snakelike body form involves changes in the expression domains of midbody Hox genes, changes that would link elongation and limb loss and might cause sudden transformations in body form. Our results reject this developmental model and suggest that this transition involves gradual changes occurring over relatively long time scales.",168,11794789,Journal,ar,Article,100,2,2,Comparative methods | Development | Macroevolution | Morphology | Phylogeny | Reptiles,22104,undefined,0,FALSE,NA,NA,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035685482,SCOPUS_ID:0035685482,2-s2.0-0035685482,Comparative methods for the analysis of continuous variables: Geometric interpretations,Rohlf F.,Evolution,00143820,55,11,2143-2160,2001-01-01,2001,10.1111/j.0014-3820.2001.tb00731.x,"This study is concerned with statistical methods used for the analysis of comparative data (in which observations are not expected to be independent because they are sampled across phylogenetically related species). The phylogenetically independent contrasts (PIC), phylogenetic generalized least-squares (PGLS), and phylogenetic autocorrelation (PA) methods are compared. Although the independent contrasts are not orthogonal, they are independent if the data conform to the Brownian motion model of evolution on which they are based. It is shown that uncentered correlations and regressions through the origin using the PIC method are identical to those obtained using PGLS with an intercept included in the model. The PIC method is a special case of PGLS. Corrected standard errors are given for estimates of the ancestral states based on the PGLS approach. The treatment of trees with hard polytomies is discussed and is shown to be an algorithmic rather than a statistical problem. Some of the relationships among the methods are shown graphically using the multivariate space in which variables are represented as vectors with respect to OTUs used as coordinate axes. The maximum-likelihood estimate of the autoregressive parameter, ρ, has not been computed correctly in previous studies (an appendix with MATLAB code provides a corrected algorithm). The importance of the eigenvalues and eigenvectors of the connection matrix, W, for the distribution of ρ is discussed. The PA method is shown to have several problems that limit its usefulness in comparative studies. Although the PA method is a generalized least-squares procedure, it cannot be made equivalent to the PGLS method using a phylogenetic model.",491,11794776,Journal,ar,Article,100,1,1,Autoregressive models | Comparative method | Generalized least-squares | Independent contrasts | Maximum likelihood | Phylogenetic autocorrelation | Phylogeny | Regression,22104,undefined,1,TRUE,all,All Open Access,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035679762,SCOPUS_ID:0035679762,2-s2.0-0035679762,Natural selection for grazer resistance to toxic cyanobacteria: Evolution of phenotypic plasticity?,Hairston N.,Evolution,00143820,55,11,2203-2214,2001-01-01,2001,10.1111/j.0014-3820.2001.tb00736.x,"We studied the selection response of the freshwater grazing zooplankter, Daphnia galeata, to increased abundance of cyanobacteria in its environment. Cyanobacteria are a poor-quality and often toxic food. Distinct genotypes of D. galeata were hatched from diapausing eggs extracted from three time horizons in the sediments of Lake Constance, Europe, covering the period 1962 to 1997, a time of change in both the prevalence of planktonic cyanobacteria and levels of phosphorus pollution. We assessed whether the grazers evolved to become more resistant to dietary cyanobacteria by exposing genetically distinct clones to two diets, one composed only of the nutritious green alga, Scenedesmus obliquus (good food), and the other a mixture of S. obliquus and the toxic cyanobacterium Microcystis aeruginosa (poor food), Genotype performance was measured as the specific rate of weight gain from neonate to maturity (gj). We evaluated evolutionary change in the Daphnia population using an analysis of reaction norms based on relative (log-transformed) changes in gj. Log(gj) is a measure of the proportional effect of dietary cyanobacteria on other fitness components of the Daphnia phenotype. For comparison, we also analyze absolute (i.e., nontransformed) changes in gj and discuss the interpretations of the two approaches. Statistical results using a general linear model demonstrate a significant effect of genotype (showing differences in gj among genotypes), a significant genotype x food-type interaction (showing differences in phenotypic plasticity among genotypes), and, in the case of log-transformed data, a significant sediment-genotype-age x food-type interaction. The latter shows that phenotypic plasticity evolved over the period studied. Two constraints act on response to selection in the D. galeata - Lake Constance system. First, gj on a diet containing poor food is highly correlated with gj on a diet of good food, thus evolving resistance also meant evolving an increase in gj on both diets. Second, because genotypes with a high gj also grow to a large adult body size, which in turn increases Daphnia vulnerability to fish predation, we suggest that selection only acted to favor genotypes possessing a high potential gj after cyanobacteria became prevalent. The presence of cyanobacteria depressed realized gj and led to animals of small adult body size even if their genotypes had the potential for high gj and large size. With realized gj reduced, genotypes with an inherently high value could be selected even in the presence of predatory fish. The joint action of selection by dietary cyanobacteria and vulnerability to fish predation provides an explanation for the observed evolution of resistance to poor food through reduced phenotypic plasticity.",205,11794781,Journal,ar,Article,100,9,9,Daphnia | Developmental plasticity | Egg bank | Evolution of resistance | Genotype-by-environment interaction | Reaction norm | Selection response,22104,undefined,1,TRUE,all,All Open Access,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035678994,SCOPUS_ID:0035678994,2-s2.0-0035678994,From metabolism to polymorphism in bacterial populations: A theoretical study,Porcher E.,Evolution,00143820,55,11,2181-2193,2001-01-01,2001,10.1111/j.0014-3820.2001.tb00734.x,"Stable polymorphisms are commonly observed in experimental bacterial populations grown in homogeneous media. Evidence is accumulating that metabolic interactions might be the main mechanism underlying the emergence and maintenance of such polymorphisms. To date, however, attempts to model the evolution of bacterial polymorphism have not considered metabolism as a possible component of polymorphism maintenance. Here, we propose a simulation approach to model the evolution of selected polymorphisms in a bacterial population. Using recent knowledge of the relationship between bacterial fitness and metabolism, we build a simple metabolic model and test the effect of resource competition on polymorphism. Without making an a priori hypothesis on fitness functions, we show that stable polymorphic situations could be observed under high nutrient competition, and we propose a functional, metabolism-based explanation to the debated issue of polymorphism maintenance.",9,11794779,Journal,ar,Article,100,3,3,Bacteria | Biodiversity | Competitive exclusion principle | Model | Nutrient competition,22104,undefined,0,FALSE,NA,NA,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035678847,SCOPUS_ID:0035678847,2-s2.0-0035678847,Is the population size of a species relevant to its evolution?,Gillespie J.,Evolution,00143820,55,11,2161-2169,2001-01-01,2001,10.1111/j.0014-3820.2001.tb00732.x,"This paper examines aspects of genetic draft, the stochastic force induced by substitutions at one locus on the dynamics of a closely linked locus. Of particular interest is the role of population size on genetic draft. Remarkably, the rate of substitution of weakly selected advantageous mutations decreases with increasing population size, whereas that for deleterious mutations increases with population size. This dependency on population size is the opposite of that for genetic drift. Moreover, these rates are only weakly dependent on population size, again contrary to the strong dependency of drift-based dynamics. Four models of the strongly selected loci responsible for genetic draft are examined. Three of these exhibit a very weak dependency on population size, which implies that their induced effects will also be weakly dependent on population size. Together, these results suggest that population size and binomial sampling may not be relevant to a species' evolution. If this is the case, then a number of evolutionary conundrums are resolved.",195,11794777,Journal,ar,Article,100,1,1,Binomial sampling | Genetic draft | Genetic drift | Hitchhiking | Molecular evolution | Natural selection | Population size,22104,undefined,1,TRUE,all,All Open Access,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035678801,SCOPUS_ID:0035678801,2-s2.0-0035678801,Evolutionary adaptation to temperature. IX. Preadaptation to novel stressful environments of Escherichia coli adapted to high temperature,Cullum A.J.,Evolution,00143820,55,11,2194-2202,2001-01-01,2001,10.1111/j.0014-3820.2001.tb00735.x,"Stressful environments may be considered as those that reduce fitness, sometimes due in part to the increased metabolic expenditure required to sustain life. Direct adaptation to a stressor is expected to increase fitness and reduce maintenance metabolism, with the latter leading to increased biomass production. In this study, we test the general hypothesis that such adaptation to one stressor can preadapt organisms to novel stressful environments. Six lines of Escherichia coli propagated for 2000 generations at 41-42°C (42 group), a stressful temperature, were compared to six control lines propagated for 2000 generations at 37°C (37 group) and to the common ancestor of both groups. We assayed biovolume yield (a measure of growth efficiency) and competitive fitness in the 42 group's selective high temperature environment as well as five novel stressful environments - acid, alkali, ethanol, high osmolarity and peroxide. As previously reported, at high temperature the 42 group had both higher yield and fitness than the 37 group and ancestor. In the novel environments, the 42 group generally produced yields higher than the 37 group (and marginally higher than the ancestor), but we found no differences in competitive fitness among the 37 and 42 groups and the ancestor. We also found that the performance of lines within groups was not correlated across stressful environments for either yield or relative fitness. Because previous adaptation to one stressor did not improve our measure of Darwinian fitness in novel stressful environments, we conclude that the 42 group shows no useful pre-adaptation, or cross-tolerance, to these types of environments.",29,11794780,Journal,ar,Article,100,3,3,Cross-tolerance | Darwinian fitness | Metabolic efficiency | Preadaptation | Stress resistance,22104,undefined,1,TRUE,all,All Open Access,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035678488,SCOPUS_ID:0035678488,2-s2.0-0035678488,Fluctuating asymmetry is nongenetically related to mating success in Drosophila buzzatii,Santos M.,Evolution,00143820,55,11,2248-2256,2001-01-01,2001,10.1111/j.0014-3820.2001.tb00739.x,"To date, there is still no consensus on the real significance of fluctuating asymmetry (FA) in evolutionary biology. Some studies have established links between FA and Darwinian fitness, and in a number of cases intermediate heritabilities for FA have been reported. However, many claims have been raised against the generality of these findings. I therefore tested if FA of a sexually selected trait (wing length) is indeed related to male mating success in Drosophila buzzatii from field and laboratory samples and whether FA has detectable heritability. Single, unsuccessful males had greater asymmetry for wing length than their mating counterparts both in nature and under nonoptimal rearing environments, but the higher FA in single males is most likely due to a poorer average phenotypic condition because there was no evidence of a genetic basis for this trait. Further evidence of an increase in FA under larval food stress is suggested when comparing the magnitude of the FA levels between stressful and optimal environments. On methodological grounds, a linear model is suggested that allows directional asymmetry (DA) and any genetic variation of DA that may be present to be statistically eliminated from estimates of FA.",29,11794784,Journal,ar,Article,100,1,1,Developmental instability | Drosophila | Fluctuating asymmetry | Heritability | Mating success | Variance components | Wing length,22104,undefined,1,TRUE,all,All Open Access,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0035677764,SCOPUS_ID:0035677764,2-s2.0-0035677764,Quantitative genetics of geometric shape in the mouse mandible,Klingenberg C.P.,Evolution,00143820,55,11,2342-2352,2001-01-01,2001,10.1111/j.0014-3820.2001.tb00747.x,"We combine the methods of geometric morphometrics and multivariate quantitative genetics to study the patterns of phenotypic and genetic variation of mandible shape in random-bred mice. The data are the positions of 11 landmarks on the mandibles of 1241 mice from a parent-offspring breeding design. We use Procrustes superimposition to extract shape variation and restricted maximum likelihood to estimate the additive genetic and environmental components of variance and covariance. Matrix permutation tests showed that the genetic and phenotypic as well as the genetic and environmental covariance matrices were similar, but not identical. Likewise, principal component analyses revealed correspondence in the patterns of phenotypic and genetic variation. Patterns revealed in these analyses also showed similarities to features previously found in the effects of quantitative trait loci and in the phenotypes generated in gene knockout experiments. We used the multivariate version of the breeders' equation to explore the potential for short-term response to selection on shape. In general, the correlated response is substantial and regularly exceeds the direct response: Selection applied locally to one landmark usually produces a response in other parts of the mandible as well. Moreover, even selection for shifts of the same landmark in different directions can yield dramatically different responses. These results demonstrate the role of the geometry and anatomical structure of the mandible, which are key determinants of the patterns of the genetic and phenotypic covariance matrices, in molding the potential for adaptive evolution.",174,11794792,Journal,ar,Article,100,2,2,Additive genetic covariance matrix | Constraint | Correlated response | Geometric morphometrics | Heritability | Restricted maximum likelihood | Shape analysis,22104,undefined,1,TRUE,all,All Open Access,10,NA,NA
