@_fa,prism:url,dc:identifier,eid,dc:title,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:creator,dc:description,author-count.$,authkeywords,fund-acr,fund-sponsor,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/84972270231,SCOPUS_ID:84972270231,2-s2.0-84972270231,Instruction to authors,Journal of Tropical Ecology,02664674,14697831,9,1,127-129,1993-01-01,February 1993,10.1017/S0266467400007094,0,Journal,ar,Article,100,0,23435,undefined,0,FALSE,1,NA,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84972073872,SCOPUS_ID:84972073872,2-s2.0-84972073872,Pollination ecology of Caryocar brasiliense (Caryocaraceae) in Central Brazil cerrado vegetation,Journal of Tropical Ecology,02664674,14697831,9,2,199-211,1993-01-01,May 1993,10.1017/S0266467400007173,69,Journal,ar,Article,100,1,23435,undefined,0,FALSE,2,Gribel R.,"The floral biology, breeding system and pollination of Caryocar brasiliense were studied in the cerrado vegetation of Central Brazil. The large, yellowish-cream, brush-like flowers are pollinated mainly by glossophagine bats (Glossophaga soricina and Anoura geoffroyi). Three non-glos-sophagine bats (Phyllostomus discolorVampyrops lineatus and Carollia perspicillata) and two short probosisced hawk moths (Erinyis ello and Pseudosphinx tetrio) may also act as occasional pollinators. Caryocar brasiliense is self-compatible although it sets significantly more fruits when crossed than when selfed. The natural fruit set (fruit/flower ratio) and seed set (seed/ovule ratio) are 3.1% and 1.0% respectively. Most of the fruits and seeds are formed through the action of the flower visitors, despite the fact that about 20% of the non-visited flowers receive self pollen on at least one stigma. © 1993, Cambridge University Press. All rights reserved.",1,bat-pollination Brazil Caryocar | Carvocaraceae cerrado | chiropterophilv glossophagine bats | pollination sphingid-pollination,CAPES,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84972017837,SCOPUS_ID:84972017837,2-s2.0-84972017837,Activity patterns of two species of Nesomys (Muridae: Nesomyinae) in a Madagascar rain forest,Journal of Tropical Ecology,02664674,14697831,9,1,101-107,1993-01-01,February 1993,10.1017/S0266467400007021,13,Journal,ar,Article,100,3,23435,undefined,0,FALSE,3,Ryan J.M.,NA,3,activity | ecology | Madagascar | Nesomys rodents,SI,Smithsonian Institution,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/84971990426,SCOPUS_ID:84971990426,2-s2.0-84971990426,"Folivory in the big fruit-eating bat, artiheus lituratus (chiroptera: Phyllostomidae) in eastern Brazil",Journal of Tropical Ecology,02664674,14697831,9,1,117-120,1993-01-01,February 1993,10.1017/S0266467400007057,29,Journal,ar,Article,100,2,23435,undefined,0,FALSE,4,Zortéa M.,NA,2,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84971960668,SCOPUS_ID:84971960668,2-s2.0-84971960668,Are age and height correlated in chamaedorea tepejilote (palmae)?,Journal of Tropical Ecology,02664674,14697831,9,3,381-385,1993-01-01,August 1993,10.1017/S0266467400007446,9,Journal,ar,Article,100,1,23435,undefined,0,FALSE,5,Oyama K.,NA,1,Chamaedorea tepejilote | growth | lifespan | palms | tropics,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84971955095,SCOPUS_ID:84971955095,2-s2.0-84971955095,Seed dispersal and vegetation dynamics at a cock-of-the-rock's lek in the tropical forest of French Guiana,Journal of Tropical Ecology,02664674,14697831,9,1,109-116,1993-01-01,February 1993,10.1017/S0266467400007045,29,Journal,ar,Article,100,2,23435,URA 1183,0,FALSE,6,Théry M.,NA,2,dispersal | French Guiana | frugivory | lek | plant-animal interactions | Rupicola rupicola | seed | seedling survival | tropical forest succession,CNRS,Centre National de la Recherche Scientifique,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84971943222,SCOPUS_ID:84971943222,2-s2.0-84971943222,Relationships between minimum temperature and fruit production in some tropical forest trees in gabon,Journal of Tropical Ecology,02664674,14697831,9,2,241-248,1993-01-01,May 1993,10.1017/S0266467400007239,74,Journal,ar,Article,100,2,23435,undefined,0,FALSE,7,Tutin C.E.G.,NA,2,climate | environmental cues | fruiting | Gabon | phenology | seasonality | synchrony,CIRMF,Leakey Foundation,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84971942236,SCOPUS_ID:84971942236,2-s2.0-84971942236,Does fencing reduce the carrying capacity for populations of large herbivores?,Journal of Tropical Ecology,02664674,14697831,9,2,249-253,1993-01-01,May 1993,10.1017/S0266467400007252,28,Journal,ar,Article,100,1,23435,undefined,0,FALSE,8,Ben-Shahar R.,NA,1,bush clearance | fencing | lions | mortality | predation | rainfall patterns | savanna | semi-arid | South Africa | wildebeest | zebra,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84971918260,SCOPUS_ID:84971918260,2-s2.0-84971918260,Diet of sympatric Brazilian caatinga peccaries (Tayassu tajacu and T. pecan),Journal of Tropical Ecology,02664674,14697831,9,2,255-258,1993-01-01,May 1993,10.1017/S0266467400007276,32,Journal,ar,Article,100,1,23435,undefined,0,FALSE,9,Olmos F.,NA,1,Brazil | caatinga | competition | feeding ecology | peccaries | tajacu | Tayassu | Tayassu pecari,CNPq,Conselho Nacional de Desenvolvimento Científico e Tecnológico,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84971881640,SCOPUS_ID:84971881640,2-s2.0-84971881640,"Foraging by parrots (amazona autumnalis) on fruits of stemmadenia donnell-smithii (apocynaceae) in the tropical rain forest of los tuxtlas, mexico",Journal of Tropical Ecology,02664674,14697831,9,1,121-124,1993-01-01,February 1993,10.1017/S0266467400007070,24,Journal,ar,Article,100,3,23435,undefined,0,FALSE,10,Coates-Estrada R.,NA,3,Amazona autumnalis | forest | Mexico | seed predation | Stemmadenia donnell-smithii | tropical rain,NA,NA,NA,NA
