@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0020926161,SCOPUS_ID:0020926161,2-s2.0-0020926161,The accumulation of genetic variation in a parthenogenetic snail.,Stoddart J.,Evolution,00143820,37,3,546-554,1983-12-01,1983,"Variation present in 13 populations of an apomictic freshwater prosobranch, Thiara balonnensis, was assessed electrophoretically. With one exception, each population contained a single unique clone. The pattern of variation was postulated to result from the evolution of new clones by mutation and the loss of alleles after geographic separation. The extent of the variation present in this species suggests that in favorable environments, apomictic species may persist and accumulate variation without recombination or segregation.-from Author",23,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0020901608,SCOPUS_ID:0020901608,2-s2.0-0020901608,"Clonal diversity and population structure in a reef-building coral, Acropora cervicornis. Self-recognition analysis and demographic interpretation.",Neigel J.,Evolution,00143820,37,3,437-453,1983-12-01,1983,"When branches of Acropora cervicornis come into contact, within several months the tissues and calcareous matrix exhibit either an acceptance or rejection response. These responses accurately distinguish clonemates (the products of asexual fragmentation of colonies) from non-clonemates (the products of sexual recruitments) . This self-recognition bioassay was used to analyze the clonal structure and diversity in A. cervicornis populations in Discovery Bay, Jamaica, and Tague Bay, St. Croix, US Virgin Islands. The Discovery Bay population has a significantly greater microgeographic clonal diversity that is reflected in a much higher Neighbor Index, the proportion of rejection responses in contacts among adjacent colonies. In Tague Bay, spatial maps of A. cervicornis clones show that clones are variable in size (from a single colony to assemblages up to 10 m or more in diameter), and are distributed in discrete patches. A computer model was used to simulate the development of clonal population structure from simple demographic processes. This indicated that the relatively low diversity of clones apparent in the Tague Bay population is expected when the input of new clones into the population by sexual recruitment is extemely low. Occasions of catastrophic mortality and subsequent recovery of A. cervicornis populations may be major determinants of clonal diversity and population structure, especially when the rate of sexual recruitment is relatively low.-from Authors",65,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,2,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0020870937,SCOPUS_ID:0020870937,2-s2.0-0020870937,Hybrid origin of polyploidy in freshwater snails of the genus Bulinus ( Mollusca: Planorbidae).,Goldman M.,Evolution,00143820,37,3,592-600,1983-12-01,1983,"G-banded karyotypes of the diploid freshwater snail, Bulinus tropicus, and of the tetraploid, B. truncatus, were studied in order to determine whether the tetraploid had arisen through hybridization of karyotypically distinct taxa or through simple doubling of the genome, and to infer cytological characteristics of the diploid taxa involved in the origin of the tetraploid.-from Authors",38,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,3,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0020870517,SCOPUS_ID:0020870517,2-s2.0-0020870517,Convergence of ecological processes between independently evolved competitive dominants: a tunicate- mussel comparison.,Paine R.,Evolution,00143820,37,4,821-831,1983-12-01,1983,"Comparison between the tunicate Pyura praeputialis and a mussel, Mytilus californianus, suggests that large body size, relatively rapid growth, some mechanism insuring group morphological continuity, susceptibility to disturbance, and larval recruitment onto the adult proper are ecological features held in common. A diverse associated community may benefit these matrix-forming species by reducing overgrowths or even eliminating large-bodied potential competitors. Such features can be identified in a Cretaceous bivalve and a Permian brachiopod, species which were likely to have been matrix-forming community dominants themselves.-from Authors",59,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,4,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0020870084,SCOPUS_ID:0020870084,2-s2.0-0020870084,A coadapted trophic niche in two species of Crustaceae ( Isopoda): Asellus aquaticus (L.) and Proasellus coxalis Dolff.,Rossi L.,Evolution,00143820,37,4,810-820,1983-12-01,1983,"Asellus aquaticus and Proasellus coxalis from populations living sympatrically have a potential trophic niche much more differentiated than do the populations living allopatrically. In particular, progeny of the 2 species when sympatric showed similar survival on only 25% of tested fungal resources. The 2 species when sympatric are specialized for microfungi not very common in nature; more common microfungi are used without distinction by individuals of both species. The exclusiveness of each resource for the sympatric populations increases inversely with the abundance in nature of the resource itself. In P. coxalis, the number of survivors eating a particular fungus increases in the F1 and F2 vs. parental generations. Results emphasize a possible effect of co-occurrence on character displacement and support the hypothesis of coevolutionary trophic partitioning between the species.-from Authors",9,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,5,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0021090258,SCOPUS_ID:0021090258,2-s2.0-0021090258,"Patterns and levels of genetic variation in Great Basin bristlecone pine, Pinus longaeva.",Hiebert R.D.,Evolution,00143820,37,2,302-310,1983-01-01,1983,"Low interpopulation variation and the high intrapopulation variation, along with paleoecological data, argue for the continuity of P. longaeva throughout much of the Great Basin during the last full glacial. The maintenance of high levels of variation from that time until the present are a result of several factors which appear to include: 1) high outcrossing rates; 2) maintenance of large population sizes; 3) production of large numbers of seeds; 4) microhabitat adaption in a spatially and temporally heterogeneous environment. -from Authors",43,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,6,10.1111/j.1558-5646.1983.tb05540.x,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0021084212,SCOPUS_ID:0021084212,2-s2.0-0021084212,Phylogenetic inference from restriction endonuclease cleavage site maps with particular reference to the evolution of humans and the apes.,Templeton A.R.,Evolution,00143820,37,2,221-244,1983-01-01,1983,"The estimation procedure utilizes a compatibility analysis between enzyme data sets of the most parsimonious trees constructed from the restriction enzyme. Next, a non-parametric test is given for comparing alternative phylogenies. A 2nd non-parametric test is developed for testing the molecular clock hypothesis. To illustrate the power of these procedures, data derived from the mitochondrial DNA and globin DNA of man and the apes are analyzed. Although previous analyses of these data led to the speculation that 10 times more information would be required to resolve the evolutionary relationships between man with chimps and gorillas, this algorithm resolved these relationships at the 5% level of significance. The molecular clock hypothesis was rejected at the 1% level. The implications of this phylogenetic inference when coupled with other types of data lead to the conclusion that knuckle-walking - not bipedalism - is the evolutionary novelty in mode of locomotion in the primates and that many other hominid features are primitive whereas their African ape counterparts are derived.-from Author",1292,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,7,10.1111/j.1558-5646.1983.tb05533.x,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0021079972,SCOPUS_ID:0021079972,2-s2.0-0021079972,"A steep cline in Pinus muricata ( bishop pine, California).",Millar C.I.,Evolution,00143820,37,2,311-319,1983-01-01,1983,"Two northern California bishop pine populations differing in stomatal form, monoterpene composition, flowering time, and allozyme frequency are separated by a cline of <3 km width. Allelic frequencies at a marker allozyme locus in standing trees changed from an average of 0.97 north of the cline to 0.23 south of the cline. Differences in allelic frequencies between mature trees and embryos are attributed to long distance pollen flow across the cline. Genetic, ecological, and paleontological evidence suggests that the cline resulted from recent contact of formerly isolated populations. -from Author",42,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,8,10.1111/j.1558-5646.1983.tb05541.x,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/0021072592,SCOPUS_ID:0021072592,2-s2.0-0021072592,High levels of phenotypic variability of metal and temperature tolerance in Paramecium.,Nyberg D.,Evolution,00143820,37,2,341-374,1983-01-01,1983,"Tolerance to 8 metals and high temperature was measured for 26 stocks of P. primaurelia and 10 stocks of P. triaurelia. Among the P. primaurelia stocks, which had been collected at 14 locations, there were significant differences in tolerance to Cu, Co, Hg, Zn, Ni, Cr and Cd (listed in decreasing order based on the magnitude of the difference between the most resistant and most sensitive stocks). Among the P. triaurelia stocks, from 7 locations, there were significant differences in tolerance to Cu, Hg, Cr, Co and Cd. The large, and consistent between species, among-locations variance in tolerance to Cu and Hg is consistent with an adaptive interpretation of tolerances. Because of their greater variability of tolerance, Cu and Hg probably have been of selective importance more frequently than the other metals. -from Authors",6,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,9,10.2307/2408343,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0021066866,SCOPUS_ID:0021066866,2-s2.0-0021066866,Grasshopper mandibles and the niche variation hypothesis.,Patterson B.D.,Evolution,00143820,37,2,375-388,1983-01-01,1983,"A test of the hypothesis that phenotypic variation within populations is correlated with niche width is made in an attempt to assess the importance of environmental grain to the evolution of niche width in sexual species. Patterns of mandibular morphology in species of Acrididae are compared to independently derived estimates of trophic niche width. No support for the niche variation hypothesis (or its corollary, the niche polymorphism hypothesis) is found in the variability of single populations of grasshoppers. -from Author",29,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,10,10.1111/j.1558-5646.1983.tb05546.x,NA,NA
