@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,authkeywords,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0028684906,SCOPUS_ID:0028684906,2-s2.0-0028684906,The effects of the relative geographic scales of gene flow and selection on morph frequencies in the walking-stick Timema cristinae,Sandoval C.P.,Evolution,00143820,48,6,1866-1879,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02220.x,"Two morphs (striped and unstriped) of Timema cristinae (Phasmatidae) were each strongly associated with patches of distinct species of food plants on which they are most cryptic. The frequency of a morph was high on the plant on which it is most cryptic when: 1) the area occupied by the food plant (patch) was very large; 2) the patch was completely isolated from other patches; or 3) the patch was larger than adjacent patches. Results 1 and 2 are consistent with isolation-by-distance models, and result 3 is consistent with Levene's multiple-niche polymorphism model. -from Author",107,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028683732,SCOPUS_ID:0028683732,2-s2.0-0028683732,Adaptation and constraint in the evolution of specialization of Bahamian Anolis lizards,Losos J.B.,Evolution,00143820,48,6,1786-1798,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02214.x,"Examined populations of Anolis carolinensis and Anolis sagrei that evolved in the species-rich communities of Cuba and are now widespread in the Bahamas. Because the species occupy islands in the Bahamas that vary in the number of lizard species present and other characteristics, the authors predicted that directional selection should have led to morphological differentiation. In particular, they expected that populations on one-species islands should have evolved toward a generalist morphology because of the lack of competitors. Divergence in both species has been adaptive; populations that use wider perches have longer legs. Nonetheless, these differences are relatively minor, and none of the populations appears to have differentiated from its ancestral ""ecomorph' type toward a more generalized morphology. This stasis mirrors a trend observed in the radiation of Caribbean anoles, which exhibits repeated instances of evolutionary specialization, but few or no cases of reversion to a more generalized condition. The explanation for this directionality of evolution probably involves the tendency of specialized species to continue using and further adapting the niches for which they are specialized even as conditions change. -from Authors",92,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,2,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028680652,SCOPUS_ID:0028680652,2-s2.0-0028680652,Global phylogeography of the loggerhead turtle (Caretta caretta) as indicated by mitochondrial DNA haplotypes,Bowen B.W.,Evolution,00143820,48,6,1820-1828,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02217.x,"Restriction-site analyses of mitochondrial DNA from loggerhead sea turtle reveal substantial phylogeographic structure among major nesting populations in the Atlantic, Indian, and Pacific oceans and the Mediterranean Sea. Based on samples from eight nesting populations, most breeding colonies were distinguished from other assayed nesting locations by diagnostic and often fixed restriction-site differences, indicating a strong propensity for natal homing by nesting females. Phylogenetic analyses revealed two distinctive matrilines in the loggerhead turtle that differ by a mean estimated sequence divergence p = 0.009, a value similar in magnitude to the deepest intraspecific mtDNA node (p = 0.007) reported in a global survey of green sea turtle Chelonia mydas. In contrast to the green turtle, where a fundamental phylogenetic split distinguished turtles in the Atlantic Ocean and the Mediterranean Sea from those in the Indian and Pacific Oceans, genotypes representing the two primary loggerhead mtDNA lineages were observed in both Atlantic-Mediterranean and Indian-Pacific samples. This is attributed to recent interoceanic gene flow, probably mediated by the ability of this temperate-adapted species to utilize habitats around southern Africa. -from Authors",116,Journal,ar,Article,100,6,6,22104,undefined,0,FALSE,all,All Open Access,3,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028680566,SCOPUS_ID:0028680566,2-s2.0-0028680566,Costs and benefits of plant responses to disease: resistance and tolerance,Simms E.L.,Evolution,00143820,48,6,1973-1985,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02227.x,"Used a quantitative-genetic analysis to detect fitness costs to Ipomoea purpurea of resistance to different fungal isolates of Colletotrichum dematium, a pathogenic fungus causing anthracnose. This experiment yielded no evidence that resistance to anthracnose involves direct fitness costs. Nevertheless, trade-offs in plant fitness that were unrelated to resistance were detected between different disease environments. Tolerance (the ability to compensate in part for fitness decrements caused by disease) involved fitness costs. Half-sib families that were more tolerant of disease had lower fitness in the absence of disease. The possibility that the cost of tolerance could obscure fitness costs of resistance is explored. -from Authors",229,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,4,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028680523,SCOPUS_ID:0028680523,2-s2.0-0028680523,The evolution of development in Drosophila melanogaster selected for postponed senescence,Chippindale A.K.,Evolution,00143820,48,6,1880-1899,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02221.x,"There was a significant difference between the larval developmental rates of Drosophila stocks selected for early (B) and late-life (O) fertility. This larval developmental time difference of c12% (O>B) had been stable for at least five years, occurs under a wide variety of rearing conditions, response to reverse selection, and is shown for two other O-like selection treatments. Emerging adults from lines with different larval developmental rates show no significant differences in weight at emergence, thorax length, or starvation resistance. Long-developing lines (O, CO, and CB) have greater survivorship from egg to pupa and from pupa to adult, with and without strong larval competition. Crosses between slower developing populations, and a variety of other lines of evidence, indicate that neither mutation accumulation nor inbreeding depression are responsible for the extended development of our late-reproduced selection treatments. Results demonstrate antagonistic pleiotropy between developmental rate and preadult viability. Absence of any correlation between longevity and developmental time in our stocks refutes the developmental theory of aging. -from Authors",100,Journal,ar,Article,100,4,4,22104,undefined,1,TRUE,all,All Open Access,5,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028590655,SCOPUS_ID:0028590655,2-s2.0-0028590655,Species richness within families of flowering plants,Ricklefs R.E.,Evolution,00143820,48,5,1619-1636,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02200.x,NA,149,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,6,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028589798,SCOPUS_ID:0028589798,2-s2.0-0028589798,Historical biogeography and contemporary patterns of mitochondrial DNA variation in white-tailed deer from the southeastern United States,Ellsworth D.L.,Evolution,00143820,48,1,122-126,1994-01-01,1994,10.2307/2410008,NA,85,Journal,ar,Article,100,5,5,22104,undefined,0,FALSE,NA,NA,7,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028586265,SCOPUS_ID:0028586265,2-s2.0-0028586265,A post-insemination barrier to fertilization isolates two closely related ground crickets,Gregory P.G.,Evolution,00143820,48,3,705-710,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01355.x,Postinsemination barriers to fertilization bear primary responsibility for the reproductive isolation between Allonemobius fasciatus and Allonemobius socius. The design of most laboratory hybridization experiments precludes detection of these barriers. -from Authors,113,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,NA,NA,8,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028581229,SCOPUS_ID:0028581229,2-s2.0-0028581229,Runaway evolution to self-extinction under asymmetrical competition,Matsuda H.,Evolution,00143820,48,6,1764-1772,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02212.x,"Analyzes a popular model of the evolution of traits related to performance in exploitative competition. This model has previously been used to explain a mechanism by which interspecific competition can cause taxon cycles. Purely intraspecific competition can cause evolution of extreme competitive abilities that ultimately result in extinction, without any influence from other species. The only change in the model required for this outcome is the assumption of a nonnormal distribution of resources of different sizes measured on a logarithmic scale. This suggests that taxon cycles, if they exist, may be driven by within- rather than between-species competition. Self-extinction does not occur when the advantage conferred by a large value of the competitive trait (eg size) is relatively small, or when the carrying capacity decreases at a comparatively rapid rate with increases in trait value. -from Authors",95,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,9,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028581224,SCOPUS_ID:0028581224,2-s2.0-0028581224,Mechanisms of large-scale evolutionary trends,McShea D.W.,Evolution,00143820,48,6,1747-1763,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02211.x,"Large-scale evolutionary trends may result from driving forces or from passive diffusion in bounded spaces. Such trends are persistent directional changes in higher taxa spanning significant periods of geological time; examples include the frequently cited long-term trends in size, complexity, and fitness in life as a whole, as well as trends in lesser supraspecific taxa and trends in space. In a driven trend, the distribution mean increases on account of a force that acts on lineages throughout the space in which diversification occurs. In a passive system, no pervasive force of bias exists, but the mean increases because change in one direction is blocked by a boundary, or other inhomogeneity, in some limited region of the space. Two tests have been used to distinguish these trend mechanisms: 1) the test based on the behaviour of the minimum; and 2) the ancestor-descendant test, based on comparisons in a random sample of ancestor-descendant pairs that lie far from any possible lower bound. For skewed distributions, a third test is introduced here: 3) the subclade test, based on the mean skewness of a sample of subclades drawn from the trial of a terminal distribution. With certain restrictions, a system is driven if the minimum increases, if increases significantly outnumber decreases among ancestor-descendant pairs, and if the mean skew of subclades is significantly positive. A passive mechanism is more difficult to demonstrate but is the more likely mechanism if decreases outnumber increases and if the mean skew of subclades is negative. The subclade test requires no detailed phylogeny or paleontological time series, but only terminal (eg modern) distributions. -from Author",285,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,10,NA,NA,NA
