@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,pubmed-id
true,https://api.elsevier.com/content/abstract/scopus_id/4944241304,SCOPUS_ID:4944241304,2-s2.0-4944241304,Chaetognath species composition from a coral reef lagoon in the Mexican Caribbean Sea,Ramírez Avila Y.,Revista de Biologia Tropical,00347744,47,1 SUPPL.,157-163,1999-12-01,1999,"Monthly species composition and abundance of Chaetognaths from January to December 1991 at two sampling sites, from the Puerto Morelos coral reef lagoon were examined. The species were: Ferosagitta hispida, Flaccisagitta enflata, Flaccisagitta hexaptera, Krohnitta pacifica, Pterosagitta draco, Sagitta bipunctata, Sagitta helenae, Sagitta tenuis and Serratosagitta serratodentata, most of them being common at both survey areas. F. hispida (station A: 2 801 org/100m3; station B: 11 285 org./100m3) and F. enflata (station A:2 878 org./100m3; station B: 5 470 org./100m3) were the most abundant species, representing more than 90% of the total capture. Maximum numbers were registered in the rainy season and minimal in the ""Nortes"" season. The remaining species were not collected consistently and due to their sporadic caught and scarcity it was not possible to determine any abundance pattern. The coral reef lagoon presented stenohaline conditions (±1.2 psu all the year round); temperatures showed also small changes (±1.6°C) and varied according to the season, being highest during the dry and rainy periods and slightly lower in the ""Nortes"".",8,Journal,ar,Article,100,2,2,Abundance | Caribbean sea | Chaetognath | Coral reef | Taxonomy,13567,undefined,0,FALSE,1,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22944486067,SCOPUS_ID:22944486067,2-s2.0-22944486067,"Correlación entre la precipitación pluvial y la densidad y composición del zooplancton de ocho represas d(Combining dot below sign)el estado de Aguascalientes, México",Hernández-Rodríguez M.,Revista de Biologia Tropical,00347744,47,1 SUPPL.,121-127,1999-12-01,1999,"Potential effects of rainfall on the density and composition of the zooplankton of eight reservoirs of Aguascalientes was studied. To study the effect of differences in rainfall, a zooplankton sample in each reservoir in August 16th and 17th, 1997 and March 27th, 1998 was taken. These two months correspond to the wettest and the driest of the year in Aguascalientes, respectively. Alkalinity, BOD, chlorides, chlorophyll, COD, conductivity, dissolved oxygen, orthofosfates, pH, phosphates, sulfates, temperature, and total dissolved solids, were also analysed for each reservoir to understand the effect of nutrient loading in zooplankton densities. In all cases, nutrient loads of orthophosphates were higher during the driest month. During the analysis of the zooplankton density data and composition, an interesting relationship between the composition of the zooplankton (larger than 53μ) and the precipitation was found. A positive correlation between small zooplankton (Protozoa and Rotifera) and the wettest month, and a negative correlation between large zooplankton (Cladocera and Copepoda) and the driest month were also found. Also, orthophosphates were negatively correlated with total density of zooplankton during the wettest month. The meaning of these correlations in the context of their biological and statistical significance is discussed.",1,Journal,ar,Article,100,4,4,Cladocera | Copepoda | Interannual variation | Mexico | Protozoa | Rainfall | Rotifera,13567,undefined,0,FALSE,2,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22944433249,SCOPUS_ID:22944433249,2-s2.0-22944433249,Sifonóforos (Cnidaria) de aguas superficiales del mar Ca + (Combining dot below sign)ribe mexicano (1991),Gasca R.,Revista de Biologia Tropical,00347744,47,1 SUPPL.,113-120,1999-12-01,1999,"A total of 26 species of Siphonophora were collected near the surface layer (0-3 m) at 25 sampling sites during four oceanographic cruises carried out in February, March, May and August 1991 in the Mexican Caribbean Sea. Plankton trawls were performed during day and night, in oceanic and neritic waters. Highest siphonophore densities were recorded in February (2 067 org./1 000 m3) and lowest in August (1 226). The species composition found agrees, in general, with that previously reported in the 0-200 m layer. The most abundant species during the surveyed period were Abylopsis eschscholtzi, with a mean density of 433 org./1000 m3, followed by Chelophyes appendiculata (431) and by Diphyes bojani (394). None of the remaining species recorded showed densities over 90. Diphyes bojani was confirmed as consistently more abundant than D. dispar in the Caribbean, while this relation is inverse in the Gulf of Mexico. Abylopsis eschscholtzi and C. appendiculata dominated particularly during the dry season, when the other common species decreased. The neritic Muggiaea kochi was collected far offshore possibly as a result of the intense mixing process of the area. Mean diversities/cruise values varied between 2.32 y 3.04, and were similar to those previously recorded in the zone.",4,Journal,ar,Article,100,1,1,Cnidaria | Mexican Caribbean Sea | Siphonophora | Zooplankton,13567,undefined,0,FALSE,3,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22844451406,SCOPUS_ID:22844451406,2-s2.0-22844451406,Variación en el patrón de perforación integumental en postlarvas del camarón Penaeus vannamei de México y Panamá,Alvarez-Silva C.,Revista de Biologia Tropical,00347744,47,1 SUPPL.,91-97,1999-12-01,1999,"The integumental pore pattern is an assemblage of systematic characters of greatest taxonomic importance; this pattern is known as ""integumental pores signature"" because it is specific. The integumental pore pattern in postlarvae with three and four rostral spines of Penaeus vannamei from Mexico and Panama was examined. Twenty postlarvae of each stage were cleaned with KOH and stained with Chlorazol Black E. Each one showed a characteristic pattern which allowed distinction of two groups; Sinus Californiensis and Panamensis, refering to their original biogeographic provinces. The pores were distributed in a bilateral and symmetrical arrangement. The Mexican postlarvae with three rostral spines showed 626 large and 40 small pores, while those from Panama showed 522 large and 34 small pores. The Mexican postlarvae with four rostral spines had 805 large and 96 small pores, while those of Panama presented 725 large and 86 small pores. The most relevant differences between the postlarvae were found in the cephalothorax pore complexes and in the central areas of the abdominal segments.",1,Journal,ar,Article,100,2,2,Integumental Perforation Pattern | Penaeus vannamei | Postlarval,13567,undefined,0,FALSE,4,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22844448230,SCOPUS_ID:22844448230,2-s2.0-22844448230,"Variación del patrón reproductivo de dos poblaciones mexicanas de Artemia franciscana (Branchiopoda: Anostraca) y su comparación con la población de Bȧhía de San Francisco, California",Castro Mejía J.,Revista de Biologia Tropical,00347744,47,1 SUPPL.,99-104,1999-12-01,1999,"The reproductive characteristics of the populations of A. franciscana of Yavaros, Sonora; Bahía de Ceuta, Sinaloa, and San Francisco Bay, California U.S.A.were obtained in controlled conditions (salinity and temperature) and the following data were collected: length of male and female adults; width of abdomen and ovigerous sac; prereproductive, reproductive and postreproductive period; number and frequency of broods, and number and percentage of the offspring produced per brood per female. San Francisco adults were larger and wider than those of Yavaros or Bahía de Ceuta. The total reproductive period was 43.6 days in Yavaros females and 29.7 days in Bahía de Ceuta. The number of broods was 5 for Yavaros and 3 for Ceuta as opposed to 14 for those of San Francisco. The period between broods was 4 days on average for the three populations. The average output of Yavaros was of 74 nauplii and 10 cysts/brood/female; for Bahía de Ceuta it was 22 nauplii and 5 cysts/brood/female. Output increased when both populations were crossed with males from San Francisco Bay; the females of Yavaros had 400 nauplii per brood and the females of Bahia de Ceuta yielded 46 cysts per brood. These increases in production are attributed to the greater intensity in courtship being in proportion to the size of the males. San Francisco males, being larger, exhibit a greater intensity in courtship even when females are smaller.",1,Journal,ar,Article,100,5,5,Artemia | Crossbreeding | Fertility | Mexico | Reproduction,13567,undefined,0,FALSE,5,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22844446854,SCOPUS_ID:22844446854,2-s2.0-22844446854,Distribution of Leptodiaptomus novamexicanus (Copepoda: Calanoida) in a Mexican hyposaline lake,Lugo A.,Revista de Biologia Tropical,00347744,47,1 SUPPL.,141-148,1999-12-01,1999,"The temporal and vertical fluctuation of the planktic copepod Leptodiaptomus novamexicanus was surveyed in a Mexican saline crater-lake. A one year monthly sampling was made between August 1993 and July 1994. Samples were obtained at one station along the entire water column (60 m) with a Van Dorn sampler and filtered through a 55 μm mesh. Copepod densities were evaluated. Vertical profiles of temperature, dissolved oxygen, pH, specific conductivity (K25), and chlorophyll a concentrations were measured. Lake Alchichica limnetic area is hyposaline (K25=13000 μS cm-1 .8.5 g l-1), basic (pH 8.6-9.2) and oligo-mesotrophic (0-17.7 mg m-3 of chlorophyll a concentration). The lake is warm monomictic and circulates during the cold season (winter-spring). L. novamexicanus was the only crustacean zooplankton species inhabiting the limnetic area of the lake. Copepod densities ranged between 0 and 267 org l-1. A significative difference in copepod densities was observed between circulation (66.91±75.62 copepods l-1, mean ± 1 s.d.) and stratification (15.83±32.43 copepods l-1) period, and between the upper (0-30 m, 44.54±64.64 copepods l-1) and lower strata (40-60 m, 19.77±43.88 copepods l-1) of the lake. Maximum copepod densities coincided with the presence of two phytoplankton blooms: a diatom bloom in January (chlorophyll a 4.1-8.5 mg m-3), and after wards, a cyanobacterial bloom (chlorophyll a 1.4-17.7 mg m-3), in May. Highest values of copepod densities were found between 10-15 m depth, within the photic zone (20-25 m) of the lake. L. novamexicanus population of Lake Alchichica limnetic zone might live under low interspecific competition conditions due to the absence of other crustacean zooplanktic species. Under these circumstances vertical and temporal fluctuations of this copepod population mainly depends on environmental conditions, basically on the periods of circulation-stratification of the lake that influence food availability.",11,Journal,ar,Article,100,4,4,Crater-lake | Ecology | Mexico | Saline lake | Zooplankton,13567,undefined,0,FALSE,6,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22844440437,SCOPUS_ID:22844440437,2-s2.0-22844440437,"Distribución espacio-temporal de la biomasa fitoplánctica en el sistema lagunar Pom-Atasta, Campeche, México",Barreiro-Güemes M.,Revista de Biologia Tropical,00347744,47,1 SUPPL.,27-35,1999-12-01,1999,"Spatial and temporal patterns of concentration of chlorophyll a as an indicator of phytoplanktic biomass were evaluated in Pom-Atasta, a fluvial-deltaic system linked to Terminos Lagoon in the Campeche coast, Mexico. The seasonal, regional, nichthemeral and vertical variation patterns were studied and related with environmental conditions. An annual cycle was analyzed in the system, including sampling at two water levels (surface and bottom) in constrasting sites by their saline regime. Time series of 24 hours were performed in sites with more hydrological variation. Spectrophotometric technics were used to quantify the concentration of chlorophyll a. The highest concentrations were present during the dry season with an average of 19.86 mg m-3, and the lowest concentrations were during the rainy season with an average of 3 mg m-3. The total mean in the annual cycle was 13.25 mg m-3 in the surface and 15.5 mg m-3 in the bottom. Regional pattern in pigment concentrations was observed, with the highest values in the site of lower tide influence. A great range of variation in chlorophyll concentrations was evident within the annual cycle and in different regions of the system. This patterns of variation seems to be closely related with the hydrological changes resulting of the input balance of tidal waters, rainfall and fresh water discharges.",10,Journal,ar,Article,100,2,2,Chlorophyll a | Phytoplanktonic biomass | Pom-Atasta | Spatial and temporary patterns | Terminos Lagoon,13567,undefined,0,FALSE,7,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22844440228,SCOPUS_ID:22844440228,2-s2.0-22844440228,"Influencia del flujo de marea en la migración de poslarvas de Farfantepenaeus stylirostris en la Boca de Ceuta, Sinaloa, México",Almaral-Mendívil A.,Revista de Biologia Tropical,00347744,47,1 SUPPL.,81-89,1999-12-01,1999,"The variation in density of postlarval Farfantepenaeus styllirostris (blue shrimp) was studied in relation to rising tides, moon phases and tidal stream velocity. The possible relationship between postlarval density and abiotic parameters was also investigated between 1988-1989. Montly net tows often minutes durations were conducted at the surface and middle of column water using a conical net 50 cm of diameter and 450 micron mesh. A total of 7552 postlarvae (20.6 postlarvae/m3) were collected. The temporal analysis showed two rises on July (7.8 postlarvae/m3) and September (3.5 postlarvae/m3). Postlarval density was no significantly different (ANOVA p> 0.05) among depths or sampling locations in the channel. However, the period of postlarval fluxes were significantly different with a higher migration during flux one relative to flux two. Postlarval density was significantly different between full moon (lower density) and new moon (higher density) (ANOVA p<.0.05). Moreover, there were positive but not significant relations between the temporal variation in postlarval density and water temperature and current velocity, but was negative with salinity and not significant (Pearson p>.0.05). The 1988-1989 period was dominated by the presence of cold water masses from the north Pacific. It is possible that this phenomenon affected reproduction and spawning of the blue shrimp and caused a temporal displacement of the peak season of postlarval recruitment into the bay.",0,Journal,ar,Article,100,2,2,Density | Farfantepenaeus stylirostris | México | Migration | Tide,13567,undefined,0,FALSE,8,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22844440227,SCOPUS_ID:22844440227,2-s2.0-22844440227,"Distribución espacial y estacional del ictioplancton en dos sistemas lagunares de la Reserva de la Biosfera de Sian Ka'an, Quintana Roo, México",Sanvicente-Añorve L.,Revista de Biologia Tropical,00347744,47,1 SUPPL.,175-185,1999-12-01,1999,"Spatial and temporal variations in the composition and abundance of ichthyoplankton species in two lagoonal systems of the Sian Ka'an Biosphere Reserve, are described. These systems display a great heterogeneity of physical parameters due to the concourse of marine, fresh, and underground waters. Surface simultaneous towings with plankton nets of 200 and 500 μm mesh were obtained in four climatic periods, from October 1996 to August 1997. Physical data were acquired with a salinity-conductivity meter. Fourty ichthyoplankton taxa identified include 25 genera and 21 species. Gobiidae, Hemirhamphidae, Atherinidae, Clupeidae, and Engraulidae families were well represented throughout the entire cycle. Our results show that salinity variations determine the presence of some species in the studied systems.",6,Journal,ar,Article,100,3,3,Distribution | Ichthyoplankton | Seasonal variations | Spatial variations,13567,undefined,0,FALSE,9,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22844439454,SCOPUS_ID:22844439454,2-s2.0-22844439454,Distribución espacial del plancton (&lt; 200) μm en las aguas oceánicas al norte de Cuba,Lugioyo M.,Revista de Biologia Tropical,00347744,47,1 SUPPL.,65-70,1999-12-01,1999,"The relation among bacterioplankton, nannoplankton, microzooplankton, and some abiotic factors in the oligotrophic oceanic waters of northern Cuba was analyzed. Samples were obtained at three different depths from 40 stations during February 1997. Nannoplankton, microplankton and bacterial biomass were determined by standard methods, including cell counting and epifluorescence microscopy. The spatial distribution pattern of heterotrophic components showed a higher richness at western and eastern zones of the studied region, as well as in areas near La Habana and Matanzas bays. From the surface layer to 1% irradiance depths, the highest relative contribution was of microzooplankton and bacterioplankton, whereas the mixed (thermocline) layer was dominated by nannoplankton. The dynamic regime characteristic of this zone and the effect of enriched water from shelf and bays has influence on the behavior of the planktic fractions.",2,Journal,ar,Article,100,3,3,Bacterioplankton | Microzooplankton | Nannoplankton | Spatial distribution,13567,undefined,0,FALSE,10,NA
