@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/85129860359,SCOPUS_ID:85129860359,2-s2.0-85129860359,"Reverse-Transcription Loop-Mediated Isothermal Amplification and alternative protocols for lower cost, large-scale COVID-19 testing: lessons from an emerging economy",Segura-Ulate I.,Revista de Biologia Tropical,00347744,22152075,70,1,173-189,2022-01-01,January-December 2022,10.15517/rev.biol.trop..v70i1.47407,"Introduction: Most successful cases of COVID-19 pandemic mitigation and handling have relied on extensive reverse-transcription quantitative polymerase chain reaction (RT-qPCR). However, many emerging economies have struggled with current molecular testing demands due to economic, technical and technological constraints. Objective: To define a potential diagnostic protocol to increase testing capacity in current and post-pandemic conditions. Methods: We reviewed the literature, patents and commercial applications, for alternatives. Results: We found a good potential in saliva samples, viral inactivation and quick RNA extraction by heating; the use of an isothermal technology such as loop mediated isothermal amplification (LAMP) and naked eye test-result visualization by in-tube colorimetry or turbidity. Conclusions: Saliva samples with quick RNA extraction by heating and colorimetric LAMP are promising options for countries with economic and infrastructure limitations.",0,Journal,ar,Article,100,5,5,emerging economies | loop mediated isothermal amplification | molecular testing | saliva | SARS-CoV-2,13567,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85129765589,SCOPUS_ID:85129765589,2-s2.0-85129765589,Risk areas for marine mammals in Colombia,Avila I.C.,Revista de Biologia Tropical,00347744,22152075,70,1,96-113,2022-01-01,January-December 2022,10.15517/rev.biol.trop..v70i1.48553,"Introduction: Marine mammals are affected by diverse threats that must be identified for mitigation efforts. Objective: To visually quantify threats to marine mammals in Colombia, and to identify mitigation actions. Methods: We georeferenced threats based on the literature, covering 35 species in the period 1991-2020, and superimposed them on species range maps. Results: 22 species had at least one threat. Bycatch and interactions with fishing gear affected 16 species, followed by direct capture (8 species), vessel traffic/transit (6 species) and alteration of ocean physics (6 spe-cies). The most affected species, in terms of the greatest diversity of threats, are: humpback whale (Megaptera novaeangliae), Caribbean West Indian manatee (Trichechus manatus), marine tucuxi (Sotalia guianensis) and bottlenose dolphin (Tursiops truncatus). Nearly all of Colombia’s marine territory presents some degree of risk for marine mammals. High-risk areas are Buenaventura, Guapi, Cupica Gulf and Tumaco in the Pacific; and Urabá Gulf, Darién Gulf, Morrosquillo Gulf, off Barranquilla, Ciénaga Grande de Santa Marta and Coquivacoa Gulf in the Caribbean. Conclusion: Marine mammals in Colombia are currently at risk due to several threats, especially related to fish-ing, hunting/capture and shipping activities, mainly in coastal areas. Urgent evaluation and management actions are needed in the ten high-risk areas identified in this study.",1,Journal,ar,Article,100,2,2,cetacean | conservation | pinnipeds | risk maps | sirenian | South America | threats,13567,undefined,1,TRUE,2,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85129761026,SCOPUS_ID:85129761026,2-s2.0-85129761026,Internal ultrastructure of the planktonic larva of the coral Porites panamensis (Anthozoa: Scleractinia),Santiago-Valentín J.D.,Revista de Biologia Tropical,00347744,22152075,70,1,222-234,2022-01-01,January-December 2022,10.15517/rev.biol.trop..v70i1.48648,"Introduction: The scleractinian coral life cycle includes planktonic larvae that settle on the benthos, allowing the primary polyp to clone and build a sexually reproducing adult colony. The larval physiology and ecology of Eastern Tropical Pacific scleractinians needs the exploration of basic aspects such as the internal morphology of planulae. Objective: To describe histological and cytological characteristics of Porites panamensis larvae. Methods: During August-July 2019, at Islas Marias Biosphere Reserve, Central Mexican Pacific, we made 14 collections of coral larvae and identified the species with cytochrome oxidase subunit 1 gene. We used a scan-ning electron microscope and other techniques. Results: The ectoderm was composed by heterogeneous, mono-ciliated, columnar epithelial cells. Nematocysts were clustered at the oral pole of the ectoderm, and cells were evident in the aboral pole of the ectoderm gland. The endoderm had secretory cells, lipids and symbionts. Conclusions: The abundance of secretory cells and nematocysts in the aboral pole suggests their importance in substrate exploration and larval settlement. Our results support previous descriptions of larval ultrastructure in other coral species.",0,Journal,ar,Article,100,5,5,Eastern Pacific | histology | larvae biology | larvae settlement | planulae | ultrastructure,13567,undefined,0,FALSE,3,NA,NA,CONANP,Comisión Nacional de Áreas Naturales Protegidas
true,https://api.elsevier.com/content/abstract/scopus_id/85129760166,SCOPUS_ID:85129760166,2-s2.0-85129760166,Bioactivity and identification of fatty acids of the marine sponge Tetilla rodriguesi (Tetractinellida: Tetillidae) in the Colombian Caribbean,Quiroz-Lobo Y.,Revista de Biologia Tropical,00347744,22152075,70,1,20-29,2022-01-01,January-December 2022,10.15517/rev.biol.trop..v70i1.47376,"Introduction: For millions of years, organisms that inhabit the marine environment have been developing strategies to adapt to environmental changes and with this, synthesizing a great variety of secondary metabolites with biological activities. Objective: Evaluate the antimicrobial and antioxidant activities and identify the fatty acids of the methanolic extract of the marine sponge Tetilla rodriguesi collected in Cispatá bay, Colombian Caribbean. Methods: T. rodriguesi specimens were subjected to extraction to obtain the methanolic extract, of which the fatty acids were obtained, esterified and identified it using chromatographic techniques. With the methanolic extract, the antioxidant activity was carried out against the radicals ABTS+• and DPPH•, and the antimicrobial activity by the microdilution method against reference strains of Pseudomonas aeruginosa, Escherichia coli, Staphylococcus aureus, Klebsiella pneumoniae, Enterococcus faecalis and Candida albicans; in addition to clinical isolates of Candida albicans (obtained in blood) and Candida krusei (obtained in catheter). Result: The results yielded the identification of 19 fatty acids of different nature. In the analysis of the antioxidant activity could be found that inhibition of radical evaluated was moderate (296.98 ppm for ABTS+• and 3 523.62 ppm for DPPH•). The evaluation of antimicrobial activity showed that the methanol extract of T. rodriguesi managed to greatly reduce the growth of all microorganisms tested. Conclusions: Despite the fact that porifers tend to have large fatty acids, in this study the presence of fatty acids with a carbon chain greater than 20 members was not found. The result of antioxidant activity is largely resembled that found in other species of the same phylum. In this research, it was established that the methanolic extract of T. rodriguesi managed to greatly reduce the growth of all the bacterial and fungal strains used.",0,Journal,ar,Article,100,3,3,antibacterial | antifungal | antioxidant | lipid | poriferous,13567,undefined,1,TRUE,4,all,All Open Access,UNAL,Universidad Nacional de Colombia
true,https://api.elsevier.com/content/abstract/scopus_id/85129737243,SCOPUS_ID:85129737243,2-s2.0-85129737243,Altitudinal distribution of the functional feeding groups of aquatic macroinvertebrates using an ecological network in Andean streams,Serna J.P.,Revista de Biologia Tropical,00347744,22152075,70,1,82-95,2022-01-01,1 January 2022,10.15517/rev.biol.trop..v70i1.46904,"Introduction: Analysis of functional feeding groups (FFG) in aquatic macroinvertebrates is important in understanding the structure, function, and dynamics of ecological processes in ecosystems. Modularity refers to the degree of compartmentalization of food webs and varies between-1 and 1. A network with a modular-ity value close to 1 is resilient to disturbances and can be interpreted as an indicating factor for the stability of communities. Objective: In this study, we analyzed the trophic structure of benthic macroinvertebrates in La Nitrera stream, the San Juan River, and the Cauca River in the Colombian Andes. Methods: The study was supported by ecological networking techniques using Gephi software. We studied nine sites in dry, rainy, and transition seasons in 2017 and 2018, monitoring changes in the altitude gradient. At each of the sites, the organisms were captured and determined, and physicochemical and hydraulic information was obtained. Results: The variance component analysis allowed to explain the variability of the data by relating the following environmental variables: FFG, diversity, richness, modularity, season, and time. Simple multifactorial ANOVA indicated that significant changes in FFG were associated with altitude, and modularity to time. The allocation of the FFG was done by stomach analysis and secondary information. Conclusion: The transition season had the highest modularity, possibly due to the recolonization of some biotopes caused by the decrease in the velocity of water currents. La Nitrera and San Juan presented higher values than the Cauca, which may indicate that the altitudinal change and velocity of water currents affects the compartmentalization of the network.",0,Journal,ar,Article,100,6,6,altitudinal gradient | invertebrate trophic structure | modularity | network analysis | stomach analysis,13567,undefined,1,TRUE,5,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85129734379,SCOPUS_ID:85129734379,2-s2.0-85129734379,Effect of vegetation cover on dung beetles (Coleoptera: Scarabaeinae) and their ecological functions in an Andean forest of Colombia,Arias-álvarez G.A.,Revista de Biologia Tropical,00347744,22152075,70,1,53-66,2022-01-01,January-December 2022,10.15517/rev.biol.trop..v70i1.47849,"Introduction: Dung beetles perform important functions in terrestrial ecosystems, but anthropic pressures affect them negatively. These effects are well documented in neotropical lowland forests but have been studied little in Andean forests. Objective: To evaluate how the attributes of the dung beetle assemblages and three of their ecological functions differ in three types of vegetation cover, and to determine the relationships between attributes and functions, and among functions. Methods: Dung beetles were captured with pitfall traps, and ecological functions were measured through a field experiment in the farm “El Ocaso” (Colombia), in three types of vegetation cover: secondary forest, mixed forest and cattle pasture (three independent sites per cover). The assemblage attributes that were evaluated were abundance, number of species, biomass, and weighted mean body length; functions measured were dung removal, soil excavation, and secondary seed dispersal. Results: It was found that both the assemblage attributes and the ecological functions were negatively affected in the more disturbed vegetation covers, particularly in cattle pastures. Most of the assemblage attributes correlated positively with functions; soil excavation and secondary seed dispersal had a strong positive correlation with dung removal. Conclusions: Dung beetle assemblages play important ecological functions and they are sensitive to ecosystem disturbances. This study shows how dung beetles and their functions are affected negatively when forest is transformed to cattle pasture in the understudied and highly fragmented Andean forest ecosystems.",0,Journal,ar,Article,100,5,5,Andean region | dung removal | fragmented landscape | premontane forests | secondary seed dispersal | soil excavation,13567,undefined,1,TRUE,6,all,All Open Access,NA,Universidad del Quindío
true,https://api.elsevier.com/content/abstract/scopus_id/85129733025,SCOPUS_ID:85129733025,2-s2.0-85129733025,Size does matter! Incidence of bait size on the capture of dung beetles in the tropical dry forest,Martínez-Hernández N.J.,Revista de Biologia Tropical,00347744,22152075,70,1,1-19,2022-01-01,January-December 2022,10.15517/rev.biol.trop..v70i1.46712,"Introduction: Typically, research on dung beetles in the Tropical Dry Forests (TDF) of Colombian Caribbean region, have applied methodologies designed for wet or Andean areas of the country, which could be influencing the performance and efficiency of sampling. Objective: In order to contribute to this discussion, we analyzed how the bait amount and pitfall trap operating time influence the collection effectiveness of dung beetles in a TDF fragment at Reserva Campesina La Flecha, San Jacinto, Colombia. Methods: For the collection of beetles, we utilized pitfall traps baited with three different amounts of attractants: small (34.6 g), medium (53.8 g), and large (114.9 g), which remained active in the field for 48 h., 4 samplings between March and September 2015 were carried out, covering both, dry and rainy seasons. Results: A total of 4 563 individuals were recorded, grouped into 10 genera and 27 species of dung beetles. The highest values of richness, abundance and biomass were registered in the large bait, at 48 h, during the rainy season. However, the trap operating time had no effect on the estimation of beetles’ richness, abundance, and biomass, regardless of bait sizes. The three diversity orders (0D,1D y2D) showed similar values between the bait amounts during rainy season, but in the dry season, the largest baits displayed the highest diversity values. On the other hand, with the largest bait, significantly more richness, abundance, and biomass of small and large body beetles were registered, especially during the dry season. Conclusions: The results of this research show that, for the study of beetles’ assemblages in the BST, the use of a larger bait contributes to a better estimate of richness, abundance, diversity and biomass, especially during the dry season, when environmental conditions promote a more rapidly loss of baits attractiveness.",0,Journal,ar,Article,100,4,4,attractant size | capture technique | diversity | experimental design | seasonal variation,13567,undefined,1,TRUE,7,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85129730515,SCOPUS_ID:85129730515,2-s2.0-85129730515,Geographic distribution of the land snail family Spiraxidae (Gastropoda: Pulmonata) in Mexico.,Maldonado-Sánchez C.F.,Revista de Biologia Tropical,00347744,22152075,70,1,190-212,2022-01-01,January-December 2022,10.15517/rev.biol.trop..v70i1.47626,"Introduction: Spiraxidae is the most diverse family of terrestrial gastropods in Mexico with a mainly neotropi-cal distribution. However, the influence of environmental conditions in this region on its distribution is still poorly known. Objective: To determine zoogeographic affinities and the influence of environmental factors on the distribution of Spiraxidae in Mexico. Methods: We compiled museum distribution records and used models to establish areas with similar species composition, species concentration, affinities and relationship with environmental variables. Results: We found 231 species and subspecies, 96 in Veracruz state and 74 in Sierra Madre Oriental. The main zoogeographic affinity was neotropical. Mountain mesophyll forest had the most species and subspecies (93). Three of zone groups have a particular species composition and 67 % of the species are habitat specialists. Species presence follows an environmental gradient, with broadleaf evergreen tree cover and average annual precipitation as determining variables. Northern species had greater tolerance to aridity and reduced leaf cover. Conclusions: Spiraxidae has its greatest diversity in the Southern states of Mexico; however, the Northeastern zone has more species records. These snails mostly occur in mesophyll mountain forest and tropical evergreen forest. Species from Northern Mexico had greater tolerance to sites with low rainfall and less broadleaf evergreen tree cover than Southern species.",0,Journal,ar,Article,100,5,5,MaxEnt | multivariate analysis | spatial segregation | species richness | zoogeography,13567,undefined,0,FALSE,8,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85129718643,SCOPUS_ID:85129718643,2-s2.0-85129718643,"Half a century of Sri Lanka research: Subjects, researchers, institutions, journals and impact (1973-2019)",Ranasinghe P.,Revista de Biologia Tropical,00347744,22152075,70,1,40-52,2022-01-01,January-December 2022,10.15517/rev.biol.trop..v70i1.46065,"Introduction: Bibliometric analyses of research in Sri Lanka, a lower-middle income island nation in South Asia, has focused mainly on medical research, concluding that there is a need for increased research productivity and impact, and for local solutions to health concerns. There has been no general bibliometric analysis across scientific disciplines in the nation, or any study that covers a long period of time to identify general time trends. Objective: To measure and analyse Sri Lanka research by focusing on subjects, authors, institutions, journals and citation for half a century. Methods: We used an advanced search method to extract publications with the word “Sri Lanka” in the SCI-EXPANDED, and calculated indicators such as total citations from Web of Science Core Collection since publication year to the end of 2019, citations in 2019, and mean citations per publication. Journal data were taken from 2019 Journal Citation Report. Affiliation re-classification was done to ensure consistency regarding the origin of all publications. Publications were further analysed based on collaboration, and first and correspond-ing authorship. Results: We retrieved 16 069 publications in 19 document types (77 % articles). Corrections had the highest number of authors per publication (616) followed by articles (116). Four articles had more than 5 000 authors and 593 articles had more than 1 000 authors. The highest citations in this database were for international mega-projects where Sri Lanka authors played minor roles. The UK had the most collaborative articles with Sri Lanka (19 %). The articles were published in 3 051 journals across 177 Web of Science categories. The category of Public, environmental and occupational health, with 193 journals, had 6.7 % of all articles, followed by environmental sciences (6.6 %). Conclusion: Sri Lanka has an unusually strong pattern of participating as small role players in international megaprojects about health and physics. Sri Lanka authors should be encouraged to expand their horizons by researching non-applied fields that are the basis of all innovation; to strengthen their own journals so that they have better visibility and impact, and to improve their positions in international projects that are published in larger journals.",0,Journal,ar,Article,100,4,4,bibliometric analysis | productivity | Science Citation Index Expanded | scientometrics,13567,undefined,1,TRUE,9,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85129711219,SCOPUS_ID:85129711219,2-s2.0-85129711219,"Diversity of birds along an elevation gradient in the Sierra de Manantlán Biosphere Reserve, Mexico",Loera-Casillas J.,Revista de Biologia Tropical,00347744,22152075,70,1,114-131,2022-01-01,January-December 2022,10.15517/rev.biol.trop..v70i1.47684,"Introduction: Mexico concentrates around 11 % of the world’s bird species, of which 20 % are endemic to the country, with the highest number concentrated in the Western region. Objective: To analyze composition, diversity and avifaunal distribution along an elevation gradient in Western Mexico. Methods: The research was done in the Sierra de Manantlán Biosphere Reserve. We recorded seen or heard bird species in 28 fixed count points along a 1 000 m elevation gradient. Comparative richness and sampling completeness were determined with interpolation and extrapolation curves. Belts were compared with NonParametric Multi-Response Permutation. Correlations and indirect ordinations were used to analyze changes in richness and abundance. Results: We recorded 129 species (estimate: 96 % completeness): 19 endemics to Mexico, 13 in some risk category, and 21 considered indicators. Elevation determined the distribution and abundance of species, and the lower elevational bands, had the highest richness and abundance values. Conclusion: The highest species richness and abundance were recorded at lower elevations, with a significant change in composition and type of indicator species by belt. The numbers of endemic and at-risk species remained constant with elevation.",0,Journal,ar,Article,100,4,4,birdlife | environmental factors | gradient analysis | Hill’s numbers | tropical deciduous forest | vegetation,13567,undefined,1,TRUE,10,all,All Open Access,SNI,Sistema Nacional de Investigadores
