@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/0027103405,SCOPUS_ID:0027103405,2-s2.0-0027103405,Gynogenetic reproduction in hybrid mole salamanders (genus Ambystoma),Spolsky C.,Evolution,00143820,46,6,1935-1944,1992-01-01,1992,10.1111/j.1558-5646.1992.tb01179.x,"Ambystoma platineum, a unisexual clonal triploid taxon of mole salamander, originated by hybridization between the Mendelian species A. jeffersonianum and A. laterale. A. platineum reproduces gynogenetically, that is, sperm from a sexual host species is required to activate egg development but makes no genetic contribution to the developing embryo. Nevertheless, eletrophoretic diversity in populations of some hybrid Ambystoma suggested continual in situ recreation of unisexual hybrids and bidirectional gene exchange between the parental species and the hybrids. A platineum usually lives with, and is sexually dependent on, one of its parental species, A. jeffersonianum. In C Indiana, however, A. platineum populations have shifted their host dependency to A. texanum. Because genome replacement in A. texanum-dependent populations of A. platineum is irreversible, the persistence of A. platineum in A. texanum-dependent populations demonstrates that the major mode of reproduction in A. platineum populations is clonal: A platineum produces mainly triploid eggs that develop gynogenetically. -from Authors",23,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,1
true,https://api.elsevier.com/content/abstract/scopus_id/0027099485,SCOPUS_ID:0027099485,2-s2.0-0027099485,Sex ratio variation in a parasitic wasp. I. Reaction norms,Antolin M.F.,Evolution,00143820,46,5,1496-1510,1992-01-01,1992,10.1111/j.1558-5646.1992.tb01140.x,"To understand genetic and phenotypic constraints on the sex ratio in a parasitic wasp that attack fly pupae, the author carried out a laboratory study of sex ratio variability in five strains of Muscidifurax raptor (Hymenoptera: Pteromalidae). Sex ratio variability among strains is constrained by the correlation between sex ratio and fecundity. Strains display similar facultative shifts in sex ratio as female density increases because sex ratio shifts are insensitive to differing levels of superparasitism. -from Author",17,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,NA,NA,2
true,https://api.elsevier.com/content/abstract/scopus_id/0027097269,SCOPUS_ID:0027097269,2-s2.0-0027097269,"Species isolation, genital mechanics, and the evolution of species- specific genitalia in three species of Macrodactylus beetles (Coleoptera, Scarabeidae, Melolonthinae)",Eberhard W.G.,Evolution,00143820,46,6,1774-1783,1992-01-01,1992,10.1111/j.1558-5646.1992.tb01168.x,"Females frequently exercise their ability to prevent sperm transfer by conspecific males even after intromission has occurred, and females generally mate repeatedly, probably with different males. Males behave as if cryptic female choice is occurring, courting assiduously while their genitalia are within the female. Sexual selection by female choice could thus contribute to the divergence in genitalic structures. -from Author",36,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,NA,NA,3
true,https://api.elsevier.com/content/abstract/scopus_id/0027091387,SCOPUS_ID:0027091387,2-s2.0-0027091387,"Sexual selection and fitness variation in a population of smallmouth bass, Micropterus dolomieui (Pisces: Centrarchidae)",Wiegmann D.D.,Evolution,00143820,46,6,1740-1753,1992-01-01,1992,10.1111/j.1558-5646.1992.tb01166.x,"Many males did not acquire a nest site, and many territorial males were unsuccessful in acquiring a mate. The likelihood that territorial males mated depended on several aspects of nest sites. Selection resulting from the acquisition of a mate favored large size among only age-three males. Timing of nest construction and breeding among territorial males was negatively related to male size and did not depend on male age after taking male size into account. Indirect evidence (numbers of eggs deposited in nests) suggests that the timing of spawning among females was also negatively related to female size. Fertility selection favored early reproduction within the season by males of all ages, but large male size was favored among only age-four males. The combined early breeding of fecund females and female mate choice of large males may explain the positive correlation between the size of age-four males and the number of eggs acquired. Despite large differences of female fecundity, however, the variance of relative mate number contributed about two times more than the variance of relative fertility among females to the total variance of relative fitness within each sex. -from Authors",44,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,4
true,https://api.elsevier.com/content/abstract/scopus_id/0027091097,SCOPUS_ID:0027091097,2-s2.0-0027091097,Sex ratio variation in a parasitic wasp. II. Diallel cross,Antolin M.F.,Evolution,00143820,46,5,1511-1524,1992-01-01,1992,10.1111/j.1558-5646.1992.tb01141.x,"The author carried out a diallel cross among three strains of Muscidifurax raptor (Hymenoptera: Pteromalidae), to measure genetic variation for sex ratio, and tested whether sex ratio may change as a consequence of selection on other life-history traits by estimating genetic covariances between sex ratio, fecundity, longevity, and development time. Most of the variation among strains could be accounted for by a maternal effect, likely caused by a microsporidian parasite that was transmitted through the West Germany strain. The inbreeding depression (the difference between inbred and outcrossed progeny) found in M. raptor implies that the evolution of a female-biased sex ratio could be affected by selection for inbreeding avoidance. -from Author",16,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,5
true,https://api.elsevier.com/content/abstract/scopus_id/0027091072,SCOPUS_ID:0027091072,2-s2.0-0027091072,Polyphenism in spadefoot toad tadpoles as a locally adjusted evolutionarily stable strategy,Pfennig D.W.,Evolution,00143820,46,5,1408-1420,1992-01-01,1992,10.1111/j.1558-5646.1992.tb01133.x,"Examined the evolutionary factors maintaining two environmentally induced morphs in ponds of variable duration. Larvae of New Mexico spadefoot toads Scaphiopus multiplicatus often occur in the same pond as a large, rapidly developing carnivorous morph and as a smaller, more slowly developing omnivorous morph. Carnivores can be induced by feeding tadpoles live fairy shrimp. Morph determination is reversible. The ability of an individual to become a carnivore or an omnivore is maintained evolutionarily as a response to variability in pond longevity and food abundance. Carnivores survived better in highly ephemeral artificial ponds, because their larger fat reserves enhanced postmetamorphic survival. The two morphs also occupy different trophic niches. Increased competition for food among individuals of the more common morph made the rarer form more successful. Morph frequency within each pond was stabilized at an equilibrium by frequency-dependent morph reversal, which reflected frequency-dependent natural selection on size at metamorphosis; larger metamorphs had higher survival, and individuals reared at a frequency above the pond's equilibrium frequency were smaller at metamorphosis than were individuals of that morph reared at a frequency below the pond's equilibrium. Because neighboring ponds often differed in pond longevity and food abundance, each pond possessed a unique equilibrium morph frequency. This implies that morph determination in Scaphiopus is a locally adjusted evolutionarily stable strategy. -from Author",200,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,6
true,https://api.elsevier.com/content/abstract/scopus_id/0027090752,SCOPUS_ID:0027090752,2-s2.0-0027090752,Genetic variation in cactophilic Drosophila for oviposition on natural yeast substrates,Barker J.S.F.,Evolution,00143820,46,4,1070-1083,1992-01-01,1992,10.1111/j.1558-5646.1992.tb00620.x,"Genotype specific preferences for oviposition sites in Drosophila could be a major factor promoting habitat selection, and thus the maintenance of genetic variation. This hypothesis is tested using the cactophilic species, D. buzzatii and D. aldrichi, where available evidence indicates a potential for such habitat selection, the habitats (oviposition sites) being yeast species found in the natural environment of these flies (cactus rots). Genetic variation for oviposition preferences was tested using isofemale lines. Females were give a choice of five yeast species as oviposition sites. Genetic variation for oviposition preferences on these natural substrates was demonstrated. There was significant variation among isofemale lines within populations in their patterns of preferences for oviposition on the five yeast species. However, analyses of preferences for each yeast species separately showed that the genetic variation for preferences related to only three of the five species. Heritabilities of individual female preferences for these three species were low, ranging up to 9%. Little geographic differentiation was apparent among populations, most likely due to similar selection regimes within each population. Within populations, this kind of habitat selection could act to maintain polymorphisms, both at loci determining the habitat preferences and at other loci in linkage disequilibrium with them. -from Author",25,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,NA,NA,7
true,https://api.elsevier.com/content/abstract/scopus_id/0027089076,SCOPUS_ID:0027089076,2-s2.0-0027089076,"Pollen dispersal dynamics in an alpine wildflower, Polemonium viscosum",Galen C.,Evolution,00143820,46,4,1043-1051,1992-01-01,1992,10.1111/j.1558-5646.1992.tb00618.x,"Bumble bee (Bombus kirbyellus, B. sylvicola) pollinators visited donor individuals homozygous for marker alleles at an isozyme (GOT-2) encoding locus and then were presented with arrays of recipient plants lacking the marker alleles. Four aspects of male fitness were estimated for each donor: number of pollen grains dispersed to flowers of the first recipient visited, number of offspring sired on that recipient, proportion of offspring sired in the full array, and proportion of mates in the array bearing seeds of the donor. Pollen removal was strongly influenced by the number of bee visits to donor flowers. Amount of pollen removed in turn significantly affected the number of pollen grains reaching flowers of the first recipient, but because seed production decelerates with stigma pollen load, the relationship between pollen export and paternal success at this proximate scale showed diminishing returns. The probability of reaching mates within the array also increased with pollen export. Floral characters enhancing pollinator visition rate in P. viscosum thus have positive effects on paternity and gene flow. -from Author",54,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,8
true,https://api.elsevier.com/content/abstract/scopus_id/0027088417,SCOPUS_ID:0027088417,2-s2.0-0027088417,Stochastic loss of style morphs from populations of tristylous Lythrum salicaria and Decodon verticillatus (Lythraceae),Eckert C.G.,Evolution,00143820,46,4,1014-1029,1992-01-01,1992,10.1111/j.1558-5646.1992.tb00616.x,"Used computer models to investigate the interaction between drift and frequency-dependent selection in affecting style morph frequencies in populations of tristylous species. Morph frequencies were surveyed in 137 populations of purple loosestrife Lythrum salicaria from both its native range in Europe and recent adventive range in Ontario, and 133 populations of Decodon verticillatus from four regions in E North America with different glacial histories. There was a negative relationship between morph loss and population size in both species; the relationship was weaker in D. verticillatus. Morph loss was more frequent in the adventive than native range of L. salicaria, and in populations of D. verticillatus from glaciated northern regions compared with the unglaciated southern portion of its range. Degree of morph loss was strongly influenced by year to year survival, clonal propagation, self-fertilization and departures from disassortative mating. Comparing the pattern of morph frequency variation between species supported these predictions. Morph loss was lower in self-incompatibility L. calicaria (0% in Europe; 23% in Ontario), which reproduces through seed compared to self-compatible, clonal D. verticillatus (52%). -from Authors",95,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,9
true,https://api.elsevier.com/content/abstract/scopus_id/0027088172,SCOPUS_ID:0027088172,2-s2.0-0027088172,Are trioecy and sexual lability in Atriplex canescens genetically based?: evidence from clonal studies,McArthur E.D.,Evolution,00143820,46,6,1708-1721,1992-01-01,1992,10.1111/j.1558-5646.1992.tb01163.x,"In some clones gender is fixed as male (staminate) or female (pistillate), while in other clones gender varies, ranging from a mixture of male and female ramets to simultaneous hermaphrodites with various proportions of male and female flowers. For clones which vary their sex expression, variation occurs within irrigation treatments, between treatments and over time, as a consequence of the combined effects of genotype plus environment. The magnitude of sex change is also a product of the interaction of genetics and environment. -from Authors",36,Journal,ar,Article,100,5,5,22104,undefined,0,FALSE,NA,NA,10
