@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/28844508613,SCOPUS_ID:28844508613,2-s2.0-28844508613,"Explaining dioscorides' ""double difference"": Why are some mushrooms poisonous, and do they signal their unprofitability?",Sherratt T.,American Naturalist,00030147,166,6,767-775,2005-12-01,December 2005,10.1086/497399,"The adaptive significance of toxins in mushrooms has received very little consideration, although it is clear that poisons have appeared (and/or disappeared) many times in mushrooms' evolutionary history. One possibility is that poisons have evolved in some mushroom species to deter their consumption by would-be fungivores before spore dispersal. If this is so, then one might expect poisonous mushrooms to signal their unprofitability in some way. In this study, we have conducted the first formal analysis of the ecological and morphological traits associated with edible and poisonous mushrooms in North America and Europe. Poisonous mushrooms do not tend to be more colorful or aggregated than edible mushrooms, but they are more likely to exhibit distinctive odors even when phylogenetic relationships are accounted for. This raises the intriguing possibility that some poisonous species of mushrooms have evolved warning odors (and perhaps tastes) to enhance avoidance learning by fungivores. © 2005 by The University of Chicago. All rights reserved.",20,16475091,Journal,ar,Article,100,3,3,Fungivory | Mushrooms | Odor | Olfactory aposematism | Signaling,12604,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/28844500355,SCOPUS_ID:28844500355,2-s2.0-28844500355,Correcting for regression to the mean in behavior and ecology,Kelly C.,American Naturalist,00030147,166,6,700-707,2005-12-01,December 2005,10.1086/497402,"If two successive trait measurements have a less-than-perfect correlation, individuals or populations will, on average, tend to be closer to the mean on the second measurement (the so-called regression effect). Thus, there is a negative correlation between an individual's state at time 1 and the change in state from time 1 to time 2. In addition, whenever groups differ in their initial mean values, the expected change in the mean value from time 1 to time 2 will differ among the groups. For example, birds feeding nestlings lose weight, but initially heavier birds lose more weight than lighter birds, a result expected from the regression effect. In sexual selection, males who remain unmated in the first year are, on average, less attractive than mated males. The regression effect predicts that these males will increase their attractiveness in the second year more than mated males. In well-designed experiments, changes in the experimental and control groups would be compared. In observational studies, however, no such comparison is available, and expected differential effects must be accounted for before they can be attributed to external causes. We describe methods to correct for the regression effect and assess alternative causal explanations. © 2005 by The University of Chicago. All rights reserved.",104,16475086,Journal,ar,Article,100,2,2,Density dependence | Mating success | Regression | Statistical artifact,12604,undefined,0,FALSE,2,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/28844474852,SCOPUS_ID:28844474852,2-s2.0-28844474852,Inbreeding depression and the evolution of dispersal rates: A multilocus model,Roze D.,American Naturalist,00030147,166,6,708-721,2005-12-01,December 2005,10.1086/497543,"Inbreeding depression is one of the possible reasons organisms disperse. In this article, we present a two-locus model for the evolution of dispersal in the presence of inbreeding depression. The first locus codes for a modifier of the migration rate, while the second locus is a selected locus generating inbreeding depression. We express the change in frequency of the migration modifier as a function of allele frequencies and genetic associations and then use a quasi-equilibrium assumption to express genetic associations as functions of allele frequencies. Our model disentangles two effects of inbreeding depression: it gives an advantage to migrant individuals because their offspring are on average less homozygous, but it also decreases the degree of population structure, thus decreasing the strength of kin selection for dispersal. We then extend our model to include an infinite number of selected loci. When the cost of dispersal is not too high, the model predictions are confirmed by multilocus simulation results and show that inbreeding depression can have a substantial effect on the dispersal rate. For high costs of dispersal, we observe discrepancies between the model and the simulations, probably caused by associations among selected loci, which are neglected in the analysis. © 2005 by The University of Chicago. All rights reserved.",81,16475087,Journal,ar,Article,100,2,2,Evolution of dispersal | Genetic association | Inbreeding depression | Island model | Kin selection | Multilocus models,12604,undefined,0,FALSE,3,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/28844466712,SCOPUS_ID:28844466712,2-s2.0-28844466712,Acquired immunity and stochasticity in epidemic intervals impede the evolution of host disease resistance,Harding K.,American Naturalist,00030147,166,6,722-730,2005-12-01,December 2005,10.1086/497580,"Disease can generate intense selection pressure on host populations, but here we show that acquired immunity in a population subject to repeated disease outbreaks can impede the evolution of genetic disease resistance by maintaining susceptible genotypes in the population. Interference between the life-history schedule of a species and periodicity of the disease has unintuitive effects on selection intensity, and stochasticity in outbreak period further reduces the rate of spread of disease-resistance alleles. A general age-structured population genetic model was developed and parameterized using empirical data for phocine distemper virus (PDV) epizootics in harbor seals. Scenarios with acquired immunity had lower levels of epizootic mortality compared with scenarios without acquired immunity for the first PDV outbreaks, but this pattern was reversed after about five disease cycles. Without acquired immunity, evolution of disease resistance was more rapid, and long-term population size variation is efficiently dampened. Acquired immunity has the potential to significantly influence rapid evolutionary dynamics of a host population in response to age-structured disease selection and to alter predicted selection intensities compared with epidemiological models that do not consider such feedback. This may have important implications for evolutionary population dynamics in a range of human, agricultural, and wildlife disease settings. © 2005 by The University of Chicago. All rights reserved.",22,16475088,Journal,ar,Article,100,3,3,Acquired immunity | Periodic disease | Population genetics | Selection regime,12604,undefined,0,FALSE,4,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/28844457281,SCOPUS_ID:28844457281,2-s2.0-28844457281,"Effects of mechanical stress and plant density on mechanical characteristics, growth, and lifetime reproduction of tobacco plants",Anten N.,American Naturalist,00030147,166,6,650-660,2005-12-01,December 2005,10.1086/497442,"Plastic increases in stem elongation in dense vegetation are generally believed to be induced by canopy shading, but because plants protect each other from wind, shielding (reduced mechanical stress) could also play a role. To address this issue, tobacco Nicotiana tabacum plants were subjected to two levels of mechanical stress, 0 (control) or 40 (flexed) daily flexures, and grown solitarily, in a dense monostand (with plants of only one mechanical treatment), or in a mixed stand (flexed and control plants grown together). Flexed plants produced shorter and thicker stems with a lower Young's modulus than control plants, while dense-stand plants had relatively taller and thinner stems than solitary ones. Flexing effects on stem characteristics were independent of stand density. Growth, reproduction, and survival of solitary plants were not affected by flexing, while in the monostand growth was slightly reduced. But in the mixed stand, flexed plants were readily shaded by controls and had considerably lower growth, survival, and reproduction rates. These results suggest that wind shielding indeed plays a role in the plastic increase in stem elongation of plants in dense vegetation and that this response can have important consequences for competitive ability and lifetime seed production. © 2005 by The University of Chicago. All rights reserved.",93,16475082,Journal,ar,Article,100,3,3,Allometry | Biomechanics | Competition | Fitness | Shade avoidance | Thigmomorphogenesis,12604,undefined,0,FALSE,5,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/28844456387,SCOPUS_ID:28844456387,2-s2.0-28844456387,Mitochondrial uncoupling proteins: New perspectives for evolutionary ecologists,Criscuolo F.,American Naturalist,00030147,166,6,686-699,2005-12-01,December 2005,10.1086/497439,"Reactive oxygen species (ROS)-induced damage on host cells and molecules has been considered the most likely proximal mechanism responsible for the age-related decline in organismal performance. Organisms have two possible ways to reduce the negative effect of ROS: disposing of effective antioxidant defenses and minimizing ROS production. The unbalance between the amount of ROS produced and the availability of antioxidant defenses determines the intensity of so-called oxidative stress. Interestingly, most studies that deal with the effect of oxidative stress on organismal performance have focused on the antioxidant defense compartment and, surprisingly, have neglected the mechanisms that control ROS production within mitochondria. Uncoupling proteins (UCPs), mitochondrial transporters of the inner membrane, are involved in the control of redox state of cells and in the production of mitochondrial ROS. Given their function, UCPs might therefore represent a major mechanistic link between metabolic activity and fitness. We suggest that by exploring the role of expression and function of UCPs both in experimental as well as in comparative studies, evolutionary biologists may gain better insight into this link. © 2005 by The University of Chicago. All rights reserved.",33,16475085,Journal,re,Review,100,6,6,Early growth | Oxidative stress | Reactive oxygen species | Reproduction | Senescence | Uncoupling proteins,12604,undefined,0,FALSE,6,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/28844450230,SCOPUS_ID:28844450230,2-s2.0-28844450230,A large cost of female mate sampling in pronghorn,Byers J.,American Naturalist,00030147,166,6,661-668,2005-12-01,December 2005,10.1086/497401,"We measured the energy cost of mate sampling by female pronghorn (Antilocapra americana), a species for which there are no apparent direct benefits of mate choice and for which the sampling tactic most closely resembles best-of-n or comparative Bayes. We used Global Positioning System collars to record the position of individuals at 10-min intervals during the 2 weeks preceding estrus in females that actively sampled and in females that did not sample. The difference in the 2-week energy costs of these two classes of females was 8,200 (±2,300) kJ, or roughly one-half of the energy cost of a single day. This value, expressed as the fraction of total yearly energy expenditure, is 59 times the value reported for a lekking bird. Our finding calls into question the common assumption in models of mate search that the cost of search is negligible as well as the common assumption that the cost of sampling must be small when there are only indirect benefits of female choice. © 2005 by The University of Chicago. All rights reserved.",83,16475083,Journal,ar,Article,100,4,4,Energy cost | Mate sampling | Pronghorn,12604,undefined,0,FALSE,7,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/28844450229,SCOPUS_ID:28844450229,2-s2.0-28844450229,Genomic adaptation to acidic environment: Evidence from Helicobacter pylori,Xia X.,American Naturalist,00030147,166,6,776-784,2005-12-01,December 2005,10.1086/497400,"The origin of new functions is fundamental in understanding evolution, and three processes known as adaptation, preadaptation, and exaptation have been proposed as possible evolutionary pathways leading to the origin of new functions. Here we examine the origin of an acid resistance mechanism in the mammalian gastric pathogen Helicobacter pylori, with reference to these three evolutionary pathways. The mechanism involved is that H. pylori, when exposed to the acidic environment in mammalian stomach, restricts the acute proton entry across its membrane by its increased usage of positively charged amino acids in the inner and outer membrane proteins. The results of our comparative genomic analysis between H. pylori, the two closely related species Helicobacter hepaticus and Campylobacter jejuni, and other relevant proteobacterial species are incompatible with the hypotheses invoking preadaptation or exaptation. The acid resistance mechanism most likely arose by selection favoring an increased usage of positively charged lysine in membrane proteins. © 2005 by The University of Chicago. All rights reserved.",11,16475092,Journal,ar,Article,100,2,2,Acid resistance | Adaptation | Exaptation | Helicobacter | Membrane proteins | Preadaptation,12604,undefined,0,FALSE,8,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/28844442793,SCOPUS_ID:28844442793,2-s2.0-28844442793,Symmetry breaking in escaping ants,Altshuler E.,American Naturalist,00030147,166,6,643-649,2005-12-01,December 2005,10.1086/498139,"The phenomenon of herding is a very general feature of the collective behavior of many species in panic conditions, including humans. It has been predicted theoretically that panic-induced herding in individuals confined to a room can produce a nonsymmetrical use of two identical exit doors. Here we demonstrate the existence of that phenomenon in experiments, using ants as a model of pedestrians. We show that ants confined to a cell with two symmetrically located exits use both exits in approximately equal proportions to abandon it in normal conditions but prefer one of the exits if panic is created by adding a repellent fluid. In addition, we are able to reproduce the observed escape dynamics in detail using a modification of a previous theoretical model that includes herding associated with a panic parameter as a central ingredient. Our experimental results, combined with theoretical models, suggest that some features of the collective behavior of humans and ants can be quite similar when escaping under panic. © 2005 by The University of Chicago. All rights reserved.",140,16475081,Journal,ar,Article,100,6,6,Ants | Behavior | Complexity | Escape dynamics | Herding | Self-organization,12604,undefined,0,FALSE,9,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/28844438277,SCOPUS_ID:28844438277,2-s2.0-28844438277,Combining stochastic models with experiments to understand the dynamics of monarch butterfly colonization,Drury K.,American Naturalist,00030147,166,6,731-750,2005-12-01,December 2005,10.1086/497542,"Stochastic models are of increasing importance in ecology but are usually only applied to observational data. Here we use a stochastic population model to combine experimental and observational data to understand the colonization of old fields by monarch butterflies Danaus plexippus. We experimentally tested for density dependence in oviposition rates when predators were excluded, and we measured predation rates under natural conditions. Significance tests on the resulting data showed that both oviposition and predation were density dependent but could not show how oviposition and mortality combine to determine egg densities in nature. We therefore used our data to calculate the Akaike Information Criterion to choose between a nested suite of stochastic models that differed in their oviposition and mortality terms. When we simply fit the models to the observational data, the best model assumed density independence in both oviposition and predation. When we instead first estimated the oviposition rate at low density from experimental data, however, the best model included density dependence in oviposition, and a model that included density dependence in both oviposition and predation performed nearly as well. This result is consistent with our experiments and suggests that experiments can enhance the usefulness of stochastic models in ecology. © 2005 by The University of Chicago. All rights reserved.",9,16475089,Journal,ar,Article,100,2,2,Akaike Information Criterion | Asclepias syriaca | Danaus plexippus | Density-dependent immigration | Density-dependent mortality | Stochastic model,12604,undefined,0,FALSE,10,NA,NA,NA,NA
