@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/36749092333,SCOPUS_ID:36749092333,2-s2.0-36749092333,When dinner is dangerous: Toxic frogs elicit species-specific responses from a generalist snake predator,Phillips B.,American Naturalist,00030147,170,6,936-942,2007-12-10,2007,10.1086/522845,"In arms races between predators and prey, some evolved tactics are unbeatable by the other player. For example, many types of prey are inedible because they have evolved chemical defenses. In this case, prey death removes any selective advantage of toxicity to the prey but not the selective advantage to a predator of being able to consume the prey. In the absence of effective selection for post-mortem persistence of the toxicity then, some chemical defenses probably break down rapidly after prey death. If so, predators can overcome the toxic defense simply by waiting for that breakdown before consuming the prey. Floodplain death adders (Acanthophis praelongus) are highly venomous frog-eating elapid snakes native to northern Australia. Some of the frogs they eat are nontoxic (Litoria nasuta), others produce gluelike mucus when seized by a predator (Limnodynastes convexiusculus), and one species (Litoria dahlii) is dangerously toxic to snakes. Both the glue and the toxin degrade within about 20 min of prey death. Adders deal with these prey types in different and highly stereotyped ways: they consume nontoxic frogs directly but envenomate and release the other taxa, waiting until the chemical defense loses its potency before consuming the prey. © 2007 by The University of Chicago. All rights reserved.",18,18171175,Journal,ar,Article,100,2,2,Antipredator tactics | Coevolution | Evolution | Predator-prey systems | Prey release,12604,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/36749083518,SCOPUS_ID:36749083518,2-s2.0-36749083518,Mechanisms behind active trends in body size evolution of the Canidae (Carnivora: Mammalia),Finarelli J.,American Naturalist,00030147,170,6,876-885,2007-12-10,2007,10.1086/522846,"Clade-level interactions can impart trends on observed characters. In this study, origination and extinction events were compiled for the three subfamilies of the Canidae (dogs): Hesperocyoninae, Borophaginae, and Caninae. These events were binned into 2-million-year time slices, and median body masses were calculated for each time slice. Originations and extinctions were classified as ""large"" or ""small"" relative to these median values. Likelihood ratios demonstrate that originations were significantly biased from random in four time slices, while extinctions were never significantly different from random. Two models were chosen by the Akaike Information Criterion to describe the evolutionary dynamics of canid body size. Both proposed a consistent, significant bias toward larger originations, punctuated by episodic ""pulses"" of increased bias toward larger originations and a Quaternary ""pulse"" favoring smaller originations, tracking the Quaternary diversification of foxlike canids. These pulses correspond in each subfamily to periods of rapid taxonomic diversification and the appearances of morphologies associated with hypercarnivorous diets. Together, the diversity data, the appearance of hypercarnivory, and the biases in originations document competitive interactions between Hesperocyoninae and Borophaginae and suggest that body size trends were driven, in part, by clade-level dynamics in the Canidae. © 2007 by The University of Chicago. All rights reserved.",31,18171170,Journal,ar,Article,100,1,1,Body size | Canidae | Carnivora | Macroevolution | Mammalia | Trends,12604,undefined,0,FALSE,2,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/36749077615,SCOPUS_ID:36749077615,2-s2.0-36749077615,"When to care for, abandon, or eat your offspring: The evolution of parental care and filial cannibalism",Klug H.,American Naturalist,00030147,170,6,886-901,2007-12-10,2007,10.1086/522936,"Parental care and filial cannibalism (the consumption of one's own offspring) co-occur in many animals. While parental care typically increases offspring survival, filial cannibalism involves the killing of one's young. Using an evolutionary ecology approach, we evaluate the importance of a range of factors on the evolution of parental care and filial cannibalism. Parental care, no care/total abandonment, and filial cannibalism evolved and often coexisted over a range of parameter space. While no single benefit was essential for the evolution of filial cannibalism, benefits associated with adult or offspring survival and/or reproduction facilitated the evolution of cannibalism. Our model highlights the plausibility of a range of alternative hypotheses. Specifically, the evolution of filial cannibalism was enhanced if (1) parents could selectively cannibalize lower-quality offspring, (2) filial cannibalism increased egg maturation rate, (3) energetic benefits of eggs existed, or (4) cannibalism increased a parent's reproductive rate (e.g., through mate attractiveness). Density-dependent egg survivorship alone did not favor the evolution of cannibalism. However, when egg survival was density dependent, filial cannibalism invaded more often when the density dependence was relatively more intense. Our results suggest that population-level resource competition potentially plays an important role in the evolution of both parental care and filial cannibalism. © 2007 by The University of Chicago. All rights reserved.",83,18171171,Journal,ar,Article,100,2,2,Density-dependent egg survivorship | Filial cannibalism | Infanticide | Parental care | Sexual selection,12604,undefined,0,FALSE,3,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/36749076025,SCOPUS_ID:36749076025,2-s2.0-36749076025,Spatial dynamics of communities with intraguild predation: The role of dispersal strategies,Amarasekare P.,American Naturalist,00030147,170,6,819-831,2007-12-10,2007,10.1086/522837,"I investigate the influence of dispersal strategies on intraguild prey and predators (competing species that prey on each other). I find an asymmetry between the intraguild prey and predator in their responses to each other's dispersal. The intraguild predator's dispersal strategy and dispersal behavior have strong effects on the intraguild prey's abundance pattern, but the intraguild prey's dispersal strategy and behavior have little or no effect on the intraguild predator's abundance pattern. This asymmetry arises from the different constraints faced by the two species: the intraguild prey has to acquire resources while avoiding predation, but the intraguild predator only has to acquire resources. It leads to puzzling distribution patterns: when the intraguild prey and predator both move away from areas of high density, they become aggregated to high-density habitats, but when they both move toward areas of high resource productivity, they become segregated to resource-poor and resource-rich habitats. Aggregation is more likely when dispersal is random or less optimal, and segregation is more likely as dispersal becomes more optimal. The crucial implication is that trophic constraints dictate the fitness benefits of using dispersal strategies to sample environmental heterogeneity. A strategy that affords greater benefits to an intraguild predator can lead to a more optimal outcome for both the intraguild predator and prey than a strategy that affords greater benefits to an intraguild prey. © 2007 by The University of Chicago. All rights reserved.",48,18171165,Journal,ar,Article,100,1,1,Competition | Dispersal strategies | Intraguild predation | Lifehistory trade-offs | Multitrophic communities | Productivity,12604,undefined,0,FALSE,4,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/36749075057,SCOPUS_ID:36749075057,2-s2.0-36749075057,Within-host disease ecology in the sea fan Gorgonia ventalina: Modeling the spatial immunodynamics of a coral-pathogen interaction,Ellner S.P.,American Naturalist,00030147,170,6,NA,2007-12-10,2007,10.1086/522841,"We develop a spatially explicit model for the within-host interactions between a fungal pathogen and the immune response by its coral host. The model is parameterized for the recent epizootic of Aspergillus sydowii in the sea fan Gorgonia ventalina, but its structure is adaptable to many other diseases attacking corals worldwide, fungal infections in other invertebrates and plants, and opportunistic fungal infections in vertebrates. Model processes include pathogen growth and spread through consumption of host tissue, chemotactic attraction of undifferentiated host amoebocytes to infections, and amoebocyte differentiation into various cell types that attack the pathogen. Sensitivity analysis shows that the spread rate of a single localized infection is determined primarily by the pathogen's potential rate of host tissue consumption and by the host's ability to replenish the pool of undifferentiated amoebocytes and sustain a long-term response. The spatial localization of immune responses creates potentially strong indirect interactions between distant lesions, allowing new infections to grow rapidly while host resources are concentrated at older, larger infections. These findings provide possible mechanistic explanations for effects of environmental stressors (e.g., ocean warming, nutrient enrichment) on aspergillosis prevalence and severity and for the observed high spatial and between-host variability in disease impacts. © 2007 by The University of Chicago. All rights reserved.",32,18171161,Journal,ar,Article,100,4,4,Aspergillosis | Corals | Immune system | Pathogen | Sea fan | Spatial ecology,12604,undefined,0,FALSE,5,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/36749074522,SCOPUS_ID:36749074522,2-s2.0-36749074522,Intraspecific variation and species coexistence,Lichstein J.,American Naturalist,00030147,170,6,807-818,2007-12-10,2007,10.1086/522937,"We use a two-species model of plant competition to explore the effect of intraspecific variation on community dynamics. The competitive ability (""performance"") of each individual is assigned by an independent random draw from a species-specific probability distribution. If the density of individuals competing for open space is high (e.g., because fecundity is high), species with high maximum (or large variance in) performance are favored, while if density is low, species with high typical (e.g., mean) performance are favored. If there is an interspecific mean-variance performance trade-off, stable coexistence can occur across a limited range of intermediate densities, but the stabilizing effect of this trade-off appears to be weak. In the absence of this trade-off, one species is superior. In this case, intraspecific variation can blur interspecific differences (i.e., shift the dynamics toward what would be expected in the neutral case), but the strength of this effect diminishes as competitor density increases. If density is sufficiently high, the inferior species is driven to extinction just as rapidly as in the case where there is no overlap in performance between species. Intraspecific variation can facilitate coexistence, but this may be relatively unimportant in maintaining diversity in most real communities. © 2007 by The University of Chicago. All rights reserved.",63,18171164,Journal,ar,Article,100,4,4,Coexistence | Competition | Drift | Individual variation | Neutral theory | Trade-off,12604,undefined,0,FALSE,6,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/36749070488,SCOPUS_ID:36749070488,2-s2.0-36749070488,How patrollers set foraging direction in harvester ants,Greene M.J.,American Naturalist,00030147,170,6,943-948,2007-12-10,2007,10.1086/522843,"Recruitment to food or nest sites is well known in ants; the recruiting ants lay a chemical trail that other ants follow to the target site, or they walk with other ants to the target site. Here we report that a different process determines foraging direction in the harvester ant Pogonomyrmex barbatus. Each day, the colony chooses from among up to eight distinct foraging trails; colonies use different trails on different days. Here we show that the patrollers regulate the direction taken by foragers each day by depositing Dufour's secretions onto a sector of the nest mound about 20 cm long and leading to the beginning of a foraging trail. The patrollers do not recruit foragers all the way to food sources, which may be up to 20 m away. Fewer foragers traveled along a trail if patrollers had no access to the sector of the nest mound leading to that trail. Adding Dufour's gland extract to patroller-free sectors of the nest mound rescued foraging in that direction, while poison gland extract did not. We also found that in the absence of patrollers, most foragers used the direction they had used on the previous day. Thus, the colony's 30-50 patrollers act as gatekeepers for thousands of foragers and choose a foraging direction, but they do not recruit and lead foragers all the way to a food source. © 2007 by The University of Chicago. All rights reserved.",40,18171176,Journal,ar,Article,100,2,2,Foraging direction | Harvester ant | Pheromones | Regulation of foraging behavior,12604,undefined,0,FALSE,7,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/36749069511,SCOPUS_ID:36749069511,2-s2.0-36749069511,Natural variation in a testosterone-mediated trade-off between mating effort and parental effort,McGlothlin J.,American Naturalist,00030147,170,6,864-875,2007-12-10,2007,10.1086/522838,"Male birds frequently face a trade-off between acquiring mates and caring for offspring. Hormone manipulation studies indicate that testosterone often mediates this trade-off, increasing mating effort while decreasing parental effort. Little is known, however, about individual covariation between testosterone and relevant behavior on which selection might act. Using wild, male dark-eyed juncos (Junco hyemalis), we measured individual variation in testosterone levels before and after standardized injections of gonadotropin-releasing hormone (GnRH). The GnRH challenges have been shown to produce short-term testosterone increases that are similar to those produced naturally in response to social stimuli, repeatable in magnitude, and greater in males with more attractive ornaments. We correlated these testosterone increases with behavioral measures of mating and parental effort (aggressive response to a simulated territorial intrusion and nestling feeding, respectively). Males that showed higher postchallenge testosterone displayed more territorial behavior, and males that produced higher testosterone increases above initial levels displayed reduced parental behavior. Initial testosterone levels were positively but nonsignificantly correlated with aggression but did not predict parental behavior. These relationships suggest that natural variation in testosterone, specifically the production of short-term increases, may underlie individual variation in the mating effort/parental effort trade-off. We discuss the implications of these results for the evolution of hormonally mediated trade-offs. © 2007 by The University of Chicago. All rights reserved.",192,18171169,Journal,ar,Article,100,3,3,Junco hyemalis | Life-history trade-offs | Parental care | Sexual selection | Territorial aggression | Testosterone,12604,undefined,0,FALSE,8,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/36749066172,SCOPUS_ID:36749066172,2-s2.0-36749066172,Species diversity in local neutral communities,Hu X.,American Naturalist,00030147,170,6,844-853,2007-12-10,2007,10.1086/522935,"We extend the neutral theory of macroecology by deriving biodiversity models (relative species abundance and species-area relationships) in a local community-metacommunity system in which the local community is embedded within the metacommunity. We first demonstrate that the local species diversity patterns converge to that of the metacommunity as the size (scale) of the embedded local community increases. This result shows that in continuous landscapes no sharp boundaries dividing the communities at the two scales exist; they are an artificial distinction made by the current spatially implicit neutral theory. Second, we remove the artificial restriction that speciation cannot occur in a local community, even if the effects of local speciation are small. Third, we introduce stochasticity into the immigration rate, previously treated as constant, and demonstrate that local species diversity is a function not only of the mean but also of the variance in immigration rate. High variance in immigration rates reduces species diversity in local communities. Finally, we show that a simple relationship exists between the fundamental diversity parameter of neutral theory and Simpson's index for local communities. Derivation of this relationship extends recent work on diversity indices and provides a means of evaluating the effect of immigration on estimates of the fundamental diversity parameter derived from relative species abundance data on local communities. © 2007 by The University of Chicago. All rights reserved.",18,18171167,Journal,ar,Article,100,3,3,Community assembly rules | Relative species abundance | Simpson's index | Spatial scale | Species-area relationship | Stochastic immigration,12604,undefined,0,FALSE,9,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/36749055266,SCOPUS_ID:36749055266,2-s2.0-36749055266,Population and community consequences of spatial subsidies derived from central-place foraging,Fagan W.,American Naturalist,00030147,170,6,902-915,2007-12-10,2007,10.1086/522836,"Central-place foragers, such as ants, beavers, and colonial seabirds, can act as biological conduits, subsidizing local communities with allochthonous resources. To explore the consequences of such biologically vectored resource redistribution, we draw on an example from cave ecology and develop a population-level model of central-place foraging based on the dispersal kernel framework. We explore how the size of the patch in which central-place foraging occurs and the spatial distribution of foragers within that patch feed back to influence the population dynamics of the central-place forager and the species richness of the associated recipient community. We demonstrate that the particular way in which a population of central-place foragers uses space has two important effects. First, space use determines the stability of the forager population and establishes patch size thresholds for persistence, stable equilibria, and limit cycles. Second, alternative foraging kernels lead to qualitatively different scaling relationships between the size of the foraging patch and species richness back at the central place. These analyses provide a new link among elements of ecology related to animal behavior, population dynamics, and species diversity while also providing a novel perspective on the utility of integrodifference equations for problems in spatial ecology. © 2007 by The University of Chicago. All rights reserved.",28,18171172,Journal,ar,Article,100,3,3,Cave crickets | Cave ecology | Critical patch size | Integrodifference equation | Population cycles | Spatial subsidies,12604,undefined,0,FALSE,10,NA,NA,NA,NA
