@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/33745283371,SCOPUS_ID:33745283371,2-s2.0-33745283371,Hydrochory increases riparian plant species richness: A comparison between a free-flowing and a regulated river,Jansson R.,Journal of Ecology,00220477,13652745,93,6,1094-1103,2005-12-01,December 2005,10.1111/j.1365-2745.2005.01057.x,"1 The importance of dispersal for plant community structure is poorly understood. Previous studies have hypothesized that patterns in the distribution and genetic structure of riparian plant communities were caused by hydrochory, i.e. plant dispersal by water. We separated the relative contributions of propagules from hydrochory and other dispersal vectors by comparing colonization in pairs of plots, one subject to flooding and deposition of hydrochores and the other unflooded. 2 The number of colonizing individuals and the mortality rate of individuals per year did not differ significantly with flooding, but hydrochory increased the number of colonizing species per year and plot by 40-200%. The pool of colonizing species was 36-58% larger per year for flooded than for unflooded plots, indicating that hydrochory increased the diversity by facilitating long-distance dispersal. Hydrochory resulted in more diverse plant communities after 3 years of succession at both plot and reach scales, despite the fact that flooding caused plant mortality. 3 We found no evidence that dams reduce the abundance and diversity of waterdispersed propagules by acting as barriers for plant dispersal. The role of hydrochory for plant colonization was similar between a free-flowing and a regulated river, although in fragmented rivers propagule sources are likely to be more local (within-impoundment). 4 We conclude that plant dispersal by water, as well as fluvial disturbance, is important for enhancing species richness in riparian plant communities. As flowing water may carry buoyant seeds long distances, riparian plant communities may receive a comparatively large proportion of their seeds by long-distance dispersal. © 2005 British Ecological Society.",140,Journal,ar,Article,100,4,4,Dams | Fragmentation | Hydrochory | Riparian vegetation | River continuum | Seed dispersal | Seed germination | Sweden | Vascular plants | Vegetative dispersal,29602,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33745279567,SCOPUS_ID:33745279567,2-s2.0-33745279567,Survival of tree seedlings across space and time: Estimates from long-term count data,Beckage B.,Journal of Ecology,00220477,13652745,93,6,1177-1184,2005-12-01,December 2005,10.1111/j.1365-2745.2005.01053.x,"1 Tree diversity in forests may be maintained by variability in seedling recruitment. Although forest ecologists have emphasized the importance of canopy gaps in generating spatial variability that might promote tree regeneration, the effects of canopy gaps on seedling recruitment may be offset by dense forest understories. 2 Large annual fluctuations in recruitment processes, coupled with the long life of forest trees, can provide an alternative mechanism for maintaining tree diversity. Evaluating the relative importance of spatial vs. temporal variability in recruitment, however, requires estimates of seedling survival that are extensive on both scales. 3 Estimates of survival derived from conventional statistical methods require that individual seedlings are monitored through time, and are therefore often limited in extent. We demonstrate a relatively fast and easy alternative approach to measuring survival that uses repeated counts of individuals in quadrats. 4 Annual seedling counts were used to quantify both the effects of small canopy gaps and understorey shrubs on the survival of Acer rubrum (red maple) seedlings and the magnitude of residual spatial and temporal variability in seedling survival. 5 We found that a dense understorey had a greater effect on seedling survival than did canopy gaps. Our canopy gaps had only a slight positive effect on seedling survival, and their benefit was offset by a large negative effect of the understorey shrub Rhododendron maximum. 6 Annual fluctuations in recruitment processes were seven times greater than spatial variability across transects and the effect of individual years on seedling survival was larger than even that of understorey shrubs. 7 The long life span of trees coupled with large annual variability in recruitment success across species may maintain the diversity of forest trees through a storage effect. © 2005 British Ecological Society.",49,Journal,ar,Article,100,3,3,Acer rubrum | Bayesian statistics | Canopy gaps | Forest dynamics | Rhododendron maximum | Seedling survival | Spatial variability | Storage effect | Temporal variability | Tree diversity,29602,undefined,0,FALSE,2,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33745267675,SCOPUS_ID:33745267675,2-s2.0-33745267675,Experimental invasion by legumes reveals non-random assembly rules in grassland communities,Turnbull L.,Journal of Ecology,00220477,13652745,93,6,1062-1070,2005-12-01,December 2005,10.1111/j.1365-2745.2005.01051.x,"1 Although experimental studies usually reveal that resistance to invasion increases with species diversity, observational studies sometimes show the opposite trend. The higher resistance of diverse plots to invasion may be partly due to the increased probability of a plot containing a species with similar resource requirements to the invader. 2 We conducted a study of the invasibility of monocultures belonging to three different functional groups by seven sown species of legume. By only using experimentally established monocultures, rather than manipulating the abundance of particular functional groups, we removed both species diversity and differences in underlying abiotic conditions as potentially confounding variables. 3 We found that legume monocultures were more resistant than monocultures of grasses or non-leguminous forbs to invasion by sown legumes but not to invasion by other unsown species. The functional group effect remained after controlling for differences in total biomass and the average height of the above-ground biomass. 4 The relative success of legume species and types also varied with monoculture characteristics. The proportional biomass of climbing legumes increased strongly with biomass height in non-leguminous forb monocultures, while it declined with biomass height in grass monocultures. Trifolium pratense was the most successful invader in grass monocultures, while Vicia cracca was the most successful in non-leguminous forb monocultures. 5 Our results suggest that non-random assembly rules operate in grassland communities both between and within functional groups. Legume invaders found it much more difficult to invade legume plots, while grass and non-leguminous forb plots favoured non-climbing and climbing legumes, respectively. If plots mimic monospecific patches, the effect of these assembly rules in diverse communities might depend upon the patch structure of diverse communities. This dependency on patch structure may contribute to differences in results of research from experimental vs. natural communities. © 2005 British Ecological Society.",50,Journal,ar,Article,100,6,6,Assembly rules | Functional groups | Legumes | Resistance to invasion | Seed-addition experiment,29602,undefined,1,TRUE,3,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33745267031,SCOPUS_ID:33745267031,2-s2.0-33745267031,Microhabitats shift rank in suitability for seedling establishment depending on habitat type and climate,Gómez-Aparicio L.,Journal of Ecology,00220477,13652745,93,6,1194-1202,2005-12-01,December 2005,10.1111/j.1365-2745.2005.01047.x,"1 Spatial patterns of seedling establishment have been shown to be largely affected by differences at the microhabitat scale. However, it is far from clear whether such differences are consistent both in space and time, and how they influence the spatial structure of plant populations. 2 We analyse the spatiotemporal variability in microhabitat quality for seedling emergence and survival of the Mediterranean tree Acer opalus ssp. granatense, examining seedling dynamics at the microhabitat scale in two maple populations intermingled in pine forests and two established on stony slopes during three consecutive years with different climatic conditions. 3 Seedling establishment varied markedly between microhabitats. In general, seedlings benefited from the presence of pre-established vegetation, with lower emergence and survival of maple seedlings in open interspaces than under adult maples, non-conspecific trees and shrubs. 4 However, the quality of most microhabitats depended on both habitat type and year. Emergence and survival under adult maples, heterospecific trees and in open interspaces was higher in forest than in stony-slope populations, and increased significantly with summer rainfall. Shrubs, on the contrary, showed relatively high values of seedling emergence and survival at all sites and in both dry and wet years. Consequently, the benefits of living under shrubs were comparatively greater at lower precipitation levels. 5 The different microhabitats found in heterogeneous landscapes such as Mediterranean forests vary, over relatively large spatiotemporal scales, in quality for seedling establishment. Shrubs showed the highest consistency in patterns of both seedling emergence and survival. This finding, together with the predominance of dry years in Mediterranean areas, may explain why Acer opalus ssp. granatense has a stable spatial distribution at a geographical scale with most saplings associated with shrubs. Spatiotemporal patterns of seedling dynamics at the microhabitat scale may cascade through later demographic stages, eventually impacting the spatial structure of plant populations. © 2005 British Ecological Society.",70,Journal,ar,Article,100,3,3,Acer opalus ssp. granatense | Climate | Facilitation | Habitat types | Hierarchical effects | Mediterranean mountain | Microhabitat quality | Seedling emergence and survival | Spatiotemporal variability,29602,undefined,1,TRUE,4,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33745263913,SCOPUS_ID:33745263913,2-s2.0-33745263913,Self-organization in raised bog patterning: The origin of microtope zonation and mesotope diversity,Couwenberg J.,Journal of Ecology,00220477,13652745,93,6,1238-1248,2005-12-01,December 2005,10.1111/j.1365-2745.2005.01035.x,"1 Raised bogs of the boreal and temperate zone typically show surface patterning on two distinct organizational levels. A conspicuous pattern of alternating dry strings and wet flarks aligned perpendicular to the slope occurs in combination with other microtopes, resulting in a mesotope pattern. 2 Patterning on both these levels can be explained by a simple, spatially explicit model that assumes predominantly lateral water flow through an acrotelm that is draped over a dome-shaped catotelm. The model distinguishes two types of surface elements: hummocks with low transmissivity growing under dry conditions and hollows with high transmissivity growing under wet conditions. 3 Hummocks dam up water and stimulate the development of hollows upslope, whereas hollows effectively drain upslope areas, stimulating the development of hummocks. If the dome is steep and the recharge high enough, this leads to the development of a string-flark microtope. 4 Four distinct types of microtopes are distinguished: (i) areas entirely covered by hummocks, (ii) randomly arranged hummocks and hollows, (iii) string-flark striping patterns and (iv) areas entirely covered by hollows. 5 Different combinations of sharply delineated microtopes occur with different parameter settings, allowing for the classification of four types of raised bog mesotopes. In addition to such qualitative differences, the extent and composition of the microtopes vary with parameter settings, reflecting the variety observed in natural systems. 6 Our simple simulation model shows how small-scale, local processes can create a variety of large and complex landscape patterns. These patterns can be used to describe raised bogs in terms of biological entities of a higher organizational order (ecosystem biodiversity), typically recognizable in often species-poor peatland ecosystems. © 2005 British Ecological Society.",70,Journal,ar,Article,100,2,2,Ecosystem biodiversity | Hollows | Hummocks | Pattern formation | Peatland | Peatland hydrology | Raised bog | Self-organization | Simulation model | String-flark patterns,29602,undefined,0,FALSE,5,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33745260915,SCOPUS_ID:33745260915,2-s2.0-33745260915,Reconciling plant strategy theories of Grime and Tilman,Craine J.M.,Journal of Ecology,00220477,13652745,93,6,1041-1052,2005-12-01,December 2005,10.1111/j.1365-2745.2005.01043.x,"1 The theories of Grime and Tilman are ambitious attempts to unify disparate theories regarding the construction of plants, their interaction with the environment and the assembly of communities. After over two decades of parallel research, their ideas have not been reconciled, hindering progress in understanding the functioning of ecosystems. 2 Grime's theories do not adequately incorporate the importance of non-heterogeneous supplies of nutrients and how these supplies are partitioned over long time scales, are inconsistent regarding the importance of disturbance in nutrient-limited habitats and need to reconsider the carbon economy of shade-tolerant plants. 3 Failure to account for differences between aquatic and terrestrial systems in how resource supplies are partitioned led Tilman to develop a shifting set of theories that have become reduced in mechanistic detail over time. The most recent highlighted the reduction of nutrient concentrations in soil solution, although it can no longer be derived from any viable mechanistic model. The slow diffusion of nutrients in soils means that the reduction of average soil solution nutrient concentrations cannot explain competitive exclusion. 4 Although neither theory, nor a union of the two, adequately characterizes the dynamics of terrestrial plant assemblages, the complementarity in their assumptions serve as an important foundation for future theory and research. 5 Reconciling the approaches of Grime and Tilman leads to six scenarios for competition for nutrients and light, with the outcome of each depending on the ability of plants to preempt supplies. Under uniform supplies, pulses or patches, light competition requires leaf area dominance, while nutrient competition requires root length dominance. There are still important basic questions regarding the nature of nutrient supplies that will need to be answered, but recent research brings us closer to a unified set of theories on resource competition. © 2005 British Ecological Society.",163,Journal,re,Review,100,1,1,Competition | Concentration reduction hypothesis | CSR hypothesis | Disturbance | Plant strategies | Stress,29602,undefined,1,TRUE,6,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33745260397,SCOPUS_ID:33745260397,2-s2.0-33745260397,"Longevity of experimentally buried seed in Vaccinium: Relationship to climate, reproductive factors and natural seed banks",Hill N.,Journal of Ecology,00220477,13652745,93,6,1167-1176,2005-12-01,December 2005,10.1111/j.1365-2745.2005.01034.x,"1 The fleshy fruited species of Vaccinium are known for their spatial dispersal ability but have generally been found to have poor representation in soil seed banks. 2 A buried seed experiment was conducted with 28 species of Vaccinium, in which seed lots were exhumed at intervals for up to 17 years. Mean species seed longevity was 8.65 years. For five species that persisted in soil for 15-17 years, regression indicates survival times of more than 20 years. 3 Climatic factors (particularly annual temperature range in the centre of the species' distribution range) alone accounted for 42% of the variation in seed longevity and reproductive variables for 55%. 4 Models of fruit dispersal speed (rapid/tardy) demonstrated the link between spatial and temporal (seed longevity) dispersal and between spatial dispersal and habitat affinity (open/closed) of a species. The majority (87%) of species belonged to two of the four possible syndromes (rapid fruit dispersal /long-term seed persistence or tardy dispersal/short-term persistence); 84% of the former were open habitat species. 5 Seed bank density is a function of seed potential longevity, seed rain and soil conditions. Regions that support species having greatest potential longevity have the smallest seed banks. Annual temperature range was positively correlated with potential longevity but negatively correlated with actual seed bank densities. 6 Lack of recruitment via seed in Vaccinium species in arctic regions may limit genetic variability in these clonal plants and impede population responses to climate changes. © 2005 British Ecological Society.",34,Journal,ar,Article,100,2,2,Clonal plants | Genetic implications | Models | Seed bank | Seed longevity | Spatio-temporal dispersal | Vaccinium,29602,undefined,1,TRUE,7,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33745256717,SCOPUS_ID:33745256717,2-s2.0-33745256717,Winners and losers in herbaceous plant communities: Insights from foliar carbon isotope composition in monocultures and mixtures,Jumpponen A.,Journal of Ecology,00220477,13652745,93,6,1136-1147,2005-12-01,December 2005,10.1111/j.1365-2745.2005.01045.x,"1 We established monocultures and 16 unique mixed communities of 12 native grasses, legumes and non-N2-fixing forbs. We identified species having a greater or lesser yield in the mixed communities than expected from monoculture data as winners and losers, respectively. To test our hypothesis that performance of the subordinate species (losers) is mainly controlled by light availability, whereas the dominant species (winners) are sensitive to the availability of below-ground resources, we traced the effects of number of species, light transmission in the community and foliar N concentration on plant photosynthesis through leaf C isotope composition (δ13C). 2 Phalaris arundinacea and Phleum pratense, the two tallest grass species, yielded more in mixtures than expected, as, initially, did Dactylis glomerata. Festuca ovina, the smallest grass, and Ranunculus acris, a forb, had smaller yield in mixtures than expected. For most species, observed mixture yields did not deviate significantly from those expected. 3 Decreases in transmitted light decreased δ13C in D. glomerata, Lotus corniculatus and Rumex acetosa. The δ13C of Trifolium pratense and L. corniculatus was affected by increasing number of species in the plant community even after accounting for the transmitted light. In P. arundinacea, δ13C increased with increasing foliar %N, as expected for the tallest, dominant species. 4 Species showing a positive, significant relationship between δ13C and transmitted light were relatively low growing and unable to establish dominance in multispecies communities due to shading by larger dominants. 5 We conclude that above-ground competition is crucial in determining C isotope composition among the subordinate species, whereas the dominant species are more strongly affected by below-ground resources. Different factors thus dictate the physiological performance of species according to the size-distribution hierarchy in the community. © 2005 British Ecological Society.",29,Journal,ar,Article,100,4,4,Community size hierarchy | Competition | Dominants | Light | Nitrogen | Species richness | Subordinates,29602,undefined,1,TRUE,8,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33745254207,SCOPUS_ID:33745254207,2-s2.0-33745254207,Abundance and flowering success patterns in a short-term grazed grassland: Early evidence of facilitation,Bossuyt B.,Journal of Ecology,00220477,13652745,93,6,1104-1114,2005-12-01,December 2005,10.1111/j.1365-2745.2005.01059.x,"1 Associational resistance is a grazing avoidance mechanism resulting from herbivores being less inclined to eat palatable plant species when these species grow in association with unpalatable species. Such facilitative interactions between plant species may have important consequences for patterns of relative abundance and reproduction in plant communities. 2 We studied the relationship between abundance and flowering success of palatable species and the cover of three unpalatable species (Senecio jacobaea, Iris pseudacorus and Lysimachia vulgaris) in a grassland where moderately intense grazing (0.17-0.42 grazers ha-1) had been ongoing for 3 years. Plots were selected so that there were no systematic differences in microenvironmental conditions associated with the level of cover of unpalatable species. 3 Several palatable species had a higher frequency, cover and/or flowering success when they grew in the neighbourhood of an unpalatable species. 4 Several species (both palatable and unpalatable) were significantly taller in the vicinity of a large unpalatable species, probably due to the combined effects of grazing avoidance and increased light competition. 5 These facilitative effects, however, have not yet resulted in a higher local species richness or plant community evenness. It is nevertheless likely that more pronounced effects will be seen if grazing is continued, because facilitative interactions between plant species induced by grazing have already led to a shift in patterns of abundance and flowering success. © 2005 British Ecological Society.",21,Journal,ar,Article,100,3,3,Associational resistance | Competition | Grazing avoidance | Herbivory | Relative palatability,29602,undefined,1,TRUE,9,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33745250999,SCOPUS_ID:33745250999,2-s2.0-33745250999,"Temperature effects on seed maturity and dormancy cycles in an aquatic annual, Najas marina, at the edge of its range",Handley R.,Journal of Ecology,00220477,13652745,93,6,1185-1193,2005-12-01,December 2005,10.1111/j.1365-2745.2005.01062.x,"1 Najas marina is a summer annual of shallow lakes that reaches its distributional limit in the Norfolk Broads of eastern England. Seeds are shed in autumn and overwinter in lake sediments. 2 We investigated the influence of growing-season length on seed maturity and germinability and the cumulative effects of winter temperatures on patterns of germinability. Seeds were stratified for up to 1 year and tested for germinability at 4-week intervals. Data-loggers recorded temperatures simultaneously at the field site and in the cold room. Cumulative temperature below a threshold (thermal time) was used to relate behaviour in cold storage to phenology. 3 Most seeds were dormant at collection. Cold storage of imbibed seed resulted in loss of dormancy. The proportion of non-dormant seeds peaked after a cold treatment equivalent to one winter, i.e. coinciding with favourable temperatures for germination in the field. Continued cold stratification resulted in a cycle of secondary dormancy and its subsequent relief; the thermal time characterizing the second, lower, peak in germinability coincided approximately with that attained in the field in the second spring after collection. 4 Shortening the growing season of Najas marina, by collecting material before natural senescence was complete, reduced the proportion of mature seeds, lowered average germinability and increased germination times. 5 The thermal capacity of water bodies causes a lag in spring warming, whereas declining light becomes limiting in autumn. Najas marina is crucially dependent on the length of growing season to produce sufficient viable seed. A low-temperature requirement to break seed dormancy prevents inappropriate autumn germination. In a prolonged winter (necessarily followed by a shorter growing season), a significant proportion of seed would go into secondary dormancy and remain in the seed bank until the second spring. 6 In annual plants, such requirements for warm summers and cold winters could contribute to a continental-climate distribution in northern Europe. In the case of Najas marina this might explain its limit at the eastern extremity of England and thus its rarity. © 2005 British Ecological Society.",30,Journal,ar,Article,100,2,2,Aquatic macrophyte | Cold stratification | Continental distribution | Dormancy cycles | Najas marina | Norfolk Broads | Rarity | Seed dormancy | Shallow lake | Summer annual,29602,undefined,0,FALSE,10,NA,NA,NA,NA
