@_fa,prism:url,dc:identifier,eid,dc:title,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,dc:creator,author-count.$,authkeywords,dc:description,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/84974489716,SCOPUS_ID:84974489716,2-s2.0-84974489716,Erratum,Journal of Tropical Ecology,02664674,14697831,5,3,354,1989-01-01,August 1989,10.1017/S0266467400003795,0,Journal,er,Erratum,100,0,23435,undefined,1,TRUE,all,All Open Access,1,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84974296128,SCOPUS_ID:84974296128,2-s2.0-84974296128,The Relationship Between Treefall Gap Size And Light Flux In A Neotropical Rain Forest In Costa Rica,Journal of Tropical Ecology,02664674,14697831,5,4,437-439,1989-01-01,November 1989,10.1017/S0266467400003898,39,Journal,ar,Article,100,3,23435,undefined,0,FALSE,NA,NA,2,Barton A.M.,3,canopy openings | Costa Rica | gaps | light flux | treefalls | tropical forest,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84972130834,SCOPUS_ID:84972130834,2-s2.0-84972130834,Instructions To Authors,Journal of Tropical Ecology,02664674,14697831,5,1,127-129,1989-01-01,February 1989,10.1017/S0266467400003370,0,Journal,ar,Article,100,0,23435,undefined,0,FALSE,NA,NA,3,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024945057,SCOPUS_ID:0024945057,2-s2.0-0024945057,Red coloration of tropical young leaves: A possible antifungal defence?,Journal of Tropical Ecology,02664674,14697831,5,3,293-300,1989-01-01,August 1989,10.1017/S0266467400003667,77,Journal,ar,Article,100,2,23435,BSR 8407712,0,FALSE,NA,NA,4,Coley P.D.,2,anthocyanin | antifungal defence | Atta columbica | herbivory | leaf-cutting ants | Panama | tropics | young leaves,"Many woody species in humid tropical forests synchronously flush entire canopies of young red leaves. Numerous unsuccessful attempts have been made to explain the adaptive value of this visually striking phenomenon. In the humid tropics, fungal attack is a potentially important source of mortality for expanding young leaves. We propose that the anthocyanins responsible for the red coloration of young leaves may play a protective role against invasions by leaf-attacking fungal pathogens. Fungus-growing leaf cutting ants (Atta columbica Guerin) were used in choice tests because they are known to select against leaves or chemicals containing fungicidal properties. In feeding trials with leaf discs from 20 common species, ant preference decreased significantly with increasing anthocyanin content. In feeding trials with pure anthocyanin (3,3',4',5,7-pentahydroxyflavylium chloride) presented on oat flakes, ants again showed a significant dosage dependent preference. This suggests that even low concentrations of anthocyanins may be harmful to the fungal colonies of ants. Additional work on the effects of anthocyanin on leaf-attacking fungi is encouraged. © 1989, Entomological Society of Canada. All rights reserved.",NSF,National Science Foundation
true,https://api.elsevier.com/content/abstract/scopus_id/0024944411,SCOPUS_ID:0024944411,2-s2.0-0024944411,Behaviour And Nest Structure Of The Amazonian Bombus Transversalis In Ecuador,Journal of Tropical Ecology,02664674,14697831,5,2,243-246,1989-01-01,May 1989,10.1017/S0266467400003540,12,Journal,ar,Article,100,1,23435,undefined,0,FALSE,NA,NA,5,Olesen J.,1,Amazonas | bee nest | Bombus transversalis | Ecuador | Neotropics | rain forest,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024944391,SCOPUS_ID:0024944391,2-s2.0-0024944391,Distribution and ecology of epiphytic bryophytes and lichens in dry evergreen forest of guyana,Journal of Tropical Ecology,02664674,14697831,5,2,131-150,1989-01-01,May 1989,10.1017/S0266467400003400,144,Journal,ar,Article,100,2,23435,undefined,0,FALSE,NA,NA,6,Cornelissen J.,2,community composition | cryptogamic epiphytes | Guyana | host preference | life | rain forest | strategy | vertical zonation,"A floristic and ecological study of epiphytic bryophytes and lichens on standing mature Eperua trees was carried out in dry evergreen (walaba) forest in Guyana, South America. The trees were sampled from their base up to the highest canopy twigs, using mountaineering techniques. Clear vertical distribution patterns of epiphytic species and life-forms were found. Many species, particularly foliose lichens, appear to be preferential or exclusive to either Eperua grandiflora or E. falcata (Leguminosae), which are the dominant trees in the walaba forest. Special attention is given to the species-rich epiphyte vegetation on the upper canopy twigs, which include two categories of species: The sun epiphytes and the pioneers (facultative epi-phylls). © 1989, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024939136,SCOPUS_ID:0024939136,2-s2.0-0024939136,Population demography and sex ratio in a neotropical damselfly (odonata: Coenagrionidae) in costa rica,Journal of Tropical Ecology,02664674,14697831,5,2,159-171,1989-01-01,May 1989,10.1017/S0266467400003424,29,Journal,ar,Article,100,2,23435,undefined,0,FALSE,NA,NA,7,Hamilton L.D.,2,Costa Rica | damselfly | demography | mate guarding | sex ratio | territoriality,"Throughout the latter part of the dry season (January-April) of 1985 and 1986, we studied the demography of mature adults in a small population of Argia chelata along a stream at Monteverde, Costa Rica. Males defended sunlit spots along the stream between 1030 h and 1400 h central standard time each day and females visiting these sunlit spots were soon mated. By individually marking all mature adults in the population we found that there was no significant difference between the sexes in daily survival rates (0.85 for males and 0.86 for females). Lifetime mating success was positively correlated with longevitiy in both males and females but the ability of males to obtain a mate appeared to be independent of age. Although the sex ratio at emergence was 1:1, that of mature adults at the stream was strongly male-biased (87% male), perhaps as a result of a longer or more risky prereproductive period in females related to the costs of egg formation. We argue that the strongly male-biased sex ratio has important effects on the mating system of this species in that the male contact-guards the female for the entire oviposition period each day. Although this limits each male to mating with one female per day, it probably ensures that the male will fertilize most of the eggs laid by the female that day. © 1989, Cambridge University Press. All rights reserved.",NSERC,Natural Sciences and Engineering Research Council of Canada
true,https://api.elsevier.com/content/abstract/scopus_id/0024937597,SCOPUS_ID:0024937597,2-s2.0-0024937597,Fig-eating by birds in a malaysian lowland rain forest,Journal of Tropical Ecology,02664674,14697831,5,4,401-412,1989-01-01,November 1989,10.1017/S0266467400003850,71,Journal,ar,Article,100,1,23435,undefined,0,FALSE,NA,NA,8,Lambert F.,1,birds | Ficus | figs | frugivory | Malaysia | Megalaima | rain forest | resource partitioning | seed-dispersal | Treron,"Sixty bird species ate the figs of 29 Ficus taxa at a lowland forest site in Peninsular Malaysia. Although most bird-eaten figs were brightly coloured, four Ficus species produced dull-coloured ripe fruits. Whilst there was tremendous overlap in the sizes of figs eaten by different bird species, data presented show that the fig resource was partitioned by birds. Large birds were commoner visitors to large-fruited Ficus, but small birds tended to eat small figs. Within two avian genera, the Treron pigeons and Megalaima barbets, there was distinct partitioning of figs consumed according to fig size. © 1989, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0024936204,SCOPUS_ID:0024936204,2-s2.0-0024936204,Estimation of arboreal arthropod density in a dry evergreen forest in Northeastern Thailand,Journal of Tropical Ecology,02664674,14697831,5,2,151-158,1989-01-01,May 1989,10.1017/S0266467400003412,15,Journal,ar,Article,100,2,23435,undefined,0,FALSE,NA,NA,9,Watanabe H.,2,arboreal arthropods | dry evergreen forest | insecticide fogging | shifting cultiva- | Thailand | tion,"The density of arboreal arthropods in a dry evergreen forest in Northeastern Thailand was investigated by the insecticide fogging (knockdown) method. Arthropod densities of 256.4 and 140.4 m-2were recorded in the dry season and 195.2 and 123.1 m-2 in the rainy season. The main orders were Collembola, Thysanoptera, Hymenoptera (mainly Formicidae) and Hemiptera. Distinct differences were not found in the arthropod faunal structure and density between the dry and rainy seasons. However, this fauna is completely eliminated by the clearing and burning of forest for shifting cultivation. The results of an experiment investigating the rate of arthropod fall after application of insecticide are presented and problems concerning the efficiency of the estimation methods used in this study are discussed. © 1989, Entomological Society of Canada. All rights reserved.",KAKEN,Japan Society for the Promotion of Science
true,https://api.elsevier.com/content/abstract/scopus_id/0024932637,SCOPUS_ID:0024932637,2-s2.0-0024932637,Effects of isolation on the water status of forest patches in the brazilian amazon,Journal of Tropical Ecology,02664674,14697831,5,2,173-185,1989-01-01,May 1989,10.1017/S0266467400003448,438,Journal,ar,Article,100,1,23435,undefined,0,FALSE,NA,NA,10,Kapos V.,1,Brazil | evapotranspiration | forest edge | forest islands | management | microclimate | rain forest | reserve size | tropical rain forest | water relations,"Patterns of edge-related environmental changes and plant water relations were investigated in the isolated forest reserves of the INPA-WWF Minimum Critical Size of Ecosystems project near Manaus, Brazil early in the wet season. Patterns of edge-related environmental changes and plant water relations were Air temperature was elevated and humidity reduced in the understorey within 40 m of the reserve margins, and air temperature and vapour pressure deficit (VPD) were higher in the interiors of 1 ha reserves than in 100 ha reserves. There was increased photosynthetically active radiation penetration to understorey level up to 40 m into a 100 ha reserve. Soil moisture was depleted in the outer 20 m of both small and large reserves, and surface soil water potentials fell below — 1.5 MPa at the margin of a 1 ha reserve. Studies of leaf relative water contents (RWCs) in understorey shrubs revealed no appreciable saturation deficits, though RWCs were sometimes lower at the reserve margins. Studies of leaf conductances revealed no evidence of restriction of water loss in these plants, and conductances of plants near the edges were significantly higher and higher for longer. The implications of these results for reserve design and for local and regional water budgets, as well as the possible role of water stress in increased tree mortality in isolated reserves are discussed. © 1989, Cambridge University Press. All rights reserved.",NA,NA
