@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,dc:description,authkeywords,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0033403328,SCOPUS_ID:0033403328,2-s2.0-0033403328,Erratum: The quantitative and molecular genetic architecture of a subdivided species (Evolution (1999) 53 (100-110)),Ottone M.,Evolution,00143820,53,6,2016,1999-12-01,1999,0,Journal,er,Erratum,100,1,1,22104,undefined,0,FALSE,1,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0345465715,SCOPUS_ID:0345465715,2-s2.0-0345465715,Sexual selection on maturation time and body size in Sphenarium purpurascens (Orthoptera: Pyrgomorphidae): Correlated response to selection,Cueva Del Castillo R.,Evolution,00143820,53,1,209-215,1999-01-01,February 1999,30,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,2,10.1111/j.1558-5646.1999.tb05346.x,"We measured in the field the intensity and mode (i.e., directional, stabilizing) of sexual selection acting jointly on body size and time of sexual maturity in the univoltine, polygamous grasshopper Sphenarium purpurascens. Statistical analyses indicated that selection favored large and protandrous males in terms of a higher mating success. At the same time, evidence of correlational selection acting simultaneously on body size and time to sexual maturity was found. Thus, selection should strengthen the relationship between body size and the time of sexual maturity. Theoretical work suggests the existence of a trade-off between reaching a large size and early sexual maturation in insects. The present study does not support the existence of this kind of trade-off. Recent theoretical and empirical work like the one reported here suggests that such a trade-off may not be necessarily expected if growth rates (which are often assumed to be invariable) are affected by environmental and genetic factors.",Body size | Correlational selection | Protandry | Selective trade-offs | Sexual selection | Sphenarium purpurascens,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0344433881,SCOPUS_ID:0344433881,2-s2.0-0344433881,Genetic structure and male-mediated gene flow in the ghost bat (Macroderma gigas),Worthington Wilmer J.,Evolution,00143820,53,5,1582-1591,1999-01-01,October 1999,68,Journal,ar,Article,100,4,4,22104,undefined,1,TRUE,3,10.1111/j.1558-5646.1999.tb05421.x,"The Australian ghost bat is a large, opportunistic carnivorous species that has undergone a marked range contraction toward more mesic, tropical sites over the past century. Comparison of mitochondrial DNA (mtDNA) control region sequences and six nuclear microsatellite loci in 217 ghost bats from nine populations across subtropical and tropical Australia revealed strong population subdivision (mtDNA φ(ST) = 0.80; microsatellites UR(ST) = 0.337). Low-latitude (tropical) populations had higher heterozygosity and less marked phylogeographic structure and lower subdivision among sites within regions (within Northern Territory [NT] and within North Queensland [NQ]) than did populations at higher latitudes (subtropical sites; central Queensland [CQ]), although sampling of geographically proximal breeding sites is unavoidably restricted for the latter. Gene flow among populations within each of the northern regions appears to be male biased in that the difference in population subdivision for mtDNA and microsatellites (NT φ(ST) = 0.39, UR(ST) = 0.02; NQ φ(ST) = 0.60, UR(ST) = -0.03) is greater than expected from differences in the effective population size of haploid versus diploid loci. The high level of population subdivision across the range of the ghost bat contrasts with evidence for high gene flow in other chiropteran species and may be due to narrow physiological tolerances and consequent limited availability of roosts for ghost bats, particularly across the subtropical and relatively arid regions. This observation is consistent with the hypothesis that the contraction of the species' range is associated with late Holocene climate change. The extreme isolation among higher-latitude populations may predispose them to additional local extinctions if the processes responsible for the range contraction continue to operate.",Chiroptera | Gene flow | Microsatellites | Mitochondrial DNA | Population structure,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0344417179,SCOPUS_ID:0344417179,2-s2.0-0344417179,"Inversion polymorphism, longevity, and body size in a natural population of Drosophila buzzatii",Rodríguez C.,Evolution,00143820,53,2,612-620,1999-01-01,April 1999,34,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,4,10.1111/j.1558-5646.1999.tb03796.x,"In this study we present the results of an analysis of differential longevity associated with Drosophila buzzatii second chromosome inversion karyotypes based on the assessment of more than 1000 individuals collected in a natural population. Comparisons of inversion frequencies between emerged and bait-collected flies showed hot only that inversion arrangements were associated with differential longevity, but also that selection was sex specific. Because each individual fly was scored for thorax length and karyotype, we were able to show that longevity selection favoring larger flies coupled with the average effect of inversions on thorax length can account for the change of inversion frequencies due to longevity in females. The observed genotypic-by-sex interaction could be an important mechanism involved in the maintenance of the polymorphism. Arrangement 2Jz3, which was shown to impaired fecundity in two independent previous studies, exhibited a positive effect on longevity. This pattern of negative pleiotropy may be another plausible mechanism accounting for the maintenance of the polymorphism.",Body size | Drosophila | Inversion polymorphism | Longevity,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0343020963,SCOPUS_ID:0343020963,2-s2.0-0343020963,Are chloroplast and mitochondrial DNA variation species independent in oaks?,Dumolin-Lapégue S.,Evolution,00143820,53,5,1406-1413,1999-01-01,October 1999,104,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,5,10.1111/j.1558-5646.1999.tb05405.x,"Extensive introgression of cytoplasmic genomes across oak species is now a well-established fact. To distinguish between ancient hybridization events and ongoing introgression, a direct test for the existence of local exchanges is proposed. Such local exchanges must be comparatively recent, that is, contemporaneous with or later than the last postglacial recolonization. The test is applied to an extensive set of data comprising 377 pure or mixed populations (1744 individuals) of four white oak species in southern France. After demonstrating that local exchanges have occurred frequently between all species pairs, another test is performed to check if species status does nevertheless play some role in restricting cytoplasmic gene flow. The results vary according to the species pairs considered, and the observed pattern may be related to the ecology and/or compatibility of interspecific crosses. It is also shown that, for some of these oak species, the presence of related species in a population significantly influences the intraspecific diversity. Altogether, the results demonstrate that (1) intraspecific cytoplasmic gene flow varies according to the species, (2) interspecific cytoplasmic gene flow varies according to the species pair, and (3) both components of gene flow are at least partly related.",CpDNA | Hybridization | Introgression | mtDNA | Quercus | Species co-occurrence | White oaks,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033452206,SCOPUS_ID:0033452206,2-s2.0-0033452206,Hierarchical patterns of genetic population structure in black rat snakes (Elaphe obsoleta obsoleta) as revealed by microsatellite DNA analysis,Lougheed S.C.,Evolution,00143820,53,6,1995-2001,1999-01-01,December 1999,36,Journal,ar,Article,100,4,4,22104,undefined,0,FALSE,6,10.1111/j.1558-5646.1999.tb04581.x,"We investigated the distribution of variation at six microsatellite loci in the black rat snake (Elaphe obsoleta obsoleta). Sampling occurred at three hierarchical scales ranging from communal hibernacula to regional populations, with most locales situated within the Frontenac Axis region of eastern Ontario. We detected no statistically significant pairwise differentiation (F(ST) and R(ST)) between hibernacula within the same subpopulations (interhibernaculum distance <6 km). However, isolation-by-distance was evident among locales within the Frontenac Axis (maximum of 50 km) and among regional populations (maximum of 1500 km). Conservative estimates of N(e) derived from heterozygosity values ranged from approximately 600 to 2000. These values suggest relatively large genetic neighborhoods encompassing many communal hibernacula. Our results considered together suggest viscosity of gene flow over relatively short distances (tens of kilometers), but substantial genetic exchange among local hibernacula.",Elaphe obsoleta | Gene flow | Hibernacula | Microsatellites | Population structure | Snakes,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033452203,SCOPUS_ID:0033452203,2-s2.0-0033452203,"Morphological and molecular variation across a migratory divide in willow warblers, Phylloscopus trochilus",Bensch S.,Evolution,00143820,53,6,1925-1935,1999-01-01,December 1999,136,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,7,10.1111/j.1558-5646.1999.tb04573.x,"A migratory divide is a narrow region in which two populations showing different migratory directions meet and presumably also mate and hybridize. Banding of willow warblers, Phylloscopus trochilus, in Europe has demonstrated a migratory divide latitudinally across central Scandinavia. In autumn, southern birds migrate southwest to tropical West Africa, whereas northern birds migrate southeast to East and South Africa. The migratory divide is associated with concordant differences in size and plumage coloration. Based on morphology, we estimate the width of the transition zone between northern and southern willow warblers to be less than 350 km. We found indication of linkage disequilibria around the migratory divide, in that measures of body size were correlated with plumage coloration within the contact zone, but uncorrelated within the populations south or north of the contact zone. The presence of linkage disequilibria and the fact that several morphological clines occur together suggest that the hybrid zone is a result of secondary contact between populations that have differentiated in allopatry. This interpretation is in accord with the knowledge of the recolonization pattern of the Scandinavian peninsula after the last glaciation; animals and plants appeared to have colonized either from the south or from the north around the northern bay of the Baltic Sea. If northern and southern willow warblers resided in allopatric populations during late Pleistocene glaciations and the hybrid zone is a result of postglacial range expansions, we would expect some degree of genetic differentiation accumulated during the period in isolation. In contrast, northern and southern willow warblers are near panmictic in the frequencies of alleles of mitochondrial DNA and at two microsatellite loci. The observed pattern, clear morphological and behavioral differentiation without genetic differentiation at neutral loci, suggests either that the differences are maintained by strong selection on the expressed genes in combination with high levels of current gene flow or, in the case of weak gene flow, that the divergence in morphology and behavior is very recent.",Geographic variation | Hybrid zones | Microsatellites | Migration | Migratory divide | Mitochondrial DNA | Morphology | Orientation,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033452202,SCOPUS_ID:0033452202,2-s2.0-0033452202,Biochemical evolution associated with antipredator adaptation in damselflies,McPeek M.A.,Evolution,00143820,53,6,1835-1845,1999-01-01,December 1999,30,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,8,10.1111/j.1558-5646.1999.tb04566.x,"Previous studies have shown that at least two lineages of Enallagma damselflies (Odonata: Coenagrionidae) shifted from inhabiting lakes with fish as top predators to inhabiting ponds and lakes with large dragonflies as the top predators. In adapting to living with the new predator type, these lineages evolved much greater swimming speeds to avoid attacking dragonflies. In this paper, I test whether biochemical adaptations to fuel swimming arose in concert with previously identified morphological changes that increase swimming speed. I assayed the mass-specific enzyme activities of three enzymes involved in fueling strenuous activity: pyruvate kinase and lactate dehydrogenase (enzymes involved in glycolysis) and arginine kinase (the enzyme that recharges the ATP pool). Enzyme activities were determined for 14 Enallagma species from across the genus. Species that coexist with dragonfly predators had significantly higher mass-specific arginine kinase activities than species that coexist with fish, and the results of evolutionary contrasts analyses indicate that this difference between the two groups is the result of evolutionary change associated with the habitat shifts of lineages from fish lakes to dragonfly lakes. Although significant evolution was documented for lactate dehydrogenase and pyruvate kinase across the genus, evolutionary change in the activities of these enzymes was not consistent with adaptation to coexisting with dragonfly predators. Swimming bouts to avoid dragonfly predators last for only a few seconds, and the action of arginine kinase to phosphorylate ADP to make ATP will extend the duration of maximal exertion for swimming for a few seconds. However, much longer time periods (over 45 sec) are required to generate ATP via glycolysis. Therefore, selection may have favored adaptation only at the arginine kinase locus.",Adaptation | Arginine kinase | Enallagma | Enzyme activity | Metabolism | Odonata,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033452201,SCOPUS_ID:0033452201,2-s2.0-0033452201,"Natural genetic variation of life span, reproduction, and juvenile growth in Daphnia",Dudycha J.L.,Evolution,00143820,53,6,1744-1756,1999-01-01,December 1999,82,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,9,10.1111/j.1558-5646.1999.tb04559.x,"The evolutionary theory of senescence predicts that high extrinsic mortality in natural populations should select for accelerated reproductive investment and shortened life span. Here, we test the theory with natural populations of the Daphnia pulex-pulicaria species complex, a group of freshwater zooplankton that spans an environmental gradient of habitat permanence. We document substantial genetic variation in demographic life-history traits among parent and hybrid populations of this complex. Populations from temporary ponds have shorter life spans, earlier and faster increases of intrinsic mortality risk, and earlier and steeper declines in fecundity than populations from permanent lakes. We also examine the age-specific contribution to fitness, measured by reproductive value, and to expected lifetime reproduction; these traits decline faster in populations from temporary ponds. Despite having more rapid senescence, pond Daphnia exhibit faster juvenile growth and higher early fitness, measured as population growth rate (r). Among populations within this species complex we observed negative genetic correlations between r and indices of life-history timing, suggesting trade-offs between early- and late-life performance. Our results cannot be explained by a trade-off between survival and fecundity or by nonevolutionary theories of senescence. Instead, our data are consistent with the evolutionary theory of senescence because the genetic variation in life histories we observed is roughly congruent with the temporal scale of environmental change in the field.",Aging | Habitat duration | Life history | Reproductive value | Senescence | Trade-off,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033451968,SCOPUS_ID:0033451968,2-s2.0-0033451968,Insight into speciation from historical demography in the phytophagous beetle genus Ophraella,Knowles L.L.,Evolution,00143820,53,6,1846-1856,1999-01-01,December 1999,26,Journal,ar,Article,100,4,4,22104,undefined,0,FALSE,10,10.1111/j.1558-5646.1999.tb04567.x,"Speciation in phytophagous insects is commonly associated with shifts in host use. Using a phylogenetic framework to identify recently diverged taxa that have undergone a radical host shift, this study focuses on how reconstruction of the historical demography of a species, in conjunction with branching patterns between species, provides insight into mode of speciation. Analyses of mitochondrial cytochrome oxidase I sequences indicate that the leaf beetle Ophraella communa exhibits significant population structure, as shown by patterns of genealogical relationships among mitochondrial haplotypes and high F(ST)-values. However, the absence of regional localization of old clades of haplotypes, negative Tajima's D, and unimodal rather than bimodal frequency distribution of the number of pairwise differences between sequences suggests an absence of long-term barriers to gene flow. Furthermore, we found no evidence of isolation by distance. This pattern of genetic variation is consistent with episodes of gene flow on a large geographic scale, perhaps owing to Pleistocene changes in climate. Ophraella communa and its sister species O. bilineata diverged during the early Pleistocene. The evidence of dynamic population structure in O. communa, potentially including episodic but massive gene flow, suggests that reproductive isolation evolved quite rapidly on a localized geographic scale, because speciation would probably have been reversed by gene flow if the evolution of reproductive isolation had been prolonged. That is, gene flow occasioned by range shifts during the Pleistocene would likely have interrupted speciation unless it occurred very rapidly. Sequence diversity implies a large effective population size (> 106) in both O. communa and O. bilineata. However, a model based on a drastic bottleneck did not have a lower likelihood than a model with no bottleneck, simply because the time since speciation has been great enough for coalescence to a single ancestor that existed after the speciation event. Sequence diversity in itself, without reference to the time since speciation, cannot provide evidence on the demography of speciation.",Bottlenecks | Chrysomelidae | Coalescence | Historical demography | Ophraella | Phylogeography | Phytophagous insects | Speciation,NA,NA,NA,NA
