@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/33749452981,SCOPUS_ID:33749452981,2-s2.0-33749452981,Reproductive allocation in a gender dimorphic shrub: Anomalous female investment in Gynatrix pulchella?,Leigh A.,Journal of Ecology,00220477,13652745,94,6,1261-1271,2006-11-01,November 2006,10.1111/j.1365-2745.2006.01164.x,"1 In gender dimorphic species, reproductive allocation (RA, the ratio of reproductive to vegetative biomass) is predicted to be greater in female plants than in male plants. Empirical research on dimorphic plant species supports this hypothesis. To date, of 44 dimorphic angiosperms for which RA has been reported in the literature, RA is greater in females than males in 40 species, is equal in four, and in no species is it greater in males. 2 In many instances where differential RA occurs, sexual dimorphism in morphological or physiological traits has been reported. This dimorphism is often attributed to the differing costs of reproduction or to selection to counteract such costs. 3 We investigated RA and other morphological and physiological characters in Gynatrix pulchella, a dimorphic species that we found ranges from dioecious to subdioecious or gynodioecious, depending on season and locality. Our results showed that contrary to our predictions functionally male plants allocated significantly more biomass to reproduction than female plants across three populations. Greater male RA was due to a combination of larger, more numerous flowers and lower leaf biomass per branch than females. 4 There were no detectable costs of greater RA in males in terms of decreased overall growth or increased mortality. Additionally, leaf nitrogen content was greater in males than in females and there were no between-sex differences in gas exchange. 5 The finding that male plants allocate significantly more resources to reproduction than females in G. pulchella is apparently a unique case. However, equivalent RA for the sexes does occur in gynodioecious species and we suggest that higher male RA in gynodioecious plants may be more common than predictions based on sexual systems involving pure males. 6 Our results challenge accepted theory that allocation to reproduction should be greater in female plants than in males. In light of these findings, predictions regarding which sex should allocate more to reproduction need to be revised to accommodate the diversity of plant sexual systems. © 2006 The Authors.",43,Journal,ar,Article,100,3,3,Dioecy | Gynatrix pulchella | Gynodioecy | Reproductive allocation | Reproductive costs | Resource allocation | Sexual dimorphism | Sexual system | Subdioecy,29602,undefined,1,TRUE,all,All Open Access,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33749452147,SCOPUS_ID:33749452147,2-s2.0-33749452147,The dispersal characteristics of the invasive plant Mimulus guttatus and the ecological significance of increased occurrence of high-flow events,Truscott A.M.,Journal of Ecology,00220477,13652745,94,6,1080-1091,2006-11-01,November 2006,10.1111/j.1365-2745.2006.01171.x,"1 Increased occurrence of high-flow events as a result of climate change may affect the dispersal success of an invasive plant species Mimulus guttatus and may result in range expansion. Predicted changes in climate point to a continuation of the recent observed trends in increased precipitation and high-flow events in Northern Europe. 2 The study focused on the dispersal characteristics of M. guttatus, and especially the roles of vegetative fragmentation with increasing water velocities, subsequent fragment survival, regeneration and colonization, as well as the buoyancy, survival and germination success of seeds. 3 M. guttatus was found to fragment readily under velocities typical of high flow conditions and even small fragments had high survival, regeneration and colonization capacity. 4 Large numbers of small (< 0.02 mg) seeds are produced; however, seeds have a short buoyancy period so the timing and magnitude of high-flow events is crucial in determining potential dispersal distances. Seeds germinate readily both in water and on sand with an average 33% germination within 9 days. 5 The dual strategy of dispersal by vegetative fragments and seeds, together with the opportunity of dispersing the two types of propagules during different periods of the year, facilitates local dominance by M. guttatus as well as long-distance colonization. As a result, the rate of spread of M. guttatus into inundation communities along rivers is likely to increase with more frequent high-flow events, especially if these coincide with the growing season. Thus, predicting the response of riparian invasive species to environmental change requires not only an understanding of the role of climate in plant demography but also the impact of changes in hydrology on rates of spread. © 2006 The Authors.",90,Journal,ar,Article,100,5,5,Biological invasion | Climate change | Flooding | Fragment | Regeneration | Riparian | Spread,29602,undefined,1,TRUE,all,All Open Access,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33749446679,SCOPUS_ID:33749446679,2-s2.0-33749446679,Nutrient acquisition and physiological responses of dominant Serengeti grasses to variation in soil texture and grazing,Anderson T.M.,Journal of Ecology,00220477,13652745,94,6,1164-1175,2006-11-01,November 2006,10.1111/j.1365-2745.2006.01148.x,"1 Themeda triandra and Digitaria macroblephara are dominant grasses in the herbaceous layer of Serengeti National Park. Catena topography creates variation in soil texture and grazing that may have important physiological implications for these species. Through a combination of laboratory and field experiments, we tested whether variation in soil texture and grazing differentially affected growth, photosynthesis, leaf enzyme activities and nitrogen assimilation of the two species. 2 In the laboratory, simulated grazing (weekly clipping at 7 cm above soil) increased photosynthesis and enzyme activities for D. macroblephara. Clipping also increased photosynthesis for T. triandra, but did not affect enzyme activity. D. macroblephara and T. triandra were affected oppositely by soil texture; enzyme activities and photosynthesis were greater for D. macroblephara in sandy soils but greater for T. triandra in fine-textured soils. 3 Across a natural catena gradient, species abundances of D. macroblephara and T. triandra were negatively correlated with each other and related to grazing frequency in opposite ways, D. macroblephara positively and T. triandra negatively. In a field experiment, rates of 15NO3- uptake for unclipped plants of D. macroblephara and T. triandra were similar and did not vary with soil texture. However, when clipped, 15NO3- uptake was stimulated in both species but in opposite ways across a gradient of percentage sand, positive for D. macroblephara and negative for T. triandra. 4 These results suggest that species responded to defoliation and variation in water availability created by different soil textures. At sites where D. macroblephara and T. triandra co-occur, catena variation in soil texture and grazing may provide spatial variation in habitat suitability. Moreover, herbivory may promote species coexistence by facilitating differential physiological responses to topographic and soil heterogeneity. 5 This study illustrates how interactions between a direct biotic process and an indirect environmental variable can cause different plant physiological responses that may promote species coexistence in a heterogeneous environment. © 2006 The Authors.",32,Journal,ar,Article,100,3,3,15 N uptake | Catena position | Defoliation | Environmental heterogeneity | Enzyme activity | Photosynthesis | Soil texture | Species coexistence | Topographic variation,29602,undefined,0,FALSE,NA,NA,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33749443855,SCOPUS_ID:33749443855,2-s2.0-33749443855,"Effects of plant age, experimental nutrient addition and ant occupancy on herbivory in a neotropical myrmecophyte",Trager M.,Journal of Ecology,00220477,13652745,94,6,1156-1163,2006-11-01,November 2006,10.1111/j.1365-2745.2006.01165.x,"1 Variation in antiherbivore defences among individuals within a plant species may be influenced by intrinsic characteristics of the plant, environmental conditions and the interactions between these factors. 2 We used a long-term field experiment and a laboratory palatability trial to elucidate the effects of plant age, nutrient availability and ant occupancy on herbivore damage sustained by Cordia alliodora, a common neotropical myrmecophyte. 3 Herbivory in this system was influenced by both plant characteristics and environmental conditions, and the relative importance of these variables changed with plant age. 4 Five-year-old plants had a higher frequency of ant occupation and more workers per domatium than 1-year-old plants. 5 Plant age did not significantly affect herbivory in either field studies or laboratory palatability trials conducted with a specialist herbivore. In the field, however, 1-year-old plants tended to have higher levels of herbivory than 5-year-old plants. 6 There was a trend towards lower herbivory in trees that had been fertilized. Additionally, leaves from fertilized trees were significantly less palatable to specialist herbivores. 7 In 1-year-old plants, the abundance of ants in domatia had no effect on herbivory of nearby leaves. In contrast, ant abundance and herbivory were negatively correlated for 5-year-old trees, demonstrating that ants provide effective defence only for older plants. 8 These results suggest that understanding ant-plant-herbivore relationships requires examining how biotic and abiotic factors and their interactions change with plant ontogeny. Although our work focused on one particular ant-plant system, the importance of ontogenetic variation in antiherbivore defence is increasingly recognized as a critical area of study in plant defence theory. © 2006 The Authors.",30,Journal,ar,Article,100,2,2,Ant-plant | Azteca | Biotic defence | Coptocycla | Crematogaster | Direct defence | Herbivory | Indirect defence | Mutualism | Plant defence,29602,undefined,0,FALSE,NA,NA,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33749441428,SCOPUS_ID:33749441428,2-s2.0-33749441428,Habitat differentiation and the ecological costs of hybridization: The effects of introduced mulberry (Morus alba) on a native congener (M. rubra),Burgess K.,Journal of Ecology,00220477,13652745,94,6,1061-1069,2006-11-01,November 2006,10.1111/j.1365-2745.2006.01152.x,"1 The effects of hybridization on the abundance of parental taxa depends on their relative frequency, the viability of hybrid offspring and the degree of ecological differentiation among parental and hybrid taxa. Habitat overlap can facilitate competition for suitable sites and threaten the persistence of parental taxa, especially those in small populations. 2 Here we examine ecological differentiation between the endangered North American red mulberry (Morus rubra), introduced white mulberry (M. alba) and red × white hybrids in a reciprocal transplant experiment. Fitness of red, white and hybrid mulberry was estimated as survival and above-ground biomass of seedling and juvenile life stages, transplanted into open (white habitat) and shaded (red habitat) forest environments. In addition, all taxa, including reciprocal hybrids (R × W, W × R), were compared in a common garden in full sun. 3 In the reciprocal transplant study, red mulberry was consistently less fit than white and hybrid mulberry regardless of transplant habitat; F 1 hybrids were as fit as white mulberry. In the common garden, red mulberry and hybrids with red mothers had lower fitness than white mulberry and hybrids with white mothers. Reciprocal hybrid crosses differed significantly with respect to survival and cumulative fitness, but not biomass. 4 Red mulberry is not ecologically differentiated from white or hybrid mulberry in the three transplant environments examined; rather, it is consistently the least fit taxon. Therefore, all else being equal, hybridization with white mulberry and the subsequent presence of hybrids will place red mulberry at a strong disadvantage during establishment. 5 The results highlight the potential effect of hybridization by introduced species on the abundance of native species, particularly at the northern extremes of its geographical range, where populations are small and native environments may be degraded or at the limits of ecological tolerance. © 2006 The Authors.",26,Journal,ar,Article,100,2,2,Demographic swamping | Establishment disadvantage | Fitness | Habitat differentiation | Hybridization | Introduced species | Moraceae | Morus alba | Morus rubra | Small populations,29602,undefined,1,TRUE,all,All Open Access,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33749441136,SCOPUS_ID:33749441136,2-s2.0-33749441136,Long-term assessment of seed limitation in plants: Results from an 11-year experiment,Ehrlén J.,Journal of Ecology,00220477,13652745,94,6,1224-1232,2006-11-01,November 2006,10.1111/j.1365-2745.2006.01169.x,"1 Seed limitation of plant species distribution has received much attention in recent years. The empirical evidence of seed limitation is, however, still weak, and mostly correlative. Unambiguous evidence can only be provided by long-term transplantation experiments. 2 We used an 11-year experiment, in which seeds of six perennial forest herbs were sown into 43 patches that were either occupied or unoccupied by the target species, to investigate the importance of seed limitation. In addition, we determined whether short-term (1-4 years) and long-term (11 years) experimental assessments provided similar results. Given that long-term experiments are generally not possible, we examined whether environmental factors and vegetation composition can correctly identify suitable habitats. 3 Our results show that the distribution of the forest herbs investigated were limited by the availability of seeds, and that this pattern was qualitatively consistent, over time. However, the number of initially unoccupied patches with successful recruitment decreased with time. 4 The fact that a similar trend in recruitment success was found in sowing experiments in initially occupied patches suggests that the decrease in recruitment success over time cannot solely be attributed to habitat suitability. Environmental factors, such as soil nutrients and vegetation composition, were in some cases correlated with recruitment success, but the strength of these relationships was often weak. 5 Our results support the notion that seed availability is an important limitation of plant species abundance and distribution. The results also point to several difficulties related to the empirical assessment of seed limitation. We therefore suggest a protocol that should enhance the quality of future experiments. © 2006 The Authors.",85,Journal,ar,Article,100,4,4,Colonization | Dispersal limitation | Metapopulation dynamics | Patch occupancy | Perennial herbs | Plant distributions | Recruitment | Seed sowing | Soil nutrients | Transplantation experiments | Vegetation composition,29602,undefined,1,TRUE,all,All Open Access,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33749440257,SCOPUS_ID:33749440257,2-s2.0-33749440257,Interactions between insect herbivores and a plant architectural dimorphism,Rudgers J.,Journal of Ecology,00220477,13652745,94,6,1249-1260,2006-11-01,November 2006,10.1111/j.1365-2745.2006.01161.x,"1 Plants possess many traits that influence their resistance to insect herbivores and thus can shape the structure of herbivore assemblages. While plant chemistry and structural defences have received the most attention, plant architecture may also be important. We examined patterns and consequences of insect herbivory for two distinct architectural morphs (prostrate or erect) of the perennial shrub, Baccharis pilularis (Asteraceae, coyote bush) in coastal California, USA. 2 For B. pilularis, differences in plant height, branch architecture and leaf size persisted in a common garden, consistent with previous evidence suggesting a genetic basis for dimorphism in plant architecture. 3 In both naturally occurring plants and in a common garden experiment, the composition of the herbivore assemblage varied strongly with plant architectural morph. Prostrate plants attracted higher densities of a gall-forming midge (Rhopalomyia californica, Diptera), whereas erect plants supported more moth galls (Gnorimoschema baccharisella, Lepidoptera) and experienced greater folivory. Furthermore, architectural traits were correlated with herbivory levels both across and within architectural morphs. 4 Prostrate plants had greater reproductive output (flowers or seeds) than erect plants in the presence of herbivores. However, under experimental reductions of herbivory spanning 40 months, the morphs had similar reproductive output, demonstrating that herbivores have the potential to act as agents of selection on the dimorphism in plant architecture. 5 These results confirm that intraspecific variation in plant traits can shape the composition of herbivore assemblages. Furthermore, in this system, herbivores alter the performance of the architectural morphs, suggesting a dynamic system of feedbacks between the population genetic and community levels. © 2006 The Authors.",51,Journal,ar,Article,100,2,2,Baccharis pilularis | Community genetics | Genetic polymorphism | Intraspecific genetic diversity | Natural selection | Parasitoid | Tri-trophic interaction,29602,undefined,0,FALSE,NA,NA,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33749440182,SCOPUS_ID:33749440182,2-s2.0-33749440182,Response of the herbaceous layer of forest ecosystems to excess nitrogen deposition,Gilliam F.S.,Journal of Ecology,00220477,13652745,94,6,1176-1191,2006-11-01,November 2006,10.1111/j.1365-2745.2006.01155.x,"1 This review brings into focus what is known about the response of the herbaceous layer of forest ecosystems to increasing nitrogen deposition. The emphasis on forests in general is important for two reasons. First, forests often occupy areas receiving high rates of atmospheric deposition of N. Second, compared with herb-dominated communities, about which much is known regarding response to excess N, forests generally display greater biological and structural complexity. The more specific focus on the herbaceous layer - here defined as all vascular (herbaceous and woody) plants ≤ 1 m in height - is warranted because most of the species diversity of forests occurs in the herb layer. 2 Most responses of forest ecosystems to N saturation, defined here as ecosystem supply of N exceeding ecosystem demand for N, can be characterized by two complementary hypotheses, each emphasizing different facets of ecosystem structure and function. One focuses on ecosystem processes, such as net primary productivity, whereas the other addresses seasonal patterns of concentrations of NO3- in stream water. Although neither hypothesis considers the effects of chronically elevated N deposition on forest herbs, both share a prediction - a dramatic increase in availability of NO3- - that is relevant to forest herb response. Such a shift towards NO3- dominance has important implications for changes in herbaceous layer dynamics. For example, increases in soil NO3- pools can increase invasibility by exotic species. Also, because preferential use of NH4+ vs. NO3- can be highly species-specific among forest herbs, predominance of NO 3- availability can bring about further changes in herb layer species composition. Also important to forest herbs is the tendency for enhanced mobility of NO3- to increase mobility and decrease availability of essential cations, such as Ca2+. 3 The response of plant species of the herbaceous layer of forest ecosystems to excess N availability can arise from N-mediated changes in several processes. Here I identify six - competition, herbivory, mycorrhizal infection, disease, species invasions and exotic earthworm activity - and discuss how they respond to excess N and how this response affects the herb layer of forests. With the exception of the activity of exotic earthworms (which is correlated with, but not necessarily caused by, high N deposition), there is compelling evidence that all processes respond sensitively to N deposition and that this response generally leads to drastic shifts in species composition and decreases in biodiversity of forest herb communities. 4 A hypothesis is suggested - the nitrogen homogeneity hypothesis - that predicts loss of biodiversity in forest ecosystems experiencing chronically elevated N deposition. This hypothesis is based on the decrease in spatial heterogeneity of N availability that is typically high in forest soils under N-limited conditions. © 2006 The Author.",304,Journal,re,Review,100,1,1,Biogeochemistry | Forest herbaceous communities | Nitrogen saturation | Vegetation science,29602,undefined,1,TRUE,all,All Open Access,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33749438520,SCOPUS_ID:33749438520,2-s2.0-33749438520,Photon flux partitioning among species along a productivity gradient of an herbaceous plant community,Aan A.,Journal of Ecology,00220477,13652745,94,6,1143-1155,2006-11-01,November 2006,10.1111/j.1365-2745.2006.01166.x,"1 We studied light partitioning among species along the natural productivity gradient of herbaceous vegetation with an above-ground dry mass of 150-490 g m-2. The aim was to investigate how the light capturing ability per above-ground biomass and leaf nitrogen changes in an entire community and to reveal whether different species respond similarly to changes in soil conditions and competition. 2 Species becoming dominant at high soil resources have intrinsically low leaf area ratios (LAR) and lower tissue nitrogen concentration, and hence relatively high nitrogen use efficiency. These traits lead to dominance when soil resources allow rapid growth so that benefits arising from the ability to locate leaves above neighbours and thereby increasing asymmetry of competition, become more crucial. 3 In contrast to our expectations, above-ground efficiency of nitrogen use on the community level (aNUE) increased along the productivity gradient. Species level nitrogen use efficiency was unaffected by variation in site productivity; the increase in community aNUE was solely as a consequence of changes in species composition. 4 Light absorption per unit of above-ground mass, ΦM, declined significantly at the community level and also in most species, indicating that light use efficiency increased with increased site productivity and LAI. 5 Light absorption per unit of leaf nitrogen, ΦN, as an indicator of the ratio NUE/LUE showed no clear pattern on the community level because both NUE and LUE tend to increase with increased productivity. At the species level, ΦN tends to decrease because NUE did not change with stand productivity. 6 Some subordinate species responded by enlarging their LAR to increased competition. Additionally, these species were the most responsive in their leaf chlorophyll/nitrogen ratio to changes in light conditions, which shows that physiological plasticity is important for species that are unable to compete for light with the ability to position their leaves above those of other species. 7 This study shows how plasticity in above-ground growth pattern and nitrogen allocation differs between species with respect to increased soil fertility and competition, leading to distinctive strategies of survival. Light partitioning analysis reveals that increased competition for light, resulting in changes in species composition, is the key factor that leads to decoupling of species and community level acclimation. © 2006 The Authors.",30,Journal,ar,Article,100,3,3,Canopy | Coexistence | Competition | Dominance | Leaf area ratio | Light partitioning | Light use efficiency | Nitrogen | Plasticity | Species composition,29602,undefined,1,TRUE,all,All Open Access,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/33749436399,SCOPUS_ID:33749436399,2-s2.0-33749436399,Modelling the quantitative effects of pre- and post-dispersal seed predation in Pinus sylvestris L.,Worthy F.,Journal of Ecology,00220477,13652745,94,6,1201-1213,2006-11-01,November 2006,10.1111/j.1365-2745.2006.01168.x,"1 Despite three decades of intensive research on seed predation, rather little is known about how important a role it plays in plant demography. Here a balance sheet of seed predation is drawn up for Pinus sylvestris, based on mortality caused by its main seed predators. This species is of special interest because trees carry seeds throughout the year and can therefore support specialist as well as generalist seed predators. Also, its regeneration in Scotland is weak and some of its main seed predators (red squirrels, crossbills, wood ants) are themselves threatened. 2 Field data from two P. sylvestris forests were used to estimate rates of predation on seeds due to pre- and post-dispersal predators, including both specialists and generalists. The rates of predation changed systematically over time and were fitted to time-dependent functions. The resulting functions were incorporated into a model, which was solved numerically to determine the fate of a cohort of seeds. 3 On average, approximately 20% of seeds in the cohort were consumed by pre-dispersal seed predators, approximately 25% of seeds by post-dispersal seed predators, and approximately 55% of seeds were still alive at the end of 2 years. This reduces the seed pool for regeneration of P. sylvestris, but is unlikely to be a serious problem for regeneration. 4 Seed survival was most sensitive to the rate at which seeds became invulnerable to further seed predation, and to the rate of seed dispersal from cones on trees. Seed survival was less sensitive to seed predation. However, among seed predators, carabids feeding on loose seeds and birds eating seeds in open cones were the most important. 5 Cones open as they dry out, and the timing of seed dispersal is therefore weather-dependent. Late opening of cones had a deleterious effect on seed survival because it led to an increase in pre-dispersal seed predation. Thus, in a period of climate change, patterns of seed predation would be expected also to change, altering the success of regeneration. © 2006 The Authors.",20,Journal,ar,Article,100,3,3,Crossbill | Native pinewoods | Natural regeneration | Red squirrel | Scots pine | Seed dispersal | Seed fate | Seed survival,29602,undefined,0,FALSE,NA,NA,10,NA,NA
