@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,authkeywords,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/33745567547,SCOPUS_ID:33745567547,2-s2.0-33745567547,An experimental study of paternity and tail ornamentation in the,Swallow B.,Evolution,00143820,51,2,562-570,1997-12-01,1997,"Previous studies of the socially monogamous barn swallow (Hirundo rustica) have shown that males that most frequently engage in extrapair copulations and whose partners are least involved in copulations with extrapair males are those with long tail ornaments. In this study, through the use of three highly polymorphic microsatellite markers, we analyze the relationships between length of tail ornaments of male barn swallows and proportion of nestlings fathered in own broods, number of offspring fathered in broods of other pairs, and total number of offspring fathered, using both a correlational and an experimental approach. Consistent with our predictions, we show that males with either naturally long or experimentally elongated tails have higher paternity (proportion of biological offspring in own broods), and they produce more biological offspring during the whole breeding season than males with naturally short or experimentally shortened tails. Males with naturally long tails also had more offspring in extrapair broods than short-tailed males, but the effect of tail manipulation on the number of offspring fathered in extrapair broods, although being in the predicted direction, was not statistically significant. Cuckolded males that did not fertilize extrapair females had smaller postmanipulation tail length than cuckolders. We conclude that there is a causal, positive relationship between male tail length and paternity. Since female barn swallows have extensive control over copulation partners and heritability of tail length is high, this study shows that female choice is a component of selection for larger male ornaments. Benefits from extrapair fertilizations to females may arise because they acquire ""good"" genes for sexual attractiveness or high viability for their offspring. Key words.-Extrapair paternity, mate choice, microsatellite DNA, paternity, phenotypic manipulation, secondary sexual characters. © 1997 The Society for the Study of Evolution. All rights reserved. LITERATURE CITED.",0,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,1,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/2642707548,SCOPUS_ID:2642707548,2-s2.0-2642707548,Consequences of inbreeding on invertebrate host susceptibility to parasitic infection,Stevens L.,Evolution,00143820,51,6,2032-2039,1997-01-01,1997,NA,51,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,2,10.1111/j.1558-5646.1997.tb05126.x,Conservation biology | Fitness | Genetic variation | Inbreeding | Parasite susceptibility | Tribolium,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/2642672839,SCOPUS_ID:2642672839,2-s2.0-2642672839,The sex-ratio trait in Drosophila simulans: Geographical distribution of distortion and resistance,Atlan A.,Evolution,00143820,51,6,1886-1895,1997-01-01,1997,"The sex-ratio trait we describe here in Drosophila simulans results from X-linked meiotic drive. Males bearing a driving X chromosome can produce a large excess of females (about 90%) in their progeny. This is, however, rarely the case in the wild, where resistance factors, including autosomal suppressors and insensitive Y chromosomes, prevent the expression of the driver. In this study, we searched for drive and resistance factors in strains of Drosophila simulans collected all over the world. Driving X chromosomes were found in all populations whenever a good sample size was available. Their frequency may reach up to 60%. However, the presence of driving X chromosomes never results in an excess of females, due to the systematic co-occurrence of resistance factors. The highest frequencies of driving X chromosomes were observed in islands, while populations from East and Central Africa (the supposed center of origin of the species) showed the highest level of resistance. The geographical pattern of drive and resistance factors, as well as the results of crosses between strains from different geographical areas, suggest that the sex-ratio system described here has a unique and ancient origin in the species.",66,Journal,ar,Article,100,4,4,22104,undefined,1,TRUE,3,10.1111/j.1558-5646.1997.tb05111.x,Drosophila simulans | Genetic conflicts | Meiotic drive | Sex ratio,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842416501,SCOPUS_ID:1842416501,2-s2.0-1842416501,Gene dispersal and spatial genetic structure,Epperson B.K.,Evolution,00143820,51,3,672-681,1997-01-01,1997,"Spatial autocorrelation statistics have been studied in theoretical population genetic models and widely used in experimental studies of spatial structure in many plant and animal populations. However, the statistical properties of spatial autocorrelation statistics have remained uncharacterized. Little is known about how values of spatial autocorrelation statistics in population samples depend on the level of dispersal and scheme of sampling. In this paper, we characterize the statistical properties of join-count spatial autocorrelation statistics for population genetic surveys under various conditions of dispersal and sampling. The results indicate generally high statistical power. These results can provide a method to estimate gene dispersal based on standing spatial patterns of genetic variation observed within populations.",82,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,4,10.1111/j.1558-5646.1997.tb03651.x,Dispersal | Gene flow | Population structure | Spatial statistics,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842368460,SCOPUS_ID:1842368460,2-s2.0-1842368460,Ontogeny of subtle skeletal asymmetries in individual larvae of the sand dollar Dendraster excentricus,Colon R.,Evolution,00143820,51,3,999-1005,1997-01-01,1997,NA,21,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,5,10.1111/j.1558-5646.1997.tb03682.x,Development | Echinoderm | Fluctuating asymmetry | Larvae | Sand dollar,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842367269,SCOPUS_ID:1842367269,2-s2.0-1842367269,Spontaneous mutational genotype-environment interaction for fitness-related traits in Drosophila melanogaster,Fernández J.,Evolution,00143820,51,3,856-864,1997-01-01,1997,"Spontaneous mutations were allowed to accumulate for 104-161 generations in 113-176 inbred lines, independently maintained by a single brother-sister mating per generation, all of them derived from a completely homozygous population of Drosophila melanogaster. In each of two to three consecutive generations, all lines were scored for fecundity, egg-to-pupa and pupa-to-adult viabilities, both in the standard laboratory culture medium (ST) and in three harsh media differing from the former by a single factor: higher temperature (HT), higher NaCl concentration (HSC), or a much reduced concentration of nutrients (D). Relative to the standard medium, productivity (fecundity X viability) decreased by 25% (HT), 66% (HSC), and 80% (D). In each medium, mutational variances of those traits and mutational covariances between all possible pairs were calculated from the between-line divergence (codivergence). Mutational correlations between character states in different media were also obtained. Because we used inbred lines, those estimates were mainly due to the accumulation of mildly detrimental mutations, deleterious mutations of large effect being underrepresented. For all traits, mutational heritabilities ranged from 1.41 x 10-4 to 11.24 x 10-4, and did not increase with intensified environmental harshness. Mutational correlations between character states in different media were usually not large (average absolute value 0.31), reflecting a high degree of environmental specificity of the mutations involved. In our results, mutations quasi-neutral in ST conditions and mildly detrimental in more stressful media were not, as a class, important. Mutational correlations between fecundity and egg-to-pupa viability were small and positive in all media. Those involving pupa-to-adult viability were positive in HT, nonsignificant in HSC, and negative in ST and D, showing how the genetic covariance structure of quantitative traits in populations may change in variable environments.",34,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,6,10.1111/j.1558-5646.1997.tb03667.x,Drosophila melanogaster | Fecundity | Mutational covariance | Mutational genotype-environment interaction | Mutational variance | Viability,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/1842287948,SCOPUS_ID:1842287948,2-s2.0-1842287948,"Historical demography and present day population structure of the greenfinch, Carduelis chloris - An analysis of mtDNA control-region sequences",Merilä J.,Evolution,00143820,51,3,946-956,1997-01-01,1997,"Genetic variability within and among 10 geographically distinct populations of Greenfinches (Carduelis chloris) was assayed by directly sequencing a 637 BP part of the mtDNA control region from 194 individuals. Thirteen variable positions defined 18 haplotypes with a maximum sequence divergence of 0.8%. Haplotype (h = 0.28-0.77) and nucleotide (π = 0.058-0.17%) diversities within populations were low, and decreased with increasing latitude (h:r(s) = -0.81; π: r(s) = -0.89). The distribution of pairwise nucleotide differences fit better with expectations of a 'sudden expansion' than of an 'equilibrium' model, and the estimates of long term effective population sizes were considerably lower than current census estimates, especially in northern European samples. Selection is an unlikely cause of observed patterns because the distribution of variability conformed to expectations of neutral infinite alleles model and haplotype diversity across populations was positively correlated with heterozygosity (H(E)) in nuclear genes (r(s) = 0.74, P < 0.05). Hence, a recent bottleneck, followed by serial bottlenecking during the process of post-Pleistocene recolonization of northern Europe, together with recent population expansion provide a plausible explanation for the low genetic diversity in the north. Genetic distances among populations showed a clear pattern of isolation-by-distance, and 14% of the haplotypic variation was among populations, the rest being distributed among individuals within populations. In accordance with allozyme and morphological data, a hierarchical analysis of nucleotide diversity recognized southern European populations as distinct from northern European ones. However, the magnitude of divergence in mtDNA, allozymes and morphology were highly dissimilar (morphology > mtDNA > allozymes).",136,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,7,10.1111/j.1558-5646.1997.tb03675.x,Bottleneck | Carduelis chloris | Control-region | Effective population size | Genetic diversity | Geographic variation | Mitochondrial DNA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0343247818,SCOPUS_ID:0343247818,2-s2.0-0343247818,The rate and effects distribution of viability mutation in Drosophila: Minimum distance estimation,García-Dorado A.,Evolution,00143820,51,4,1130-1139,1997-01-01,August 1997,"The empirical distribution of the mean viability of mutation accumulation lines, obtained from three published experiments, was analyzed using minimum-distance estimation. In two cases (Mukai et al. 1972; Ohnishi 1977), mutations were allowed to accumulate in copies of chromosome II protected from natural selection and re-combination. In the other one (Fernandez and Lopez-Fanjul 1996), they accumulated in inbred lines derived from an isogenic stock. In contrast with currently accepted hypotheses, we consistently estimated low (about 0.01) genomic viability mutation rates, λ, and a small kurtosis of the distribution of mutational effects on viability (a) in the three datasets. Minimum-distance estimates of the per-generation mean viability change due to mutation (λE[a]) were also obtained. These were very similar for both chromosomal datasets, their absolute values being about five times smaller than estimates obtained from the observed change in mean viability during the mutation process. It must be noted that, in both experiments, viability was measured relative to the Cy chromosome of a Cy/Pm stock. Thus, an unnoticed viability increase in this Cy chromosome may have resulted in overestimation of the mean viability reduction in the lines. In parallel, minimum-distance estimation of λE(a) from inbred lines data (where the selective pressure during the accumulation process was larger) was even somewhat smaller, in absolute value, and very close to the estimate obtained by comparing the mean viability of the lines with that of the control isogenic line. The evolutionary importance of these results, as well as their relevance to the solution of the mutational load paradox, is discussed.",84,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,8,10.1111/j.1558-5646.1997.tb03960.x,Distribution of viability mutational effects | Drosophila melanogaster | Viability mutation rate,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0343245007,SCOPUS_ID:0343245007,2-s2.0-0343245007,The maintenance of a cline in the marine snail Littorina saxatilis: The role of home site advantage and hybrid fitness,Rolán-Alvarez E.,Evolution,00143820,51,6,1838-1847,1997-01-01,1997,"Steep clinal transitions in one or several inherited characters between genetically distinct populations are usually referred to as hybrid zones. Essentially two different mechanisms may maintain steep genetic clines. Either selection acts against hybrids that are unfit over the entire zone due to their mixed genetic origin (endogenous selection), or hybrids and parental types attain different fitness values in different parts of the cline (exogenous selection). Survival rate estimates of hybrids and parental forms in different regions of the cline may be used to distinguish between these models to assess how the cline is maintained. We used reciprocal transplants to test the relative survival rates of two parental ecotypes and their hybrids over microscale hybrid zones in the direct-developing marine snail Littorina saxatilis (Olivi) on the rocky shores of Galicia, Spain. One of the parental forms occupies upper and the other lower shores, and the hybrids are found at various proportions (1-38%) along with both parental forms in a midshore zone a few meters wide. The survival rate over one month was 39-52% of the native ecotype on upper shores, but only 2-8% for the lower-shore ecotype. In contrast, only 4-8% of the upper-shore ecotype but 53% of large (> 6 mm) and 8% of small (3-6 mm) native lower-shore ecotype survived in the lower shores. In the midshores, both the two parental ecotypes and the hybrids survived about equally well. Thus there is a considerable advantage for the native ecotypes in the upper and lower shores, while in the hybrid zone none of the morphs, hybrids included, are favored. This indicates that the dimorphism of L. saxatilis is maintained by steep cross-shore selection gradients, thus supporting the selection-gradient model of hybrid zones. We performed field and laboratory experiments that suggest physical factors and predation as important selective agents. Earlier studies indicate assortative mating between the two ecotypes in the midshore. This is unexpected in a hybrid zone maintained by selection gradients, and it seems as if the reproductive barrier compresses the hybrid zone considerably.",144,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,9,10.1111/j.1558-5646.1997.tb05107.x,Differential selection | Hybrid zone | Reciprocal transplants | Reinforcement | Selection-gradient model | Tension-zone model | Viability estimates,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0343052912,SCOPUS_ID:0343052912,2-s2.0-0343052912,Inversion length and breakpoint distribution in the Drosophila Buzzatii species complex: Is inversion length a selected trait?,Cáceres M.,Evolution,00143820,51,4,1149-1155,1997-01-01,August 1997,"Length and position of breakpoints are characteristics of inversions that can be precisely determined on the polytene chromosomes of Drosophila species, and they provide crucial information about the processes that govern the origin and evolution of inversions. Eighty-six paracentric inversions described in the Drosophila buzzatii species complex and 18 inversions induced by introgressive hybridization in D. buzzatii were analyzed. In contrast to previous studies, inversion length and breakpoint distribution have been considered simultaneously. We conclude that: (1) inversion length is a selected trait; rare inversions are predominantly small while evolutionarily successful inversions, polymorphic and fixed are predominantly intermediate in length; a nearly continuous variation in length, from small to medium sized, is found between less and more successful inversions; (2) there exists a significant negative correlation between length and number of polymorphic inversions per species which explains 39% of the inversion length variance; (3) natural selection on inversion length seems the main factor determining the relative position of breakpoints along the chromosomes; (4) the distribution of breakpoints according to their band location is non-random, with chromosomal segments that accumulate up to eight breakpoints.",29,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,10,10.1111/j.1558-5646.1997.tb03962.x,Drosophila buzzatii complex | Inversion breakpoints | Inversion length | Inversion polymorphism | Polymorphic inversion richness,all,All Open Access,NA,NA
