@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/26944432337,SCOPUS_ID:26944432337,2-s2.0-26944432337,Impact of habitat disturbance on the distribution of endemic species of small mammals and birds in a tropical rain forest in Sri Lanka,Wijesinghe M.,Journal of Tropical Ecology,02664674,21,6,661-668,2005-11-01,November 2005,10.1017/S0266467405002695,S0266467405002695,"We tested whether species endemic to Sri Lanka were less able than non-endemics to tolerate disturbed habitats. Small mammals were surveyed in four habitat types along a disturbance gradient (unlogged forest, selectively logged forest, cultivated areas and areas abandoned after cultivation) within and around the Sinharaja rain forest in south-west Sri Lanka. Twenty 90-m×40-m plots were live trapped in each of these habitat types. Twelve taxa: nine rodents (Srilankamys ohiensis, Rattus rattus kelaarti, R. r. kandianus, Mus mayori, M. cervicolor, Bandicota indica, Funambulus layardi, F. sublineatus and F. palmarum) and three insectivores (Crocidura miya, Suncus zeylanicus and Feroculus feroculus) were recorded. Of these, five were endemic to Sri Lanka at the species level (species confined to the island) and six at subspecies level (subspecies confined to the island; other subspecies occurring on the Indian subcontinent). Species richness of small mammals decreased with the magnitude of forest disturbance. The endemic species selectively utilized sites within the forest whilst the majority of the other taxa used both forest and non-forest habitat types or were restricted to the latter. Bird surveys were carried out in the same plots, using sightings and calls. Sixty-six bird species were recorded, of which 21 were endemic species. Twenty endemic bird species preferentially used sites within the forest. The findings suggest that the forest-dwelling endemic species of both small mammal and bird encounter difficulties in tolerating modified landscapes, whilst other taxa are less affected. This highlights the vulnerability of endemic species to forest conversion. Copyright © 2005 Cambridge University Press.",27,Journal,re,Review,100,2,2,Disturbance gradient | Rodents | shrews | Sinharaja | Species diversity | Species richness,23435,undefined,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/26844580928,SCOPUS_ID:26844580928,2-s2.0-26844580928,"Impacts of fruit production cycles on Malayan sun bears and bearded pigs in lowland tropical forest of Sabah, Malaysian Borneo",Siew T.,Journal of Tropical Ecology,02664674,21,6,627-639,2005-11-01,November 2005,10.1017/S0266467405002622,S0266467405002622,"We observed a period of famine in the lowland tropical rain forest of Sabah, Malaysia from August 1999 to September 2000. All six Malayan sun bears (Helarctos malayanus) that were captured and radio-collared were in poor physical condition, and two were later found dead. The physical condition of bearded pigs (Sus barbatus) that were captured, observed or photographed by camera traps also revealed that the pigs were in various stages of emaciation and starvation. We surmise that the famine resulted from prolonged scarcity of fruit during an intermast interval in the study area. These phenomena of emaciated animals and fruit scarcity have also been reported from other areas of Borneo. Lowland tropical rain-forest trees of Borneo display supra-annual synchronized general fruiting. We believe that the starvation we observed and the generally low density of large animals in Borneo forests is a consequence of a history of prolonged food scarcity during non-general-fruiting years, but may be accentuated by anthropogenic factors such as forest fragmentation, selective logging, and reduced density of fig trees in logged forests. Copyright © 2005 Cambridge University Press.",53,Journal,ar,Article,100,4,4,Emaciation | ENSO | Famine | General fruiting | Helarctos malayanus | Intermast interval | Physical condition | Rain forests | Starvation | Sus barbatus,23435,undefined,0,FALSE,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/26844570661,SCOPUS_ID:26844570661,2-s2.0-26844570661,Spatio-temporal permanence and plasticity of foraging trails in young and mature leaf-cutting ant colonies (Atta spp.),Kost C.,Journal of Tropical Ecology,02664674,21,6,677-688,2005-11-01,November 2005,10.1017/S0266467405002592,S0266467405002592,"The distribution and formation of foraging trails have largely been neglected as factors explaining harvesting patterns of leaf-cutting ants. We applied fractal analysis, circular, and conventional statistics to published and newly recorded trail maps of seven Atta colonies focusing on three aspects: permanence, spatio-temporal plasticity and colony life stage. In the long term, trail patterns of young and mature Atta colonies revealed that foraging activities were focused on distinct, static sectors that made up only parts of their potentially available foraging range. Within these foraging sectors, trails were typically ephemeral and highly variable in space and time. These ephemeral trails were concentrated around permanent trunk trails in mature and around nest entrances in young colonies. Besides these similarities, the comparison of trail systems between the two life stages indicated that young colonies exploited fewer leaf sources, used smaller and less-complex systems of foraging trails, preferred different life forms as host plants, and switched hosts more often compared with mature colonies. Based on these analyses, we propose a general hypothesis which describes the foraging pattern in Atta as a result of initial foraging experiences, spatio-temporal distribution of suitable host plants, energetic constraints, and other factors such as seasonality and interspecific predation. Copyright © 2005 Cambridge University Press.",66,Journal,ar,Article,100,4,4,Atta | Foraging pattern | Fractal dimension | Leaf-cutting ants | Optimal foraging | Trunk trail system,23435,undefined,0,FALSE,3,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/26844531340,SCOPUS_ID:26844531340,2-s2.0-26844531340,"Host specialization and species richness of root-feeding chrysomelid larvae (Chrysomelidae, Coleoptera) in a New Guinea rain forest",Pokon R.,Journal of Tropical Ecology,02664674,21,6,595-604,2005-11-01,November 2005,10.1017/S0266467405002567,S0266467405002567,"The assemblages of root-feeding chrysomelid larvae from 21 locally common tree species were studied in a secondary tropical forest in New Guinea and compared with confamilial larvae and adults feeding on the foliage. Larval host plants were inferred from adults emerging from the soil containing the roots of known tree species. In total, 2495 chrysomelids from 100 species were reared from the roots. Almost 90% of adults in the forest canopy recruited from the species with root-feeding larvae, while species with leaf-feeding larvae represented 1% of individuals (the feeding guild for the remaining 9% was unknown). The root-feeding larvae were thus more important in tropical than temperate forests, possibly because of predation pressure by ants on tropical vegetation. The number of chrysomelids emerging annually from the soil in 1 ha of the forest was approximately 0.2 million. Root-feeding larvae were polyphagous as their modal host range included three or four from the six plant families studied. The lack of correlation between the phylogenetic distance of tree species and the similarity of their chrysomelid assemblages indicated that host choice was not constrained by plant phylogeny. The host range of larvae feeding on roots was as wide as that of the conspecific adults feeding on the foliage. The density and species composition of larval and adult assemblages on the studied trees were not correlated. These results suggest that even studies restricted to adult assemblages, which represent a majority of chrysomelid studies, can be informative, as the composition of adult assemblages is not necessarily constrained by larval host-plant selection. Copyright © 2005 Cambridge University Press.",19,Journal,ar,Article,100,3,3,Herbivore communities | Insect-plant interactions | Leaf beetles | Papua New Guinea | Rhizophagy | Species richness | Underground herbivory,23435,undefined,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/26844499153,SCOPUS_ID:26844499153,2-s2.0-26844499153,"Resource partitioning within a browsing guild in a key habitat, the Chobe Riverfront, Botswana",Makhabu S.W.,Journal of Tropical Ecology,02664674,21,6,641-649,2005-11-01,November 2005,10.1017/S0266467405002701,S0266467405002701,"Resource partitioning between elephant, giraffe, kudu and impala was assessed. This was to address concerns that elephant population increase adversely affects other species through depleting their food in key areas close to permanent water. Resources considered were woody species browsed, height browsed and plant parts browsed. Animals were observed as they browsed and the plant species, browsing heights and plant parts browsed were recorded. Observations were made over 1 y and the data were divided between wet and dry season. Schoener's index of resource use overlap was calculated for plant species, browsing heights and plant parts eaten and differences in overlap between wet and dry season were tested. Levin's measure of niche breadth in plant species utilized by the different browsers was calculated. Woody species identity was the main separator between food resources that elephant used and those giraffe, impala and kudu used. Giraffe, kudu and impala mainly browsed the same species and plant parts but browsed at different heights. There was no difference in resource use overlap between seasons with different resource availability. Since elephant browsed different woody species from those browsed by the others, it is unlikely that the increasing elephant population will deplete food resources for the other browsers. Copyright © 2005 Cambridge University Press.",36,Journal,ar,Article,100,1,1,Botswana | Browsing | Elephant | Giraffe | Impala | Kudu | Niche breadth | Overlaps,23435,undefined,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/26844495297,SCOPUS_ID:26844495297,2-s2.0-26844495297,Testing the roles of species in mixed-species bird flocks of a Sri Lankan rain forest,Goodale E.,Journal of Tropical Ecology,02664674,21,6,669-676,2005-11-01,November 2005,10.1017/S0266467405002609,S0266467405002609,"Studies of mixed-species bird flocks have found that 'nuclear' species, those important to flock coherence, are either intraspecifically gregarious or are 'sentinel' species highly sensitive to predators. Both types of species are present in flocks of a Sri Lankan rain forest: orange-billed babblers (Turdoides rufescens Blyth) are highly gregarious, whereas greater racket-tailed drongos (Dicrurus paradiseus Linnaeus) are less so, but more sensitive and reliable alarm-callers. We hypothesized that flock participants would be attracted to the playback of both species more than to the clearly non-nuclear yellow-fronted barbet (Megalaima flavifrons Cuvier). Further, we hypothesized that insectivores would prefer babbler vocalizations, as babblers could facilitate their foraging in several ways. We found that the response of insectivores was three times greater during babbler or drongo playback, and eight times greater during playback of these two species together, than during barbet playback or silence. Insectivores did not show, however, any difference in their response to babbler as compared to drongo playback; omnivores and frugivores responded relatively equally to all treatments. Our results show that birds with high propensity to flock, such as insectivores, use the vocalizations of nuclear species to locate flocks and that a sentinel species may be as attractive as a highly gregarious species. Copyright © 2005 Cambridge University Press.",51,Journal,ar,Article,100,2,2,Avian community ecology | Dicrurus paradiseus | Heterospecific attraction | Mixed-species flocks | Nuclear species | Playback | Sentinel species | Sri Lanka | Turdoides rufescens,23435,undefined,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/26844460747,SCOPUS_ID:26844460747,2-s2.0-26844460747,Leaf-litter decomposition in Amazonian forest fragments,Rubinstein A.,Journal of Tropical Ecology,02664674,21,6,699-702,2005-11-01,November 2005,10.1017/S0266467405002762,S0266467405002762,"Most of the forests of the Amazon basin grow on nutrient-poor soils (Jordan 1982). Despite this, these forests remain productive through a variety of nutrient conservation mechanisms and a very effective system of organic matter decomposition and nutrient cycling (Jordan 1982). When an area of forest is fragmented however, the remaining patches experience modified microclimatic conditions (Camargo & Kapos 1995, Didham & Lawton 1999), and changes in floristic composition (Laurance et al. 1998), which can affect the decomposer community (Didham et al. 1996, Souza & Brown 1994) and consequently the decomposition process. Copyright © 2005 Cambridge University Press.",15,Journal,ar,Article,100,2,2,Amazon | Area effects | Edge effects | Habitat fragmentation | Litter decay rates | Litter turnover,23435,undefined,0,FALSE,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/26844458364,SCOPUS_ID:26844458364,2-s2.0-26844458364,"Host preferences of low-trunk vascular epiphytes in a cloud forest of Veracruz, Mexico",Mehltreter K.,Journal of Tropical Ecology,02664674,21,6,651-660,2005-11-01,November 2005,10.1017/S0266467405002683,S0266467405002683,"The diversity, abundance and frequency of vascular epiphytes on the lower trunk were compared between two host groups of a Mexican cloud forest: angiosperm trees (n = 72) and tree ferns (n = 28). The bark of the five most frequent host trees and the root mantle of the two tree ferns were analysed for their thickness, water content, water retention capacity and pH. A total of 55 epiphyte species and 910 individuals were found on the 27 host species. On hosts with a dbh range of 5-10 cm, epiphytes were significantly more diverse (4.3±0.9 species per host) and more abundant (12.5±2.2 individuals per host) on tree ferns than on angiosperm trees (1.9±0.2 species per host and 3.9±0.6 individuals per host). However, these differences were not significant for the dbh class of 10-20 cm, because epiphyte numbers increased on angiosperm trees with larger host size, but not in tree ferns. Most epiphyte species had no preference for any host group, but four species were significantly more frequent on tree ferns and two species on angiosperm trees. The higher epiphyte diversity and abundance on tree fern trunks of the smallest dbh class is attributed to their presumably greater age and to two stem characteristics, which differed significantly between host groups, the thicker root mantle and higher water retention capacity of tree ferns. These bark characteristics may favour germination and establishment of epiphytes. Copyright © 2005 Cambridge University Press.",84,Journal,ar,Article,100,3,3,Alsophila firma | Bark characteristics | Cyathea divergens | Diversity estimators | Peltapteris peltata | Root mantle | tree ferns | Trichomanes | Water retention capacity,23435,undefined,0,FALSE,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/26844456582,SCOPUS_ID:26844456582,2-s2.0-26844456582,Oligarchic dominance in western Amazonian plant communities,Macía M.J.,Journal of Tropical Ecology,02664674,21,6,613-626,2005-11-01,November 2005,10.1017/S0266467405002579,S0266467405002579,"The oligarchy hypothesis proposes that large areas of Amazonian plant communities are dominated by limited sets of species. We tested this hypothesis by (1) quantifying dominance of the 10 most common species, genera and families in each region; and (2) assessing the consistency of relative abundance ranks between areas and across scales in dominance patterns for trees and lianas in two distant Amazonian regions (∼1900 km), the Yasuní and Madidi National Parks in Ecuador and Bolivia, respectively. The analyses were based on sixty-nine 0.1-ha plots in which all woody plants with a diameter at breast height (dbh) ≥2.5 cm were inventoried (19 775 individuals and 1729 species in total). The plots were located at two Yasuní and five Madidi sites, with an average of 10 plots per site. Overall, oligarchic dominance was pronounced at all the spatial scales investigated, although decreasing with increasing scale. Cross-scale relative abundance ranks were more consistent in Yasuní than in Madidi, while no such difference was apparent within single sites. Quantitative dominance and consistency of relative abundance ranks increased with taxonomic rank, being stronger at the family level than at genus and species levels. Species-level dominance was somewhat stronger within the 10 most common families in either region, than in other families. Dominance was similarly strong for canopy (dbh ≥10 cm) and understorey trees (dbh <10 cm), and less pronounced among lianas. In conclusion, our results provide strong evidence that western Amazonian forests can be dominated by limited oligarchies of species, genera and families over large expanses. Copyright © 2005 Cambridge University Press.",63,Journal,ar,Article,100,2,2,Bolivia | Ecuador | Environmental heterogeneity | Life forms | Neutral theory | Oligarchy hypothesis | Relative abundance | Species dominance | Taxonomic levels | Tropical rain forests,23435,undefined,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/26844454138,SCOPUS_ID:26844454138,2-s2.0-26844454138,The understorey palm Licuala (Arecaceae) suppresses tree regeneration in a lowland forest in Asia,LaFrankie J.V.,Journal of Tropical Ecology,02664674,21,6,703-706,2005-11-01,November 2005,10.1017/S0266467405002737,S0266467405002737,"The establishment and growth of a young tree requires a microsite that falls within a range of specific environmental conditions. Microsites will to some degree be modified by such neighbouring plants as are already established, a circumstance that will in turn lead to either a positive or negative spatial association among the individuals. Such patterns of spatial interactions are amenable to statistical inference. Positive associations may result when one species ameliorates overall hostile conditions, such as the shade and moisture provided the seedlings of long-leaf pine by the canopy of the saw palmetto (Allen 1956). Indeed, positive associations appear widespread in arid and cold habitats (reviewed in Tirado & Pugnaire 2003). However, on the forest floor of the humid tropics, negative associations are presumably more likely (Montgomery 2004). Harms et al. (2004) recently found a correlation between high density of small palms and a low density of tree saplings across four Neotropical sites, while Wang & Augspurger (2004) demonstrated that dwarf palms and cyclanths reduce seedling recruitment on the forest floor in Costa Rica. Copyright © 2005 Cambridge University Press.",6,Journal,ar,Article,100,2,2,Licuala ferruginea | Licuala longipes | Malaysia | Regeneration | Sapling | Spatial analysis | Tropical forest understorey,23435,undefined,0,FALSE,10,NA,NA
