@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,authkeywords,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0030316503,SCOPUS_ID:0030316503,2-s2.0-0030316503,Long term responses of Caribbean ecosystems to disturbance,Walker L.,Biotropica,00063606,28,4 A,414-613,1996-12-01,1996,"After an introductory article, the special issue concentrates on the effects of Hurricane Hugo (1989) on wet forest in the Luquillo Experimental Forest, Puerto Rico. There are 15 papers: the first five years in the reorganization of aboveground biomass and nutrient use following Hurricane Hugo; the temporal scales at which disturbance affects belowground nutrient pools; litter dynamics along stream, riparian and upslope areas following Hurricane Hugo; functional diversity of soil bacterial communities in tabonuco forest; distribution and abundance of tropical freshwater shrimp along a stream corridor; disturbance influences long-term population patterns in the Puerto Rican frog Eleutherodactylus coqui; the legacy of disturbance on habitat associations of terrestrial snails; a 12-yr comparison of stand changes in a mahogany plantation and a paired natural forest of similar age; land-use dynamics in a post-agricultural Puerto Rican landscape (1936-1988); forest recovery in abandoned cattle pastures along an elevational gradient; anthropogenic disturbance of Caribbean mangrove ecosystems; ecosystem development and plant succession on landslides in the Caribbean; effects of hurricane disturbance on groundwater chemistry and riparian function; background and catastrophic tree mortality in tropical moist, wet and rain forests; and a theory of disturbance and species diversity, with evidence from Nicaragua after Hurricane Joan (1988).",34,Journal,ar,Article,100,4,4,13817,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/5844384616,SCOPUS_ID:5844384616,2-s2.0-5844384616,"The first five years in the reorganization of aboveground biomass and nutrient use following Hurricane Hugo in the Bisley Experimental Watersheds, Luquillo Experimental Forest, Puerto Rico",Scatena F.,Biotropica,00063606,28,4 A,424-440,1996-01-01,December 1996,"Five years after Hurricane Hugo reduced the aboveground biomass by 50 percent in two forested watersheds in the Luquillo Experimental Forest of Puerto Rico, regeneration and growth of survivors had increased the aboveground biomass to 86 percent of the pre-hurricane value. Over the 5 yr, the net aboveground productivity averaged 21.6 Mg·ha-1·yr-1 and was faster than most plantations and secondary forests in the area. Woodfall and associated nutrient fluxes never attained pre-storm values but by the fifth yr, mean daily total litterfall, and N, P, K, Ca, and Mg fluxes in litterfall were 83, 74, 62, 98, 75, and 81 percent of their pre-disturbance values, respectively. Aboveground nutrient pools of these nutrients ranged from 102 to 161 percent of their pre-disturbance values and were larger after 5 yr because of higher nutrient concentrations in the regeneration compared to the older wood that it replaced. The following sequence of ecosystem reorganization during this first 5 yr period is suggested. An initial period of foliage production and crown development occurred as hurricane survivors re-leafed and herbaceous vegetation and woody regeneration became established. During this period, 75 to 92 percent of the nutrient uptake was retained in the aboveground vegetation and there was a relatively low rate of aboveground carbon accumulation per mole of nutrient cycled. This initial period of canopy development was followed by a peak in aboveground productivity that occurred as early successional species entered the sapling and pole stages. This period was followed by the establishment of the litterfall nutrient cycle and an increase in the net productivity per mole of nutrient cycled. During this 5 yr period, the Bisley forest had some of the lowest within-stand nutrient-use-efficiencies and some of the highest levels of aboveground productivity ever observed in the LEF. The study demonstrates that high levels of productivity and rapid rates of aboveground reorganization can be achieved with rapid within-system cycling and inefficient within-stand nutrient use.",144,Journal,ar,Article,100,4,4,13817,undefined,0,FALSE,2,10.2307/2389086,Biomass | Hurricanes | Nutrient use | Puerto Rico | Recovery,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/5844362967,SCOPUS_ID:5844362967,2-s2.0-5844362967,"Abundance, richness, and diversity of myxomycetes in a neotropical forest ravine",Ogata N.,Biotropica,00063606,28,4 A,627-635,1996-01-01,December 1996,"We studied during 9 months the diversity, abundance, and richness of Myxomycetes growing on fallen logs in a ravine covered with tropical humid forest in México. We collected and described 951 specimens ascribed to 33 species and one variety. Corresponding, and 1 and 2 months shifted-back correlations, were done between diversity, abundance and richness, and the climatic variables. We found significant correlations between diversity and precipitation in corresponding form, and between diversity and temperature at 1 month shift-back. Abundance and richness were only significantly correlated with precipitation at 2 months shift-back. The results suggest a general induction of spore germination of the dominant species with the onset of rains coupled with the increase of environmental temperatures. Finally, we suggest that the scarcity of fruiting bodies in this type of ecosystem is due to the capacity of these organisms to stay for longer periods in a plasmodial rather than in the sporangial stage.",23,Journal,ar,Article,100,3,3,13817,undefined,0,FALSE,3,10.2307/2389049,Diversity | Ecology | México | Myxomycetes | Veracruz,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/5844362932,SCOPUS_ID:5844362932,2-s2.0-5844362932,Reproductive biology of the threatened Madagascar triangle palm: Neodypsis decaryi Jumelle,Ratsirarson J.,Biotropica,00063606,28,4 A,737-745,1996-01-01,December 1996,"The reproductive biology of the threatened, endemic and economically important palm species (Neodypsis decaryi) of Madagascar was studied in order to understand its interaction with pollinators. Inflorescences were monoecious, protandrous, and primarily insect pollinated. The honey bee Apis mellifera was the most effective pollinator although there were other insect visitors. None of these visitors were specialists restricted to N. decaryi. The Neodypsis decaryi populations examined in this study produced staminate flowers continuously all year long, but fruit production was highly seasonal. Our hypothesis is that continuous staminate flower production throughout the year may provide a reliable food resource for flower visitors and habituate the pollinators to the system. Fruit set is low and appears to be associated with both water resource and pollen limitation.",16,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,4,10.2307/2389060,Apis mellifera | Dry tropical forest | Floral phenology | Madagascar | Neodypsis decaryi | Palms | Plant reproductive biology | Pollination | Threatened species,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0141592898,SCOPUS_ID:0141592898,2-s2.0-0141592898,Leaf decomposition in a Mexican tropical rain forest,Alvarez-Sánchez J.,Biotropica,00063606,28,4 A,657-667,1996-01-01,December 1996,"Leaf decomposition in five common species was studied in the Los Tuxtlas tropical rain forest, Veracruz state, Mexico. The species were: Nectandra ambigens (Blake) C. K. Allen, Pseudolmedia axyphyllaria Donn. Sm, Dussia mexicana (Standl.) Harms, Ficus yoponensis Desvaux and Poulsenia armata (Miq.) Standl. Two experimental studies were done using litter bags, one comparing flat and slope conditions, and the second one in closed canopy and gap conditions. In addition, decomposition was compared between the dry and rainy season. There were significant differences in decomposition rates between species and seasons, but not between zones (flat and gentle slope, and closed forest and gap conditions). The highest decomposition rates were observed for species with high nutrient contents, and also during the rainy season. The data were fitted to three mathematical models derived from the negative simple exponential; the double exponential model for decay was significant. Also, the negative, simple, exponential model which assumes that k is not constant, turned out to be significant for the experiment in closed canopy and gap conditions.",22,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,5,10.2307/2389052,Decomposition | Leaves | Litterfall | Mexico | Tropical rain forest,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030442059,SCOPUS_ID:0030442059,2-s2.0-0030442059,Algunos aspectos de la ecología trófica de Anolis argenteolus (Sauria: Polychridae) en una localidad de la costa suroriental de Cuba,Schettino L.,Biotropica,00063606,28,2,252-257,1996-01-01,1996,"The numerous Anolis species which are present in Cuba fill a place of great importance in the trophic webs of the terrestrial ecosystems, because they eat a considerable amount of arthropods, mainly insects. In order to know the food habits of one of the endemic species. Anolis argentiolus Cope. 1862, in a place of touristic use, 155 males and 161 females were collected at the La Mula camping base, on the south coast of Sierra Maestra, during the months of January, March, May, July, September and November. The digestive tract contents were analyzed and it was found that ants constituted the most frequent and important food item for both sexes during the two seasons of the year. The second place was occupied by dipterans, mainly domestic flies, and the third place, by scolitid coleopterans and lepidopteran larvae. Furthermore, this lizard includes in its food supply homopterans, lepidopterans, orthopierans, and araneids. The intraspecific differences observed in the food habits probably allow the sustenance of a numerous population.",6,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,6,10.2307/2389079,Anolis argenteolus | Biocontrol | Camping | Cuba | Food habits,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030440641,SCOPUS_ID:0030440641,2-s2.0-0030440641,The aquatic macrofauna of water-filled bamboo (Poaceae: Bambusoideae: Guadua) internodes in a peruvian lowland tropical forest,Louton J.,Biotropica,00063606,28,2,228-242,1996-01-01,1996,"In the lowland tropical forest at Pakitza. Peru, bamboo (Guadua weberbaueri Pilger) internodes with lateral perforations contain a diverse aquatic fauna. We found a community of 29 species dominated by Diptera, primarily mosquitos, and an undescribed helicopter damselfly (Mecistogaster). Although most studies of bamboo concern broken or cut culms filled with rainwater, the water in the live bamboo internodes that we studied was supplied by plant secretions. This results in an aquatic habitat that persists even during the pronounced local dry season. The lateral openings typically consist of closely-spaced rows of parallel slots and are possibly formed by the activities of ovipositing female katydids (Letobliastes laevis Beier) and secondarily enlarged by various means. Succession in this community was found to follow the steps in development of the lateral opening; with increases in the average number of species and individuals, and percent of the total fauna present, as the opening size increased. We explored patterns of community structure by descriptive statistical analyses and constructed a tentative food web diagram of this simple aquatic ecosystem. Pairwise comparisons of ranked abundances of aquatic insects failed to show correlation, but internodes that contained a predator had higher average simple diversity of mosquito species than those without, indicating a possible ""Paine effect."" While species counts and counts of total individuals were not significantly correlated with type of lateral perforation, counts of individuals of all taxa per internode were correlated with size of lateral perforation. Number of mosquito species was significantly correlated with volume of water held in the internodes.",49,Journal,ar,Article,100,3,3,13817,undefined,0,FALSE,7,10.2307/2389077,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030439591,SCOPUS_ID:0030439591,2-s2.0-0030439591,Fire effects on a Palicourea rigida (rubiaceae) gall midge: A test of the plant vigor hypothesis,Vieira E.,Biotropica,00063606,28,2,210-217,1996-01-01,1996,"The effects of fire on growth of Palicourea rigida (Rubiaceae) were significant in a comparison between adjacent burned and unburned sites in cerrado savanna vegetation near Brasilia, Brazil. Many more small and young leaves appeared after the fire in the early part of the wet season, and leaves after the burn were much less tough for a given leaf length class than in the unburned area (unburned area leaves were 150.9% tougher). Growth of host plants after fire resulted in higher colonization of a leaf-galling midge in the genus Contanata (Diprera: Cecidornytidae) as yet unnamed at the species level. On the highest intensity of attack per leaf length class, galls were over five times more abundant per leaf in the burn than in the unburned area. Within the galls larvae survived better in the burned site, and numbers of surviving larvae at the end of the first generation were 5.4 times higher per leaf than in the unburned area An even stronger effect of fire was observed in the second generation of gallers after the fire, when no living larvae could be found in the unburned area, but 17 living larvae per 100 leaves occurred in the burned site. These results supported the Plant Vigor Hypothesis, because regrowth after fire produced younger more tender leaves favorable for herbivore attack. The importance of fire in a landscape as a disturbance factor in cerrado, which rejuvenates plant growth, increasing favorability for many insect herbivores, deserves more attention and study.",64,Journal,ar,Article,100,3,3,13817,undefined,0,FALSE,8,10.2307/2389075,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030437337,SCOPUS_ID:0030437337,2-s2.0-0030437337,"Soil seed banks and regeneration of tropical rain forest from milpa fields at the Selva Lacandona, Chiapas, Mexico",Quintana-Ascencio P.F.,Biotropica,00063606,28,2,192-209,1996-01-01,1996,"The traditional milpa agriculture system (slash-burn) of the Lacandon Maya people in eastern Chiapas, Mexico has created and uses a variety of habitat patches including the whole range of seral stages during forest development. This study examines seed bank attributes in habitats associated with slash-burn agriculture and with the more recent expansion of grasslands. We estimated the abundance and floristic composition of seeds in the soil from induced grasslands, milpa fields neighboring early and mature forests, and from secondary forest and mature tropical rain forest (15 samples by site, 2-3 replicated sites per successional stage). A total of 130 species germinated from the soil samples. The seeds of fate successional tree species were scarce in all the seed soil samples ( < 27 of the species). Twenty-five early successional species accounted for ca. 70 percent of all individuals. Soil seed density (but not species richness) increased as milpas and fallows dominated the landscape. Affinity analysis based on presence/absence and abundance data showed a different soil seed bank composition for the grasslands when compared to that of all other successional communities. Our results suggest that current expansion of pastures and agricultural fields modifies seed deposition and storage patterns in the soil that may alter the process of secondary- succession. This compromises both the regenerating potential of tropical rain forest in the region, and the sustainabtlity of traditional practices and economic relationships of the Lacandon Maya.",72,Journal,ar,Article,100,5,5,13817,undefined,0,FALSE,9,10.2307/2389074,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030436922,SCOPUS_ID:0030436922,2-s2.0-0030436922,Structure and dynamics in Nepenthes madagascariensis pitcher plant micro-communities,Ratsirarson J.,Biotropica,00063606,28,2,218-227,1996-01-01,1996,"The pitchers of Nepenthes madagascariensis are visited by a wide variety of insects attracted to the bright color of the pitcher, the nectar secreted around its opening and the odor of the fluid. The insect visitors appear to become disoriented over time and with increasing likelihood fall into the pitcher and drown. The pitchers form a temporary habitat functional for about three months. Several specialized arthropods including mosquito larvae (Uranotaenia bosseri, U. belkini), mites (Creutzaria sp.), and frit fly larvae (Chloropidae) complete their life cycle in the pitcher and depend directly or indirectly on the drowned insects falling into the pitcher. Colonization by these arthropods varies spatially and temporally between the two forms of pitchers (juvenile, rosette form and adult form). Mites (Creutzeria sp.) show a phoretic relationship in colonizing new pitchers by clinging to adult frit flies chat emerge from the pitcher's fluid. Food web interactions in the Nepenthes madagascariensis pitcher are more complex than those reported by Beaver (1985).",20,Journal,ar,Article,100,2,2,13817,undefined,0,FALSE,10,10.2307/2389076,NA,NA,NA
