@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,dc:description,pubmed-id,authkeywords,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/5344279811,SCOPUS_ID:5344279811,2-s2.0-5344279811,Erratum: Evolution of color variation in dragon lizards: Quantitative tests of the role of crypsis and local adaptation (Evolution 58 (1549-1559)),Stuart-Fox D.,Evolution,00143820,58,9,2110,2004-09-01,September 2004,0,Journal,er,Erratum,100,4,4,22104,undefined,0,FALSE,1,NA,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/5344268190,SCOPUS_ID:5344268190,2-s2.0-5344268190,Erratum: Patterns of reproductive isolation in three angiosperm genera (Evolution 58 (1195-1208)),Moyle L.,Evolution,00143820,58,9,2110,2004-09-01,September 2004,1,Journal,er,Erratum,100,3,3,22104,undefined,0,FALSE,2,NA,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/9244259706,SCOPUS_ID:9244259706,2-s2.0-9244259706,Do suture zones exist?,Swenson N.G.,Evolution,00143820,58,11,2391-2397,2004-01-01,November 2004,69,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,3,10.1111/j.0014-3820.2004.tb00869.x,"Remington (1968) argued that 13 suture zones exist in North America. Remington defined a suture zone as, ""a band of geographic overlap between major biotic assemblages, including some pairs of species or semispecies which hybridize in the zone"" (p. 322). Although initially controversial, the idea that suture zones exist has picked up momentum over the past decade, due largely to the phylogeographic work of Hewitt, Avise, and their colleagues. Nevertheless, the reality of suture zones has not yet been subjected to rigorous analysis using statistical and geographic information system (GIS) approaches. To test for the existence of Remington's suture zones, we first identified 117 terrestrial hybrid zones in Canada and the United States through a literature search for the key words ""cline,"" ""contact zone,"" ""hybrid zone,"" and ""hybridization"" in articles published between 1970 and 2002. The 117 hybrid zones were mapped using a GIS approach and compared with a digitized version of Remington's original suture zone map. Overall, there does appear to be an association between hybrid zones and suture zones, but this association is largely attributable to clustering of hybrid zones in only two of the 13 suture zones recognized by Remington. The results suggest that evolutionary biologists should retain some skepticism toward Remington's suture zones.",15612283,Geographic information system | Hybrid zones | Hybridization | Range boundaries | Reinforcement | Spatial concentration | Speciation,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/9244257352,SCOPUS_ID:9244257352,2-s2.0-9244257352,"Immune suppression and the cost of reproduction in the ground cricket, Allonemobius socius",Fedorka K.,Evolution,00143820,58,11,2478-2485,2004-01-01,November 2004,149,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,4,10.1111/j.0014-3820.2004.tb00877.x,"One of the most common life history trade-offs in animals is the reduction in survivorship with increasing reproductive effort. Despite the prevalence of this pattern, its underlying physiological mechanisms are not well understood. Here we test the hypothesis that immune suppression mediates this phenotypic trade-off by manipulating reproductive effort and measuring immune function and mortality rates in the striped ground cricket, Allonemobius socius. Because A. socius males provide females with a hemolymph-based nuptial gift during copulation, and many structural components of immunity reside in the hemolymph, we also predicted that sexual selection may differentially affect how disease resistance evolves in males and females. We found that an increased mating effort resulted in a reduced immune ability, coupled with an increased rate in age-specific mortality for both sexes. Thus, immune suppression appears to be a link between reproductive effort and cost in this system. In addition, males and females appeared to differentially invest in several aspects of immunity prior to mating, with males exhibiting a higher concentration of circulating hemocytes and a superior bacterial defense capability. This pattern may be the result of previously established positive selection on gift size due to its affect on female fecundity. In short, female choice for larger gifts may lead to a sexually dimorphic immune ability.",15612291,Hemolymph | Immunocompetence | Life-history trade-off | Sexual dimorphism | Sexual selection | Survivorship,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/9244254795,SCOPUS_ID:9244254795,2-s2.0-9244254795,Long-lasting fitness consequences of prenatal sex ratio in a viviparous lizard,Uller T.,Evolution,00143820,58,11,2511-2516,2004-01-01,November 2004,38,Journal,ar,Article,100,5,5,22104,undefined,1,TRUE,5,10.1111/j.0014-3820.2004.tb00880.x,"Maternal effects and early environmental conditions are important in shaping offspring developmental trajectories. For example, in laboratory mammals, the sex ratio during gestation has been shown to influence fitness-related traits via hormonal interaction between fetuses. Such effects have the potential to shape, or constrain, many important aspects of the organism's life, but their generality and importance in natural populations remain unknown. Using long-term data in a viviparous lizard, Lacerta vivipara, we investigated the relationship between prenatal sex ratio and offspring growth, survival, and reproductive traits as adults. Our results show that females from male-biased clutches grow faster, mature earlier, but have lower fecundity than females from female-biased clutches. Furthermore, male reproduction was also affected by the sex ratio during embryonic development, with males from male-biased clutches being more likely to successfully reproduce at age one than males from female-biased clutches. Thus, the sex ratio experienced during gestation can have profound and long-lasting effects on fitness in natural populations of viviparous animals, with important implications for life-history evolution and sex allocation.",15612294,Age at maturity | Fecundity | Life history | Lizard | Prenatal sex ratio | Viviparity,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/9244253233,SCOPUS_ID:9244253233,2-s2.0-9244253233,Maternal effects in the soft scale insect Saissetia coffeae (Hemiptera: Coccidae),Spitzer B.W.,Evolution,00143820,58,11,2452-2461,2004-01-01,November 2004,21,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,6,10.1111/j.0014-3820.2004.tb00874.x,"Effects of maternal environment on offspring performance have been documented frequently in herbivorous insects. Despite this, very few cases exist in which exposure of parent insects to a resource causes the phenotype of their offspring to be adjusted in a manner that is adaptive for that resource, a phenomenon called adaptive transgenerational phenotypic plasticity. I performed a two-generation reciprocal cross-transplant experiment in the field with the soft scale insect Saissetia coffeae (Hemiptera: Coccidae) on two disparate host plant species in order to separate genetic effects from possible transgenerational plasticity. Despite striking differences in quality between host species, maternal host had no effect on overall offspring performance, and I detected no ""acclimatization"" to the maternal host species. However, there was a significant negative association between maternal and offspring development times, with potentially adaptive implications. Furthermore, offspring of mothers reared in an environment where scale densities were higher and scales were more frequently killed by fungi were significantly less likely to suffer from fungal attack than were offspring of mothers reared in an environment where densities were low and fungal attack was rare. Although S. coffeae does not appear to alter offspring phenotype to increase offspring fitness on these two distinct plant species, it does appear that offspring phenotype may be responding to some subtler aspects of maternal environment. In particular, the possibility of induced transgenerational prophylaxis in S. coffeae deserves further investigation.",15612288,Acclimatization | Coccidae | Hemiptera | Maternal effects | Plant-herbivore interactions | Saissetia coffeae | Transgenerational prophylaxis,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/9244243682,SCOPUS_ID:9244243682,2-s2.0-9244243682,The history of a nearctic colonization: Molecular phylogenetics and biogeography of the nearctic toads (Bufo),Pauly G.,Evolution,00143820,58,11,2517-2535,2004-01-01,November 2004,92,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,7,10.1111/j.0014-3820.2004.tb00881.x,"Previous hypotheses of phylogenetic relationships among Nearctic toads (Bufonidae) and their congeners suggest contradictory biogeographic histories. These hypotheses argue that the Nearctic Bufo are: (1) a polyphyletic assemblage resulting from multiple colonizations from Africa; (2) a paraphyletic assemblage resulting from a single colonization event from South America with subsequent dispersal into Eurasia; or (3) a monophyletic group derived from the Neotropics. We obtained approximately 2.5 kb of mitochondrial DNA sequence data for the 12S, 16S, and intervening valine tRNA gene from 82 individuals representing 56 species and used parametric bootstrapping to test hypotheses of the biogeographic history of the Nearctic Bufo. We find that the Nearctic species of Bufo are monophyletic and nested within a large clade of New World Bufo to the exclusion of Eurasian and African taxa. This suggests that Nearctic Bufo result from a single colonization from the Neotropics. More generally, we demonstrate the utility of parametric bootstrapping for testing alternative biogeographic hypotheses. Through parametric bootstrapping, we refute several previously published biogeographic hypotheses regarding Bufo. These previous studies may have been influenced by homoplasy in osteological characters. Given the Neotropical origin for Nearctic Bufo, we examine current distributional patterns to assess whether the Nearctic-Neotropical boundary is a broad transition zone or a narrow boundary. We also survey fossil and paleogeographic evidence to examine potential Tertiary and Cretaceous dispersal routes, including the Paleocene Isthmian Link, the Antillean and Aves Ridges, and the current Central American Land Bridge, that may have allowed colonization of the Nearctic.",15612295,Bayesian analysis | Biogeography | Heteroplasmy | Hypothesis testing | Mitochondrial ribosomal DNA | Parametric bootstrapping,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/9244242610,SCOPUS_ID:9244242610,2-s2.0-9244242610,"Effective population sizes and temporal stability of genetic structure in Rana pipiens, the northern leopard frog",Hoffman E.,Evolution,00143820,58,11,2536-2545,2004-01-01,November 2004,54,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,8,10.1111/j.0014-3820.2004.tb00882.x,"Although studies of population genetic structure are very common, whether genetic structure is stable over time has been assessed for very few taxa. The question of stability over time is particularly interesting for frogs because it is not clear to what extent frogs exist in dynamic metapopulations with frequent extinction and recolonization, or in stable patches at equilibrium between drift and gene flow. In this study we collected tissue samples from the same five populations of leopard frogs, Rana pipiens, over a 22-30 year time interval (11-15 generations). Genetic structure among the populations was very stable, suggesting that these populations were not undergoing frequent extinction and colonization. We also estimated the effective size of each population from the change in allele frequencies over time. There exist few estimates of effective size for frog populations, but the data available suggest that ranid frogs may have much larger ratios of effective size (Ne) to census size (Nc) than toads (bufonidae). Our results indicate that R. pipiens populations have effective sizes on the order of hundreds to at most a few thousand frogs, and Ne/Nc ratios in the range of 0.1-1.0. These estimates of Ne/Nc are consistent with those estimated for other Rana species. Finally, we compared the results of three temporal methods for estimating Ne. Moment and pseudolikelihood methods that assume a closed population gave the most similar point estimates, although the moment estimates were consistently two to four times larger. Wang and Whitlock's new method that jointly estimates Ne and the rate of immigration into a population (m) gave much smaller estimates of Ne and implausibly large estimates of m. This method requires knowing allele frequencies in the source of immigrants, but was thought to be insensitive to inexact estimates. In our case the method may have failed because we did not know the true source of immigrants for each population. The method may be more sensitive to choice of source frequencies than was previously appreciated, and so should be used with caution if the most likely source of immigrants cannot be identified clearly.",15612296,Anuran | Genetic structure | Microsatellite | Rana pipiens | Temporal stability | Temporal variation | Variance effective size,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/9244239245,SCOPUS_ID:9244239245,2-s2.0-9244239245,Parallel radiations in the primary clades of birds,Fain M.G.,Evolution,00143820,58,11,2558-2573,2004-01-01,November 2004,168,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,9,10.1111/j.0014-3820.2004.tb00884.x,"Knowledge of avian phylogeny is prerequisite to understanding the circumstances and timing of the diversification of birds and the evolution of morphological, behavioral, and life-history traits. Recent molecular datasets have helped to elucidate the three most basal clades in the tree of living birds, but relationships among neoavian orders (the vast majority of birds) remain frustratingly vexing. Here, we examine intron 7 of the β-fibrinogen gene in the most taxonomically inclusive survey of DNA sequences of nonpasserine bird families and orders to date. These data suggest that Neoaves consist of two sister clades with ecological parallelisms comparable to those found between marsupial and placental mammals. Some members of the putative respective clades have long been recognized as examples of convergent evolution, but it was not appreciated that they might be parts of diverse parallel radiations. In contrast, some traditional orders of birds are suggested by these data to be polyphyletic, with representative families in both radiations.",15612298,Convergence | Coronaves | Metaves | Neoaves | Parallelism | Systematics | β-fibrinogen,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/9244238728,SCOPUS_ID:9244238728,2-s2.0-9244238728,Lifetime fitness of short- and long-distance dispersing great reed warblers,Hansson B.,Evolution,00143820,58,11,2546-2557,2004-01-01,November 2004,70,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,10,10.1111/j.0014-3820.2004.tb00883.x,"Dispersal is of prime importance for many evolutionary processes and has been studied for decades. The reproductive consequences of dispersal have proven difficult to study, simply because it is difficult to keep track of dispersing individuals. In most previous studies evaluating the fitness effects of dispersal, immigrants at a study locality have been lumped into one category and compared to philopatric individuals. This is unfortunate, because there are reasons to believe that immigrants with long and short dispersal distances may differ substantially in reproductive success. In the present study, we used a combination of capture-recapturing and multilocus microsatellite genotyping to categorize great reed warblers at our Swedish study site as philopatric individuals or short- or long-distance dispersing immigrants. We then performed novel comparisons of lifetime reproductive success (LRS) and survival rates of these three dispersal categories. The birds belonged to cohorts 1987-1996, and data for their LRS were gathered between 1988 and 2003. The analyses showed that philopatric males attracted more females, produced more fledglings and recruits throughout their lives, and survived better than immigrants. Among the immigrant males, those categorized as long-distance dispersers had lowest LRS and survival probability. Models that included covariates of potential importance showed that the difference in LRS between dispersal categories was partly caused by corresponding variation in number of breeding years at our study site. These results indicate that short- and, in particular, long-distance dispersers were of poor phenotypic quality, but it may also be proposed that immigrants attracted few females because they were poorly adapted to the local social environment. In females, the number of local recruits corrected for the number of breeding years (as well as for number of fledglings) differed between dispersal categories in a pattern that suggests an intermediate optimal dispersal distance. Short-distance dispersers recruited more offspring per year (and per fledgling) than both philopatric individuals and long-distance dispersers. Data suggest that the low LRS of philopatric females was related to costs of inbreeding. The low LRS of long-distance dispersing females may have resulted from their offspring being especially prone to disperse outside the study area, but also other potential explanations exist, such as local maladaptation. Our study highlights the importance of separating immigrant birds on the basis of their genetic similarity to the local study population when analyzing variation in LRS and inferring realized gene flow.",15612297,Dispersal | Gene flow | Immigration | Inbreeding | Philopatry | Reproductive success,NA,NA,NA,NA
