entry_number,@_fa,affiliation-url,afid,affilname,affiliation-city,affiliation-country
2,NA,NA,NA,NA,NA,NA
2,true,https://api.elsevier.com/content/affiliation/affiliation_id/60071929,60071929,Universidad de Costa Rica,San Jose,Costa Rica
3,true,https://api.elsevier.com/content/affiliation/affiliation_id/60055696,60055696,Universidad Nacional de Colombia,Bogota,Colombia
4,true,https://api.elsevier.com/content/affiliation/affiliation_id/60071929,60071929,Universidad de Costa Rica,San Jose,Costa Rica
5,true,https://api.elsevier.com/content/affiliation/affiliation_id/60071929,60071929,Universidad de Costa Rica,San Jose,Costa Rica
6,true,https://api.elsevier.com/content/affiliation/affiliation_id/60071929,60071929,Universidad de Costa Rica,San Jose,Costa Rica
7,true,https://api.elsevier.com/content/affiliation/affiliation_id/60071237,60071237,Universidad Peruana Cayetano Heredia,Lima,Peru
8,true,https://api.elsevier.com/content/affiliation/affiliation_id/60071922,60071922,Ministerio de Agricultura y Ganaderia Costa Rica,San Jose,Costa Rica
9,true,https://api.elsevier.com/content/affiliation/affiliation_id/60020547,60020547,Texas A&amp;M University,College Station,United States
10,true,https://api.elsevier.com/content/affiliation/affiliation_id/60032442,60032442,Universidad Nacional Autónoma de México,Ciudad de México,Mexico
11,true,https://api.elsevier.com/content/affiliation/affiliation_id/60071920,60071920,Instituto Costarricense de Investigacion y Ensenanza en Nutricion y Salud Costa Rica,Tres Rios,Costa Rica
